opposingHand,winningChance,drawChance,lostChance
CLUBS TEN CLUBS SIX
HEARTS FIVE SPADES TEN,0.4382,0.3406,0.2212
SPADES JACK HEARTS FIVE,0.4392,0.0166,0.5442
CLUBS JACK SPADES FIVE,0.4332,0.0172,0.5496
CLUBS JACK CLUBS EIGHT,0.3322,0.022,0.6458
CLUBS EIGHT CLUBS KING,0.3552,0.008,0.6368
SPADES FIVE CLUBS ACE,0.4292,0.0052,0.5656
CLUBS EIGHT CLUBS QUEEN,0.3384,0.0114,0.6502
SPADES FIVE CLUBS KING,0.4326,0.0084,0.559
SPADES FIVE CLUBS QUEEN,0.427,0.0128,0.5602
CLUBS EIGHT CLUBS ACE,0.3488,0.0068,0.6444
DIAMONDS TWO DIAMONDS THREE,0.6184,0.0258,0.3558
DIAMONDS TWO DIAMONDS FIVE,0.613,0.0286,0.3584
SPADES KING HEARTS FIVE,0.443,0.0074,0.5496
DIAMONDS TWO DIAMONDS FOUR,0.6002,0.0258,0.374
SPADES QUEEN HEARTS FIVE,0.45,0.0122,0.5378
DIAMONDS TWO DIAMONDS SEVEN,0.6186,0.0262,0.3552
DIAMONDS TWO DIAMONDS SIX,0.6604,0.0816,0.258
SPADES ACE HEARTS FIVE,0.4408,0.005,0.5542
DIAMONDS TWO DIAMONDS NINE,0.6074,0.0244,0.3682
DIAMONDS TWO DIAMONDS EIGHT,0.6114,0.0236,0.365
DIAMONDS THREE DIAMONDS FOUR,0.5956,0.0262,0.3782
CLUBS TWO SPADES FOUR,0.639,0.0252,0.3358
DIAMONDS THREE DIAMONDS FIVE,0.5986,0.0276,0.3738
CLUBS TWO SPADES FIVE,0.638,0.0276,0.3344
CLUBS TWO SPADES TWO,0.445,0.0606,0.4944
CLUBS TWO SPADES THREE,0.6484,0.03,0.3216
DIAMONDS THREE DIAMONDS EIGHT,0.6134,0.0244,0.3622
SPADES EIGHT CLUBS TWO,0.647,0.0262,0.3268
DIAMONDS THREE DIAMONDS NINE,0.6106,0.0254,0.364
SPADES NINE CLUBS TWO,0.65,0.0278,0.3222
DIAMONDS THREE DIAMONDS SIX,0.6474,0.0726,0.28
CLUBS TWO SPADES SIX,0.6896,0.0788,0.2316
DIAMONDS THREE DIAMONDS SEVEN,0.6048,0.0272,0.368
CLUBS TWO SPADES SEVEN,0.6442,0.031,0.3248
CLUBS SEVEN CLUBS TWO,0.6436,0.0264,0.33
CLUBS FOUR CLUBS TWO,0.6536,0.0344,0.312
CLUBS FIVE CLUBS TWO,0.639,0.0284,0.3326
DIAMONDS FOUR DIAMONDS SIX,0.6454,0.0734,0.2812
DIAMONDS FOUR DIAMONDS SEVEN,0.5874,0.0274,0.3852
CLUBS EIGHT CLUBS TWO,0.6484,0.0278,0.3238
DIAMONDS FIVE DIAMONDS FOUR,0.58,0.0248,0.3952
CLUBS NINE CLUBS TWO,0.6608,0.025,0.3142
DIAMONDS NINE DIAMONDS FOUR,0.615,0.0278,0.3572
DIAMONDS EIGHT DIAMONDS FOUR,0.605,0.0222,0.3728
CLUBS TWO CLUBS THREE,0.6456,0.033,0.3214
DIAMONDS NINE DIAMONDS FIVE,0.602,0.0244,0.3736
CLUBS JACK DIAMONDS TWO,0.4228,0.02,0.5572
DIAMONDS EIGHT DIAMONDS FIVE,0.5842,0.0222,0.3936
DIAMONDS FIVE DIAMONDS SEVEN,0.5828,0.022,0.3952
DIAMONDS FIVE DIAMONDS SIX,0.6312,0.072,0.2968
DIAMONDS TWO CLUBS ACE,0.4398,0.006,0.5542
DIAMONDS TWO CLUBS KING,0.4336,0.0092,0.5572
