opposingHand,winningChance,drawChance,lostChance
CLUBS TEN DIAMONDS TWO
HEARTS FIVE SPADES TEN,0.2284,0.4516,0.32
HEARTS FIVE SPADES JACK,0.3714,0.02,0.6086
CLUBS JACK SPADES FIVE,0.3476,0.0194,0.633
CLUBS JACK CLUBS EIGHT,0.3144,0.0166,0.669
CLUBS EIGHT CLUBS KING,0.3424,0.0092,0.6484
SPADES FIVE CLUBS ACE,0.3368,0.0038,0.6594
CLUBS EIGHT CLUBS QUEEN,0.3364,0.0128,0.6508
SPADES FIVE CLUBS KING,0.344,0.011,0.645
SPADES FIVE CLUBS QUEEN,0.3578,0.0112,0.631
CLUBS EIGHT CLUBS ACE,0.3458,0.0052,0.649
HEARTS FIVE SPADES KING,0.3718,0.006,0.6222
HEARTS FIVE SPADES QUEEN,0.358,0.0118,0.6302
SPADES ACE HEARTS FIVE,0.346,0.0044,0.6496
DIAMONDS THREE DIAMONDS FOUR,0.53,0.0336,0.4364
CLUBS TWO SPADES FOUR,0.656,0.0884,0.2556
DIAMONDS THREE DIAMONDS FIVE,0.5244,0.028,0.4476
SPADES FIVE CLUBS TWO,0.6692,0.0776,0.2532
CLUBS TWO SPADES TWO,0.2924,0.0466,0.661
CLUBS TWO SPADES THREE,0.6654,0.0772,0.2574
DIAMONDS THREE DIAMONDS EIGHT,0.5594,0.0284,0.4122
SPADES EIGHT CLUBS TWO,0.6908,0.0778,0.2314
DIAMONDS THREE DIAMONDS NINE,0.555,0.0304,0.4146
SPADES NINE CLUBS TWO,0.7044,0.0708,0.2248
DIAMONDS THREE DIAMONDS SIX,0.5332,0.034,0.4328
SPADES SIX CLUBS TWO,0.6874,0.0734,0.2392
DIAMONDS THREE DIAMONDS SEVEN,0.5376,0.0264,0.436
SPADES SEVEN CLUBS TWO,0.6914,0.0724,0.2362
CLUBS SIX CLUBS TWO,0.6494,0.0628,0.2878
CLUBS SEVEN CLUBS TWO,0.6714,0.0656,0.263
CLUBS FOUR CLUBS TWO,0.6234,0.0814,0.2952
CLUBS FIVE CLUBS TWO,0.6338,0.076,0.2902
DIAMONDS FOUR DIAMONDS SIX,0.5226,0.0292,0.4482
DIAMONDS FOUR DIAMONDS SEVEN,0.531,0.0282,0.4408
CLUBS EIGHT CLUBS TWO,0.6506,0.076,0.2734
DIAMONDS FOUR DIAMONDS FIVE,0.514,0.0296,0.4564
CLUBS NINE CLUBS TWO,0.6668,0.0754,0.2578
DIAMONDS FOUR DIAMONDS NINE,0.5598,0.0264,0.4138
DIAMONDS FOUR DIAMONDS EIGHT,0.5402,0.0284,0.4314
CLUBS THREE CLUBS TWO,0.6332,0.0742,0.2926
DIAMONDS NINE DIAMONDS FIVE,0.5532,0.027,0.4198
DIAMONDS FIVE DIAMONDS EIGHT,0.52,0.03,0.45
DIAMONDS FIVE DIAMONDS SEVEN,0.5202,0.0306,0.4492
DIAMONDS SIX DIAMONDS FIVE,0.5068,0.0286,0.4646
DIAMONDS SIX DIAMONDS EIGHT,0.507,0.0264,0.4666
DIAMONDS NINE DIAMONDS SIX,0.5376,0.029,0.4334
HEARTS ACE SPADES THREE,0.3472,0.0024,0.6504
SPADES THREE HEARTS KING,0.3562,0.0082,0.6356
DIAMONDS SIX DIAMONDS SEVEN,0.514,0.0288,0.4572
HEARTS QUEEN SPADES THREE,0.3574,0.0126,0.63
SPADES THREE HEARTS JACK,0.354,0.0168,0.6292
SPADES THREE HEARTS TEN,0.2208,0.5146,0.2646
DIAMONDS EIGHT DIAMONDS SEVEN,0.5064,0.0262,0.4674
DIAMONDS NINE DIAMONDS SEVEN,0.5102,0.027,0.4628
DIAMONDS NINE DIAMONDS EIGHT,0.5074,0.0234,0.4692
DIAMONDS KING HEARTS TEN,0.2204,0.0374,0.7422
HEARTS THREE HEARTS TEN,0.2142,0.483,0.3028
SPADES JACK CLUBS SIX,0.354,0.0174,0.6286
DIAMONDS KING HEARTS JACK,0.2992,0.0092,0.6916
HEARTS THREE HEARTS JACK,0.3344,0.0236,0.642
SPADES TEN CLUBS SIX,0.2212,0.37,0.4088
SPADES JACK SPADES FIVE,0.333,0.016,0.651
SPADES TEN SPADES FIVE,0.2052,0.4346,0.3602
DIAMONDS KING HEARTS ACE,0.3082,0.0038,0.688
HEARTS THREE HEARTS ACE,0.3236,0.0066,0.6698
SPADES ACE CLUBS SIX,0.3518,0.0042,0.644
DIAMONDS KING HEARTS QUEEN,0.299,0.008,0.693
HEARTS THREE HEARTS QUEEN,0.3254,0.015,0.6596
SPADES KING CLUBS SIX,0.3652,0.0082,0.6266
DIAMONDS KING HEARTS KING,0.1262,0.0112,0.8626
HEARTS THREE HEARTS KING,0.3322,0.0086,0.6592
SPADES QUEEN CLUBS SIX,0.3582,0.0118,0.63
SPADES NINE HEARTS TEN,0.2264,0.1764,0.5972
SPADES NINE HEARTS JACK,0.3276,0.012,0.6604
SPADES QUEEN SPADES FIVE,0.3354,0.0114,0.6532
SPADES KING SPADES FIVE,0.3372,0.0088,0.654
SPADES ACE SPADES FIVE,0.326,0.0064,0.6676
SPADES NINE HEARTS QUEEN,0.347,0.0094,0.6436
SPADES NINE HEARTS KING,0.3498,0.0066,0.6436
SPADES NINE HEARTS ACE,0.3512,0.0026,0.6462
SPADES FIVE HEARTS QUEEN,0.3724,0.012,0.6156
SPADES FIVE HEARTS KING,0.351,0.0104,0.6386
HEARTS ACE SPADES FIVE,0.3552,0.0048,0.64
CLUBS EIGHT SPADES TEN,0.2124,0.2252,0.5624
SPADES JACK HEARTS THREE,0.3608,0.0224,0.6168
SPADES JACK DIAMONDS KING,0.3118,0.0066,0.6816
SPADES TEN DIAMONDS KING,0.2176,0.0374,0.745
SPADES TEN HEARTS THREE,0.21,0.531,0.259
SPADES JACK CLUBS EIGHT,0.3376,0.0184,0.644
CLUBS SIX HEARTS ACE,0.3712,0.0042,0.6246
SPADES ACE CLUBS EIGHT,0.3614,0.004,0.6346
HEARTS FIVE CLUBS JACK,0.3602,0.0188,0.621
CLUBS SIX HEARTS QUEEN,0.3626,0.012,0.6254
SPADES QUEEN CLUBS EIGHT,0.35,0.0114,0.6386
CLUBS SIX HEARTS KING,0.365,0.0068,0.6282
SPADES KING CLUBS EIGHT,0.3602,0.0072,0.6326
CLUBS JACK SPADES THREE,0.3588,0.0192,0.622
SPADES THREE CLUBS QUEEN,0.3516,0.0144,0.634
SPADES THREE CLUBS KING,0.3504,0.0094,0.6402
HEARTS FIVE CLUBS ACE,0.338,0.0064,0.6556
SPADES FIVE HEARTS TEN,0.2248,0.4536,0.3216
SPADES THREE CLUBS ACE,0.3436,0.0056,0.6508
HEARTS FIVE CLUBS KING,0.3584,0.0094,0.6322
SPADES FIVE HEARTS JACK,0.3628,0.02,0.6172
HEARTS FIVE CLUBS QUEEN,0.3482,0.0132,0.6386
HEARTS THREE CLUBS KING,0.3662,0.0104,0.6234
DIAMONDS KING CLUBS KING,0.126,0.0124,0.8616
HEARTS THREE CLUBS QUEEN,0.3518,0.0118,0.6364
DIAMONDS KING CLUBS QUEEN,0.3006,0.0064,0.693
HEARTS FIVE HEARTS JACK,0.3314,0.0182,0.6504
HEARTS FIVE HEARTS TEN,0.203,0.4466,0.3504
HEARTS THREE CLUBS ACE,0.3456,0.0064,0.648
DIAMONDS KING CLUBS ACE,0.312,0.005,0.683
SPADES ACE CLUBS QUEEN,0.3214,0.0056,0.673
SPADES KING CLUBS QUEEN,0.2994,0.0066,0.694
CLUBS JACK HEARTS THREE,0.3576,0.0194,0.623
CLUBS JACK DIAMONDS KING,0.2972,0.0074,0.6954
SPADES QUEEN CLUBS QUEEN,0.1284,0.0148,0.8568
SPADES JACK CLUBS QUEEN,0.289,0.012,0.699
CLUBS SIX CLUBS QUEEN,0.3488,0.013,0.6382
SPADES TEN CLUBS QUEEN,0.2182,0.0472,0.7346
CLUBS SIX CLUBS KING,0.3426,0.0096,0.6478
CLUBS SIX CLUBS ACE,0.3548,0.0038,0.6414
HEARTS FIVE HEARTS KING,0.3252,0.0074,0.6674
HEARTS FIVE HEARTS QUEEN,0.3316,0.0118,0.6566
HEARTS FIVE HEARTS ACE,0.3206,0.005,0.6744
CLUBS JACK CLUBS SIX,0.347,0.0132,0.6398
SPADES SEVEN HEARTS JACK,0.3472,0.0168,0.636
SPADES SEVEN HEARTS TEN,0.2142,0.2874,0.4984
SPADES SEVEN HEARTS ACE,0.3528,0.0034,0.6438
SPADES SEVEN HEARTS KING,0.3628,0.009,0.6282
SPADES SEVEN HEARTS QUEEN,0.3518,0.0108,0.6374
CLUBS FOUR SPADES FIVE,0.543,0.0316,0.4254
CLUBS FOUR SPADES FOUR,0.2976,0.069,0.6334
CLUBS FOUR SPADES THREE,0.5512,0.03,0.4188
CLUBS FOUR SPADES TWO,0.6746,0.0794,0.246
SPADES NINE CLUBS FOUR,0.6064,0.0286,0.365
SPADES EIGHT CLUBS FOUR,0.5772,0.0244,0.3984
SPADES SEVEN CLUBS FOUR,0.5684,0.0326,0.399
CLUBS FOUR SPADES SIX,0.5642,0.0274,0.4084
SPADES ACE DIAMONDS SIX,0.3644,0.0052,0.6304
SPADES QUEEN DIAMONDS SIX,0.3672,0.0078,0.625
SPADES KING DIAMONDS SIX,0.3632,0.0076,0.6292
SPADES TEN DIAMONDS SIX,0.206,0.3814,0.4126
SPADES JACK DIAMONDS SIX,0.3696,0.0156,0.6148
SPADES QUEEN SPADES TWO,0.2252,0.0394,0.7354
SPADES KING SPADES TWO,0.2312,0.0256,0.7432
SPADES ACE SPADES TWO,0.2174,0.0158,0.7668
CLUBS JACK DIAMONDS JACK,0.1238,0.0244,0.8518
DIAMONDS JACK CLUBS KING,0.3026,0.0064,0.691
DIAMONDS JACK CLUBS QUEEN,0.2818,0.0108,0.7074
DIAMONDS THREE DIAMONDS JACK,0.3442,0.021,0.6348
DIAMONDS THREE DIAMONDS TEN,0.2076,0.5004,0.292
DIAMONDS JACK CLUBS ACE,0.3048,0.0058,0.6894
DIAMONDS THREE DIAMONDS KING,0.3382,0.0076,0.6542
DIAMONDS THREE HEARTS THREE,0.2904,0.0724,0.6372
DIAMONDS THREE DIAMONDS QUEEN,0.3438,0.0114,0.6448
DIAMONDS THREE HEARTS TWO,0.6608,0.0784,0.2608
HEARTS FIVE DIAMONDS THREE,0.547,0.033,0.42
DIAMONDS THREE DIAMONDS ACE,0.3242,0.0058,0.67
HEARTS FOUR DIAMONDS THREE,0.5524,0.0348,0.4128
HEARTS SEVEN DIAMONDS THREE,0.57,0.0294,0.4006
SPADES TEN SPADES NINE,0.2012,0.1592,0.6396
DIAMONDS THREE HEARTS SIX,0.561,0.0318,0.4072
SPADES JACK SPADES NINE,0.3046,0.0156,0.6798
DIAMONDS THREE HEARTS NINE,0.5882,0.0288,0.383
