opposingHand,winningChance,drawChance,lostChance
CLUBS TEN HEARTS EIGHT
HEARTS FIVE SPADES TEN,0.55,0.2248,0.2252
SPADES JACK HEARTS FIVE,0.4338,0.0132,0.553
CLUBS JACK SPADES FIVE,0.426,0.017,0.557
CLUBS JACK CLUBS EIGHT,0.2528,0.0562,0.691
CLUBS EIGHT CLUBS KING,0.2652,0.0296,0.7052
SPADES FIVE CLUBS ACE,0.4368,0.0026,0.5606
CLUBS EIGHT CLUBS QUEEN,0.2488,0.038,0.7132
SPADES FIVE CLUBS KING,0.439,0.0064,0.5546
SPADES FIVE CLUBS QUEEN,0.418,0.0116,0.5704
CLUBS EIGHT CLUBS ACE,0.2656,0.0262,0.7082
DIAMONDS TWO DIAMONDS THREE,0.5998,0.0234,0.3768
DIAMONDS TWO DIAMONDS FIVE,0.5832,0.0242,0.3926
SPADES KING HEARTS FIVE,0.432,0.0078,0.5602
DIAMONDS TWO DIAMONDS FOUR,0.5978,0.0276,0.3746
SPADES QUEEN HEARTS FIVE,0.4374,0.0108,0.5518
DIAMONDS TWO DIAMONDS SEVEN,0.6256,0.022,0.3524
DIAMONDS TWO DIAMONDS SIX,0.6192,0.0272,0.3536
SPADES ACE HEARTS FIVE,0.437,0.0044,0.5586
DIAMONDS TWO DIAMONDS NINE,0.6024,0.0256,0.372
DIAMONDS TWO DIAMONDS EIGHT,0.6506,0.077,0.2724
DIAMONDS THREE DIAMONDS FOUR,0.5786,0.0236,0.3978
CLUBS TWO SPADES FOUR,0.6472,0.024,0.3288
DIAMONDS THREE DIAMONDS FIVE,0.5924,0.0258,0.3818
SPADES FIVE CLUBS TWO,0.6326,0.0286,0.3388
CLUBS TWO SPADES TWO,0.4442,0.0514,0.5044
CLUBS TWO SPADES THREE,0.644,0.0278,0.3282
DIAMONDS THREE DIAMONDS EIGHT,0.654,0.0724,0.2736
SPADES EIGHT CLUBS TWO,0.698,0.0836,0.2184
DIAMONDS THREE DIAMONDS NINE,0.6064,0.0228,0.3708
SPADES NINE CLUBS TWO,0.6562,0.0244,0.3194
DIAMONDS THREE DIAMONDS SIX,0.5994,0.0258,0.3748
SPADES SIX CLUBS TWO,0.6576,0.028,0.3144
DIAMONDS THREE DIAMONDS SEVEN,0.6032,0.0286,0.3682
SPADES SEVEN CLUBS TWO,0.6708,0.0312,0.298
CLUBS SIX CLUBS TWO,0.6198,0.0246,0.3556
CLUBS SEVEN CLUBS TWO,0.6348,0.0264,0.3388
CLUBS FOUR CLUBS TWO,0.5958,0.0276,0.3766
CLUBS FIVE CLUBS TWO,0.6096,0.026,0.3644
DIAMONDS FOUR DIAMONDS SIX,0.589,0.0252,0.3858
DIAMONDS FOUR DIAMONDS SEVEN,0.5948,0.026,0.3792
CLUBS EIGHT CLUBS TWO,0.668,0.0794,0.2526
DIAMONDS FIVE DIAMONDS FOUR,0.57,0.0224,0.4076
CLUBS NINE CLUBS TWO,0.625,0.0262,0.3488
DIAMONDS NINE DIAMONDS FOUR,0.6138,0.0226,0.3636
DIAMONDS EIGHT DIAMONDS FOUR,0.6456,0.0724,0.282
CLUBS THREE CLUBS TWO,0.6096,0.0218,0.3686
DIAMONDS NINE DIAMONDS FIVE,0.6046,0.0258,0.3696
CLUBS JACK DIAMONDS TWO,0.4344,0.0162,0.5494
DIAMONDS EIGHT DIAMONDS FIVE,0.6342,0.0796,0.2862
DIAMONDS FIVE DIAMONDS SEVEN,0.5906,0.0292,0.3802
DIAMONDS FIVE DIAMONDS SIX,0.5804,0.0238,0.3958
DIAMONDS TWO CLUBS ACE,0.4264,0.0062,0.5674
DIAMONDS TWO CLUBS KING,0.431,0.0068,0.5622
DIAMONDS TWO CLUBS QUEEN,0.4288,0.0128,0.5584
DIAMONDS EIGHT DIAMONDS SIX,0.63,0.0758,0.2942
DIAMONDS NINE DIAMONDS SIX,0.5894,0.024,0.3866
HEARTS ACE SPADES THREE,0.4244,0.0028,0.5728
SPADES THREE HEARTS KING,0.4196,0.0074,0.573
DIAMONDS SEVEN DIAMONDS SIX,0.5888,0.0242,0.387
HEARTS QUEEN SPADES THREE,0.4254,0.0116,0.563
SPADES THREE HEARTS JACK,0.4272,0.0172,0.5556
SPADES THREE HEARTS TEN,0.553,0.2282,0.2188
DIAMONDS EIGHT DIAMONDS SEVEN,0.6248,0.0738,0.3014
DIAMONDS NINE DIAMONDS SEVEN,0.5682,0.0284,0.4034
