opposingHand,winningChance,drawChance,lostChance
CLUBS TEN HEARTS SEVEN
HEARTS FIVE SPADES TEN,0.4806,0.2986,0.2208
SPADES JACK HEARTS FIVE,0.409,0.0208,0.5702
CLUBS JACK SPADES FIVE,0.4276,0.016,0.5564
CLUBS JACK CLUBS EIGHT,0.342,0.0138,0.6442
CLUBS EIGHT CLUBS KING,0.3696,0.0094,0.621
SPADES FIVE CLUBS ACE,0.4052,0.0052,0.5896
CLUBS EIGHT CLUBS QUEEN,0.3494,0.0104,0.6402
SPADES FIVE CLUBS KING,0.4144,0.0076,0.578
SPADES FIVE CLUBS QUEEN,0.411,0.0124,0.5766
CLUBS EIGHT CLUBS ACE,0.3506,0.0046,0.6448
DIAMONDS TWO DIAMONDS THREE,0.5938,0.0242,0.382
DIAMONDS TWO DIAMONDS FIVE,0.6046,0.0236,0.3718
SPADES KING HEARTS FIVE,0.4362,0.0068,0.557
DIAMONDS TWO DIAMONDS FOUR,0.5906,0.0274,0.382
SPADES QUEEN HEARTS FIVE,0.4228,0.012,0.5652
DIAMONDS TWO DIAMONDS SEVEN,0.6542,0.0774,0.2684
DIAMONDS TWO DIAMONDS SIX,0.6076,0.0242,0.3682
SPADES ACE HEARTS FIVE,0.4262,0.005,0.5688
DIAMONDS TWO DIAMONDS NINE,0.6008,0.027,0.3722
DIAMONDS TWO DIAMONDS EIGHT,0.5986,0.0264,0.375
DIAMONDS THREE DIAMONDS FOUR,0.5618,0.029,0.4092
CLUBS TWO SPADES FOUR,0.6352,0.0256,0.3392
DIAMONDS THREE DIAMONDS FIVE,0.5732,0.0282,0.3986
SPADES FIVE CLUBS TWO,0.6236,0.0282,0.3482
CLUBS TWO SPADES TWO,0.431,0.0568,0.5122
CLUBS TWO SPADES THREE,0.6392,0.03,0.3308
DIAMONDS THREE DIAMONDS EIGHT,0.5992,0.0224,0.3784
SPADES EIGHT CLUBS TWO,0.6408,0.03,0.3292
DIAMONDS THREE DIAMONDS NINE,0.6016,0.0234,0.375
SPADES NINE CLUBS TWO,0.6502,0.0238,0.326
DIAMONDS THREE DIAMONDS SIX,0.5992,0.0254,0.3754
SPADES SIX CLUBS TWO,0.6518,0.0242,0.324
DIAMONDS THREE DIAMONDS SEVEN,0.628,0.0816,0.2904
SPADES SEVEN CLUBS TWO,0.6968,0.0832,0.22
CLUBS SIX CLUBS TWO,0.6304,0.0288,0.3408
CLUBS SEVEN CLUBS TWO,0.6672,0.0758,0.257
CLUBS FOUR CLUBS TWO,0.5926,0.0274,0.38
CLUBS FIVE CLUBS TWO,0.5968,0.03,0.3732
DIAMONDS FOUR DIAMONDS SIX,0.5864,0.0258,0.3878
DIAMONDS FOUR DIAMONDS SEVEN,0.6312,0.0746,0.2942
CLUBS EIGHT CLUBS TWO,0.6222,0.0252,0.3526
DIAMONDS FIVE DIAMONDS FOUR,0.5648,0.0226,0.4126
CLUBS NINE CLUBS TWO,0.6228,0.0274,0.3498
DIAMONDS NINE DIAMONDS FOUR,0.5946,0.0244,0.381
DIAMONDS EIGHT DIAMONDS FOUR,0.5858,0.0272,0.387
CLUBS THREE CLUBS TWO,0.6108,0.0296,0.3596
DIAMONDS NINE DIAMONDS FIVE,0.5816,0.0258,0.3926
CLUBS JACK DIAMONDS TWO,0.418,0.0166,0.5654
DIAMONDS EIGHT DIAMONDS FIVE,0.5816,0.0252,0.3932
DIAMONDS FIVE DIAMONDS SEVEN,0.616,0.0714,0.3126
DIAMONDS FIVE DIAMONDS SIX,0.5794,0.0268,0.3938
