opposingHand,winningChance,drawChance,lostChance
CLUBS TEN HEARTS THREE
HEARTS FIVE SPADES TEN,0.2252,0.451,0.3238
HEARTS FIVE SPADES JACK,0.3542,0.0194,0.6264
CLUBS JACK SPADES FIVE,0.3538,0.0222,0.624
CLUBS JACK CLUBS EIGHT,0.3206,0.0164,0.663
CLUBS EIGHT CLUBS KING,0.3476,0.0082,0.6442
SPADES FIVE CLUBS ACE,0.3474,0.0062,0.6464
CLUBS EIGHT CLUBS QUEEN,0.331,0.0122,0.6568
SPADES FIVE CLUBS KING,0.358,0.009,0.633
SPADES FIVE CLUBS QUEEN,0.361,0.0108,0.6282
CLUBS EIGHT CLUBS ACE,0.3356,0.0036,0.6608
DIAMONDS TWO DIAMONDS THREE,0.6278,0.0784,0.2938
DIAMONDS TWO DIAMONDS FIVE,0.5594,0.0272,0.4134
HEARTS FIVE SPADES KING,0.3618,0.0076,0.6306
DIAMONDS TWO DIAMONDS FOUR,0.5588,0.0288,0.4124
HEARTS FIVE SPADES QUEEN,0.342,0.0108,0.6472
DIAMONDS TWO DIAMONDS SEVEN,0.5764,0.0226,0.401
DIAMONDS TWO DIAMONDS SIX,0.5696,0.0282,0.4022
SPADES ACE HEARTS FIVE,0.3298,0.0046,0.6656
DIAMONDS TWO DIAMONDS NINE,0.5684,0.0272,0.4044
DIAMONDS TWO DIAMONDS EIGHT,0.5664,0.027,0.4066
DIAMONDS THREE DIAMONDS FOUR,0.6102,0.0714,0.3184
CLUBS TWO SPADES FOUR,0.6066,0.0298,0.3636
DIAMONDS THREE DIAMONDS FIVE,0.6138,0.0724,0.3138
SPADES FIVE CLUBS TWO,0.601,0.03,0.369
CLUBS TWO SPADES TWO,0.3772,0.0764,0.5464
CLUBS TWO SPADES THREE,0.6582,0.0852,0.2566
DIAMONDS THREE DIAMONDS EIGHT,0.6442,0.0712,0.2846
SPADES EIGHT CLUBS TWO,0.618,0.0244,0.3576
DIAMONDS THREE DIAMONDS NINE,0.659,0.0604,0.2806
SPADES NINE CLUBS TWO,0.6296,0.0272,0.3432
DIAMONDS THREE DIAMONDS SIX,0.6238,0.07,0.3062
SPADES SIX CLUBS TWO,0.6136,0.0288,0.3576
DIAMONDS THREE DIAMONDS SEVEN,0.639,0.071,0.29
SPADES SEVEN CLUBS TWO,0.6214,0.0276,0.351
CLUBS SIX CLUBS TWO,0.5778,0.0292,0.393
CLUBS SEVEN CLUBS TWO,0.5944,0.024,0.3816
CLUBS FOUR CLUBS TWO,0.5684,0.029,0.4026
CLUBS FIVE CLUBS TWO,0.5618,0.0344,0.4038
DIAMONDS FOUR DIAMONDS SIX,0.5298,0.0242,0.446
DIAMONDS FOUR DIAMONDS SEVEN,0.5202,0.0282,0.4516
CLUBS EIGHT CLUBS TWO,0.5916,0.0312,0.3772
DIAMONDS FIVE DIAMONDS FOUR,0.5042,0.0324,0.4634
CLUBS NINE CLUBS TWO,0.5982,0.0266,0.3752
DIAMONDS NINE DIAMONDS FOUR,0.5528,0.0204,0.4268
DIAMONDS EIGHT DIAMONDS FOUR,0.5376,0.0262,0.4362
CLUBS THREE CLUBS TWO,0.6392,0.0736,0.2872
DIAMONDS NINE DIAMONDS FIVE,0.5372,0.0266,0.4362
CLUBS JACK DIAMONDS TWO,0.3868,0.0224,0.5908
DIAMONDS EIGHT DIAMONDS FIVE,0.5188,0.0282,0.453
DIAMONDS FIVE DIAMONDS SEVEN,0.515,0.0312,0.4538
DIAMONDS FIVE DIAMONDS SIX,0.5182,0.0264,0.4554
DIAMONDS TWO CLUBS ACE,0.385,0.0048,0.6102
DIAMONDS TWO CLUBS KING,0.3882,0.0084,0.6034
DIAMONDS TWO CLUBS QUEEN,0.3954,0.0142,0.5904
DIAMONDS EIGHT DIAMONDS SIX,0.5132,0.0246,0.4622
DIAMONDS NINE DIAMONDS SIX,0.518,0.0258,0.4562
HEARTS ACE SPADES THREE,0.238,0.022,0.74
SPADES THREE HEARTS KING,0.2412,0.0334,0.7254
DIAMONDS SEVEN DIAMONDS SIX,0.4986,0.0306,0.4708
HEARTS QUEEN SPADES THREE,0.2278,0.0484,0.7238
SPADES THREE HEARTS JACK,0.239,0.0622,0.6988
SPADES THREE HEARTS TEN,0.0114,0.9728,0.0158
DIAMONDS EIGHT DIAMONDS SEVEN,0.4818,0.0256,0.4926
DIAMONDS NINE DIAMONDS SEVEN,0.5082,0.0218,0.47
DIAMONDS NINE DIAMONDS EIGHT,0.4902,0.0254,0.4844
DIAMONDS KING HEARTS TEN,0.2224,0.035,0.7426
SPADES JACK CLUBS SIX,0.3566,0.0154,0.628
DIAMONDS KING HEARTS JACK,0.3016,0.0066,0.6918
SPADES TEN CLUBS SIX,0.2148,0.3856,0.3996
SPADES JACK SPADES FIVE,0.3306,0.0174,0.652
SPADES TEN SPADES FIVE,0.2136,0.4294,0.357
DIAMONDS KING HEARTS ACE,0.3134,0.0056,0.681
SPADES ACE CLUBS SIX,0.3594,0.0064,0.6342
DIAMONDS KING HEARTS QUEEN,0.3136,0.0078,0.6786
SPADES KING CLUBS SIX,0.3602,0.0066,0.6332
DIAMONDS KING HEARTS KING,0.139,0.0092,0.8518
SPADES QUEEN CLUBS SIX,0.3626,0.0134,0.624
