opposingHand,winningChance,drawChance,lostChance
CLUBS TEN SPADES FIVE
HEARTS FIVE SPADES TEN,0.0112,0.9686,0.0202
SPADES JACK HEARTS FIVE,0.2294,0.0626,0.708
CLUBS EIGHT CLUBS JACK,0.324,0.0166,0.6594
CLUBS EIGHT CLUBS KING,0.3462,0.0092,0.6446
CLUBS EIGHT CLUBS QUEEN,0.3312,0.0112,0.6576
CLUBS EIGHT CLUBS ACE,0.3342,0.0048,0.661
DIAMONDS TWO DIAMONDS THREE,0.584,0.0296,0.3864
DIAMONDS TWO DIAMONDS FIVE,0.6252,0.0804,0.2944
SPADES KING HEARTS FIVE,0.2242,0.0396,0.7362
DIAMONDS TWO DIAMONDS FOUR,0.5742,0.0308,0.395
SPADES QUEEN HEARTS FIVE,0.2298,0.0472,0.723
DIAMONDS TWO DIAMONDS SEVEN,0.58,0.0294,0.3906
DIAMONDS TWO DIAMONDS SIX,0.5814,0.0304,0.3882
SPADES ACE HEARTS FIVE,0.2332,0.0312,0.7356
DIAMONDS TWO DIAMONDS NINE,0.5748,0.027,0.3982
DIAMONDS TWO DIAMONDS EIGHT,0.577,0.0258,0.3972
DIAMONDS THREE DIAMONDS FOUR,0.5656,0.0278,0.4066
CLUBS TWO SPADES FOUR,0.638,0.0314,0.3306
DIAMONDS THREE DIAMONDS FIVE,0.6066,0.0818,0.3116
CLUBS TWO SPADES TWO,0.4076,0.0622,0.5302
CLUBS TWO SPADES THREE,0.6206,0.0324,0.347
DIAMONDS THREE DIAMONDS EIGHT,0.5752,0.0272,0.3976
SPADES EIGHT CLUBS TWO,0.6214,0.0304,0.3482
DIAMONDS THREE DIAMONDS NINE,0.5698,0.0244,0.4058
SPADES NINE CLUBS TWO,0.6132,0.0284,0.3584
DIAMONDS THREE DIAMONDS SIX,0.566,0.0296,0.4044
CLUBS TWO SPADES SIX,0.6256,0.0318,0.3426
DIAMONDS THREE DIAMONDS SEVEN,0.5706,0.0234,0.406
CLUBS TWO SPADES SEVEN,0.6284,0.0294,0.3422
CLUBS SIX CLUBS TWO,0.5798,0.0328,0.3874
CLUBS SEVEN CLUBS TWO,0.5916,0.0262,0.3822
CLUBS FOUR CLUBS TWO,0.602,0.032,0.366
CLUBS FIVE CLUBS TWO,0.6356,0.0804,0.284
DIAMONDS FOUR DIAMONDS SIX,0.5432,0.0316,0.4252
DIAMONDS FOUR DIAMONDS SEVEN,0.548,0.0278,0.4242
CLUBS EIGHT CLUBS TWO,0.595,0.0292,0.3758
DIAMONDS FIVE DIAMONDS FOUR,0.5826,0.0792,0.3382
CLUBS NINE CLUBS TWO,0.593,0.0298,0.3772
DIAMONDS NINE DIAMONDS FOUR,0.5842,0.0288,0.387
DIAMONDS EIGHT DIAMONDS FOUR,0.5684,0.0276,0.404
CLUBS TWO CLUBS THREE,0.605,0.0302,0.3648
DIAMONDS NINE DIAMONDS FIVE,0.6332,0.0722,0.2946
DIAMONDS TWO CLUBS JACK,0.3768,0.0234,0.5998
DIAMONDS EIGHT DIAMONDS FIVE,0.6236,0.0764,0.3
DIAMONDS FIVE DIAMONDS SEVEN,0.6028,0.0722,0.325
DIAMONDS FIVE DIAMONDS SIX,0.6026,0.0696,0.3278
DIAMONDS TWO CLUBS ACE,0.3854,0.0056,0.609
DIAMONDS TWO CLUBS KING,0.3884,0.0112,0.6004
DIAMONDS TWO CLUBS QUEEN,0.4096,0.0126,0.5778
DIAMONDS EIGHT DIAMONDS SIX,0.5226,0.0268,0.4506
DIAMONDS NINE DIAMONDS SIX,0.5344,0.0276,0.438
