opposingHand,winningChance,drawChance,lostChance
CLUBS TEN SPADES JACK
SPADES TEN HEARTS FIVE,0.7244,0.0512,0.2244
SPADES FIVE CLUBS JACK,0.653,0.125,0.222
CLUBS EIGHT CLUBS JACK,0.623,0.1146,0.2624
CLUBS EIGHT CLUBS KING,0.4302,0.0074,0.5624
SPADES FIVE CLUBS ACE,0.4312,0.0044,0.5644
CLUBS EIGHT CLUBS QUEEN,0.4106,0.0078,0.5816
SPADES FIVE CLUBS KING,0.44,0.0084,0.5516
SPADES FIVE CLUBS QUEEN,0.4526,0.0106,0.5368
CLUBS EIGHT CLUBS ACE,0.4122,0.0058,0.582
DIAMONDS TWO DIAMONDS THREE,0.6042,0.0176,0.3782
DIAMONDS TWO DIAMONDS FIVE,0.61,0.0122,0.3778
SPADES KING HEARTS FIVE,0.4522,0.0072,0.5406
DIAMONDS TWO DIAMONDS FOUR,0.6162,0.0144,0.3694
SPADES QUEEN HEARTS FIVE,0.4374,0.0076,0.555
DIAMONDS TWO DIAMONDS SEVEN,0.6334,0.0154,0.3512
DIAMONDS TWO DIAMONDS SIX,0.618,0.0122,0.3698
SPADES ACE HEARTS FIVE,0.4364,0.0054,0.5582
DIAMONDS TWO DIAMONDS NINE,0.6348,0.0138,0.3514
DIAMONDS TWO DIAMONDS EIGHT,0.6292,0.0156,0.3552
DIAMONDS THREE DIAMONDS FOUR,0.6056,0.0148,0.3796
CLUBS TWO SPADES FOUR,0.663,0.0126,0.3244
DIAMONDS THREE DIAMONDS FIVE,0.6018,0.0128,0.3854
CLUBS TWO SPADES FIVE,0.666,0.0152,0.3188
CLUBS TWO SPADES TWO,0.4938,0.0284,0.4778
CLUBS TWO SPADES THREE,0.6826,0.0178,0.2996
DIAMONDS THREE DIAMONDS EIGHT,0.6386,0.0134,0.348
SPADES EIGHT CLUBS TWO,0.687,0.0152,0.2978
DIAMONDS THREE DIAMONDS NINE,0.6504,0.0148,0.3348
SPADES NINE CLUBS TWO,0.6948,0.0168,0.2884
DIAMONDS THREE DIAMONDS SIX,0.615,0.0164,0.3686
CLUBS TWO SPADES SIX,0.6694,0.0144,0.3162
DIAMONDS THREE DIAMONDS SEVEN,0.6216,0.0112,0.3672
SPADES SEVEN CLUBS TWO,0.6854,0.0154,0.2992
CLUBS SIX CLUBS TWO,0.6268,0.013,0.3602
CLUBS SEVEN CLUBS TWO,0.652,0.0134,0.3346
CLUBS FOUR CLUBS TWO,0.6164,0.0214,0.3622
CLUBS FIVE CLUBS TWO,0.621,0.0176,0.3614
DIAMONDS FOUR DIAMONDS SIX,0.5888,0.0166,0.3946
DIAMONDS FOUR DIAMONDS SEVEN,0.6214,0.0114,0.3672
CLUBS EIGHT CLUBS TWO,0.6578,0.0136,0.3286
DIAMONDS FIVE DIAMONDS FOUR,0.5764,0.0116,0.412
CLUBS NINE CLUBS TWO,0.6662,0.015,0.3188
DIAMONDS NINE DIAMONDS FOUR,0.6346,0.0146,0.3508
DIAMONDS EIGHT DIAMONDS FOUR,0.6238,0.0122,0.364
CLUBS TWO CLUBS THREE,0.6358,0.0164,0.3478
DIAMONDS NINE DIAMONDS FIVE,0.6302,0.0146,0.3552
DIAMONDS TWO CLUBS JACK,0.6468,0.1296,0.2236
DIAMONDS EIGHT DIAMONDS FIVE,0.6068,0.0128,0.3804
DIAMONDS FIVE DIAMONDS SEVEN,0.5942,0.015,0.3908
DIAMONDS FIVE DIAMONDS SIX,0.5956,0.0136,0.3908
DIAMONDS TWO CLUBS ACE,0.4516,0.0054,0.543
DIAMONDS TWO CLUBS KING,0.4482,0.0058,0.546
DIAMONDS TWO CLUBS QUEEN,0.4484,0.0118,0.5398
DIAMONDS EIGHT DIAMONDS SIX,0.6086,0.0118,0.3796
DIAMONDS NINE DIAMONDS SIX,0.6248,0.0154,0.3598
HEARTS ACE SPADES THREE,0.4312,0.0034,0.5654
HEARTS KING SPADES THREE,0.455,0.0088,0.5362
DIAMONDS SEVEN DIAMONDS SIX,0.5934,0.01,0.3966
SPADES THREE HEARTS QUEEN,0.458,0.0082,0.5338
SPADES THREE HEARTS JACK,0.6526,0.1258,0.2216
SPADES THREE HEARTS TEN,0.7294,0.0572,0.2134
DIAMONDS EIGHT DIAMONDS SEVEN,0.5914,0.0118,0.3968
DIAMONDS NINE DIAMONDS SEVEN,0.6164,0.0104,0.3732
DIAMONDS NINE DIAMONDS EIGHT,0.6076,0.0122,0.3802
DIAMONDS KING HEARTS TEN,0.2712,0.0262,0.7026
HEARTS THREE HEARTS TEN,0.6668,0.053,0.2802
DIAMONDS KING HEARTS JACK,0.263,0.0228,0.7142
HEARTS THREE HEARTS JACK,0.6074,0.1178,0.2748
CLUBS SIX SPADES TEN,0.7402,0.052,0.2078
SPADES TEN SPADES FIVE,0.673,0.058,0.269
DIAMONDS KING HEARTS ACE,0.3672,0.0034,0.6294
HEARTS THREE HEARTS ACE,0.4102,0.0054,0.5844
SPADES ACE CLUBS SIX,0.4624,0.0052,0.5324
DIAMONDS KING HEARTS QUEEN,0.3428,0.0066,0.6506
HEARTS THREE HEARTS QUEEN,0.44,0.0086,0.5514
SPADES KING CLUBS SIX,0.455,0.0078,0.5372
DIAMONDS KING HEARTS KING,0.1852,0.0068,0.808
HEARTS THREE HEARTS KING,0.4306,0.0068,0.5626
SPADES QUEEN CLUBS SIX,0.457,0.0104,0.5326
SPADES NINE HEARTS TEN,0.717,0.0496,0.2334
SPADES NINE HEARTS JACK,0.6502,0.1216,0.2282
SPADES QUEEN SPADES FIVE,0.433,0.009,0.558
SPADES KING SPADES FIVE,0.442,0.0058,0.5522
SPADES ACE SPADES FIVE,0.424,0.0046,0.5714
SPADES NINE HEARTS QUEEN,0.4098,0.0126,0.5776
SPADES NINE HEARTS KING,0.4328,0.0084,0.5588
SPADES NINE HEARTS ACE,0.4516,0.004,0.5444
SPADES FIVE HEARTS QUEEN,0.4484,0.0074,0.5442
SPADES FIVE HEARTS KING,0.4524,0.0066,0.541
SPADES FIVE HEARTS ACE,0.4406,0.0038,0.5556
CLUBS EIGHT SPADES TEN,0.7164,0.0524,0.2312
HEARTS THREE SPADES TEN,0.7112,0.0656,0.2232
SPADES TEN DIAMONDS KING,0.2716,0.0282,0.7002
SPADES ACE CLUBS EIGHT,0.4188,0.0052,0.576
HEARTS FIVE CLUBS JACK,0.6396,0.121,0.2394
CLUBS SIX HEARTS ACE,0.4698,0.0046,0.5256
CLUBS EIGHT SPADES QUEEN,0.4128,0.0116,0.5756
CLUBS SIX HEARTS QUEEN,0.4658,0.0088,0.5254
CLUBS EIGHT SPADES KING,0.441,0.0076,0.5514
SPADES THREE CLUBS JACK,0.6522,0.1386,0.2092
CLUBS SIX HEARTS KING,0.4604,0.0066,0.533
DIAMONDS TWO HEARTS JACK,0.6518,0.1218,0.2264
SPADES THREE CLUBS QUEEN,0.449,0.0108,0.5402
DIAMONDS TWO HEARTS TEN,0.7092,0.0628,0.228
SPADES THREE CLUBS KING,0.4514,0.0078,0.5408
HEARTS FIVE CLUBS ACE,0.4374,0.0046,0.558
SPADES FIVE HEARTS TEN,0.7206,0.0562,0.2232
SPADES THREE CLUBS ACE,0.46,0.005,0.535
HEARTS FIVE CLUBS KING,0.445,0.0084,0.5466
SPADES FIVE HEARTS JACK,0.6606,0.1214,0.218
HEARTS FIVE CLUBS QUEEN,0.4424,0.0108,0.5468
HEARTS THREE CLUBS KING,0.4498,0.0074,0.5428
DIAMONDS KING CLUBS KING,0.1712,0.0088,0.82
HEARTS THREE CLUBS QUEEN,0.4358,0.0108,0.5534
DIAMONDS KING CLUBS QUEEN,0.3476,0.006,0.6464
HEARTS FIVE HEARTS JACK,0.6006,0.1142,0.2852
HEARTS FIVE HEARTS TEN,0.6704,0.057,0.2726
HEARTS THREE CLUBS ACE,0.4312,0.0046,0.5642
DIAMONDS KING CLUBS ACE,0.36,0.0056,0.6344
SPADES ACE CLUBS QUEEN,0.3728,0.004,0.6232
SPADES KING CLUBS QUEEN,0.3516,0.0088,0.6396
HEARTS THREE CLUBS JACK,0.655,0.1202,0.2248
DIAMONDS KING CLUBS JACK,0.257,0.0276,0.7154
SPADES QUEEN CLUBS QUEEN,0.1538,0.0082,0.838
CLUBS SIX CLUBS QUEEN,0.4256,0.011,0.5634
SPADES TEN CLUBS QUEEN,0.2564,0.0392,0.7044
CLUBS SIX CLUBS KING,0.4336,0.0072,0.5592
CLUBS SIX CLUBS ACE,0.4378,0.0054,0.5568
HEARTS FIVE HEARTS KING,0.4342,0.0064,0.5594
HEARTS FIVE HEARTS QUEEN,0.4266,0.0098,0.5636
HEARTS FIVE HEARTS ACE,0.4128,0.0034,0.5838
CLUBS SIX CLUBS JACK,0.6382,0.1064,0.2554
SPADES SEVEN HEARTS JACK,0.6474,0.1244,0.2282
SPADES SEVEN HEARTS TEN,0.7072,0.0522,0.2406
DIAMONDS TWO CLUBS TWO,0.4772,0.0274,0.4954
DIAMONDS TWO CLUBS THREE,0.662,0.014,0.324
HEARTS SIX DIAMONDS TWO,0.6626,0.0118,0.3256
DIAMONDS TWO HEARTS QUEEN,0.4484,0.0076,0.544
DIAMONDS TWO HEARTS SEVEN,0.6678,0.0154,0.3168
DIAMONDS TWO HEARTS KING,0.4662,0.0054,0.5284
