opposingHand,winningChance,drawChance,lostChance
CLUBS THREE DIAMONDS JACK
SPADES NINE HEARTS TEN,0.5392,0.0122,0.4486
SPADES KING SPADES SIX,0.337,0.0072,0.6558
SPADES EIGHT DIAMONDS EIGHT,0.2878,0.0358,0.6764
DIAMONDS TWO HEARTS EIGHT,0.6292,0.0192,0.3516
HEARTS EIGHT DIAMONDS FOUR,0.5926,0.0166,0.3908
DIAMONDS NINE DIAMONDS EIGHT,0.5128,0.0176,0.4696
HEARTS QUEEN CLUBS QUEEN,0.1362,0.0122,0.8516
HEARTS SEVEN HEARTS EIGHT,0.4942,0.0196,0.4862
CLUBS KING HEARTS NINE,0.3434,0.0068,0.6498
SPADES EIGHT DIAMONDS ACE,0.3444,0.003,0.6526
HEARTS FOUR CLUBS TWO,0.6034,0.0238,0.3728
DIAMONDS QUEEN DIAMONDS TEN,0.3182,0.0122,0.6696
CLUBS TEN CLUBS SIX,0.5496,0.0172,0.4332
CLUBS EIGHT CLUBS FOUR,0.566,0.0176,0.4164
HEARTS SEVEN SPADES JACK,0.2228,0.2932,0.484
SPADES ACE DIAMONDS FOUR,0.3576,0.0052,0.6372
HEARTS NINE DIAMONDS FOUR,0.587,0.0216,0.3914
CLUBS JACK HEARTS FOUR,0.2092,0.5216,0.2692
SPADES KING SPADES TEN,0.3148,0.0056,0.6796
SPADES KING SPADES SEVEN,0.3458,0.006,0.6482
SPADES SIX SPADES THREE,0.632,0.0506,0.3174
DIAMONDS ACE HEARTS ACE,0.12,0.0044,0.8756
DIAMONDS ACE DIAMONDS NINE,0.336,0.0042,0.6598
SPADES JACK CLUBS SEVEN,0.2222,0.2856,0.4922
SPADES TWO DIAMONDS SEVEN,0.6408,0.0194,0.3398
CLUBS SIX SPADES FIVE,0.5598,0.0212,0.419
DIAMONDS ACE SPADES TWO,0.3696,0.0062,0.6242
SPADES JACK HEARTS TWO,0.261,0.5148,0.2242
SPADES SEVEN HEARTS JACK,0.2324,0.2856,0.482
DIAMONDS KING CLUBS TWO,0.3832,0.0082,0.6086
HEARTS SEVEN HEARTS FIVE,0.5158,0.0178,0.4664
CLUBS FIVE HEARTS NINE,0.5792,0.0202,0.4006
HEARTS SIX SPADES TWO,0.608,0.023,0.369
SPADES KING DIAMONDS QUEEN,0.3132,0.0084,0.6784
CLUBS SIX DIAMONDS SIX,0.3086,0.0474,0.644
HEARTS FIVE DIAMONDS ACE,0.3412,0.0038,0.655
CLUBS JACK SPADES EIGHT,0.2276,0.215,0.5574
DIAMONDS SEVEN CLUBS QUEEN,0.3632,0.0122,0.6246
DIAMONDS SEVEN DIAMONDS SIX,0.5318,0.018,0.4502
SPADES TEN CLUBS KING,0.3256,0.0078,0.6666
HEARTS ACE DIAMONDS SIX,0.3734,0.004,0.6226
CLUBS FIVE HEARTS KING,0.342,0.0096,0.6484
SPADES KING HEARTS EIGHT,0.3506,0.0054,0.644
SPADES EIGHT CLUBS TWO,0.6258,0.0222,0.352
HEARTS ACE DIAMONDS TEN,0.3442,0.0032,0.6526
SPADES EIGHT HEARTS ACE,0.3564,0.003,0.6406
HEARTS FOUR HEARTS EIGHT,0.545,0.0162,0.4388
CLUBS KING CLUBS QUEEN,0.291,0.0072,0.7018
HEARTS SIX SPADES NINE,0.569,0.015,0.416
SPADES EIGHT HEARTS JACK,0.2184,0.226,0.5556
HEARTS ACE HEARTS QUEEN,0.2882,0.0074,0.7044
CLUBS JACK HEARTS THREE,0.0144,0.9704,0.0152
CLUBS NINE CLUBS FIVE,0.5574,0.0192,0.4234
DIAMONDS TWO CLUBS ACE,0.379,0.0046,0.6164
SPADES JACK DIAMONDS EIGHT,0.2204,0.2216,0.558
DIAMONDS SIX HEARTS NINE,0.5668,0.0178,0.4154
HEARTS SIX DIAMONDS FIVE,0.5618,0.0216,0.4166
CLUBS EIGHT SPADES FIVE,0.5526,0.0216,0.4258
SPADES ACE SPADES THREE,0.2232,0.0218,0.755
HEARTS SIX CLUBS SIX,0.3096,0.0432,0.6472
SPADES QUEEN DIAMONDS FOUR,0.351,0.0124,0.6366
SPADES NINE CLUBS KING,0.3528,0.0058,0.6414
CLUBS TEN DIAMONDS NINE,0.538,0.0158,0.4462
DIAMONDS EIGHT DIAMONDS SIX,0.5318,0.0156,0.4526
SPADES ACE CLUBS EIGHT,0.3566,0.0046,0.6388
SPADES SEVEN CLUBS KING,0.3588,0.0082,0.633
DIAMONDS NINE DIAMONDS SEVEN,0.5274,0.0186,0.454
CLUBS JACK HEARTS ACE,0.231,0.0214,0.7476
DIAMONDS THREE CLUBS FOUR,0.6668,0.066,0.2672
SPADES JACK DIAMONDS TEN,0.2258,0.1288,0.6454
DIAMONDS THREE HEARTS NINE,0.7074,0.0634,0.2292
DIAMONDS FIVE HEARTS EIGHT,0.5676,0.0174,0.415
CLUBS SEVEN CLUBS FIVE,0.5314,0.018,0.4506
DIAMONDS ACE SPADES SIX,0.3554,0.005,0.6396
CLUBS SIX SPADES FOUR,0.558,0.0204,0.4216
HEARTS FOUR SPADES TWO,0.5986,0.0214,0.38
CLUBS TEN DIAMONDS EIGHT,0.543,0.0166,0.4404
DIAMONDS NINE HEARTS EIGHT,0.5374,0.0162,0.4464
SPADES QUEEN SPADES NINE,0.3154,0.011,0.6736
SPADES THREE SPADES TWO,0.63,0.0532,0.3168
HEARTS FOUR HEARTS TEN,0.5518,0.0176,0.4306
SPADES KING HEARTS NINE,0.3456,0.0092,0.6452
CLUBS TWO DIAMONDS SIX,0.6212,0.027,0.3518
SPADES NINE DIAMONDS KING,0.35,0.009,0.641
CLUBS TEN SPADES TWO,0.6214,0.0188,0.3598
CLUBS EIGHT SPADES NINE,0.5368,0.0182,0.445
HEARTS SIX HEARTS JACK,0.211,0.3608,0.4282
CLUBS NINE SPADES SIX,0.579,0.018,0.403
DIAMONDS KING DIAMONDS SIX,0.3434,0.0116,0.645
CLUBS TWO CLUBS KING,0.368,0.0088,0.6232
SPADES KING DIAMONDS TWO,0.3882,0.0078,0.604
CLUBS JACK CLUBS FOUR,0.2068,0.4916,0.3016
HEARTS TEN DIAMONDS FOUR,0.59,0.0198,0.3902
DIAMONDS TWO CLUBS TWO,0.412,0.0562,0.5318
HEARTS FOUR CLUBS KING,0.3562,0.01,0.6338
CLUBS TEN HEARTS KING,0.3196,0.0054,0.675
HEARTS TWO CLUBS TWO,0.4114,0.0552,0.5334
SPADES QUEEN SPADES EIGHT,0.322,0.0088,0.6692
DIAMONDS THREE SPADES EIGHT,0.7092,0.0452,0.2456
CLUBS SIX CLUBS ACE,0.3426,0.0038,0.6536
SPADES ACE HEARTS JACK,0.2202,0.0208,0.759
SPADES JACK DIAMONDS KING,0.219,0.033,0.748
HEARTS THREE DIAMONDS SEVEN,0.6938,0.0458,0.2604
CLUBS JACK CLUBS QUEEN,0.2148,0.0446,0.7406
HEARTS FIVE DIAMONDS NINE,0.5948,0.018,0.3872
CLUBS EIGHT HEARTS JACK,0.222,0.22,0.558
HEARTS THREE SPADES TWO,0.6902,0.062,0.2478
SPADES QUEEN SPADES JACK,0.2024,0.0444,0.7532
CLUBS EIGHT HEARTS KING,0.3588,0.0074,0.6338
CLUBS EIGHT DIAMONDS ACE,0.3536,0.0048,0.6416
SPADES QUEEN SPADES TWO,0.359,0.0116,0.6294
HEARTS FOUR DIAMONDS ACE,0.3456,0.0044,0.65
CLUBS FOUR HEARTS EIGHT,0.5768,0.0206,0.4026
HEARTS TWO SPADES TWO,0.4114,0.0564,0.5322
HEARTS TWO HEARTS NINE,0.5832,0.0196,0.3972
CLUBS SEVEN CLUBS ACE,0.322,0.0068,0.6712
CLUBS JACK HEARTS JACK,0.08,0.035,0.885
SPADES NINE DIAMONDS QUEEN,0.3416,0.0112,0.6472
SPADES FOUR CLUBS QUEEN,0.3468,0.011,0.6422
DIAMONDS TWO HEARTS FOUR,0.6054,0.022,0.3726
DIAMONDS THREE CLUBS EIGHT,0.715,0.0562,0.2288
DIAMONDS QUEEN HEARTS KING,0.321,0.0072,0.6718
CLUBS JACK HEARTS TEN,0.2156,0.127,0.6574
DIAMONDS ACE SPADES FIVE,0.3402,0.0056,0.6542
SPADES FOUR CLUBS KING,0.3436,0.0116,0.6448
DIAMONDS ACE HEARTS TEN,0.3394,0.0048,0.6558
CLUBS TEN CLUBS ACE,0.3236,0.006,0.6704
SPADES EIGHT DIAMONDS FIVE,0.5576,0.0192,0.4232
HEARTS FOUR CLUBS SIX,0.5704,0.0234,0.4062
SPADES ACE HEARTS SIX,0.3626,0.0052,0.6322
CLUBS NINE HEARTS FOUR,0.6006,0.017,0.3824
CLUBS TEN DIAMONDS FOUR,0.6052,0.017,0.3778
SPADES FIVE DIAMONDS EIGHT,0.5736,0.023,0.4034
CLUBS FOUR DIAMONDS QUEEN,0.342,0.016,0.642
SPADES THREE HEARTS EIGHT,0.7022,0.0544,0.2434
SPADES KING CLUBS EIGHT,0.3624,0.0058,0.6318
CLUBS JACK DIAMONDS EIGHT,0.2154,0.2446,0.54
CLUBS TEN DIAMONDS SEVEN,0.553,0.0198,0.4272
CLUBS NINE DIAMONDS KING,0.3318,0.0086,0.6596
DIAMONDS EIGHT HEARTS TEN,0.549,0.0172,0.4338
CLUBS EIGHT CLUBS SEVEN,0.513,0.0172,0.4698
SPADES THREE HEARTS TEN,0.7114,0.054,0.2346
SPADES EIGHT SPADES TWO,0.5702,0.018,0.4118
HEARTS FIVE CLUBS SEVEN,0.562,0.022,0.416
SPADES KING DIAMONDS KING,0.132,0.0078,0.8602
DIAMONDS THREE HEARTS TWO,0.694,0.0618,0.2442
SPADES KING HEARTS THREE,0.2506,0.0308,0.7186
HEARTS KING DIAMONDS FIVE,0.3504,0.01,0.6396
HEARTS FIVE DIAMONDS EIGHT,0.565,0.0226,0.4124
DIAMONDS TWO CLUBS NINE,0.62,0.023,0.357
SPADES TEN HEARTS QUEEN,0.3328,0.01,0.6572
SPADES SIX DIAMONDS NINE,0.5758,0.0184,0.4058
SPADES TEN CLUBS QUEEN,0.3284,0.0072,0.6644
SPADES TEN HEARTS ACE,0.3504,0.0024,0.6472
CLUBS TEN SPADES EIGHT,0.5388,0.0164,0.4448
DIAMONDS TWO SPADES THREE,0.6862,0.0602,0.2536
SPADES JACK CLUBS TWO,0.2654,0.5246,0.21
SPADES JACK HEARTS FOUR,0.2312,0.5098,0.259
HEARTS KING CLUBS QUEEN,0.2994,0.0098,0.6908
SPADES KING SPADES QUEEN,0.2974,0.0058,0.6968
HEARTS SIX DIAMONDS FOUR,0.5804,0.023,0.3966
CLUBS SEVEN SPADES FOUR,0.586,0.0222,0.3918
CLUBS KING DIAMONDS FOUR,0.3392,0.0094,0.6514
CLUBS TEN SPADES SIX,0.568,0.0186,0.4134
DIAMONDS QUEEN SPADES FOUR,0.3456,0.011,0.6434
SPADES FIVE HEARTS NINE,0.5658,0.0188,0.4154
HEARTS JACK DIAMONDS FOUR,0.2216,0.5232,0.2552
HEARTS THREE CLUBS FIVE,0.6582,0.0556,0.2862
SPADES NINE SPADES TWO,0.585,0.021,0.394
CLUBS SEVEN HEARTS NINE,0.5412,0.0196,0.4392
SPADES JACK DIAMONDS NINE,0.2296,0.1672,0.6032
SPADES EIGHT DIAMONDS QUEEN,0.3396,0.0118,0.6486
HEARTS THREE DIAMONDS TEN,0.7158,0.0538,0.2304
SPADES TEN SPADES FIVE,0.555,0.018,0.427
DIAMONDS TEN CLUBS KING,0.3338,0.0062,0.66
CLUBS FIVE DIAMONDS FIVE,0.309,0.0516,0.6394
SPADES TEN DIAMONDS SEVEN,0.5664,0.019,0.4146
HEARTS SIX HEARTS TWO,0.5816,0.016,0.4024
CLUBS JACK SPADES TEN,0.2158,0.1286,0.6556
HEARTS FOUR DIAMONDS SEVEN,0.5688,0.0244,0.4068
SPADES FIVE DIAMONDS FOUR,0.5698,0.02,0.4102
DIAMONDS THREE CLUBS FIVE,0.6698,0.0564,0.2738
DIAMONDS THREE DIAMONDS SEVEN,0.6714,0.0502,0.2784
CLUBS NINE CLUBS EIGHT,0.515,0.019,0.466
