opposingHand,winningChance,drawChance,lostChance
CLUBS TWO DIAMONDS QUEEN
HEARTS FIVE SPADES TEN,0.584,0.01,0.406
HEARTS FIVE SPADES JACK,0.596,0.0128,0.3912
CLUBS JACK SPADES FIVE,0.581,0.0106,0.4084
CLUBS TEN SPADES FIVE,0.5836,0.0128,0.4036
CLUBS JACK CLUBS EIGHT,0.534,0.0134,0.4526
CLUBS TEN CLUBS EIGHT,0.5352,0.0112,0.4536
CLUBS EIGHT CLUBS KING,0.3436,0.0064,0.65
SPADES FIVE CLUBS ACE,0.3518,0.0052,0.643
CLUBS EIGHT CLUBS QUEEN,0.2214,0.2168,0.5618
SPADES FIVE CLUBS KING,0.3486,0.0066,0.6448
SPADES FIVE CLUBS QUEEN,0.2108,0.456,0.3332
CLUBS EIGHT CLUBS ACE,0.3276,0.0056,0.6668
DIAMONDS TWO DIAMONDS THREE,0.667,0.0342,0.2988
DIAMONDS TWO DIAMONDS FIVE,0.669,0.04,0.291
HEARTS FIVE SPADES KING,0.3502,0.0048,0.645
DIAMONDS TWO DIAMONDS FOUR,0.6588,0.041,0.3002
HEARTS FIVE SPADES QUEEN,0.2188,0.454,0.3272
DIAMONDS TWO DIAMONDS SEVEN,0.6976,0.0302,0.2722
DIAMONDS TWO DIAMONDS SIX,0.6826,0.0336,0.2838
SPADES ACE HEARTS FIVE,0.3468,0.0046,0.6486
DIAMONDS TWO DIAMONDS NINE,0.6954,0.0378,0.2668
DIAMONDS TWO DIAMONDS EIGHT,0.686,0.0426,0.2714
DIAMONDS THREE DIAMONDS FOUR,0.5442,0.0174,0.4384
DIAMONDS THREE DIAMONDS FIVE,0.5556,0.0134,0.431
DIAMONDS THREE DIAMONDS EIGHT,0.5796,0.0142,0.4062
DIAMONDS THREE DIAMONDS NINE,0.5602,0.011,0.4288
DIAMONDS THREE DIAMONDS SIX,0.5652,0.0144,0.4204
DIAMONDS THREE DIAMONDS SEVEN,0.557,0.0128,0.4302
CLUBS TEN CLUBS JACK,0.4972,0.0112,0.4916
DIAMONDS FOUR DIAMONDS SIX,0.5428,0.0168,0.4404
CLUBS TEN CLUBS QUEEN,0.2082,0.1148,0.677
DIAMONDS FOUR DIAMONDS SEVEN,0.5506,0.0118,0.4376
CLUBS TEN CLUBS KING,0.3082,0.009,0.6828
CLUBS TEN CLUBS ACE,0.325,0.0032,0.6718
DIAMONDS FIVE DIAMONDS FOUR,0.5398,0.0134,0.4468
DIAMONDS NINE DIAMONDS FOUR,0.5574,0.0138,0.4288
DIAMONDS EIGHT DIAMONDS FOUR,0.5518,0.0136,0.4346
DIAMONDS NINE DIAMONDS FIVE,0.5616,0.0132,0.4252
CLUBS JACK DIAMONDS TWO,0.7278,0.0416,0.2306
DIAMONDS EIGHT DIAMONDS FIVE,0.5464,0.0128,0.4408
CLUBS TEN DIAMONDS TWO,0.7186,0.0424,0.239
DIAMONDS FIVE DIAMONDS SEVEN,0.5246,0.0134,0.462
DIAMONDS FIVE DIAMONDS SIX,0.5222,0.016,0.4618
DIAMONDS TWO CLUBS ACE,0.229,0.0182,0.7528
DIAMONDS TWO CLUBS KING,0.2296,0.0314,0.739
DIAMONDS TWO CLUBS QUEEN,0.0056,0.9884,0.006
DIAMONDS EIGHT DIAMONDS SIX,0.526,0.0166,0.4574
DIAMONDS NINE DIAMONDS SIX,0.549,0.0134,0.4376
HEARTS ACE SPADES THREE,0.3488,0.0058,0.6454
SPADES THREE HEARTS KING,0.3578,0.0098,0.6324
DIAMONDS SEVEN DIAMONDS SIX,0.5344,0.0122,0.4534
HEARTS QUEEN SPADES THREE,0.2196,0.5092,0.2712
SPADES THREE HEARTS JACK,0.5952,0.013,0.3918
SPADES THREE HEARTS TEN,0.5922,0.0128,0.395
DIAMONDS EIGHT DIAMONDS SEVEN,0.5158,0.015,0.4692
DIAMONDS NINE DIAMONDS SEVEN,0.5204,0.0142,0.4654
DIAMONDS NINE DIAMONDS EIGHT,0.5116,0.0102,0.4782
DIAMONDS KING HEARTS TEN,0.3352,0.0076,0.6572
HEARTS THREE HEARTS TEN,0.5646,0.01,0.4254
SPADES JACK CLUBS SIX,0.586,0.0104,0.4036
DIAMONDS KING HEARTS JACK,0.3368,0.0068,0.6564
HEARTS THREE HEARTS JACK,0.563,0.0122,0.4248
SPADES TEN CLUBS SIX,0.5802,0.0116,0.4082
SPADES JACK SPADES FIVE,0.5508,0.0104,0.4388
SPADES TEN SPADES FIVE,0.5432,0.01,0.4468
DIAMONDS KING HEARTS ACE,0.3102,0.0064,0.6834
HEARTS THREE HEARTS ACE,0.3212,0.0054,0.6734
SPADES ACE CLUBS SIX,0.3596,0.005,0.6354
DIAMONDS KING HEARTS QUEEN,0.2166,0.0272,0.7562
HEARTS THREE HEARTS QUEEN,0.1944,0.5016,0.304
SPADES KING CLUBS SIX,0.3504,0.0058,0.6438
DIAMONDS KING HEARTS KING,0.1178,0.005,0.8772
HEARTS THREE HEARTS KING,0.325,0.011,0.664
SPADES QUEEN CLUBS SIX,0.2246,0.378,0.3974
SPADES NINE HEARTS TEN,0.5418,0.009,0.4492
SPADES NINE HEARTS JACK,0.5564,0.01,0.4336
SPADES QUEEN SPADES FIVE,0.209,0.433,0.358
SPADES KING SPADES FIVE,0.3418,0.0084,0.6498
SPADES ACE SPADES FIVE,0.3268,0.0062,0.667
SPADES NINE HEARTS QUEEN,0.2302,0.1626,0.6072
SPADES NINE HEARTS KING,0.3488,0.0066,0.6446
SPADES NINE HEARTS ACE,0.361,0.004,0.635
CLUBS TEN SPADES JACK,0.5248,0.0092,0.466
CLUBS TEN SPADES TEN,0.2732,0.0144,0.7124
SPADES ACE CLUBS TEN,0.3368,0.0048,0.6584
CLUBS TEN SPADES KING,0.3424,0.0074,0.6502
CLUBS TEN SPADES QUEEN,0.2256,0.1222,0.6522
SPADES FIVE HEARTS QUEEN,0.2206,0.456,0.3234
SPADES FIVE HEARTS KING,0.3596,0.0086,0.6318
HEARTS ACE SPADES FIVE,0.3492,0.0058,0.645
CLUBS EIGHT SPADES TEN,0.5466,0.011,0.4424
SPADES JACK HEARTS THREE,0.5948,0.0098,0.3954
SPADES JACK DIAMONDS KING,0.345,0.0062,0.6488
SPADES TEN DIAMONDS KING,0.3372,0.0062,0.6566
SPADES TEN HEARTS THREE,0.5964,0.0106,0.393
CLUBS EIGHT SPADES JACK,0.5638,0.0122,0.424
CLUBS SIX HEARTS ACE,0.3582,0.0036,0.6382
SPADES ACE CLUBS EIGHT,0.3468,0.0046,0.6486
HEARTS FIVE CLUBS JACK,0.5822,0.0116,0.4062
CLUBS TEN HEARTS FIVE,0.5944,0.012,0.3936
CLUBS SIX HEARTS QUEEN,0.2222,0.3792,0.3986
SPADES QUEEN CLUBS EIGHT,0.221,0.2288,0.5502
CLUBS TEN SPADES THREE,0.5954,0.0136,0.391
CLUBS SIX HEARTS KING,0.3548,0.0076,0.6376
SPADES KING CLUBS EIGHT,0.3546,0.0094,0.636
CLUBS JACK SPADES THREE,0.5996,0.0126,0.3878
DIAMONDS TWO HEARTS JACK,0.7222,0.0426,0.2352
SPADES THREE CLUBS QUEEN,0.2226,0.5134,0.264
DIAMONDS TWO HEARTS TEN,0.7282,0.04,0.2318
SPADES THREE CLUBS KING,0.3514,0.0096,0.639
HEARTS FIVE CLUBS ACE,0.3454,0.0062,0.6484
SPADES FIVE HEARTS TEN,0.5904,0.0106,0.399
SPADES THREE CLUBS ACE,0.3438,0.0048,0.6514
HEARTS FIVE CLUBS KING,0.3626,0.0078,0.6296
SPADES FIVE HEARTS JACK,0.5828,0.0104,0.4068
HEARTS FIVE CLUBS QUEEN,0.208,0.4706,0.3214
HEARTS THREE CLUBS KING,0.3434,0.0068,0.6498
DIAMONDS KING CLUBS KING,0.1184,0.0052,0.8764
HEARTS THREE CLUBS QUEEN,0.2214,0.5218,0.2568
DIAMONDS KING CLUBS QUEEN,0.206,0.0286,0.7654
HEARTS FIVE HEARTS JACK,0.551,0.0132,0.4358
HEARTS FIVE HEARTS TEN,0.5628,0.0164,0.4208
HEARTS THREE CLUBS ACE,0.3314,0.0038,0.6648
DIAMONDS KING CLUBS ACE,0.3144,0.0046,0.681
SPADES ACE CLUBS QUEEN,0.2154,0.0202,0.7644
SPADES KING CLUBS QUEEN,0.2172,0.027,0.7558
CLUBS JACK HEARTS THREE,0.5928,0.0158,0.3914
CLUBS JACK DIAMONDS KING,0.3154,0.0092,0.6754
SPADES QUEEN CLUBS QUEEN,0.065,0.0272,0.9078
CLUBS TEN HEARTS THREE,0.5962,0.0134,0.3904
CLUBS TEN DIAMONDS KING,0.3286,0.0078,0.6636
SPADES JACK CLUBS QUEEN,0.2208,0.0866,0.6926
CLUBS SIX CLUBS QUEEN,0.2006,0.3716,0.4278
SPADES TEN CLUBS QUEEN,0.2224,0.116,0.6616
CLUBS SIX CLUBS KING,0.3386,0.008,0.6534
CLUBS SIX CLUBS ACE,0.3514,0.005,0.6436
HEARTS FIVE HEARTS KING,0.3316,0.0062,0.6622
HEARTS FIVE HEARTS QUEEN,0.2068,0.435,0.3582
CLUBS TEN CLUBS SIX,0.5426,0.0144,0.443
HEARTS FIVE HEARTS ACE,0.3288,0.0046,0.6666
CLUBS JACK CLUBS SIX,0.556,0.011,0.433
SPADES SEVEN HEARTS JACK,0.5744,0.0114,0.4142
SPADES SEVEN HEARTS TEN,0.5592,0.0094,0.4314
DIAMONDS TWO CLUBS THREE,0.7042,0.0402,0.2556
DIAMONDS TWO HEARTS SIX,0.7166,0.038,0.2454
DIAMONDS TWO HEARTS QUEEN,0.0176,0.9734,0.009
HEARTS SEVEN DIAMONDS TWO,0.7306,0.0346,0.2348
DIAMONDS TWO HEARTS KING,0.2386,0.0276,0.7338
DIAMONDS TWO HEARTS EIGHT,0.74,0.035,0.225
DIAMONDS TWO HEARTS ACE,0.2316,0.0172,0.7512
DIAMONDS TWO HEARTS NINE,0.7186,0.0424,0.239
DIAMONDS TWO HEARTS TWO,0.2966,0.025,0.6784
DIAMONDS TWO DIAMONDS KING,0.22,0.0298,0.7502
DIAMONDS TWO HEARTS THREE,0.7166,0.0364,0.247
DIAMONDS TWO DIAMONDS ACE,0.217,0.016,0.767
HEARTS FOUR DIAMONDS TWO,0.6948,0.0422,0.263
HEARTS FIVE DIAMONDS TWO,0.678,0.046,0.276
SPADES SEVEN HEARTS ACE,0.3658,0.0048,0.6294
DIAMONDS TWO DIAMONDS TEN,0.6856,0.0416,0.2728
SPADES SEVEN HEARTS KING,0.3478,0.0084,0.6438
DIAMONDS TWO DIAMONDS JACK,0.692,0.041,0.267
SPADES SEVEN HEARTS QUEEN,0.2206,0.3016,0.4778
DIAMONDS TWO SPADES NINE,0.7174,0.0394,0.2432
DIAMONDS TWO SPADES EIGHT,0.7254,0.0374,0.2372
DIAMONDS TWO SPADES SEVEN,0.7242,0.0314,0.2444
DIAMONDS TWO SPADES SIX,0.7106,0.0352,0.2542
DIAMONDS TWO SPADES FIVE,0.6996,0.0374,0.263
DIAMONDS TWO SPADES FOUR,0.6926,0.0412,0.2662
DIAMONDS TWO SPADES THREE,0.6988,0.0422,0.259
DIAMONDS TWO SPADES TWO,0.3082,0.0288,0.663
DIAMONDS TWO CLUBS NINE,0.7114,0.0378,0.2508
CLUBS EIGHT DIAMONDS TWO,0.7262,0.0408,0.233
DIAMONDS TWO CLUBS SEVEN,0.7388,0.0346,0.2266
DIAMONDS TWO CLUBS SIX,0.7158,0.0332,0.251
DIAMONDS TWO CLUBS FIVE,0.6954,0.04,0.2646
DIAMONDS TWO CLUBS FOUR,0.7028,0.0422,0.255
CLUBS FOUR SPADES FIVE,0.5476,0.0126,0.4398
CLUBS FOUR SPADES FOUR,0.3268,0.0318,0.6414
CLUBS FOUR SPADES THREE,0.5722,0.015,0.4128
CLUBS FOUR SPADES TWO,0.702,0.0396,0.2584
SPADES NINE CLUBS FOUR,0.5904,0.014,0.3956
SPADES EIGHT CLUBS FOUR,0.5778,0.0114,0.4108
CLUBS FOUR SPADES SEVEN,0.5768,0.0144,0.4088
CLUBS FOUR SPADES SIX,0.553,0.0144,0.4326
SPADES ACE DIAMONDS SIX,0.3664,0.006,0.6276
SPADES QUEEN DIAMONDS SIX,0.222,0.3834,0.3946
SPADES KING DIAMONDS SIX,0.3536,0.0078,0.6386
SPADES TEN DIAMONDS SIX,0.5852,0.013,0.4018
SPADES JACK DIAMONDS SIX,0.587,0.0104,0.4026
SPADES QUEEN SPADES TWO,0.0236,0.9116,0.0648
SPADES KING SPADES TWO,0.2306,0.0264,0.743
SPADES ACE SPADES TWO,0.2222,0.0124,0.7654
CLUBS JACK DIAMONDS JACK,0.2778,0.0114,0.7108
CLUBS TEN DIAMONDS JACK,0.5418,0.012,0.4462
DIAMONDS JACK CLUBS KING,0.3364,0.009,0.6546
DIAMONDS JACK CLUBS QUEEN,0.2218,0.0914,0.6868
DIAMONDS THREE DIAMONDS JACK,0.5778,0.012,0.4102
DIAMONDS THREE DIAMONDS TEN,0.5814,0.0122,0.4064
DIAMONDS JACK CLUBS ACE,0.3292,0.0056,0.6652
DIAMONDS THREE DIAMONDS KING,0.3368,0.0114,0.6518
DIAMONDS THREE HEARTS THREE,0.327,0.0352,0.6378
DIAMONDS THREE HEARTS TWO,0.7076,0.0436,0.2488
HEARTS FIVE DIAMONDS THREE,0.5648,0.0128,0.4224
DIAMONDS THREE DIAMONDS ACE,0.3186,0.0046,0.6768
HEARTS FOUR DIAMONDS THREE,0.5756,0.0128,0.4116
HEARTS SEVEN DIAMONDS THREE,0.601,0.0132,0.3858
SPADES TEN SPADES NINE,0.4952,0.0126,0.4922
HEARTS SIX DIAMONDS THREE,0.5758,0.0134,0.4108
SPADES JACK SPADES NINE,0.5028,0.012,0.4852
DIAMONDS THREE HEARTS NINE,0.6042,0.0172,0.3786
HEARTS JACK DIAMONDS FOUR,0.602,0.011,0.387
HEARTS ACE HEARTS KING,0.2904,0.006,0.7036
SPADES TEN SPADES TWO,0.6752,0.0406,0.2842
DIAMONDS THREE HEARTS EIGHT,0.5988,0.0152,0.386
HEARTS TEN DIAMONDS FOUR,0.5974,0.0098,0.3928
SPADES JACK SPADES TWO,0.6862,0.0386,0.2752
HEARTS QUEEN DIAMONDS FOUR,0.2296,0.5042,0.2662
HEARTS KING DIAMONDS FOUR,0.3564,0.0082,0.6354
SPADES ACE SPADES NINE,0.3148,0.0048,0.6804
HEARTS ACE DIAMONDS FOUR,0.355,0.0046,0.6404
SPADES KING SPADES NINE,0.3118,0.0072,0.681
SPADES QUEEN SPADES NINE,0.2212,0.1564,0.6224
DIAMONDS THREE SPADES NINE,0.5992,0.0136,0.3872
DIAMONDS THREE SPADES EIGHT,0.6008,0.0146,0.3846
DIAMONDS THREE SPADES SEVEN,0.6018,0.0158,0.3824
DIAMONDS THREE SPADES SIX,0.5764,0.0122,0.4114
DIAMONDS THREE CLUBS SIX,0.5894,0.0154,0.3952
CLUBS SIX CLUBS FIVE,0.5242,0.016,0.4598
CLUBS ACE DIAMONDS FOUR,0.3388,0.0052,0.656
