opposingHand,winningChance,drawChance,lostChance
CLUBS TWO HEARTS KING
HEARTS FIVE SPADES TEN,0.5852,0.0076,0.4072
SPADES JACK HEARTS FIVE,0.598,0.0072,0.3948
CLUBS JACK SPADES FIVE,0.5972,0.0116,0.3912
CLUBS TEN SPADES FIVE,0.5848,0.0084,0.4068
CLUBS JACK CLUBS EIGHT,0.5434,0.0078,0.4488
CLUBS TEN CLUBS EIGHT,0.5366,0.0084,0.455
CLUBS EIGHT CLUBS KING,0.2158,0.2186,0.5656
SPADES FIVE CLUBS ACE,0.335,0.0052,0.6598
CLUBS EIGHT CLUBS QUEEN,0.546,0.0078,0.4462
SPADES FIVE CLUBS KING,0.2232,0.447,0.3298
SPADES FIVE CLUBS QUEEN,0.5952,0.0074,0.3974
CLUBS EIGHT CLUBS ACE,0.3418,0.005,0.6532
DIAMONDS TWO DIAMONDS THREE,0.6676,0.0248,0.3076
DIAMONDS TWO DIAMONDS FIVE,0.6634,0.0268,0.3098
SPADES KING HEARTS FIVE,0.2112,0.4708,0.318
DIAMONDS TWO DIAMONDS FOUR,0.6614,0.029,0.3096
SPADES QUEEN HEARTS FIVE,0.5968,0.0084,0.3948
DIAMONDS TWO DIAMONDS SEVEN,0.6894,0.0264,0.2842
DIAMONDS TWO DIAMONDS SIX,0.6768,0.0204,0.3028
SPADES ACE HEARTS FIVE,0.3596,0.0042,0.6362
DIAMONDS TWO DIAMONDS NINE,0.6826,0.0258,0.2916
DIAMONDS TWO DIAMONDS EIGHT,0.6852,0.0242,0.2906
DIAMONDS THREE DIAMONDS FOUR,0.547,0.0092,0.4438
DIAMONDS THREE DIAMONDS FIVE,0.538,0.0068,0.4552
DIAMONDS THREE DIAMONDS EIGHT,0.5566,0.006,0.4374
DIAMONDS THREE DIAMONDS NINE,0.559,0.0086,0.4324
DIAMONDS THREE DIAMONDS SIX,0.5396,0.0082,0.4522
DIAMONDS THREE DIAMONDS SEVEN,0.5488,0.011,0.4402
CLUBS TEN CLUBS JACK,0.5066,0.009,0.4844
DIAMONDS FOUR DIAMONDS SIX,0.5366,0.0074,0.456
CLUBS TEN CLUBS QUEEN,0.5204,0.009,0.4706
