opposingHand,winningChance,drawChance,lostChance
DIAMONDS ACE CLUBS ACE
HEARTS FIVE SPADES TEN,0.8612,0.0034,0.1354
HEARTS FIVE SPADES JACK,0.863,0.0034,0.1336
SPADES FIVE CLUBS JACK,0.8608,0.0058,0.1334
CLUBS TEN SPADES FIVE,0.8704,0.0048,0.1248
CLUBS EIGHT CLUBS JACK,0.8114,0.0042,0.1844
CLUBS TEN CLUBS EIGHT,0.7958,0.0044,0.1998
CLUBS EIGHT CLUBS KING,0.8488,0.004,0.1472
CLUBS EIGHT CLUBS QUEEN,0.822,0.0046,0.1734
SPADES FIVE CLUBS KING,0.8826,0.0048,0.1126
SPADES FIVE CLUBS QUEEN,0.867,0.0062,0.1268
DIAMONDS TWO DIAMONDS THREE,0.837,0.0068,0.1562
DIAMONDS TWO DIAMONDS FIVE,0.823,0.0042,0.1728
HEARTS FIVE SPADES KING,0.8774,0.0026,0.12
DIAMONDS TWO DIAMONDS FOUR,0.8312,0.0042,0.1646
HEARTS FIVE SPADES QUEEN,0.8614,0.0028,0.1358
DIAMONDS TWO DIAMONDS SEVEN,0.8452,0.0074,0.1474
DIAMONDS TWO DIAMONDS SIX,0.8336,0.005,0.1614
SPADES ACE HEARTS FIVE,0.9024,0.0136,0.084
DIAMONDS TWO DIAMONDS NINE,0.8508,0.0052,0.144
DIAMONDS TWO DIAMONDS EIGHT,0.843,0.003,0.154
DIAMONDS THREE DIAMONDS FOUR,0.8094,0.0044,0.1862
CLUBS TWO SPADES FOUR,0.8664,0.005,0.1286
DIAMONDS THREE DIAMONDS FIVE,0.8062,0.0042,0.1896
SPADES FIVE CLUBS TWO,0.8638,0.0036,0.1326
CLUBS TWO SPADES TWO,0.8112,0.0068,0.182
CLUBS TWO SPADES THREE,0.8698,0.0044,0.1258
DIAMONDS THREE DIAMONDS EIGHT,0.8488,0.0046,0.1466
SPADES EIGHT CLUBS TWO,0.8814,0.0056,0.113
DIAMONDS THREE DIAMONDS NINE,0.8298,0.0064,0.1638
SPADES NINE CLUBS TWO,0.8766,0.0042,0.1192
DIAMONDS THREE DIAMONDS SIX,0.8274,0.0048,0.1678
SPADES SIX CLUBS TWO,0.8698,0.005,0.1252
DIAMONDS THREE DIAMONDS SEVEN,0.8264,0.0052,0.1684
SPADES SEVEN CLUBS TWO,0.8768,0.004,0.1192
CLUBS SIX CLUBS TWO,0.8302,0.0066,0.1632
CLUBS SEVEN CLUBS TWO,0.8438,0.0052,0.151
CLUBS FOUR CLUBS TWO,0.8292,0.0058,0.165
CLUBS FIVE CLUBS TWO,0.8256,0.0048,0.1696
CLUBS TEN CLUBS JACK,0.7894,0.0042,0.2064
DIAMONDS FOUR DIAMONDS SIX,0.795,0.0078,0.1972
CLUBS TEN CLUBS QUEEN,0.8184,0.0048,0.1768
