opposingHand,winningChance,drawChance,lostChance
DIAMONDS ACE CLUBS FOUR
HEARTS FIVE SPADES TEN,0.6134,0.0048,0.3818
HEARTS FIVE SPADES JACK,0.6106,0.0048,0.3846
CLUBS JACK SPADES FIVE,0.6122,0.0036,0.3842
CLUBS TEN SPADES FIVE,0.6136,0.0052,0.3812
CLUBS JACK CLUBS EIGHT,0.5582,0.005,0.4368
CLUBS TEN CLUBS EIGHT,0.5324,0.0046,0.463
CLUBS EIGHT CLUBS KING,0.5698,0.0068,0.4234
SPADES FIVE CLUBS ACE,0.2094,0.4584,0.3322
CLUBS EIGHT CLUBS QUEEN,0.5654,0.0062,0.4284
SPADES FIVE CLUBS KING,0.6138,0.0056,0.3806
SPADES FIVE CLUBS QUEEN,0.6266,0.0048,0.3686
CLUBS EIGHT CLUBS ACE,0.2344,0.216,0.5496
DIAMONDS TWO DIAMONDS THREE,0.647,0.0052,0.3478
DIAMONDS TWO DIAMONDS FIVE,0.6132,0.0072,0.3796
HEARTS FIVE SPADES KING,0.6086,0.0028,0.3886
DIAMONDS TWO DIAMONDS FOUR,0.6996,0.0298,0.2706
HEARTS FIVE SPADES QUEEN,0.619,0.0046,0.3764
DIAMONDS TWO DIAMONDS SEVEN,0.6272,0.0048,0.368
DIAMONDS TWO DIAMONDS SIX,0.637,0.0058,0.3572
SPADES ACE HEARTS FIVE,0.2272,0.4592,0.3136
DIAMONDS TWO DIAMONDS NINE,0.6196,0.0052,0.3752
DIAMONDS TWO DIAMONDS EIGHT,0.609,0.0068,0.3842
DIAMONDS THREE DIAMONDS FOUR,0.6918,0.0192,0.289
CLUBS TWO SPADES FOUR,0.7444,0.0262,0.2294
DIAMONDS THREE DIAMONDS FIVE,0.5942,0.006,0.3998
SPADES FIVE CLUBS TWO,0.6452,0.006,0.3488
CLUBS TWO SPADES TWO,0.4666,0.0042,0.5292
CLUBS TWO SPADES THREE,0.6586,0.0062,0.3352
DIAMONDS THREE DIAMONDS EIGHT,0.6222,0.0056,0.3722
SPADES EIGHT CLUBS TWO,0.6616,0.0038,0.3346
DIAMONDS THREE DIAMONDS NINE,0.6306,0.0062,0.3632
SPADES NINE CLUBS TWO,0.6606,0.0052,0.3342
DIAMONDS THREE DIAMONDS SIX,0.6134,0.0048,0.3818
SPADES SIX CLUBS TWO,0.6546,0.0034,0.342
DIAMONDS THREE DIAMONDS SEVEN,0.6212,0.0086,0.3702
