opposingHand,winningChance,drawChance,lostChance
DIAMONDS ACE CLUBS KING
HEARTS FIVE SPADES TEN,0.6782,0.0032,0.3186
HEARTS FIVE SPADES JACK,0.6606,0.0048,0.3346
SPADES FIVE CLUBS JACK,0.669,0.0034,0.3276
CLUBS TEN SPADES FIVE,0.6764,0.0038,0.3198
CLUBS EIGHT CLUBS JACK,0.6096,0.0068,0.3836
CLUBS TEN CLUBS EIGHT,0.6134,0.0048,0.3818
SPADES FIVE CLUBS ACE,0.667,0.0518,0.2812
CLUBS EIGHT CLUBS QUEEN,0.647,0.0056,0.3474
SPADES FIVE CLUBS QUEEN,0.6616,0.0038,0.3346
CLUBS EIGHT CLUBS ACE,0.671,0.0434,0.2856
DIAMONDS TWO DIAMONDS THREE,0.619,0.0048,0.3762
DIAMONDS TWO DIAMONDS FIVE,0.6242,0.0068,0.369
HEARTS FIVE SPADES KING,0.7694,0.0098,0.2208
DIAMONDS TWO DIAMONDS FOUR,0.6214,0.0052,0.3734
HEARTS FIVE SPADES QUEEN,0.678,0.0026,0.3194
DIAMONDS TWO DIAMONDS SEVEN,0.656,0.0048,0.3392
DIAMONDS TWO DIAMONDS SIX,0.641,0.006,0.353
SPADES ACE HEARTS FIVE,0.6856,0.05,0.2644
DIAMONDS TWO DIAMONDS NINE,0.6386,0.0036,0.3578
DIAMONDS TWO DIAMONDS EIGHT,0.6442,0.0048,0.351
DIAMONDS THREE DIAMONDS FOUR,0.607,0.0068,0.3862
CLUBS TWO SPADES FOUR,0.6572,0.0062,0.3366
DIAMONDS THREE DIAMONDS FIVE,0.6086,0.006,0.3854
SPADES FIVE CLUBS TWO,0.651,0.0036,0.3454
CLUBS TWO SPADES TWO,0.4682,0.0048,0.527
CLUBS TWO SPADES THREE,0.6582,0.0054,0.3364
DIAMONDS THREE DIAMONDS EIGHT,0.643,0.0052,0.3518
SPADES EIGHT CLUBS TWO,0.6692,0.0062,0.3246
DIAMONDS THREE DIAMONDS NINE,0.6366,0.0046,0.3588
SPADES NINE CLUBS TWO,0.6712,0.0044,0.3244
DIAMONDS THREE DIAMONDS SIX,0.6258,0.0052,0.369
SPADES SIX CLUBS TWO,0.6586,0.0044,0.337
DIAMONDS THREE DIAMONDS SEVEN,0.6314,0.0042,0.3644
SPADES SEVEN CLUBS TWO,0.6778,0.004,0.3182
CLUBS SIX CLUBS TWO,0.6382,0.0054,0.3564
CLUBS SEVEN CLUBS TWO,0.6388,0.0046,0.3566
CLUBS FOUR CLUBS TWO,0.6138,0.0058,0.3804
CLUBS FIVE CLUBS TWO,0.618,0.007,0.375
CLUBS TEN CLUBS JACK,0.598,0.0052,0.3968
DIAMONDS FOUR DIAMONDS SIX,0.6094,0.0056,0.385
CLUBS TEN CLUBS QUEEN,0.6318,0.004,0.3642
