opposingHand,winningChance,drawChance,lostChance
DIAMONDS ACE CLUBS TWO
HEARTS FIVE SPADES TEN,0.5992,0.0042,0.3966
HEARTS FIVE SPADES JACK,0.6072,0.0032,0.3896
CLUBS JACK SPADES FIVE,0.5968,0.0032,0.4
CLUBS TEN SPADES FIVE,0.599,0.0042,0.3968
CLUBS JACK CLUBS EIGHT,0.5384,0.0046,0.457
CLUBS TEN CLUBS EIGHT,0.5426,0.006,0.4514
CLUBS EIGHT CLUBS KING,0.564,0.005,0.431
SPADES FIVE CLUBS ACE,0.2134,0.4544,0.3322
CLUBS EIGHT CLUBS QUEEN,0.5472,0.0052,0.4476
SPADES FIVE CLUBS KING,0.6184,0.004,0.3776
SPADES FIVE CLUBS QUEEN,0.6128,0.0044,0.3828
CLUBS EIGHT CLUBS ACE,0.2402,0.2214,0.5384
DIAMONDS TWO DIAMONDS THREE,0.7204,0.0162,0.2634
DIAMONDS TWO DIAMONDS FIVE,0.6942,0.0168,0.289
HEARTS FIVE SPADES KING,0.6084,0.0052,0.3864
DIAMONDS TWO DIAMONDS FOUR,0.7162,0.0174,0.2664
HEARTS FIVE SPADES QUEEN,0.6084,0.0044,0.3872
DIAMONDS TWO DIAMONDS SEVEN,0.7284,0.0132,0.2584
DIAMONDS TWO DIAMONDS SIX,0.731,0.0114,0.2576
SPADES ACE HEARTS FIVE,0.2224,0.4494,0.3282
DIAMONDS TWO DIAMONDS NINE,0.7122,0.0154,0.2724
DIAMONDS TWO DIAMONDS EIGHT,0.715,0.016,0.269
DIAMONDS THREE DIAMONDS FOUR,0.5728,0.0056,0.4216
DIAMONDS THREE DIAMONDS FIVE,0.5712,0.0052,0.4236
DIAMONDS THREE DIAMONDS EIGHT,0.6046,0.0064,0.389
DIAMONDS THREE DIAMONDS NINE,0.5896,0.0066,0.4038
DIAMONDS THREE DIAMONDS SIX,0.5798,0.005,0.4152
DIAMONDS THREE DIAMONDS SEVEN,0.5662,0.007,0.4268
CLUBS TEN CLUBS JACK,0.5238,0.0062,0.47
DIAMONDS FOUR DIAMONDS SIX,0.5638,0.0054,0.4308
CLUBS TEN CLUBS QUEEN,0.5256,0.0044,0.47
DIAMONDS FOUR DIAMONDS SEVEN,0.5764,0.0052,0.4184
CLUBS TEN CLUBS KING,0.5394,0.0056,0.455
CLUBS TEN CLUBS ACE,0.2282,0.1244,0.6474
DIAMONDS FIVE DIAMONDS FOUR,0.5608,0.0074,0.4318
DIAMONDS NINE DIAMONDS FOUR,0.5908,0.0052,0.404
DIAMONDS EIGHT DIAMONDS FOUR,0.5824,0.0032,0.4144
DIAMONDS NINE DIAMONDS FIVE,0.572,0.006,0.422
CLUBS JACK DIAMONDS TWO,0.756,0.0166,0.2274
DIAMONDS EIGHT DIAMONDS FIVE,0.5616,0.0064,0.432
CLUBS TEN DIAMONDS TWO,0.7432,0.0178,0.239
DIAMONDS FIVE DIAMONDS SEVEN,0.5562,0.006,0.4378
DIAMONDS FIVE DIAMONDS SIX,0.5372,0.0076,0.4552
DIAMONDS TWO CLUBS ACE,0.0072,0.985,0.0078
DIAMONDS TWO CLUBS KING,0.7496,0.0222,0.2282
DIAMONDS TWO CLUBS QUEEN,0.7572,0.0158,0.227
DIAMONDS EIGHT DIAMONDS SIX,0.5486,0.007,0.4444
DIAMONDS NINE DIAMONDS SIX,0.5694,0.0034,0.4272
HEARTS ACE SPADES THREE,0.231,0.5046,0.2644
SPADES THREE HEARTS KING,0.6204,0.0048,0.3748
DIAMONDS SEVEN DIAMONDS SIX,0.551,0.0048,0.4442
