opposingHand,winningChance,drawChance,lostChance
DIAMONDS ACE DIAMONDS KING
SPADES KING DIAMONDS SEVEN,0.7656,0.0128,0.2216
CLUBS TWO CLUBS KING,0.7406,0.0124,0.247
HEARTS EIGHT CLUBS FIVE,0.6684,0.0028,0.3288
SPADES JACK HEARTS KING,0.7432,0.0106,0.2462
SPADES KING DIAMONDS QUEEN,0.759,0.0124,0.2286
CLUBS ACE DIAMONDS FOUR,0.6978,0.0452,0.257
DIAMONDS SEVEN CLUBS QUEEN,0.6862,0.0032,0.3106
SPADES EIGHT HEARTS JACK,0.6708,0.0036,0.3256
HEARTS ACE SPADES THREE,0.7156,0.0388,0.2456
DIAMONDS NINE DIAMONDS SEVEN,0.648,0.0088,0.3432
HEARTS QUEEN CLUBS ACE,0.7248,0.0456,0.2296
DIAMONDS TEN CLUBS ACE,0.6978,0.0462,0.256
CLUBS FOUR CLUBS THREE,0.6244,0.006,0.3696
CLUBS SIX HEARTS JACK,0.697,0.005,0.298
DIAMONDS QUEEN HEARTS QUEEN,0.4626,0.0058,0.5316
DIAMONDS TWO DIAMONDS NINE,0.6884,0.0054,0.3062
CLUBS THREE SPADES FIVE,0.6534,0.0062,0.3404
HEARTS EIGHT DIAMONDS JACK,0.676,0.0042,0.3198
HEARTS SIX CLUBS EIGHT,0.6552,0.0036,0.3412
CLUBS JACK CLUBS QUEEN,0.6178,0.0032,0.379
CLUBS EIGHT SPADES THREE,0.6918,0.0054,0.3028
HEARTS TWO DIAMONDS TEN,0.6924,0.0044,0.3032
HEARTS ACE DIAMONDS NINE,0.713,0.0532,0.2338
CLUBS TEN HEARTS QUEEN,0.6622,0.0034,0.3344
SPADES KING SPADES THREE,0.7344,0.0118,0.2538
CLUBS JACK CLUBS EIGHT,0.6316,0.0042,0.3642
CLUBS JACK CLUBS TWO,0.6604,0.0044,0.3352
SPADES JACK DIAMONDS SEVEN,0.6746,0.0056,0.3198
CLUBS NINE SPADES TWO,0.6966,0.0058,0.2976
SPADES ACE CLUBS FIVE,0.697,0.0494,0.2536
DIAMONDS NINE CLUBS KING,0.7686,0.0114,0.22
CLUBS JACK DIAMONDS TEN,0.6444,0.005,0.3506
HEARTS QUEEN HEARTS JACK,0.6314,0.0038,0.3648
DIAMONDS TEN HEARTS QUEEN,0.652,0.0074,0.3406
SPADES ACE HEARTS SEVEN,0.707,0.05,0.243
HEARTS KING CLUBS KING,0.334,0.0074,0.6586
CLUBS NINE CLUBS SEVEN,0.6154,0.0034,0.3812
CLUBS SEVEN DIAMONDS EIGHT,0.6528,0.0032,0.344
SPADES SEVEN CLUBS FOUR,0.6606,0.0056,0.3338
HEARTS SEVEN DIAMONDS NINE,0.6534,0.0044,0.3422
DIAMONDS EIGHT HEARTS NINE,0.6596,0.005,0.3354
CLUBS NINE SPADES FIVE,0.6654,0.005,0.3296
CLUBS FIVE HEARTS NINE,0.6874,0.0036,0.309
DIAMONDS TWO SPADES JACK,0.6838,0.0056,0.3106
CLUBS THREE HEARTS KING,0.7734,0.016,0.2106
HEARTS QUEEN HEARTS TEN,0.6108,0.0044,0.3848
SPADES ACE CLUBS ACE,0.1176,0.0112,0.8712
HEARTS KING SPADES TWO,0.7656,0.0128,0.2216
HEARTS SIX SPADES EIGHT,0.6752,0.0024,0.3224
CLUBS TEN HEARTS SEVEN,0.6636,0.0044,0.332
CLUBS NINE HEARTS ACE,0.7274,0.0512,0.2214
SPADES JACK HEARTS JACK,0.464,0.0026,0.5334
HEARTS QUEEN CLUBS KING,0.7634,0.0124,0.2242
CLUBS NINE HEARTS FOUR,0.675,0.0042,0.3208
HEARTS SIX CLUBS FIVE,0.6522,0.0026,0.3452
DIAMONDS TWO CLUBS ACE,0.7198,0.0432,0.237
SPADES TEN CLUBS ACE,0.715,0.0434,0.2416
SPADES SEVEN HEARTS KING,0.7588,0.012,0.2292
SPADES ACE SPADES SIX,0.6772,0.041,0.2818
SPADES SEVEN DIAMONDS SIX,0.643,0.0042,0.3528
CLUBS SIX SPADES FIVE,0.6378,0.0046,0.3576
HEARTS TWO CLUBS FOUR,0.6752,0.0048,0.32
DIAMONDS EIGHT DIAMONDS SEVEN,0.626,0.0046,0.3694
DIAMONDS SEVEN HEARTS NINE,0.6506,0.0042,0.3452
HEARTS SEVEN DIAMONDS QUEEN,0.6876,0.0048,0.3076
HEARTS FOUR SPADES TWO,0.6742,0.0084,0.3174
CLUBS TEN DIAMONDS TEN,0.465,0.0046,0.5304
SPADES QUEEN CLUBS TWO,0.6974,0.005,0.2976
SPADES TEN DIAMONDS EIGHT,0.6524,0.004,0.3436
CLUBS ACE CLUBS KING,0.0746,0.854,0.0714
SPADES FIVE DIAMONDS FOUR,0.6336,0.0052,0.3612
HEARTS ACE HEARTS NINE,0.683,0.0434,0.2736
DIAMONDS THREE CLUBS ACE,0.707,0.0496,0.2434
SPADES EIGHT CLUBS FOUR,0.6844,0.005,0.3106
HEARTS SEVEN DIAMONDS TWO,0.6808,0.0046,0.3146
SPADES SEVEN SPADES THREE,0.6402,0.0042,0.3556
SPADES QUEEN DIAMONDS EIGHT,0.6762,0.0044,0.3194
HEARTS EIGHT HEARTS JACK,0.6288,0.0046,0.3666
SPADES NINE DIAMONDS FIVE,0.6694,0.0068,0.3238
HEARTS THREE SPADES THREE,0.5004,0.0044,0.4952
SPADES JACK SPADES SEVEN,0.6316,0.0048,0.3636
SPADES FIVE HEARTS NINE,0.6758,0.005,0.3192
SPADES NINE CLUBS SIX,0.6776,0.0036,0.3188
CLUBS TEN SPADES TWO,0.7036,0.0054,0.291
DIAMONDS THREE DIAMONDS SEVEN,0.6686,0.0074,0.324
DIAMONDS TEN HEARTS KING,0.7408,0.0106,0.2486
CLUBS SEVEN HEARTS FOUR,0.6686,0.0048,0.3266
CLUBS TEN CLUBS FIVE,0.6434,0.0056,0.351
DIAMONDS FIVE HEARTS NINE,0.6666,0.0048,0.3286
HEARTS FOUR DIAMONDS SEVEN,0.6556,0.0038,0.3406
SPADES QUEEN HEARTS THREE,0.6982,0.0058,0.296
CLUBS TEN CLUBS QUEEN,0.6204,0.0044,0.3752
CLUBS SIX CLUBS THREE,0.6328,0.0064,0.3608
CLUBS TWO DIAMONDS FOUR,0.6656,0.0068,0.3276
SPADES ACE DIAMONDS EIGHT,0.7066,0.0514,0.242
CLUBS JACK HEARTS TEN,0.6476,0.0044,0.348
HEARTS JACK CLUBS KING,0.7584,0.0096,0.232
CLUBS THREE CLUBS ACE,0.6756,0.0494,0.275
SPADES ACE SPADES FOUR,0.6682,0.0442,0.2876
HEARTS EIGHT CLUBS ACE,0.722,0.0454,0.2326
HEARTS SEVEN CLUBS KING,0.7622,0.012,0.2258
CLUBS EIGHT CLUBS QUEEN,0.6506,0.0052,0.3442
CLUBS EIGHT HEARTS TWO,0.688,0.0046,0.3074
HEARTS SEVEN HEARTS TWO,0.644,0.0056,0.3504
SPADES KING SPADES NINE,0.7318,0.0114,0.2568
SPADES QUEEN DIAMONDS SEVEN,0.6862,0.0052,0.3086
HEARTS SEVEN SPADES EIGHT,0.6492,0.0038,0.347
SPADES JACK SPADES TWO,0.6664,0.0056,0.328
DIAMONDS THREE HEARTS SIX,0.6658,0.0064,0.3278
SPADES QUEEN DIAMONDS FOUR,0.6926,0.0062,0.3012
SPADES FIVE DIAMONDS SIX,0.6294,0.0052,0.3654
SPADES FOUR SPADES THREE,0.6204,0.007,0.3726
CLUBS TEN SPADES NINE,0.646,0.004,0.35
SPADES EIGHT DIAMONDS NINE,0.657,0.004,0.339
HEARTS THREE SPADES EIGHT,0.702,0.0044,0.2936
HEARTS EIGHT DIAMONDS TEN,0.6624,0.0062,0.3314
SPADES TWO HEARTS TEN,0.696,0.0054,0.2986
SPADES JACK HEARTS FIVE,0.697,0.0048,0.2982
SPADES KING HEARTS TEN,0.7468,0.01,0.2432
SPADES QUEEN SPADES EIGHT,0.6428,0.0044,0.3528
CLUBS NINE HEARTS TWO,0.695,0.005,0.3
DIAMONDS THREE DIAMONDS TEN,0.696,0.0066,0.2974
SPADES JACK SPADES EIGHT,0.6328,0.0032,0.364
DIAMONDS TWO SPADES NINE,0.693,0.0048,0.3022
HEARTS THREE DIAMONDS SEVEN,0.6744,0.0048,0.3208
SPADES KING SPADES QUEEN,0.709,0.0124,0.2786
SPADES FOUR CLUBS ACE,0.7042,0.0478,0.248
CLUBS EIGHT DIAMONDS FOUR,0.6778,0.006,0.3162
CLUBS FIVE DIAMONDS QUEEN,0.6786,0.0056,0.3158
DIAMONDS TWO CLUBS THREE,0.6716,0.0086,0.3198
CLUBS THREE DIAMONDS EIGHT,0.6902,0.008,0.3018
SPADES SEVEN HEARTS TEN,0.6654,0.005,0.3296
SPADES JACK CLUBS FOUR,0.6956,0.0034,0.301
CLUBS EIGHT HEARTS TEN,0.6564,0.004,0.3396
DIAMONDS JACK HEARTS ACE,0.7198,0.0458,0.2344
CLUBS NINE CLUBS TWO,0.6422,0.0046,0.3532
CLUBS NINE CLUBS FIVE,0.6426,0.0058,0.3516
HEARTS THREE HEARTS TEN,0.6482,0.0042,0.3476
HEARTS SIX HEARTS TWO,0.652,0.0046,0.3434
CLUBS FOUR SPADES FOUR,0.5038,0.0036,0.4926
SPADES NINE DIAMONDS NINE,0.4978,0.0056,0.4966
HEARTS ACE DIAMONDS SIX,0.7222,0.0474,0.2304
CLUBS FOUR DIAMONDS SIX,0.6654,0.005,0.3296
HEARTS KING HEARTS NINE,0.7296,0.0114,0.259
DIAMONDS JACK DIAMONDS SIX,0.6876,0.0068,0.3056
CLUBS JACK HEARTS SEVEN,0.6788,0.0044,0.3168
DIAMONDS TWO CLUBS FOUR,0.6608,0.0062,0.333
DIAMONDS JACK DIAMONDS SEVEN,0.6734,0.0054,0.3212
CLUBS FIVE SPADES SEVEN,0.6452,0.0052,0.3496
CLUBS NINE HEARTS JACK,0.6758,0.0034,0.3208
DIAMONDS QUEEN DIAMONDS SEVEN,0.6886,0.0056,0.3058
DIAMONDS NINE CLUBS ACE,0.7284,0.0436,0.228
SPADES JACK CLUBS SEVEN,0.6768,0.003,0.3202
SPADES SIX CLUBS THREE,0.6746,0.0066,0.3188
HEARTS FOUR SPADES FIVE,0.628,0.0046,0.3674
SPADES SIX CLUBS QUEEN,0.6936,0.005,0.3014
HEARTS JACK DIAMONDS FOUR,0.686,0.0052,0.3088
DIAMONDS QUEEN DIAMONDS SIX,0.6914,0.0064,0.3022
HEARTS FIVE SPADES EIGHT,0.659,0.003,0.338
SPADES KING HEARTS QUEEN,0.7562,0.0086,0.2352
CLUBS SEVEN DIAMONDS TEN,0.6616,0.0054,0.333
HEARTS KING CLUBS ACE,0.065,0.9122,0.0228
SPADES ACE HEARTS TEN,0.7218,0.044,0.2342
SPADES KING HEARTS FOUR,0.7616,0.0104,0.228
CLUBS JACK HEARTS ACE,0.7224,0.0424,0.2352
CLUBS TWO HEARTS QUEEN,0.6982,0.004,0.2978
DIAMONDS SEVEN HEARTS JACK,0.6792,0.0026,0.3182
SPADES TEN CLUBS KING,0.7702,0.0108,0.219
SPADES TEN SPADES THREE,0.6626,0.0064,0.331
SPADES FIVE CLUBS KING,0.7662,0.0118,0.222
CLUBS TEN DIAMONDS SEVEN,0.6608,0.0036,0.3356
DIAMONDS THREE SPADES JACK,0.6902,0.0054,0.3044
SPADES NINE HEARTS THREE,0.6948,0.004,0.3012
CLUBS SIX DIAMONDS QUEEN,0.6924,0.0054,0.3022
SPADES QUEEN CLUBS NINE,0.6784,0.003,0.3186
SPADES NINE DIAMONDS EIGHT,0.6508,0.0046,0.3446
SPADES SIX HEARTS TEN,0.679,0.0034,0.3176
HEARTS EIGHT SPADES FIVE,0.659,0.0026,0.3384
HEARTS FIVE CLUBS ACE,0.7048,0.041,0.2542
CLUBS JACK DIAMONDS THREE,0.6932,0.0052,0.3016
HEARTS SEVEN HEARTS NINE,0.6038,0.0042,0.392
DIAMONDS QUEEN DIAMONDS JACK,0.6614,0.0066,0.332
HEARTS TWO CLUBS TWO,0.5034,0.0062,0.4904
HEARTS SEVEN CLUBS SEVEN,0.4904,0.0026,0.507
SPADES NINE CLUBS QUEEN,0.6642,0.0038,0.332
CLUBS EIGHT CLUBS SIX,0.607,0.0044,0.3886
HEARTS EIGHT HEARTS THREE,0.65,0.0046,0.3454
CLUBS FIVE HEARTS QUEEN,0.682,0.0056,0.3124
CLUBS SIX HEARTS NINE,0.685,0.0018,0.3132
DIAMONDS THREE SPADES KING,0.7592,0.0124,0.2284
SPADES SIX DIAMONDS SEVEN,0.64,0.0038,0.3562
SPADES QUEEN CLUBS THREE,0.708,0.0064,0.2856
SPADES TEN HEARTS JACK,0.6464,0.004,0.3496
HEARTS THREE HEARTS JACK,0.6574,0.006,0.3366
HEARTS TWO CLUBS QUEEN,0.7106,0.0054,0.284
HEARTS SIX CLUBS SEVEN,0.6488,0.0056,0.3456
SPADES TWO CLUBS KING,0.7782,0.0102,0.2116
CLUBS FOUR HEARTS NINE,0.6916,0.0038,0.3046
SPADES ACE SPADES TWO,0.6752,0.048,0.2768
DIAMONDS THREE DIAMONDS NINE,0.6894,0.008,0.3026
