opposingHand,winningChance,drawChance,lostChance
DIAMONDS ACE HEARTS ACE
HEARTS FIVE SPADES TEN,0.8748,0.0038,0.1214
HEARTS FIVE SPADES JACK,0.8666,0.0046,0.1288
CLUBS JACK SPADES FIVE,0.8612,0.0026,0.1362
CLUBS TEN SPADES FIVE,0.856,0.0034,0.1406
CLUBS JACK CLUBS EIGHT,0.7934,0.001,0.2056
CLUBS TEN CLUBS EIGHT,0.782,0.0032,0.2148
CLUBS EIGHT CLUBS KING,0.828,0.003,0.169
SPADES FIVE CLUBS ACE,0.9082,0.0146,0.0772
CLUBS EIGHT CLUBS QUEEN,0.823,0.0038,0.1732
SPADES FIVE CLUBS KING,0.8682,0.0026,0.1292
SPADES FIVE CLUBS QUEEN,0.8614,0.0032,0.1354
CLUBS EIGHT CLUBS ACE,0.874,0.0136,0.1124
DIAMONDS TWO DIAMONDS THREE,0.8318,0.0064,0.1618
DIAMONDS TWO DIAMONDS FIVE,0.817,0.0052,0.1778
HEARTS FIVE SPADES KING,0.8762,0.0042,0.1196
DIAMONDS TWO DIAMONDS FOUR,0.828,0.0044,0.1676
HEARTS FIVE SPADES QUEEN,0.8728,0.0036,0.1236
DIAMONDS TWO DIAMONDS SEVEN,0.8366,0.0034,0.16
DIAMONDS TWO DIAMONDS SIX,0.836,0.0044,0.1596
SPADES ACE HEARTS FIVE,0.9188,0.0132,0.068
DIAMONDS TWO DIAMONDS NINE,0.8472,0.0034,0.1494
DIAMONDS TWO DIAMONDS EIGHT,0.835,0.005,0.16
DIAMONDS THREE DIAMONDS FOUR,0.812,0.0044,0.1836
CLUBS TWO SPADES FOUR,0.855,0.004,0.141
DIAMONDS THREE DIAMONDS FIVE,0.8114,0.005,0.1836
CLUBS TWO SPADES FIVE,0.8604,0.0046,0.135
CLUBS TWO SPADES TWO,0.8164,0.005,0.1786
CLUBS TWO SPADES THREE,0.8612,0.004,0.1348
DIAMONDS THREE DIAMONDS EIGHT,0.838,0.0058,0.1562
SPADES EIGHT CLUBS TWO,0.8676,0.0022,0.1302
DIAMONDS THREE DIAMONDS NINE,0.8396,0.0036,0.1568
SPADES NINE CLUBS TWO,0.874,0.003,0.123
DIAMONDS THREE DIAMONDS SIX,0.819,0.0036,0.1774
SPADES SIX CLUBS TWO,0.8704,0.0026,0.127
DIAMONDS THREE DIAMONDS SEVEN,0.8234,0.0052,0.1714
SPADES SEVEN CLUBS TWO,0.8764,0.005,0.1186
CLUBS SIX CLUBS TWO,0.8172,0.0042,0.1786
CLUBS SEVEN CLUBS TWO,0.8308,0.0036,0.1656
CLUBS FOUR CLUBS TWO,0.814,0.004,0.182
CLUBS FIVE CLUBS TWO,0.8192,0.0038,0.177
CLUBS TEN CLUBS JACK,0.786,0.0032,0.2108
DIAMONDS FOUR DIAMONDS SIX,0.8004,0.0036,0.196
CLUBS TEN CLUBS QUEEN,0.7872,0.0026,0.2102
DIAMONDS FOUR DIAMONDS SEVEN,0.8034,0.0058,0.1908
CLUBS TEN CLUBS KING,0.8098,0.0024,0.1878
CLUBS TEN CLUBS ACE,0.8654,0.0092,0.1254
CLUBS EIGHT CLUBS TWO,0.83,0.0042,0.1658
DIAMONDS FIVE DIAMONDS FOUR,0.7848,0.0052,0.21
CLUBS NINE CLUBS TWO,0.8282,0.0038,0.168
DIAMONDS NINE DIAMONDS FOUR,0.8404,0.004,0.1556
DIAMONDS EIGHT DIAMONDS FOUR,0.8144,0.0044,0.1812
CLUBS TWO CLUBS THREE,0.8128,0.007,0.1802
DIAMONDS NINE DIAMONDS FIVE,0.8286,0.004,0.1674
CLUBS JACK DIAMONDS TWO,0.8808,0.0044,0.1148
DIAMONDS EIGHT DIAMONDS FIVE,0.8044,0.0044,0.1912
CLUBS TEN DIAMONDS TWO,0.8814,0.0054,0.1132
DIAMONDS FIVE DIAMONDS SEVEN,0.7938,0.0036,0.2026
DIAMONDS FIVE DIAMONDS SIX,0.786,0.0056,0.2084
DIAMONDS TWO CLUBS ACE,0.9284,0.0158,0.0558
DIAMONDS TWO CLUBS KING,0.887,0.0068,0.1062
DIAMONDS TWO CLUBS QUEEN,0.891,0.0038,0.1052
DIAMONDS EIGHT DIAMONDS SIX,0.793,0.0036,0.2034
DIAMONDS NINE DIAMONDS SIX,0.8118,0.0048,0.1834
SPADES THREE HEARTS KING,0.8756,0.0052,0.1192
DIAMONDS SEVEN DIAMONDS SIX,0.7872,0.0038,0.209
HEARTS QUEEN SPADES THREE,0.8802,0.0052,0.1146
SPADES THREE HEARTS JACK,0.8798,0.0038,0.1164
SPADES THREE HEARTS TEN,0.8774,0.0034,0.1192
DIAMONDS EIGHT DIAMONDS SEVEN,0.776,0.003,0.221
DIAMONDS NINE DIAMONDS SEVEN,0.8038,0.0036,0.1926
DIAMONDS NINE DIAMONDS EIGHT,0.7754,0.0042,0.2204
DIAMONDS KING HEARTS TEN,0.8542,0.004,0.1418
HEARTS THREE HEARTS TEN,0.8312,0.0048,0.164
SPADES JACK CLUBS SIX,0.8752,0.002,0.1228
DIAMONDS KING HEARTS JACK,0.8738,0.0032,0.123
HEARTS THREE HEARTS JACK,0.8408,0.0052,0.154
SPADES TEN CLUBS SIX,0.8522,0.003,0.1448
SPADES JACK SPADES FIVE,0.8164,0.0032,0.1804
SPADES TEN SPADES FIVE,0.8216,0.0038,0.1746
SPADES ACE CLUBS SIX,0.9216,0.008,0.0704
DIAMONDS KING HEARTS QUEEN,0.873,0.0058,0.1212
HEARTS THREE HEARTS QUEEN,0.8482,0.0046,0.1472
SPADES KING CLUBS SIX,0.8694,0.0022,0.1284
DIAMONDS KING HEARTS KING,0.8236,0.0046,0.1718
HEARTS THREE HEARTS KING,0.8502,0.006,0.1438
SPADES QUEEN CLUBS SIX,0.8692,0.0022,0.1286
SPADES NINE HEARTS TEN,0.8064,0.0038,0.1898
SPADES NINE HEARTS JACK,0.8256,0.0032,0.1712
SPADES QUEEN SPADES FIVE,0.8274,0.0036,0.169
SPADES KING SPADES FIVE,0.837,0.0034,0.1596
SPADES ACE SPADES FIVE,0.859,0.0102,0.1308
SPADES NINE HEARTS QUEEN,0.8528,0.004,0.1432
SPADES NINE HEARTS KING,0.8602,0.0026,0.1372
CLUBS TEN SPADES JACK,0.819,0.0024,0.1786
CLUBS TEN SPADES TEN,0.802,0.0026,0.1954
SPADES ACE CLUBS TEN,0.9074,0.0114,0.0812
CLUBS TEN SPADES KING,0.8606,0.0036,0.1358
CLUBS TEN SPADES QUEEN,0.8412,0.0022,0.1566
SPADES FIVE HEARTS QUEEN,0.877,0.003,0.12
SPADES FIVE HEARTS KING,0.872,0.0044,0.1236
CLUBS EIGHT SPADES TEN,0.8108,0.0028,0.1864
SPADES JACK HEARTS THREE,0.8808,0.004,0.1152
SPADES JACK DIAMONDS KING,0.8666,0.0064,0.127
SPADES TEN DIAMONDS KING,0.8596,0.003,0.1374
SPADES TEN HEARTS THREE,0.872,0.003,0.125
CLUBS EIGHT SPADES JACK,0.8332,0.002,0.1648
SPADES ACE CLUBS EIGHT,0.9278,0.012,0.0602
HEARTS FIVE CLUBS JACK,0.8712,0.0032,0.1256
CLUBS TEN HEARTS FIVE,0.868,0.0056,0.1264
CLUBS SIX HEARTS QUEEN,0.8714,0.0048,0.1238
SPADES QUEEN CLUBS EIGHT,0.8494,0.0034,0.1472
CLUBS TEN SPADES THREE,0.868,0.0026,0.1294
CLUBS SIX HEARTS KING,0.8834,0.0054,0.1112
SPADES KING CLUBS EIGHT,0.8726,0.0028,0.1246
CLUBS JACK SPADES THREE,0.8656,0.0032,0.1312
DIAMONDS TWO HEARTS JACK,0.8912,0.0068,0.102
SPADES THREE CLUBS QUEEN,0.878,0.0018,0.1202
DIAMONDS TWO HEARTS TEN,0.8848,0.0046,0.1106
SPADES THREE CLUBS KING,0.8722,0.004,0.1238
HEARTS FIVE CLUBS ACE,0.9086,0.0122,0.0792
SPADES FIVE HEARTS TEN,0.8674,0.0034,0.1292
SPADES THREE CLUBS ACE,0.9136,0.014,0.0724
HEARTS FIVE CLUBS KING,0.882,0.0026,0.1154
SPADES FIVE HEARTS JACK,0.8662,0.0034,0.1304
HEARTS FIVE CLUBS QUEEN,0.8802,0.003,0.1168
HEARTS THREE CLUBS KING,0.8844,0.003,0.1126
DIAMONDS KING CLUBS KING,0.8156,0.0044,0.18
HEARTS THREE CLUBS QUEEN,0.8836,0.0044,0.112
DIAMONDS KING CLUBS QUEEN,0.873,0.0044,0.1226
HEARTS FIVE HEARTS JACK,0.8378,0.0024,0.1598
HEARTS FIVE HEARTS TEN,0.8342,0.005,0.1608
HEARTS THREE CLUBS ACE,0.915,0.0156,0.0694
DIAMONDS KING CLUBS ACE,0.9274,0.0134,0.0592
SPADES ACE CLUBS QUEEN,0.9166,0.0104,0.073
SPADES KING CLUBS QUEEN,0.871,0.0018,0.1272
CLUBS JACK HEARTS THREE,0.883,0.0046,0.1124
CLUBS JACK DIAMONDS KING,0.8648,0.0042,0.131
SPADES QUEEN CLUBS QUEEN,0.811,0.0054,0.1836
CLUBS TEN HEARTS THREE,0.8772,0.0048,0.118
CLUBS TEN DIAMONDS KING,0.8566,0.0042,0.1392
SPADES JACK CLUBS QUEEN,0.8388,0.0024,0.1588
CLUBS SIX CLUBS QUEEN,0.8276,0.0046,0.1678
SPADES TEN CLUBS QUEEN,0.8284,0.0032,0.1684
CLUBS SIX CLUBS KING,0.8278,0.0026,0.1696
CLUBS SIX CLUBS ACE,0.875,0.007,0.118
HEARTS FIVE HEARTS KING,0.8418,0.0036,0.1546
HEARTS FIVE HEARTS QUEEN,0.8356,0.006,0.1584
CLUBS TEN CLUBS SIX,0.8054,0.0036,0.191
CLUBS JACK CLUBS SIX,0.8206,0.0032,0.1762
SPADES SEVEN HEARTS JACK,0.8616,0.0024,0.136
SPADES SEVEN HEARTS TEN,0.8416,0.0022,0.1562
DIAMONDS TWO CLUBS TWO,0.823,0.006,0.171
DIAMONDS TWO CLUBS THREE,0.8752,0.0046,0.1202
DIAMONDS TWO HEARTS SIX,0.8622,0.0062,0.1316
DIAMONDS TWO HEARTS QUEEN,0.8946,0.0064,0.099
HEARTS SEVEN DIAMONDS TWO,0.8866,0.0044,0.109
DIAMONDS TWO HEARTS KING,0.903,0.005,0.092
DIAMONDS TWO HEARTS EIGHT,0.8776,0.004,0.1184
DIAMONDS TWO HEARTS NINE,0.8856,0.005,0.1094
DIAMONDS TWO DIAMONDS QUEEN,0.8472,0.0046,0.1482
DIAMONDS TWO HEARTS TWO,0.822,0.0062,0.1718
DIAMONDS TWO DIAMONDS KING,0.8516,0.0046,0.1438
DIAMONDS TWO HEARTS THREE,0.8814,0.0056,0.113
HEARTS FOUR DIAMONDS TWO,0.8704,0.0058,0.1238
HEARTS FIVE DIAMONDS TWO,0.8682,0.0048,0.127
DIAMONDS TWO DIAMONDS TEN,0.8356,0.0054,0.159
SPADES SEVEN HEARTS KING,0.877,0.0028,0.1202
DIAMONDS TWO DIAMONDS JACK,0.842,0.0058,0.1522
SPADES SEVEN HEARTS QUEEN,0.881,0.0042,0.1148
DIAMONDS TWO SPADES NINE,0.885,0.0054,0.1096
DIAMONDS TWO SPADES EIGHT,0.8724,0.0042,0.1234
DIAMONDS TWO SPADES SEVEN,0.8812,0.0054,0.1134
