opposingHand,winningChance,drawChance,lostChance
DIAMONDS ACE SPADES EIGHT
HEARTS FIVE SPADES TEN,0.6338,0.004,0.3622
HEARTS FIVE SPADES JACK,0.633,0.0052,0.3618
SPADES FIVE CLUBS JACK,0.6394,0.005,0.3556
CLUBS TEN SPADES FIVE,0.6382,0.0044,0.3574
CLUBS EIGHT CLUBS JACK,0.667,0.0198,0.3132
CLUBS TEN CLUBS EIGHT,0.6642,0.0188,0.317
CLUBS EIGHT CLUBS KING,0.702,0.0248,0.2732
SPADES FIVE CLUBS ACE,0.5292,0.2324,0.2384
CLUBS EIGHT CLUBS QUEEN,0.6814,0.0244,0.2942
SPADES FIVE CLUBS KING,0.63,0.0042,0.3658
SPADES FIVE CLUBS QUEEN,0.64,0.0046,0.3554
CLUBS EIGHT CLUBS ACE,0.0238,0.9024,0.0738
DIAMONDS TWO DIAMONDS THREE,0.62,0.0056,0.3744
DIAMONDS TWO DIAMONDS FIVE,0.6282,0.0052,0.3666
HEARTS FIVE SPADES KING,0.6236,0.0034,0.373
DIAMONDS TWO DIAMONDS FOUR,0.6276,0.0032,0.3692
HEARTS FIVE SPADES QUEEN,0.6312,0.0044,0.3644
DIAMONDS TWO DIAMONDS SEVEN,0.6514,0.0034,0.3452
DIAMONDS TWO DIAMONDS SIX,0.632,0.005,0.363
SPADES ACE HEARTS FIVE,0.5306,0.2206,0.2488
DIAMONDS TWO DIAMONDS NINE,0.6242,0.0056,0.3702
DIAMONDS TWO DIAMONDS EIGHT,0.7232,0.0274,0.2494
DIAMONDS THREE DIAMONDS FOUR,0.6102,0.004,0.3858
SPADES FOUR CLUBS TWO,0.6492,0.0084,0.3424
DIAMONDS THREE DIAMONDS FIVE,0.6102,0.0062,0.3836
SPADES FIVE CLUBS TWO,0.6612,0.0046,0.3342
CLUBS TWO SPADES TWO,0.478,0.005,0.517
CLUBS TWO SPADES THREE,0.6524,0.0066,0.341
DIAMONDS THREE DIAMONDS EIGHT,0.725,0.0284,0.2466
DIAMONDS THREE DIAMONDS NINE,0.6192,0.0044,0.3764
SPADES NINE CLUBS TWO,0.65,0.0044,0.3456
DIAMONDS THREE DIAMONDS SIX,0.6252,0.0056,0.3692
SPADES SIX CLUBS TWO,0.6756,0.0048,0.3196
DIAMONDS THREE DIAMONDS SEVEN,0.647,0.0042,0.3488
SPADES SEVEN CLUBS TWO,0.6794,0.0044,0.3162
CLUBS SIX CLUBS TWO,0.6192,0.0054,0.3754
CLUBS SEVEN CLUBS TWO,0.6262,0.0042,0.3696
CLUBS FOUR CLUBS TWO,0.6226,0.0074,0.37
CLUBS FIVE CLUBS TWO,0.61,0.0056,0.3844
CLUBS TEN CLUBS JACK,0.5272,0.0034,0.4694
DIAMONDS FOUR DIAMONDS SIX,0.6036,0.0058,0.3906
CLUBS TEN CLUBS QUEEN,0.5328,0.0038,0.4634
DIAMONDS FOUR DIAMONDS SEVEN,0.6228,0.0052,0.372
CLUBS TEN CLUBS KING,0.541,0.0048,0.4542
CLUBS TEN CLUBS ACE,0.2202,0.1106,0.6692
CLUBS EIGHT CLUBS TWO,0.7118,0.028,0.2602
DIAMONDS FIVE DIAMONDS FOUR,0.595,0.0044,0.4006
CLUBS NINE CLUBS TWO,0.6142,0.0042,0.3816
DIAMONDS NINE DIAMONDS FOUR,0.6116,0.0042,0.3842
DIAMONDS EIGHT DIAMONDS FOUR,0.7072,0.0274,0.2654
CLUBS THREE CLUBS TWO,0.613,0.004,0.383
DIAMONDS NINE DIAMONDS FIVE,0.5996,0.0052,0.3952
DIAMONDS TWO CLUBS JACK,0.6422,0.0038,0.354
