opposingHand,winningChance,drawChance,lostChance
DIAMONDS ACE SPADES FIVE
HEARTS FIVE SPADES TEN,0.7316,0.0272,0.2412
HEARTS FIVE SPADES JACK,0.7308,0.0282,0.241
CLUBS EIGHT CLUBS JACK,0.5442,0.003,0.4528
CLUBS TEN CLUBS EIGHT,0.5244,0.0038,0.4718
CLUBS EIGHT CLUBS KING,0.5638,0.0038,0.4324
CLUBS EIGHT CLUBS QUEEN,0.5568,0.0032,0.44
CLUBS EIGHT CLUBS ACE,0.232,0.2248,0.5432
DIAMONDS TWO DIAMONDS THREE,0.6352,0.0068,0.358
DIAMONDS TWO DIAMONDS FIVE,0.7132,0.0276,0.2592
HEARTS FIVE SPADES KING,0.7406,0.0252,0.2342
DIAMONDS TWO DIAMONDS FOUR,0.6474,0.0064,0.3462
HEARTS FIVE SPADES QUEEN,0.7354,0.029,0.2356
DIAMONDS TWO DIAMONDS SEVEN,0.642,0.0046,0.3534
DIAMONDS TWO DIAMONDS SIX,0.628,0.0054,0.3666
SPADES ACE HEARTS FIVE,0.0114,0.973,0.0156
DIAMONDS TWO DIAMONDS NINE,0.6282,0.0066,0.3652
DIAMONDS TWO DIAMONDS EIGHT,0.6174,0.0052,0.3774
DIAMONDS THREE DIAMONDS FOUR,0.6324,0.0056,0.362
SPADES FOUR CLUBS TWO,0.6822,0.0048,0.313
DIAMONDS THREE DIAMONDS FIVE,0.6924,0.0246,0.283
CLUBS TWO SPADES TWO,0.47,0.009,0.521
CLUBS TWO SPADES THREE,0.677,0.0064,0.3166
DIAMONDS THREE DIAMONDS EIGHT,0.6262,0.005,0.3688
SPADES EIGHT CLUBS TWO,0.6532,0.0052,0.3416
DIAMONDS THREE DIAMONDS NINE,0.6306,0.0056,0.3638
SPADES NINE CLUBS TWO,0.6446,0.0066,0.3488
DIAMONDS THREE DIAMONDS SIX,0.6156,0.0058,0.3786
SPADES SIX CLUBS TWO,0.6592,0.0068,0.334
DIAMONDS THREE DIAMONDS SEVEN,0.6228,0.0058,0.3714
SPADES SEVEN CLUBS TWO,0.6448,0.0054,0.3498
CLUBS SIX CLUBS TWO,0.6034,0.0044,0.3922
CLUBS SEVEN CLUBS TWO,0.6098,0.005,0.3852
CLUBS FOUR CLUBS TWO,0.6294,0.0056,0.365
CLUBS FIVE CLUBS TWO,0.6974,0.0266,0.276
CLUBS TEN CLUBS JACK,0.528,0.0038,0.4682
DIAMONDS FOUR DIAMONDS SIX,0.6076,0.0058,0.3866
CLUBS TEN CLUBS QUEEN,0.5276,0.0026,0.4698
DIAMONDS FOUR DIAMONDS SEVEN,0.612,0.0066,0.3814
CLUBS TEN CLUBS KING,0.5396,0.0052,0.4552
CLUBS TEN CLUBS ACE,0.2432,0.1236,0.6332
CLUBS EIGHT CLUBS TWO,0.602,0.0038,0.3942
DIAMONDS FIVE DIAMONDS FOUR,0.6852,0.0244,0.2904
CLUBS NINE CLUBS TWO,0.613,0.0036,0.3834
DIAMONDS NINE DIAMONDS FOUR,0.623,0.0056,0.3714
DIAMONDS EIGHT DIAMONDS FOUR,0.6272,0.0046,0.3682
CLUBS THREE CLUBS TWO,0.6276,0.0062,0.3662
DIAMONDS NINE DIAMONDS FIVE,0.697,0.0262,0.2768
DIAMONDS TWO CLUBS JACK,0.66,0.0034,0.3366
DIAMONDS EIGHT DIAMONDS FIVE,0.6726,0.0224,0.305
CLUBS TEN DIAMONDS TWO,0.6492,0.0044,0.3464
DIAMONDS FIVE DIAMONDS SEVEN,0.6746,0.0244,0.301
DIAMONDS FIVE DIAMONDS SIX,0.6862,0.0172,0.2966
DIAMONDS TWO CLUBS ACE,0.3292,0.4528,0.218
DIAMONDS TWO CLUBS KING,0.6548,0.004,0.3412
DIAMONDS TWO CLUBS QUEEN,0.6434,0.0078,0.3488
DIAMONDS EIGHT DIAMONDS SIX,0.5678,0.0036,0.4286
DIAMONDS NINE DIAMONDS SIX,0.5582,0.0052,0.4366
HEARTS ACE SPADES THREE,0.3308,0.4536,0.2156
SPADES THREE HEARTS KING,0.667,0.0054,0.3276
DIAMONDS SEVEN DIAMONDS SIX,0.5652,0.0032,0.4316
SPADES THREE HEARTS QUEEN,0.6514,0.0044,0.3442
SPADES THREE HEARTS JACK,0.6434,0.0032,0.3534
SPADES THREE HEARTS TEN,0.6492,0.0046,0.3462
