opposingHand,winningChance,drawChance,lostChance
DIAMONDS ACE SPADES THREE
HEARTS FIVE SPADES TEN,0.6042,0.0026,0.3932
HEARTS FIVE SPADES JACK,0.6034,0.0044,0.3922
SPADES FIVE CLUBS JACK,0.6114,0.0058,0.3828
CLUBS TEN SPADES FIVE,0.6152,0.006,0.3788
CLUBS EIGHT CLUBS JACK,0.5392,0.0044,0.4564
CLUBS TEN CLUBS EIGHT,0.5304,0.0038,0.4658
CLUBS EIGHT CLUBS KING,0.5576,0.0036,0.4388
SPADES FIVE CLUBS ACE,0.212,0.4694,0.3186
CLUBS EIGHT CLUBS QUEEN,0.5426,0.0044,0.453
SPADES FIVE CLUBS KING,0.6066,0.0034,0.39
SPADES FIVE CLUBS QUEEN,0.6118,0.0048,0.3834
CLUBS EIGHT CLUBS ACE,0.2212,0.2216,0.5572
DIAMONDS TWO DIAMONDS THREE,0.7164,0.0214,0.2622
DIAMONDS TWO DIAMONDS FIVE,0.61,0.008,0.382
HEARTS FIVE SPADES KING,0.626,0.005,0.369
DIAMONDS TWO DIAMONDS FOUR,0.6146,0.0072,0.3782
HEARTS FIVE SPADES QUEEN,0.6016,0.005,0.3934
DIAMONDS TWO DIAMONDS SEVEN,0.6256,0.0042,0.3702
DIAMONDS TWO DIAMONDS SIX,0.609,0.0066,0.3844
SPADES ACE HEARTS FIVE,0.2226,0.4552,0.3222
DIAMONDS TWO DIAMONDS NINE,0.619,0.0066,0.3744
DIAMONDS TWO DIAMONDS EIGHT,0.6234,0.0072,0.3694
DIAMONDS THREE DIAMONDS FOUR,0.7006,0.018,0.2814
CLUBS TWO SPADES FOUR,0.6486,0.0054,0.346
DIAMONDS THREE DIAMONDS FIVE,0.6974,0.02,0.2826
SPADES FIVE CLUBS TWO,0.633,0.0058,0.3612
CLUBS TWO SPADES TWO,0.4664,0.005,0.5286
DIAMONDS THREE DIAMONDS EIGHT,0.7044,0.0186,0.277
SPADES EIGHT CLUBS TWO,0.6394,0.0044,0.3562
DIAMONDS THREE DIAMONDS NINE,0.7146,0.021,0.2644
SPADES NINE CLUBS TWO,0.6512,0.005,0.3438
DIAMONDS THREE DIAMONDS SIX,0.7116,0.0164,0.272
SPADES SIX CLUBS TWO,0.6378,0.005,0.3572
DIAMONDS THREE DIAMONDS SEVEN,0.701,0.0166,0.2824
SPADES SEVEN CLUBS TWO,0.6438,0.0044,0.3518
CLUBS SIX CLUBS TWO,0.5934,0.0062,0.4004
CLUBS SEVEN CLUBS TWO,0.6172,0.0054,0.3774
CLUBS FOUR CLUBS TWO,0.5868,0.0054,0.4078
CLUBS FIVE CLUBS TWO,0.5824,0.0058,0.4118
CLUBS TEN CLUBS JACK,0.5112,0.0044,0.4844
DIAMONDS FOUR DIAMONDS SIX,0.5756,0.0066,0.4178
CLUBS TEN CLUBS QUEEN,0.5302,0.004,0.4658
DIAMONDS FOUR DIAMONDS SEVEN,0.58,0.0054,0.4146
CLUBS TEN CLUBS KING,0.5264,0.0042,0.4694
CLUBS TEN CLUBS ACE,0.2284,0.116,0.6556
CLUBS EIGHT CLUBS TWO,0.599,0.0036,0.3974
DIAMONDS FIVE DIAMONDS FOUR,0.5614,0.006,0.4326
CLUBS NINE CLUBS TWO,0.61,0.0066,0.3834
DIAMONDS NINE DIAMONDS FOUR,0.5966,0.0044,0.399
DIAMONDS EIGHT DIAMONDS FOUR,0.5778,0.005,0.4172
CLUBS THREE CLUBS TWO,0.7012,0.0164,0.2824
DIAMONDS NINE DIAMONDS FIVE,0.5864,0.0042,0.4094
DIAMONDS TWO CLUBS JACK,0.6452,0.0044,0.3504
DIAMONDS EIGHT DIAMONDS FIVE,0.5694,0.005,0.4256
CLUBS TEN DIAMONDS TWO,0.653,0.0066,0.3404
DIAMONDS FIVE DIAMONDS SEVEN,0.559,0.0056,0.4354
DIAMONDS FIVE DIAMONDS SIX,0.562,0.007,0.431
DIAMONDS TWO CLUBS ACE,0.264,0.5262,0.2098
DIAMONDS TWO CLUBS KING,0.655,0.0076,0.3374
DIAMONDS TWO CLUBS QUEEN,0.65,0.0056,0.3444
DIAMONDS EIGHT DIAMONDS SIX,0.5448,0.007,0.4482
DIAMONDS NINE DIAMONDS SIX,0.5534,0.0038,0.4428
DIAMONDS SEVEN DIAMONDS SIX,0.5512,0.0044,0.4444
DIAMONDS EIGHT DIAMONDS SEVEN,0.5276,0.0048,0.4676
DIAMONDS NINE DIAMONDS SEVEN,0.5418,0.0064,0.4518
DIAMONDS NINE DIAMONDS EIGHT,0.5326,0.0048,0.4626
DIAMONDS KING HEARTS TEN,0.5788,0.004,0.4172
HEARTS THREE HEARTS TEN,0.6862,0.0238,0.29
SPADES JACK CLUBS SIX,0.5954,0.0058,0.3988
DIAMONDS KING HEARTS JACK,0.5764,0.0044,0.4192
HEARTS THREE HEARTS JACK,0.7008,0.0176,0.2816
SPADES TEN CLUBS SIX,0.5884,0.0034,0.4082
SPADES JACK SPADES FIVE,0.583,0.0054,0.4116
SPADES TEN SPADES FIVE,0.581,0.006,0.413
DIAMONDS KING HEARTS ACE,0.2504,0.0516,0.698
HEARTS THREE HEARTS ACE,0.0202,0.915,0.0648
SPADES ACE CLUBS SIX,0.225,0.3994,0.3756
DIAMONDS KING HEARTS QUEEN,0.5874,0.0044,0.4082
HEARTS THREE HEARTS QUEEN,0.6898,0.017,0.2932
SPADES KING CLUBS SIX,0.5966,0.0048,0.3986
DIAMONDS KING HEARTS KING,0.2828,0.0046,0.7126
HEARTS THREE HEARTS KING,0.6948,0.0194,0.2858
SPADES QUEEN CLUBS SIX,0.5866,0.0046,0.4088
SPADES NINE HEARTS TEN,0.543,0.0032,0.4538
SPADES NINE HEARTS JACK,0.5436,0.0038,0.4526
SPADES QUEEN SPADES FIVE,0.586,0.0042,0.4098
SPADES KING SPADES FIVE,0.5842,0.006,0.4098
SPADES ACE SPADES FIVE,0.2144,0.4346,0.351
SPADES NINE HEARTS QUEEN,0.568,0.0032,0.4288
SPADES NINE HEARTS KING,0.5898,0.005,0.4052
SPADES NINE HEARTS ACE,0.2366,0.1666,0.5968
CLUBS TEN SPADES JACK,0.5616,0.0046,0.4338
CLUBS TEN SPADES TEN,0.3256,0.0028,0.6716
SPADES ACE CLUBS TEN,0.2354,0.1162,0.6484
SPADES KING CLUBS TEN,0.5704,0.0048,0.4248
CLUBS TEN SPADES QUEEN,0.5606,0.0036,0.4358
SPADES FIVE HEARTS QUEEN,0.6146,0.006,0.3794
SPADES FIVE HEARTS KING,0.6178,0.0058,0.3764
HEARTS ACE SPADES FIVE,0.2086,0.4666,0.3248
CLUBS EIGHT SPADES TEN,0.5752,0.0036,0.4212
SPADES JACK HEARTS THREE,0.7462,0.0192,0.2346
SPADES JACK DIAMONDS KING,0.5752,0.0054,0.4194
SPADES TEN DIAMONDS KING,0.5686,0.0074,0.424
SPADES TEN HEARTS THREE,0.7376,0.0174,0.245
SPADES JACK CLUBS EIGHT,0.5788,0.0044,0.4168
CLUBS SIX HEARTS ACE,0.2534,0.3726,0.374
SPADES ACE CLUBS EIGHT,0.241,0.225,0.534
HEARTS FIVE CLUBS JACK,0.606,0.0032,0.3908
HEARTS FIVE CLUBS TEN,0.6152,0.0036,0.3812
CLUBS SIX HEARTS QUEEN,0.6042,0.0018,0.394
SPADES QUEEN CLUBS EIGHT,0.594,0.005,0.401
