opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE CLUBS ACE
HEARTS FIVE SPADES TEN,0.7342,0.0208,0.245
HEARTS FIVE SPADES JACK,0.7428,0.0288,0.2284
SPADES FIVE CLUBS JACK,0.7416,0.0286,0.2298
CLUBS TEN SPADES FIVE,0.7372,0.025,0.2378
CLUBS EIGHT CLUBS JACK,0.5682,0.0058,0.426
CLUBS TEN CLUBS EIGHT,0.5494,0.0042,0.4464
CLUBS EIGHT CLUBS KING,0.5802,0.0044,0.4154
CLUBS EIGHT CLUBS QUEEN,0.5718,0.0068,0.4214
SPADES FIVE CLUBS KING,0.7368,0.0342,0.229
SPADES FIVE CLUBS QUEEN,0.7472,0.0284,0.2244
DIAMONDS TWO DIAMONDS THREE,0.6548,0.0052,0.34
HEARTS FIVE SPADES KING,0.7474,0.0266,0.226
DIAMONDS TWO DIAMONDS FOUR,0.6386,0.0052,0.3562
HEARTS FIVE SPADES QUEEN,0.732,0.0274,0.2406
DIAMONDS TWO DIAMONDS SEVEN,0.6224,0.0066,0.371
DIAMONDS TWO DIAMONDS SIX,0.6116,0.007,0.3814
SPADES ACE HEARTS FIVE,0.0238,0.9536,0.0226
DIAMONDS TWO DIAMONDS NINE,0.6374,0.0072,0.3554
DIAMONDS TWO DIAMONDS EIGHT,0.6094,0.0064,0.3842
DIAMONDS THREE DIAMONDS FOUR,0.6278,0.0076,0.3646
CLUBS TWO SPADES FOUR,0.6718,0.007,0.3212
SPADES FIVE CLUBS TWO,0.7486,0.03,0.2214
CLUBS TWO SPADES TWO,0.473,0.0068,0.5202
CLUBS TWO SPADES THREE,0.6766,0.0046,0.3188
DIAMONDS THREE DIAMONDS EIGHT,0.6176,0.0052,0.3772
SPADES EIGHT CLUBS TWO,0.648,0.0054,0.3466
DIAMONDS THREE DIAMONDS NINE,0.609,0.006,0.385
SPADES NINE CLUBS TWO,0.6452,0.0054,0.3494
DIAMONDS THREE DIAMONDS SIX,0.6114,0.0052,0.3834
SPADES SIX CLUBS TWO,0.656,0.004,0.34
DIAMONDS THREE DIAMONDS SEVEN,0.6304,0.0046,0.365
SPADES SEVEN CLUBS TWO,0.6608,0.005,0.3342
CLUBS SIX CLUBS TWO,0.6276,0.0052,0.3672
CLUBS SEVEN CLUBS TWO,0.6342,0.005,0.3608
CLUBS FOUR CLUBS TWO,0.6444,0.0052,0.3504
CLUBS FIVE CLUBS TWO,0.7214,0.0242,0.2544
CLUBS TEN CLUBS JACK,0.5276,0.0048,0.4676
DIAMONDS SIX DIAMONDS FOUR,0.5914,0.004,0.4046
CLUBS TEN CLUBS QUEEN,0.5366,0.007,0.4564
DIAMONDS FOUR DIAMONDS SEVEN,0.599,0.0052,0.3958
CLUBS TEN CLUBS KING,0.5518,0.0046,0.4436
CLUBS EIGHT CLUBS TWO,0.6196,0.0084,0.372
CLUBS NINE CLUBS TWO,0.6134,0.0058,0.3808
DIAMONDS NINE DIAMONDS FOUR,0.6082,0.0052,0.3866
DIAMONDS FOUR DIAMONDS EIGHT,0.6092,0.0046,0.3862
CLUBS THREE CLUBS TWO,0.6438,0.0068,0.3494
DIAMONDS TWO CLUBS JACK,0.6592,0.0056,0.3352
CLUBS TEN DIAMONDS TWO,0.6602,0.007,0.3328
DIAMONDS TWO CLUBS KING,0.669,0.0074,0.3236
DIAMONDS TWO CLUBS QUEEN,0.6668,0.0058,0.3274
DIAMONDS SIX DIAMONDS EIGHT,0.5524,0.0036,0.444
DIAMONDS NINE DIAMONDS SIX,0.5764,0.0056,0.418
HEARTS ACE SPADES THREE,0.331,0.4458,0.2232
SPADES THREE HEARTS KING,0.6486,0.0044,0.347
DIAMONDS SIX DIAMONDS SEVEN,0.5492,0.0046,0.4462
HEARTS QUEEN SPADES THREE,0.6478,0.0044,0.3478
SPADES THREE HEARTS JACK,0.6308,0.008,0.3612
SPADES THREE HEARTS TEN,0.6504,0.005,0.3446
