opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE CLUBS EIGHT
DIAMONDS TWO SPADES FOUR,0.6,0.0666,0.3334
HEARTS THREE HEARTS QUEEN,0.3868,0.0104,0.6028
SPADES FOUR DIAMONDS FOUR,0.3824,0.092,0.5256
DIAMONDS NINE DIAMONDS SEVEN,0.3128,0.035,0.6522
DIAMONDS THREE DIAMONDS NINE,0.3954,0.041,0.5636
CLUBS NINE CLUBS KING,0.3426,0.0082,0.6492
HEARTS FIVE HEARTS THREE,0.5556,0.148,0.2964
CLUBS TEN SPADES TWO,0.4088,0.0314,0.5598
SPADES TWO CLUBS KING,0.4092,0.0082,0.5826
DIAMONDS JACK HEARTS QUEEN,0.3298,0.01,0.6602
SPADES EIGHT HEARTS JACK,0.2506,0.058,0.6914
CLUBS KING HEARTS EIGHT,0.253,0.0374,0.7096
DIAMONDS SEVEN HEARTS NINE,0.3446,0.0418,0.6136
SPADES JACK DIAMONDS KING,0.362,0.0066,0.6314
CLUBS NINE CLUBS SEVEN,0.328,0.0362,0.6358
SPADES TEN DIAMONDS FOUR,0.4124,0.0274,0.5602
SPADES NINE HEARTS QUEEN,0.3448,0.0104,0.6448
DIAMONDS QUEEN DIAMONDS EIGHT,0.2432,0.0444,0.7124
CLUBS ACE DIAMONDS FOUR,0.3972,0.0064,0.5964
SPADES ACE CLUBS TWO,0.4108,0.0044,0.5848
HEARTS TWO SPADES SIX,0.5962,0.0668,0.337
CLUBS THREE HEARTS KING,0.4178,0.0104,0.5718
SPADES NINE SPADES FIVE,0.2392,0.0962,0.6646
CLUBS SEVEN CLUBS ACE,0.3452,0.007,0.6478
DIAMONDS THREE CLUBS NINE,0.408,0.0484,0.5436
HEARTS SIX HEARTS QUEEN,0.3566,0.0118,0.6316
CLUBS JACK DIAMONDS TEN,0.3274,0.0158,0.6568
HEARTS QUEEN DIAMONDS SIX,0.379,0.0122,0.6088
CLUBS NINE SPADES NINE,0.1622,0.0576,0.7802
SPADES NINE DIAMONDS SIX,0.3454,0.0446,0.61
SPADES QUEEN SPADES FOUR,0.3842,0.0094,0.6064
HEARTS SEVEN HEARTS QUEEN,0.3536,0.013,0.6334
SPADES KING SPADES NINE,0.3312,0.0078,0.661
SPADES TEN SPADES TWO,0.4108,0.0252,0.564
SPADES JACK CLUBS FIVE,0.2682,0.0618,0.67
CLUBS NINE DIAMONDS SIX,0.3514,0.0468,0.6018
SPADES ACE DIAMONDS EIGHT,0.2478,0.0296,0.7226
CLUBS ACE CLUBS KING,0.331,0.004,0.665
SPADES ACE CLUBS KING,0.3456,0.0032,0.6512
