opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE CLUBS FOUR
HEARTS FIVE SPADES TEN,0.292,0.0798,0.6282
HEARTS FIVE SPADES JACK,0.2998,0.0562,0.644
CLUBS JACK SPADES FIVE,0.286,0.0622,0.6518
CLUBS TEN SPADES FIVE,0.2864,0.0824,0.6312
CLUBS JACK CLUBS EIGHT,0.3528,0.0184,0.6288
CLUBS TEN CLUBS EIGHT,0.35,0.0288,0.6212
CLUBS EIGHT CLUBS KING,0.3402,0.0096,0.6502
SPADES FIVE CLUBS ACE,0.2646,0.026,0.7094
CLUBS EIGHT CLUBS QUEEN,0.3544,0.0088,0.6368
SPADES FIVE CLUBS KING,0.2854,0.0362,0.6784
SPADES FIVE CLUBS QUEEN,0.279,0.0516,0.6694
CLUBS EIGHT CLUBS ACE,0.3384,0.006,0.6556
DIAMONDS TWO DIAMONDS THREE,0.4498,0.226,0.3242
HEARTS FIVE SPADES KING,0.3098,0.0338,0.6564
DIAMONDS TWO DIAMONDS FOUR,0.4042,0.3598,0.236
HEARTS FIVE SPADES QUEEN,0.2796,0.0534,0.667
DIAMONDS TWO DIAMONDS SEVEN,0.4094,0.1014,0.4892
DIAMONDS TWO DIAMONDS SIX,0.4014,0.1584,0.4402
SPADES ACE HEARTS FIVE,0.2666,0.027,0.7064
DIAMONDS TWO DIAMONDS NINE,0.3954,0.0502,0.5544
DIAMONDS TWO DIAMONDS EIGHT,0.4026,0.068,0.5294
DIAMONDS THREE DIAMONDS FOUR,0.412,0.3394,0.2486
CLUBS TWO SPADES FOUR,0.4146,0.3774,0.208
SPADES FIVE CLUBS TWO,0.3084,0.4928,0.1988
CLUBS TWO SPADES TWO,0.3638,0.1576,0.4786
CLUBS TWO SPADES THREE,0.4732,0.2392,0.2876
DIAMONDS THREE DIAMONDS EIGHT,0.41,0.071,0.519
SPADES EIGHT CLUBS TWO,0.4344,0.068,0.4976
DIAMONDS THREE DIAMONDS NINE,0.397,0.0448,0.5582
SPADES NINE CLUBS TWO,0.4286,0.0454,0.526
DIAMONDS THREE DIAMONDS SIX,0.3886,0.1512,0.4602
SPADES SIX CLUBS TWO,0.4292,0.1602,0.4106
DIAMONDS THREE DIAMONDS SEVEN,0.3994,0.1084,0.4922
SPADES SEVEN CLUBS TWO,0.4364,0.11,0.4536
CLUBS SIX CLUBS TWO,0.3912,0.161,0.4478
CLUBS SEVEN CLUBS TWO,0.4158,0.105,0.4792
CLUBS FIVE CLUBS TWO,0.2812,0.4842,0.2346
CLUBS TEN CLUBS JACK,0.349,0.0136,0.6374
DIAMONDS SIX DIAMONDS FOUR,0.2416,0.255,0.5034
CLUBS TEN CLUBS QUEEN,0.3518,0.01,0.6382
DIAMONDS FOUR DIAMONDS SEVEN,0.249,0.1836,0.5674
CLUBS TEN CLUBS KING,0.3534,0.0076,0.639
CLUBS TEN CLUBS ACE,0.3512,0.0052,0.6436
CLUBS EIGHT CLUBS TWO,0.4048,0.0674,0.5278
CLUBS NINE CLUBS TWO,0.41,0.0462,0.5438
DIAMONDS NINE DIAMONDS FOUR,0.275,0.1094,0.6156
DIAMONDS FOUR DIAMONDS EIGHT,0.2658,0.1444,0.5898
CLUBS THREE CLUBS TWO,0.4484,0.2332,0.3184
CLUBS JACK DIAMONDS TWO,0.4308,0.0228,0.5464
CLUBS TEN DIAMONDS TWO,0.4314,0.0292,0.5394
DIAMONDS TWO CLUBS ACE,0.4138,0.0056,0.5806
