opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE CLUBS QUEEN
HEARTS FIVE SPADES TEN,0.7314,0.0456,0.223
HEARTS FIVE SPADES JACK,0.714,0.0512,0.2348
SPADES FIVE CLUBS JACK,0.7082,0.0562,0.2356
CLUBS TEN SPADES FIVE,0.7162,0.047,0.2368
CLUBS EIGHT CLUBS JACK,0.5428,0.0094,0.4478
CLUBS TEN CLUBS EIGHT,0.5262,0.0098,0.464
CLUBS EIGHT CLUBS KING,0.3596,0.0088,0.6316
SPADES FIVE CLUBS ACE,0.2222,0.03,0.7478
SPADES FIVE CLUBS KING,0.2184,0.0426,0.739
CLUBS EIGHT CLUBS ACE,0.3564,0.0044,0.6392
DIAMONDS TWO DIAMONDS THREE,0.613,0.0166,0.3704
HEARTS FIVE SPADES KING,0.234,0.037,0.729
DIAMONDS TWO DIAMONDS FOUR,0.6072,0.0132,0.3796
HEARTS FIVE SPADES QUEEN,0.018,0.9582,0.0238
DIAMONDS TWO DIAMONDS SEVEN,0.618,0.0136,0.3684
DIAMONDS TWO DIAMONDS SIX,0.593,0.0132,0.3938
SPADES ACE HEARTS FIVE,0.24,0.0278,0.7322
DIAMONDS TWO DIAMONDS NINE,0.5942,0.0118,0.394
DIAMONDS TWO DIAMONDS EIGHT,0.594,0.0124,0.3936
DIAMONDS THREE DIAMONDS FOUR,0.6048,0.0138,0.3814
CLUBS TWO SPADES FOUR,0.6412,0.0156,0.3432
SPADES FIVE CLUBS TWO,0.6968,0.0526,0.2506
CLUBS TWO SPADES TWO,0.4306,0.0322,0.5372
CLUBS TWO SPADES THREE,0.6456,0.0172,0.3372
DIAMONDS THREE DIAMONDS EIGHT,0.5942,0.0132,0.3926
SPADES EIGHT CLUBS TWO,0.6318,0.0156,0.3526
DIAMONDS THREE DIAMONDS NINE,0.6034,0.014,0.3826
SPADES NINE CLUBS TWO,0.63,0.0138,0.3562
DIAMONDS THREE DIAMONDS SIX,0.5788,0.0116,0.4096
SPADES SIX CLUBS TWO,0.643,0.0132,0.3438
DIAMONDS THREE DIAMONDS SEVEN,0.596,0.0128,0.3912
SPADES SEVEN CLUBS TWO,0.6422,0.0156,0.3422
CLUBS SIX CLUBS TWO,0.6078,0.012,0.3802
CLUBS SEVEN CLUBS TWO,0.6146,0.0146,0.3708
CLUBS FOUR CLUBS TWO,0.6164,0.0134,0.3702
CLUBS FIVE CLUBS TWO,0.6698,0.0464,0.2838
CLUBS TEN CLUBS JACK,0.5226,0.0104,0.467
DIAMONDS SIX DIAMONDS FOUR,0.5718,0.0128,0.4154
DIAMONDS FOUR DIAMONDS SEVEN,0.5832,0.0106,0.4062
CLUBS TEN CLUBS KING,0.338,0.0086,0.6534
CLUBS TEN CLUBS ACE,0.3334,0.005,0.6616
CLUBS EIGHT CLUBS TWO,0.6148,0.0148,0.3704
CLUBS NINE CLUBS TWO,0.602,0.0132,0.3848
DIAMONDS NINE DIAMONDS FOUR,0.5864,0.0144,0.3992
DIAMONDS FOUR DIAMONDS EIGHT,0.5884,0.014,0.3976
CLUBS THREE CLUBS TWO,0.6148,0.0158,0.3694
DIAMONDS TWO CLUBS JACK,0.6518,0.01,0.3382
CLUBS TEN DIAMONDS TWO,0.637,0.0128,0.3502
DIAMONDS TWO CLUBS ACE,0.3804,0.0064,0.6132
DIAMONDS TWO CLUBS KING,0.3962,0.008,0.5958
DIAMONDS SIX DIAMONDS EIGHT,0.5514,0.0096,0.439
DIAMONDS NINE DIAMONDS SIX,0.5454,0.0112,0.4434
HEARTS ACE SPADES THREE,0.387,0.003,0.61
SPADES THREE HEARTS KING,0.3928,0.007,0.6002
DIAMONDS SIX DIAMONDS SEVEN,0.5422,0.0114,0.4464
HEARTS QUEEN SPADES THREE,0.326,0.4576,0.2164
SPADES THREE HEARTS JACK,0.6212,0.0116,0.3672
SPADES THREE HEARTS TEN,0.63,0.0106,0.3594
DIAMONDS EIGHT DIAMONDS SEVEN,0.5328,0.0138,0.4534
DIAMONDS NINE DIAMONDS SEVEN,0.5304,0.0124,0.4572
DIAMONDS NINE DIAMONDS EIGHT,0.522,0.0138,0.4642
DIAMONDS KING HEARTS TEN,0.336,0.0084,0.6556
HEARTS THREE HEARTS TEN,0.58,0.0116,0.4084
SPADES JACK CLUBS SIX,0.5976,0.0116,0.3908
DIAMONDS KING HEARTS JACK,0.3396,0.006,0.6544
HEARTS THREE HEARTS JACK,0.5964,0.0116,0.392
SPADES TEN CLUBS SIX,0.5784,0.0136,0.408
SPADES JACK SPADES FIVE,0.6642,0.0496,0.2862
SPADES TEN SPADES FIVE,0.6534,0.0494,0.2972
DIAMONDS KING HEARTS ACE,0.3198,0.0032,0.677
HEARTS THREE HEARTS ACE,0.351,0.0044,0.6446
SPADES ACE CLUBS SIX,0.3686,0.0046,0.6268
DIAMONDS KING HEARTS QUEEN,0.235,0.028,0.737
HEARTS THREE HEARTS QUEEN,0.3074,0.4268,0.2658
SPADES KING CLUBS SIX,0.3636,0.0056,0.6308
DIAMONDS KING HEARTS KING,0.1348,0.0036,0.8616
HEARTS THREE HEARTS KING,0.3754,0.0078,0.6168
SPADES QUEEN CLUBS SIX,0.231,0.3688,0.4002
SPADES NINE HEARTS TEN,0.54,0.0086,0.4514
SPADES NINE HEARTS JACK,0.5728,0.011,0.4162
SPADES QUEEN SPADES FIVE,0.0194,0.9108,0.0698
SPADES KING SPADES FIVE,0.226,0.0376,0.7364
SPADES ACE SPADES FIVE,0.2252,0.0306,0.7442
SPADES NINE HEARTS QUEEN,0.2352,0.168,0.5968
SPADES NINE HEARTS KING,0.3604,0.006,0.6336
SPADES NINE HEARTS ACE,0.3696,0.0032,0.6272
CLUBS TEN SPADES JACK,0.5392,0.0112,0.4496
CLUBS TEN SPADES TEN,0.2916,0.0146,0.6938
SPADES ACE CLUBS TEN,0.3516,0.0054,0.643
SPADES KING CLUBS TEN,0.335,0.0068,0.6582
CLUBS TEN SPADES QUEEN,0.2326,0.1158,0.6516
SPADES FIVE HEARTS QUEEN,0.0184,0.9602,0.0214
SPADES FIVE HEARTS KING,0.2252,0.047,0.7278
HEARTS ACE SPADES FIVE,0.2384,0.0308,0.7308
CLUBS EIGHT SPADES TEN,0.5568,0.0132,0.43
SPADES JACK HEARTS THREE,0.6232,0.0104,0.3664
SPADES JACK DIAMONDS KING,0.3486,0.0062,0.6452
SPADES TEN DIAMONDS KING,0.3454,0.0074,0.6472
SPADES TEN HEARTS THREE,0.635,0.0108,0.3542
SPADES JACK CLUBS EIGHT,0.5696,0.0092,0.4212
CLUBS SIX HEARTS ACE,0.3588,0.005,0.6362
SPADES ACE CLUBS EIGHT,0.3582,0.0042,0.6376
HEARTS FIVE CLUBS JACK,0.7182,0.057,0.2248
HEARTS FIVE CLUBS TEN,0.7168,0.0498,0.2334
CLUBS SIX HEARTS QUEEN,0.2146,0.3894,0.396
SPADES QUEEN CLUBS EIGHT,0.2322,0.2252,0.5426
CLUBS TEN SPADES THREE,0.6344,0.013,0.3526
CLUBS SIX HEARTS KING,0.3716,0.0062,0.6222
SPADES KING CLUBS EIGHT,0.373,0.0074,0.6196
SPADES THREE CLUBS JACK,0.6418,0.0108,0.3474
DIAMONDS TWO HEARTS JACK,0.638,0.0106,0.3514
DIAMONDS TWO HEARTS TEN,0.6202,0.0112,0.3686
SPADES THREE CLUBS KING,0.3958,0.008,0.5962
HEARTS FIVE CLUBS ACE,0.2188,0.0298,0.7514
SPADES FIVE HEARTS TEN,0.7044,0.0502,0.2454
SPADES THREE CLUBS ACE,0.3716,0.0062,0.6222
HEARTS FIVE CLUBS KING,0.2316,0.0394,0.729
SPADES FIVE HEARTS JACK,0.7166,0.0502,0.2332
HEARTS THREE CLUBS KING,0.3978,0.01,0.5922
DIAMONDS KING CLUBS KING,0.12,0.0026,0.8774
HEARTS FIVE HEARTS JACK,0.6626,0.0522,0.2852
HEARTS FIVE HEARTS TEN,0.6628,0.0528,0.2844
HEARTS THREE CLUBS ACE,0.3816,0.0056,0.6128
DIAMONDS KING CLUBS ACE,0.307,0.0056,0.6874
HEARTS THREE CLUBS JACK,0.6334,0.0116,0.355
DIAMONDS KING CLUBS JACK,0.3334,0.0066,0.66
CLUBS TEN HEARTS THREE,0.6282,0.0126,0.3592
CLUBS TEN DIAMONDS KING,0.346,0.0092,0.6448
CLUBS SIX CLUBS KING,0.3478,0.0056,0.6466
CLUBS SIX CLUBS ACE,0.3452,0.0062,0.6486
HEARTS FIVE HEARTS KING,0.229,0.0372,0.7338
HEARTS FIVE HEARTS QUEEN,0.0208,0.909,0.0702
CLUBS TEN CLUBS SIX,0.5536,0.0142,0.4322
HEARTS FIVE HEARTS ACE,0.2232,0.0252,0.7516
CLUBS SIX CLUBS JACK,0.5686,0.0102,0.4212
SPADES SEVEN HEARTS JACK,0.5874,0.01,0.4026
SPADES SEVEN HEARTS TEN,0.5738,0.0076,0.4186
DIAMONDS TWO CLUBS TWO,0.4408,0.0308,0.5284
DIAMONDS TWO CLUBS THREE,0.646,0.0168,0.3372
DIAMONDS TWO HEARTS SIX,0.645,0.014,0.341
DIAMONDS TWO HEARTS QUEEN,0.3194,0.4556,0.225
HEARTS SEVEN DIAMONDS TWO,0.6498,0.0122,0.338
DIAMONDS TWO HEARTS KING,0.4024,0.0084,0.5892
DIAMONDS TWO HEARTS EIGHT,0.6348,0.0138,0.3514
DIAMONDS TWO HEARTS ACE,0.4002,0.005,0.5948
DIAMONDS TWO HEARTS NINE,0.6432,0.0114,0.3454
DIAMONDS TWO DIAMONDS QUEEN,0.308,0.4354,0.2566
DIAMONDS TWO HEARTS TWO,0.4392,0.031,0.5298
DIAMONDS TWO DIAMONDS KING,0.382,0.0068,0.6112
DIAMONDS TWO HEARTS THREE,0.64,0.0124,0.3476
DIAMONDS TWO DIAMONDS ACE,0.3794,0.0054,0.6152
HEARTS FOUR DIAMONDS TWO,0.6552,0.0124,0.3324
HEARTS FIVE DIAMONDS TWO,0.7024,0.0578,0.2398
SPADES SEVEN HEARTS ACE,0.373,0.004,0.623
DIAMONDS TWO DIAMONDS TEN,0.5886,0.016,0.3954
SPADES SEVEN HEARTS KING,0.3624,0.006,0.6316
DIAMONDS TWO DIAMONDS JACK,0.5954,0.0118,0.3928
SPADES SEVEN HEARTS QUEEN,0.233,0.2906,0.4764
DIAMONDS TWO SPADES NINE,0.6388,0.0136,0.3476
DIAMONDS TWO SPADES EIGHT,0.6374,0.0134,0.3492
DIAMONDS TWO SPADES SEVEN,0.6386,0.0158,0.3456
DIAMONDS TWO SPADES SIX,0.6272,0.0134,0.3594
DIAMONDS TWO SPADES FIVE,0.694,0.053,0.253
DIAMONDS TWO SPADES FOUR,0.6364,0.0156,0.348
DIAMONDS TWO SPADES THREE,0.6428,0.0148,0.3424
DIAMONDS TWO SPADES TWO,0.4468,0.0314,0.5218
CLUBS NINE DIAMONDS TWO,0.6448,0.0118,0.3434
DIAMONDS TWO CLUBS EIGHT,0.6472,0.0112,0.3416
CLUBS SEVEN DIAMONDS TWO,0.6454,0.0114,0.3432
DIAMONDS TWO CLUBS SIX,0.6324,0.0146,0.353
DIAMONDS TWO CLUBS FIVE,0.7086,0.0538,0.2376
DIAMONDS TWO CLUBS FOUR,0.6614,0.0152,0.3234
CLUBS FOUR SPADES FIVE,0.6706,0.0546,0.2748
CLUBS FOUR SPADES FOUR,0.419,0.036,0.545
CLUBS FOUR SPADES THREE,0.6246,0.0166,0.3588
CLUBS FOUR SPADES TWO,0.643,0.0154,0.3416
SPADES NINE CLUBS FOUR,0.6466,0.0122,0.3412
SPADES EIGHT CLUBS FOUR,0.624,0.0122,0.3638
SPADES SEVEN CLUBS FOUR,0.6252,0.0132,0.3616
CLUBS FOUR SPADES SIX,0.5972,0.0108,0.392
SPADES ACE DIAMONDS SIX,0.354,0.0048,0.6412
SPADES QUEEN DIAMONDS SIX,0.2292,0.3842,0.3866
SPADES KING DIAMONDS SIX,0.3618,0.0066,0.6316
SPADES TEN DIAMONDS SIX,0.5944,0.01,0.3956
SPADES JACK DIAMONDS SIX,0.599,0.0088,0.3922
SPADES QUEEN SPADES TWO,0.3002,0.4328,0.267
SPADES KING SPADES TWO,0.3756,0.0074,0.617
SPADES ACE SPADES TWO,0.359,0.0054,0.6356
DIAMONDS JACK CLUBS JACK,0.289,0.0126,0.6984
CLUBS TEN DIAMONDS JACK,0.5436,0.011,0.4454
DIAMONDS JACK CLUBS KING,0.339,0.0084,0.6526
DIAMONDS THREE DIAMONDS JACK,0.5968,0.0124,0.3908
DIAMONDS THREE DIAMONDS TEN,0.584,0.0142,0.4018
DIAMONDS JACK CLUBS ACE,0.3402,0.0048,0.655
DIAMONDS THREE DIAMONDS KING,0.3708,0.0082,0.621
DIAMONDS THREE HEARTS THREE,0.4434,0.0318,0.5248
DIAMONDS THREE DIAMONDS QUEEN,0.2954,0.4508,0.2538
DIAMONDS THREE HEARTS TWO,0.641,0.013,0.346
HEARTS FIVE DIAMONDS THREE,0.6818,0.0532,0.265
DIAMONDS THREE DIAMONDS ACE,0.3584,0.0052,0.6364
HEARTS FOUR DIAMONDS THREE,0.6378,0.012,0.3502
HEARTS SEVEN DIAMONDS THREE,0.624,0.0154,0.3606
SPADES TEN SPADES NINE,0.507,0.013,0.48
HEARTS SIX DIAMONDS THREE,0.6256,0.0142,0.3602
SPADES JACK SPADES NINE,0.521,0.0136,0.4654
DIAMONDS THREE HEARTS NINE,0.6422,0.0122,0.3456
HEARTS JACK DIAMONDS FOUR,0.6268,0.0096,0.3636
HEARTS ACE HEARTS KING,0.3024,0.005,0.6926
SPADES TEN SPADES TWO,0.5854,0.0122,0.4024
DIAMONDS THREE HEARTS EIGHT,0.6476,0.0118,0.3406
HEARTS TEN DIAMONDS FOUR,0.627,0.0134,0.3596
SPADES JACK SPADES TWO,0.5854,0.0092,0.4054
HEARTS QUEEN DIAMONDS FOUR,0.3246,0.4668,0.2086
HEARTS KING DIAMONDS FOUR,0.3774,0.0094,0.6132
SPADES ACE SPADES NINE,0.3434,0.0024,0.6542
HEARTS ACE DIAMONDS FOUR,0.3772,0.0054,0.6174
SPADES KING SPADES NINE,0.3292,0.0056,0.6652
SPADES QUEEN SPADES NINE,0.2212,0.1552,0.6236
DIAMONDS THREE SPADES NINE,0.6372,0.0124,0.3504
DIAMONDS THREE SPADES EIGHT,0.6332,0.013,0.3538
DIAMONDS THREE SPADES SEVEN,0.6264,0.0148,0.3588
DIAMONDS THREE SPADES SIX,0.6106,0.012,0.3774
DIAMONDS THREE CLUBS SIX,0.6246,0.0136,0.3618
CLUBS FIVE CLUBS SIX,0.634,0.0492,0.3168
CLUBS ACE DIAMONDS FOUR,0.3752,0.006,0.6188
CLUBS SEVEN DIAMONDS THREE,0.6434,0.0134,0.3432
CLUBS SEVEN CLUBS FIVE,0.6558,0.049,0.2952
DIAMONDS THREE CLUBS FOUR,0.6354,0.014,0.3506
DIAMONDS THREE CLUBS FIVE,0.6902,0.0492,0.2606
DIAMONDS FOUR CLUBS KING,0.3914,0.0076,0.601
DIAMONDS THREE CLUBS TWO,0.6566,0.0162,0.3272
CLUBS TEN DIAMONDS FOUR,0.6438,0.0142,0.342
DIAMONDS THREE CLUBS THREE,0.4344,0.0354,0.5302
DIAMONDS FOUR CLUBS JACK,0.6368,0.011,0.3522
DIAMONDS THREE SPADES FOUR,0.6264,0.0154,0.3582
DIAMONDS THREE SPADES FIVE,0.682,0.0566,0.2614
DIAMONDS THREE SPADES TWO,0.631,0.0172,0.3518
DIAMONDS THREE SPADES THREE,0.4264,0.0362,0.5374
CLUBS EIGHT DIAMONDS THREE,0.6446,0.0144,0.341
CLUBS NINE DIAMONDS THREE,0.637,0.0126,0.3504
SPADES SEVEN CLUBS ACE,0.351,0.0038,0.6452
SPADES SEVEN CLUBS KING,0.3718,0.0086,0.6196
CLUBS FIVE SPADES SEVEN,0.6744,0.0474,0.2782
CLUBS TEN SPADES SEVEN,0.5692,0.0108,0.42
CLUBS FIVE SPADES SIX,0.6724,0.0442,0.2834
SPADES SEVEN CLUBS JACK,0.5908,0.0102,0.399
CLUBS FIVE SPADES NINE,0.7078,0.05,0.2422
CLUBS FIVE SPADES EIGHT,0.6864,0.0458,0.2678
CLUBS FIVE SPADES THREE,0.6748,0.0578,0.2674
CLUBS FIVE SPADES TWO,0.7054,0.0478,0.2468
CLUBS FIVE SPADES FIVE,0.3088,0.0362,0.655
CLUBS FIVE SPADES FOUR,0.6558,0.0542,0.29
CLUBS NINE CLUBS FIVE,0.678,0.0408,0.2812
CLUBS EIGHT CLUBS FIVE,0.6466,0.0472,0.3062
DIAMONDS TEN DIAMONDS FOUR,0.5858,0.014,0.4002
CLUBS TEN DIAMONDS NINE,0.549,0.0114,0.4396
DIAMONDS JACK DIAMONDS FOUR,0.5892,0.0118,0.399
DIAMONDS NINE CLUBS JACK,0.5652,0.01,0.4248
SPADES NINE CLUBS JACK,0.5616,0.0108,0.4276
CLUBS TEN SPADES NINE,0.5372,0.0118,0.451
DIAMONDS ACE DIAMONDS FOUR,0.3626,0.0042,0.6332
HEARTS FOUR DIAMONDS FOUR,0.4398,0.034,0.5262
DIAMONDS JACK HEARTS TEN,0.5388,0.0118,0.4494
SPADES NINE CLUBS KING,0.3544,0.0054,0.6402
DIAMONDS TWO SPADES TEN,0.628,0.0106,0.3614
DIAMONDS NINE CLUBS ACE,0.3548,0.0048,0.6404
HEARTS FIVE DIAMONDS FOUR,0.669,0.0508,0.2802
DIAMONDS JACK HEARTS JACK,0.279,0.0122,0.7088
DIAMONDS TWO SPADES JACK,0.6476,0.0134,0.339
DIAMONDS QUEEN DIAMONDS FOUR,0.3076,0.4404,0.252
HEARTS TWO DIAMONDS FOUR,0.6474,0.0138,0.3388
DIAMONDS KING DIAMONDS FOUR,0.3656,0.0096,0.6248
HEARTS THREE DIAMONDS FOUR,0.6294,0.0156,0.355
SPADES NINE CLUBS ACE,0.3568,0.0042,0.639
DIAMONDS NINE CLUBS KING,0.3598,0.0076,0.6326
HEARTS ACE DIAMONDS JACK,0.355,0.0034,0.6416
SPADES ACE DIAMONDS TWO,0.3906,0.0046,0.6048
HEARTS QUEEN DIAMONDS JACK,0.2338,0.0902,0.676
SPADES QUEEN DIAMONDS TWO,0.3328,0.456,0.2112
HEARTS KING DIAMONDS JACK,0.3362,0.0074,0.6564
SPADES KING DIAMONDS TWO,0.3992,0.0106,0.5902
SPADES JACK SPADES SEVEN,0.5438,0.0092,0.447
SPADES TEN SPADES SEVEN,0.5446,0.0122,0.4432
CLUBS SEVEN CLUBS THREE,0.6096,0.0122,0.3782
CLUBS SIX CLUBS THREE,0.5706,0.015,0.4144
CLUBS FIVE CLUBS THREE,0.6534,0.0498,0.2968
CLUBS THREE CLUBS FOUR,0.6076,0.0136,0.3788
CLUBS NINE CLUBS THREE,0.5988,0.0114,0.3898
CLUBS EIGHT CLUBS THREE,0.6082,0.0122,0.3796
CLUBS THREE SPADES FIVE,0.6828,0.0492,0.268
CLUBS THREE SPADES FOUR,0.634,0.0136,0.3524
CLUBS THREE SPADES THREE,0.4242,0.0326,0.5432
CLUBS THREE SPADES TWO,0.654,0.0134,0.3326
