opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE CLUBS SEVEN
HEARTS FIVE SPADES TEN,0.2856,0.074,0.6404
HEARTS FIVE SPADES JACK,0.2866,0.0612,0.6522
CLUBS JACK SPADES FIVE,0.269,0.0626,0.6684
CLUBS TEN SPADES FIVE,0.2746,0.0806,0.6448
CLUBS JACK CLUBS EIGHT,0.3518,0.0198,0.6284
CLUBS TEN CLUBS EIGHT,0.3244,0.0288,0.6468
CLUBS EIGHT CLUBS KING,0.351,0.0072,0.6418
SPADES FIVE CLUBS ACE,0.2754,0.0232,0.7014
CLUBS EIGHT CLUBS QUEEN,0.3354,0.0146,0.65
SPADES FIVE CLUBS KING,0.2888,0.0306,0.6806
SPADES FIVE CLUBS QUEEN,0.271,0.0454,0.6836
CLUBS EIGHT CLUBS ACE,0.3358,0.0054,0.6588
DIAMONDS TWO DIAMONDS THREE,0.5452,0.098,0.3568
HEARTS FIVE SPADES KING,0.2902,0.0316,0.6782
DIAMONDS TWO DIAMONDS FOUR,0.565,0.095,0.34
HEARTS FIVE SPADES QUEEN,0.2898,0.0434,0.6668
DIAMONDS TWO DIAMONDS SEVEN,0.3336,0.4172,0.2492
DIAMONDS TWO DIAMONDS SIX,0.5374,0.1,0.3626
SPADES ACE HEARTS FIVE,0.2818,0.0268,0.6914
DIAMONDS TWO DIAMONDS NINE,0.4,0.0454,0.5546
DIAMONDS TWO DIAMONDS EIGHT,0.3978,0.067,0.5352
DIAMONDS THREE DIAMONDS FOUR,0.5306,0.0948,0.3746
CLUBS TWO SPADES FOUR,0.5786,0.1082,0.3132
SPADES FIVE CLUBS TWO,0.5646,0.2026,0.2328
CLUBS TWO SPADES TWO,0.3932,0.109,0.4978
CLUBS TWO SPADES THREE,0.5724,0.1042,0.3234
DIAMONDS THREE DIAMONDS EIGHT,0.3958,0.063,0.5412
SPADES EIGHT CLUBS TWO,0.4246,0.0772,0.4982
DIAMONDS THREE DIAMONDS NINE,0.3954,0.044,0.5606
SPADES NINE CLUBS TWO,0.4274,0.0426,0.53
DIAMONDS THREE DIAMONDS SIX,0.5362,0.0966,0.3672
SPADES SIX CLUBS TWO,0.5746,0.1018,0.3236
DIAMONDS THREE DIAMONDS SEVEN,0.3182,0.425,0.2568
SPADES SEVEN CLUBS TWO,0.3372,0.4432,0.2196
CLUBS SIX CLUBS TWO,0.5604,0.0914,0.3482
CLUBS FOUR CLUBS TWO,0.5534,0.1022,0.3444
CLUBS FIVE CLUBS TWO,0.5376,0.192,0.2704
CLUBS TEN CLUBS JACK,0.3198,0.0152,0.665
DIAMONDS SIX DIAMONDS FOUR,0.531,0.092,0.377
CLUBS TEN CLUBS QUEEN,0.332,0.0136,0.6544
