opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE DIAMONDS ACE
SPADES EIGHT SPADES FOUR,0.6218,0.006,0.3722
HEARTS FIVE HEARTS TWO,0.711,0.0238,0.2652
DIAMONDS QUEEN DIAMONDS TEN,0.5804,0.0046,0.415
SPADES JACK DIAMONDS QUEEN,0.5818,0.0048,0.4134
DIAMONDS TWO HEARTS QUEEN,0.6552,0.0042,0.3406
SPADES FOUR DIAMONDS NINE,0.668,0.0058,0.3262
DIAMONDS JACK HEARTS QUEEN,0.5874,0.0038,0.4088
SPADES EIGHT HEARTS JACK,0.6174,0.003,0.3796
CLUBS TWO SPADES TWO,0.494,0.008,0.498
DIAMONDS THREE DIAMONDS JACK,0.6666,0.0044,0.329
CLUBS EIGHT SPADES EIGHT,0.367,0.0036,0.6294
SPADES FIVE SPADES THREE,0.7014,0.0266,0.272
CLUBS JACK SPADES THREE,0.6614,0.004,0.3346
CLUBS JACK CLUBS EIGHT,0.58,0.0046,0.4154
CLUBS TWO DIAMONDS TEN,0.6682,0.0052,0.3266
SPADES QUEEN SPADES THREE,0.629,0.0052,0.3658
SPADES SEVEN CLUBS FOUR,0.6504,0.006,0.3436
CLUBS SEVEN CLUBS FOUR,0.6244,0.0046,0.371
SPADES JACK HEARTS QUEEN,0.5862,0.0052,0.4086
HEARTS QUEEN HEARTS TEN,0.5616,0.0032,0.4352
SPADES SIX HEARTS ACE,0.3,0.3532,0.3468
HEARTS SEVEN HEARTS JACK,0.5818,0.0054,0.4128
DIAMONDS TWO HEARTS NINE,0.6692,0.0034,0.3274
SPADES QUEEN CLUBS QUEEN,0.3386,0.0034,0.658
CLUBS TEN CLUBS TWO,0.6302,0.0048,0.365
SPADES TEN DIAMONDS FOUR,0.6674,0.004,0.3286
SPADES NINE CLUBS FIVE,0.7504,0.022,0.2276
DIAMONDS QUEEN HEARTS KING,0.5946,0.0062,0.3992
HEARTS EIGHT CLUBS SIX,0.6082,0.0046,0.3872
HEARTS EIGHT DIAMONDS EIGHT,0.378,0.0064,0.6156
HEARTS SIX CLUBS QUEEN,0.638,0.0044,0.3576
SPADES SEVEN HEARTS TEN,0.612,0.0022,0.3858
CLUBS SIX CLUBS KING,0.5844,0.0044,0.4112
SPADES QUEEN DIAMONDS QUEEN,0.3402,0.0042,0.6556
CLUBS TEN HEARTS FIVE,0.7452,0.0252,0.2296
DIAMONDS KING SPADES TWO,0.663,0.0048,0.3322
DIAMONDS EIGHT DIAMONDS SEVEN,0.5912,0.0064,0.4024
SPADES NINE DIAMONDS TEN,0.5638,0.0034,0.4328
CLUBS JACK CLUBS SEVEN,0.5866,0.0052,0.4082
HEARTS FOUR DIAMONDS QUEEN,0.66,0.0042,0.3358
CLUBS JACK HEARTS FIVE,0.7498,0.026,0.2242
CLUBS TEN CLUBS THREE,0.624,0.005,0.371
CLUBS FOUR CLUBS ACE,0.3522,0.3962,0.2516
CLUBS EIGHT DIAMONDS KING,0.6158,0.0038,0.3804
HEARTS THREE SPADES FIVE,0.735,0.0294,0.2356
SPADES QUEEN CLUBS EIGHT,0.6056,0.003,0.3914
HEARTS EIGHT CLUBS TEN,0.5996,0.0036,0.3968
SPADES KING CLUBS THREE,0.6756,0.0042,0.3202
CLUBS TEN SPADES JACK,0.58,0.0042,0.4158
HEARTS JACK CLUBS QUEEN,0.5714,0.0044,0.4242
DIAMONDS NINE CLUBS QUEEN,0.6034,0.0052,0.3914
HEARTS THREE HEARTS JACK,0.6244,0.0046,0.371
SPADES KING HEARTS ACE,0.3052,0.0428,0.652
CLUBS FIVE SPADES FIVE,0.381,0.0256,0.5934
DIAMONDS THREE CLUBS THREE,0.4894,0.0088,0.5018
DIAMONDS SEVEN CLUBS QUEEN,0.6208,0.0054,0.3738
DIAMONDS JACK DIAMONDS TEN,0.5858,0.0062,0.408
DIAMONDS KING HEARTS TEN,0.5944,0.0044,0.4012
HEARTS FIVE DIAMONDS SEVEN,0.7076,0.022,0.2704
SPADES ACE SPADES EIGHT,0.2784,0.2008,0.5208
DIAMONDS KING CLUBS ACE,0.2926,0.0452,0.6622
SPADES TEN HEARTS TEN,0.3658,0.0036,0.6306
CLUBS NINE DIAMONDS FOUR,0.6634,0.0046,0.332
CLUBS SEVEN HEARTS NINE,0.6058,0.0026,0.3916
SPADES ACE CLUBS NINE,0.2956,0.1664,0.538
HEARTS FIVE CLUBS SIX,0.7234,0.0212,0.2554
DIAMONDS EIGHT CLUBS ACE,0.271,0.2188,0.5102
SPADES FOUR SPADES TWO,0.653,0.0048,0.3422
DIAMONDS THREE CLUBS KING,0.6664,0.0076,0.326
SPADES ACE DIAMONDS JACK,0.2852,0.0904,0.6244
CLUBS JACK SPADES SEVEN,0.6412,0.0036,0.3552
SPADES SIX DIAMONDS FOUR,0.645,0.0044,0.3506
CLUBS FIVE DIAMONDS EIGHT,0.7194,0.022,0.2586
SPADES SIX DIAMONDS JACK,0.64,0.0052,0.3548
CLUBS FIVE HEARTS TWO,0.7566,0.0252,0.2182
HEARTS NINE DIAMONDS FOUR,0.665,0.0042,0.3308
HEARTS FIVE SPADES SIX,0.7268,0.02,0.2532
SPADES FOUR CLUBS KING,0.6778,0.0038,0.3184
CLUBS TEN SPADES FIVE,0.7428,0.0216,0.2356
SPADES JACK DIAMONDS NINE,0.5878,0.004,0.4082
CLUBS FIVE HEARTS NINE,0.7394,0.0242,0.2364
DIAMONDS JACK HEARTS KING,0.5958,0.0046,0.3996
HEARTS THREE CLUBS TWO,0.6898,0.0054,0.3048
SPADES THREE CLUBS QUEEN,0.6656,0.005,0.3294
CLUBS TEN SPADES TWO,0.6628,0.0048,0.3324
HEARTS EIGHT DIAMONDS TWO,0.664,0.0054,0.3306
SPADES QUEEN HEARTS SIX,0.6386,0.0038,0.3576
HEARTS SEVEN SPADES TWO,0.6848,0.0072,0.308
HEARTS FIVE DIAMONDS JACK,0.7426,0.0292,0.2282
DIAMONDS EIGHT DIAMONDS SIX,0.5912,0.0054,0.4034
SPADES ACE SPADES TWO,0.3464,0.4078,0.2458
DIAMONDS THREE DIAMONDS SEVEN,0.6454,0.0062,0.3484
SPADES JACK CLUBS FOUR,0.6752,0.004,0.3208
CLUBS ACE CLUBS KING,0.2904,0.043,0.6666
SPADES TEN SPADES EIGHT,0.5692,0.0034,0.4274
SPADES EIGHT DIAMONDS NINE,0.5964,0.0038,0.3998
HEARTS FIVE DIAMONDS FOUR,0.7228,0.0266,0.2506
SPADES KING DIAMONDS NINE,0.6004,0.0052,0.3944
CLUBS FIVE DIAMONDS KING,0.7574,0.028,0.2146
CLUBS ACE HEARTS NINE,0.3024,0.1642,0.5334
CLUBS NINE SPADES TWO,0.675,0.0046,0.3204
DIAMONDS QUEEN SPADES FIVE,0.7498,0.0346,0.2156
HEARTS SEVEN CLUBS NINE,0.6104,0.003,0.3866
CLUBS NINE HEARTS KING,0.615,0.003,0.382
CLUBS FOUR SPADES THREE,0.6762,0.0058,0.318
HEARTS THREE HEARTS NINE,0.6344,0.0036,0.362
HEARTS THREE DIAMONDS FOUR,0.6756,0.008,0.3164
CLUBS NINE SPADES FIVE,0.7452,0.0232,0.2316
HEARTS SIX DIAMONDS KING,0.621,0.004,0.375
CLUBS JACK DIAMONDS KING,0.5944,0.006,0.3996
DIAMONDS TWO HEARTS SIX,0.682,0.0034,0.3146
CLUBS EIGHT CLUBS KING,0.5828,0.0054,0.4118
HEARTS EIGHT CLUBS SEVEN,0.5928,0.0038,0.4034
DIAMONDS EIGHT HEARTS TEN,0.5808,0.0038,0.4154
SPADES ACE SPADES SIX,0.2814,0.3414,0.3772
CLUBS FIVE DIAMONDS JACK,0.7438,0.0276,0.2286
SPADES ACE HEARTS FIVE,0.0672,0.914,0.0188
CLUBS TEN HEARTS JACK,0.579,0.0032,0.4178
SPADES ACE DIAMONDS SEVEN,0.2778,0.2898,0.4324
HEARTS QUEEN DIAMONDS EIGHT,0.6226,0.003,0.3744
HEARTS SIX SPADES TEN,0.6188,0.0028,0.3784
HEARTS TEN DIAMONDS SIX,0.6246,0.0052,0.3702
HEARTS SIX SPADES FIVE,0.7314,0.0192,0.2494
CLUBS SIX HEARTS KING,0.6406,0.004,0.3554
SPADES KING DIAMONDS EIGHT,0.6216,0.006,0.3724
CLUBS EIGHT SPADES TEN,0.5882,0.0046,0.4072
HEARTS THREE CLUBS QUEEN,0.664,0.0058,0.3302
SPADES SIX CLUBS ACE,0.2844,0.3598,0.3558
SPADES THREE HEARTS TEN,0.6724,0.0054,0.3222
HEARTS JACK HEARTS TEN,0.541,0.0056,0.4534
HEARTS FOUR SPADES THREE,0.6672,0.0056,0.3272
CLUBS EIGHT CLUBS FOUR,0.6374,0.0036,0.359
DIAMONDS THREE HEARTS FOUR,0.676,0.0058,0.3182
SPADES QUEEN HEARTS ACE,0.3096,0.0606,0.6298
CLUBS TWO DIAMONDS NINE,0.6712,0.0052,0.3236
SPADES KING SPADES SEVEN,0.6042,0.0042,0.3916
HEARTS SEVEN SPADES TEN,0.6026,0.0032,0.3942
CLUBS FIVE DIAMONDS QUEEN,0.7576,0.0284,0.214
SPADES NINE DIAMONDS KING,0.6038,0.0046,0.3916
SPADES TEN DIAMONDS NINE,0.5744,0.005,0.4206
CLUBS NINE CLUBS THREE,0.6418,0.006,0.3522
HEARTS EIGHT DIAMONDS KING,0.6232,0.0044,0.3724
HEARTS SIX CLUBS TWO,0.6692,0.0056,0.3252
DIAMONDS TWO SPADES SEVEN,0.6748,0.0058,0.3194
SPADES QUEEN SPADES FOUR,0.622,0.0068,0.3712
HEARTS THREE DIAMONDS QUEEN,0.6728,0.005,0.3222
SPADES NINE DIAMONDS SEVEN,0.5984,0.0054,0.3962
CLUBS TWO SPADES FOUR,0.6922,0.0054,0.3024
SPADES TEN CLUBS FOUR,0.6658,0.004,0.3302
SPADES TEN HEARTS THREE,0.6592,0.0038,0.337
SPADES TEN HEARTS JACK,0.5904,0.0044,0.4052
SPADES SIX HEARTS TEN,0.6094,0.004,0.3866
SPADES KING CLUBS FOUR,0.6812,0.0058,0.313
CLUBS JACK HEARTS NINE,0.5976,0.0044,0.398
HEARTS THREE HEARTS TEN,0.6306,0.005,0.3644
HEARTS FIVE CLUBS SEVEN,0.7292,0.0212,0.2496
HEARTS FOUR HEARTS QUEEN,0.6366,0.003,0.3604
SPADES ACE HEARTS EIGHT,0.3056,0.2168,0.4776
SPADES ACE DIAMONDS FOUR,0.352,0.439,0.209
SPADES QUEEN DIAMONDS JACK,0.595,0.005,0.4
DIAMONDS KING SPADES SIX,0.638,0.005,0.357
CLUBS SIX SPADES SEVEN,0.607,0.0046,0.3884
