opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE DIAMONDS JACK
SPADES EIGHT HEARTS QUEEN,0.39,0.0096,0.6004
CLUBS QUEEN DIAMONDS FOUR,0.4162,0.0126,0.5712
HEARTS TWO HEARTS ACE,0.393,0.0038,0.6032
DIAMONDS QUEEN SPADES THREE,0.4258,0.0144,0.5598
SPADES FIVE HEARTS JACK,0.0704,0.9074,0.0222
SPADES NINE DIAMONDS FOUR,0.6592,0.0186,0.3222
SPADES ACE SPADES SIX,0.3758,0.0046,0.6196
SPADES JACK DIAMONDS TEN,0.2662,0.1264,0.6074
CLUBS EIGHT HEARTS TEN,0.576,0.0152,0.4088
SPADES EIGHT HEARTS KING,0.4062,0.0084,0.5854
CLUBS SEVEN CLUBS THREE,0.5974,0.0198,0.3828
SPADES TEN HEARTS TWO,0.6544,0.0194,0.3262
HEARTS FOUR HEARTS ACE,0.3874,0.004,0.6086
DIAMONDS THREE HEARTS JACK,0.3542,0.4376,0.2082
HEARTS FOUR DIAMONDS TEN,0.6408,0.0166,0.3426
HEARTS FIVE SPADES NINE,0.7046,0.0594,0.236
CLUBS EIGHT HEARTS QUEEN,0.3968,0.0104,0.5928
SPADES EIGHT SPADES SEVEN,0.5488,0.0164,0.4348
CLUBS FOUR DIAMONDS EIGHT,0.629,0.0216,0.3494
HEARTS FOUR DIAMONDS SIX,0.62,0.0206,0.3594
DIAMONDS KING CLUBS ACE,0.353,0.0044,0.6426
CLUBS NINE DIAMONDS EIGHT,0.571,0.0134,0.4156
CLUBS TWO HEARTS ACE,0.4312,0.005,0.5638
SPADES JACK DIAMONDS FOUR,0.3486,0.4438,0.2076
SPADES QUEEN CLUBS QUEEN,0.1864,0.0118,0.8018
CLUBS TWO HEARTS TEN,0.638,0.0204,0.3416
HEARTS ACE HEARTS QUEEN,0.3436,0.005,0.6514
SPADES SIX CLUBS THREE,0.6358,0.0178,0.3464
CLUBS FIVE SPADES THREE,0.6772,0.0628,0.26
DIAMONDS ACE CLUBS KING,0.354,0.0054,0.6406
HEARTS SEVEN CLUBS ACE,0.4022,0.0046,0.5932
CLUBS FOUR DIAMONDS FOUR,0.4368,0.0454,0.5178
CLUBS EIGHT DIAMONDS QUEEN,0.3754,0.0094,0.6152
CLUBS FOUR HEARTS KING,0.4174,0.0076,0.575
HEARTS FOUR HEARTS TEN,0.5888,0.018,0.3932
HEARTS EIGHT SPADES TWO,0.6476,0.0188,0.3336
DIAMONDS KING DIAMONDS FOUR,0.3712,0.01,0.6188
SPADES EIGHT DIAMONDS TEN,0.573,0.0172,0.4098
CLUBS TEN HEARTS QUEEN,0.3842,0.0108,0.605
CLUBS NINE DIAMONDS KING,0.3846,0.0116,0.6038
CLUBS SIX SPADES SEVEN,0.5764,0.017,0.4066
DIAMONDS QUEEN HEARTS NINE,0.3794,0.0118,0.6088
CLUBS TWO DIAMONDS FOUR,0.6488,0.0176,0.3336
CLUBS TEN CLUBS EIGHT,0.5394,0.0162,0.4444
