opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE DIAMONDS NINE
CLUBS EIGHT SPADES FOUR,0.6314,0.038,0.3306
CLUBS JACK SPADES JACK,0.2036,0.0266,0.7698
SPADES TEN SPADES TWO,0.427,0.0222,0.5508
CLUBS FOUR CLUBS TWO,0.6036,0.0398,0.3566
SPADES JACK CLUBS KING,0.3872,0.0074,0.6054
CLUBS ACE DIAMONDS FOUR,0.4194,0.0054,0.5752
CLUBS TWO HEARTS QUEEN,0.4322,0.0166,0.5512
HEARTS FIVE CLUBS TWO,0.6576,0.103,0.2394
CLUBS FIVE HEARTS KING,0.3016,0.0336,0.6648
HEARTS THREE HEARTS TWO,0.5964,0.0412,0.3624
HEARTS SEVEN DIAMONDS TEN,0.3878,0.0204,0.5918
CLUBS TEN SPADES SEVEN,0.373,0.0278,0.5992
CLUBS SIX SPADES SEVEN,0.5544,0.0462,0.3994
SPADES ACE HEARTS ACE,0.1812,0.0042,0.8146
HEARTS FIVE SPADES SEVEN,0.648,0.1058,0.2462
CLUBS NINE DIAMONDS SIX,0.2542,0.3678,0.378
DIAMONDS THREE SPADES SEVEN,0.6132,0.0442,0.3426
HEARTS THREE SPADES THREE,0.4132,0.0804,0.5064
SPADES EIGHT SPADES TWO,0.5926,0.04,0.3674
HEARTS TWO HEARTS KING,0.4114,0.01,0.5786
DIAMONDS TWO SPADES SIX,0.6228,0.0468,0.3304
DIAMONDS KING DIAMONDS EIGHT,0.3562,0.0078,0.636
SPADES KING DIAMONDS TEN,0.3702,0.0076,0.6222
SPADES EIGHT CLUBS FIVE,0.6498,0.1132,0.237
HEARTS FOUR DIAMONDS KING,0.4374,0.008,0.5546
HEARTS ACE SPADES THREE,0.4376,0.005,0.5574
HEARTS TWO CLUBS QUEEN,0.4462,0.0132,0.5406
SPADES NINE HEARTS JACK,0.2942,0.0564,0.6494
SPADES FIVE HEARTS TEN,0.2952,0.0762,0.6286
CLUBS NINE DIAMONDS TEN,0.2532,0.075,0.6718
DIAMONDS TWO HEARTS KING,0.4406,0.0094,0.55
