opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE DIAMONDS QUEEN
DIAMONDS JACK HEARTS QUEEN,0.2672,0.0892,0.6436
CLUBS TEN SPADES SEVEN,0.5958,0.0136,0.3906
SPADES TEN CLUBS FOUR,0.6412,0.0138,0.345
CLUBS JACK DIAMONDS TEN,0.5504,0.0094,0.4402
SPADES QUEEN DIAMONDS FOUR,0.3564,0.4316,0.212
SPADES JACK DIAMONDS KING,0.3734,0.0076,0.619
HEARTS FOUR CLUBS QUEEN,0.3526,0.431,0.2164
HEARTS FOUR DIAMONDS JACK,0.655,0.011,0.334
SPADES THREE DIAMONDS FOUR,0.643,0.0166,0.3404
CLUBS FIVE DIAMONDS SEVEN,0.6954,0.0436,0.261
CLUBS SIX HEARTS TEN,0.6194,0.0108,0.3698
HEARTS THREE DIAMONDS NINE,0.651,0.0128,0.3362
SPADES SEVEN DIAMONDS NINE,0.5802,0.0112,0.4086
CLUBS FIVE SPADES THREE,0.6862,0.0514,0.2624
SPADES TEN HEARTS JACK,0.56,0.009,0.431
SPADES TEN CLUBS FIVE,0.7372,0.0424,0.2204
CLUBS FOUR HEARTS QUEEN,0.365,0.425,0.21
CLUBS THREE HEARTS QUEEN,0.3566,0.424,0.2194
DIAMONDS NINE SPADES TWO,0.638,0.0152,0.3468
HEARTS TWO HEARTS KING,0.4184,0.009,0.5726
HEARTS EIGHT HEARTS SEVEN,0.5548,0.0098,0.4354
DIAMONDS THREE SPADES TWO,0.6576,0.0156,0.3268
HEARTS FOUR CLUBS ACE,0.4286,0.0044,0.567
DIAMONDS THREE DIAMONDS ACE,0.3856,0.0078,0.6066
HEARTS TEN DIAMONDS FOUR,0.6374,0.0136,0.349
SPADES THREE HEARTS TEN,0.651,0.0116,0.3374
HEARTS FIVE CLUBS QUEEN,0.077,0.9002,0.0228
DIAMONDS TWO DIAMONDS TEN,0.6514,0.0124,0.3362
CLUBS FIVE CLUBS QUEEN,0.0766,0.8472,0.0762
SPADES QUEEN SPADES SIX,0.25,0.3356,0.4144
CLUBS EIGHT SPADES TEN,0.5698,0.0088,0.4214
CLUBS NINE CLUBS TWO,0.6206,0.0126,0.3668
HEARTS EIGHT CLUBS TWO,0.6652,0.012,0.3228
DIAMONDS TWO SPADES THREE,0.6556,0.0164,0.328
HEARTS FIVE CLUBS SIX,0.6714,0.0446,0.284
CLUBS NINE HEARTS FIVE,0.7266,0.0418,0.2316
SPADES JACK CLUBS TWO,0.6452,0.01,0.3448
SPADES SIX DIAMONDS SEVEN,0.5848,0.0094,0.4058
