opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE DIAMONDS SIX
DIAMONDS QUEEN HEARTS QUEEN,0.2126,0.0326,0.7548
SPADES SIX DIAMONDS NINE,0.3042,0.1058,0.59
CLUBS NINE HEARTS FIVE,0.324,0.0964,0.5796
CLUBS FIVE CLUBS FOUR,0.4826,0.243,0.2744
CLUBS SIX DIAMONDS NINE,0.2932,0.1018,0.605
SPADES ACE DIAMONDS THREE,0.4482,0.004,0.5478
CLUBS FOUR DIAMONDS SEVEN,0.4292,0.0974,0.4734
CLUBS ACE HEARTS JACK,0.4154,0.0048,0.5798
HEARTS SEVEN DIAMONDS TWO,0.4528,0.1018,0.4454
SPADES QUEEN SPADES NINE,0.3836,0.0114,0.605
CLUBS FOUR SPADES FIVE,0.5098,0.2534,0.2368
SPADES THREE HEARTS NINE,0.4572,0.0428,0.5
HEARTS SIX HEARTS JACK,0.317,0.0572,0.6258
HEARTS THREE HEARTS NINE,0.4416,0.0384,0.52
HEARTS THREE SPADES FOUR,0.558,0.1326,0.3094
SPADES KING CLUBS FOUR,0.4636,0.008,0.5284
HEARTS SIX CLUBS SIX,0.1698,0.1112,0.719
HEARTS ACE DIAMONDS FOUR,0.4518,0.0048,0.5434
HEARTS FOUR DIAMONDS TEN,0.4472,0.0268,0.526
SPADES NINE SPADES THREE,0.4346,0.0434,0.522
SPADES NINE HEARTS TWO,0.459,0.0462,0.4948
DIAMONDS KING DIAMONDS JACK,0.3574,0.009,0.6336
HEARTS FOUR SPADES FOUR,0.3832,0.1254,0.4914
DIAMONDS JACK DIAMONDS NINE,0.3436,0.0172,0.6392
CLUBS FOUR CLUBS TWO,0.522,0.1412,0.3368
SPADES NINE DIAMONDS JACK,0.389,0.0192,0.5918
CLUBS NINE HEARTS TEN,0.4014,0.0214,0.5772
HEARTS TWO HEARTS ACE,0.418,0.0032,0.5788
SPADES SIX CLUBS KING,0.3378,0.0416,0.6206
DIAMONDS ACE CLUBS THREE,0.4378,0.0056,0.5566
HEARTS FIVE CLUBS SIX,0.0774,0.9012,0.0214
CLUBS FOUR DIAMONDS KING,0.433,0.0092,0.5578
DIAMONDS KING DIAMONDS EIGHT,0.351,0.0116,0.6374
DIAMONDS TWO HEARTS TWO,0.3994,0.1288,0.4718
HEARTS TWO DIAMONDS JACK,0.4648,0.0228,0.5124
DIAMONDS THREE DIAMONDS ACE,0.4018,0.0056,0.5926
HEARTS EIGHT DIAMONDS KING,0.4068,0.0064,0.5868
HEARTS EIGHT DIAMONDS FOUR,0.4348,0.071,0.4942
DIAMONDS ACE CLUBS TWO,0.4338,0.0066,0.5596
HEARTS ACE DIAMONDS JACK,0.3838,0.0048,0.6114
CLUBS TEN HEARTS ACE,0.4116,0.0046,0.5838
HEARTS EIGHT SPADES TEN,0.39,0.0266,0.5834
SPADES TEN HEARTS TWO,0.478,0.0284,0.4936
CLUBS JACK DIAMONDS TWO,0.459,0.0204,0.5206
SPADES KING CLUBS EIGHT,0.4202,0.0074,0.5724
SPADES KING SPADES QUEEN,0.398,0.0066,0.5954
HEARTS EIGHT SPADES EIGHT,0.2094,0.0924,0.6982
HEARTS FIVE DIAMONDS EIGHT,0.2924,0.1348,0.5728
CLUBS SIX CLUBS FIVE,0.0692,0.8556,0.0752
CLUBS SEVEN DIAMONDS QUEEN,0.4056,0.0116,0.5828
HEARTS SIX HEARTS KING,0.3142,0.032,0.6538
HEARTS FIVE DIAMONDS NINE,0.3002,0.1068,0.593
HEARTS FOUR DIAMONDS EIGHT,0.4452,0.0664,0.4884
SPADES SEVEN DIAMONDS FOUR,0.4288,0.1016,0.4696
DIAMONDS ACE DIAMONDS NINE,0.3458,0.007,0.6472
SPADES ACE CLUBS FIVE,0.3122,0.0266,0.6612
SPADES ACE CLUBS TWO,0.4514,0.0052,0.5434
SPADES ACE HEARTS JACK,0.4178,0.007,0.5752
CLUBS SEVEN CLUBS SIX,0.2782,0.184,0.5378
DIAMONDS THREE HEARTS KING,0.4564,0.0078,0.5358
CLUBS FOUR SPADES SIX,0.3656,0.434,0.2004
HEARTS EIGHT DIAMONDS THREE,0.4548,0.0626,0.4826
DIAMONDS TWO HEARTS ACE,0.4574,0.0056,0.537
SPADES KING SPADES EIGHT,0.3918,0.0084,0.5998
SPADES NINE CLUBS FIVE,0.316,0.1,0.584
CLUBS JACK CLUBS FIVE,0.311,0.054,0.635
SPADES SEVEN SPADES THREE,0.4392,0.098,0.4628
SPADES ACE SPADES KING,0.3876,0.0064,0.606
DIAMONDS THREE SPADES THREE,0.4076,0.1208,0.4716
DIAMONDS THREE CLUBS QUEEN,0.4716,0.0148,0.5136
SPADES JACK HEARTS THREE,0.4648,0.0186,0.5166
HEARTS TWO HEARTS NINE,0.4444,0.0394,0.5162
DIAMONDS THREE HEARTS QUEEN,0.4506,0.0142,0.5352
SPADES JACK DIAMONDS EIGHT,0.4058,0.0202,0.574
HEARTS SEVEN SPADES THREE,0.4518,0.0978,0.4504
CLUBS THREE HEARTS QUEEN,0.4738,0.011,0.5152
HEARTS TEN DIAMONDS FOUR,0.4492,0.0282,0.5226
CLUBS TEN SPADES TWO,0.465,0.0292,0.5058
HEARTS TWO CLUBS FOUR,0.5588,0.1538,0.2874
HEARTS EIGHT HEARTS JACK,0.3778,0.0188,0.6034
SPADES KING DIAMONDS JACK,0.401,0.0054,0.5936
CLUBS FIVE CLUBS QUEEN,0.3118,0.0398,0.6484
CLUBS KING DIAMONDS FOUR,0.4408,0.0094,0.5498
DIAMONDS QUEEN CLUBS QUEEN,0.2136,0.0344,0.752
HEARTS SIX DIAMONDS EIGHT,0.2906,0.14,0.5694
HEARTS SIX SPADES TEN,0.318,0.0766,0.6054
SPADES JACK SPADES FOUR,0.4238,0.0204,0.5558
CLUBS EIGHT HEARTS THREE,0.4574,0.0606,0.482
CLUBS NINE HEARTS ACE,0.4154,0.0036,0.581
HEARTS FOUR CLUBS KING,0.4556,0.0076,0.5368
SPADES KING HEARTS SEVEN,0.4138,0.0082,0.578
DIAMONDS TWO HEARTS NINE,0.4676,0.041,0.4914
SPADES SIX DIAMONDS QUEEN,0.3058,0.0558,0.6384
HEARTS EIGHT DIAMONDS TEN,0.3804,0.026,0.5936
CLUBS NINE SPADES THREE,0.4652,0.0394,0.4954
CLUBS FIVE CLUBS ACE,0.2944,0.0246,0.681
SPADES QUEEN CLUBS TWO,0.4784,0.0112,0.5104
CLUBS SEVEN HEARTS TEN,0.4012,0.0272,0.5716
HEARTS SIX HEARTS NINE,0.301,0.0974,0.6016
DIAMONDS THREE SPADES NINE,0.473,0.0474,0.4796
HEARTS THREE SPADES EIGHT,0.4614,0.065,0.4736
SPADES EIGHT CLUBS FOUR,0.45,0.0606,0.4894
SPADES KING SPADES SEVEN,0.3802,0.007,0.6128
DIAMONDS TWO SPADES SIX,0.3814,0.4162,0.2024
CLUBS JACK SPADES QUEEN,0.4104,0.0096,0.58
