opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE DIAMONDS TEN
DIAMONDS TWO CLUBS FOUR,0.6384,0.0338,0.3278
SPADES JACK DIAMONDS JACK,0.172,0.0222,0.8058
SPADES NINE CLUBS ACE,0.402,0.0036,0.5944
SPADES QUEEN CLUBS SIX,0.395,0.0092,0.5958
SPADES TWO CLUBS KING,0.4474,0.0082,0.5444
SPADES FIVE SPADES FOUR,0.622,0.0698,0.3082
HEARTS TWO CLUBS KING,0.429,0.0106,0.5604
HEARTS TWO CLUBS TWO,0.4354,0.0616,0.503
DIAMONDS SIX CLUBS QUEEN,0.402,0.012,0.586
HEARTS FOUR CLUBS ACE,0.424,0.0054,0.5706
CLUBS EIGHT CLUBS THREE,0.6082,0.0238,0.368
CLUBS JACK SPADES QUEEN,0.3396,0.0094,0.651
HEARTS THREE HEARTS ACE,0.3842,0.0072,0.6086
SPADES FIVE HEARTS ACE,0.2888,0.0264,0.6848
HEARTS TWO HEARTS QUEEN,0.4088,0.014,0.5772
DIAMONDS NINE HEARTS JACK,0.3712,0.0144,0.6144
SPADES SIX HEARTS JACK,0.407,0.0174,0.5756
DIAMONDS NINE CLUBS QUEEN,0.3704,0.014,0.6156
CLUBS SIX HEARTS KING,0.396,0.007,0.597
HEARTS SEVEN CLUBS NINE,0.5848,0.0266,0.3886
CLUBS TWO HEARTS TEN,0.3672,0.423,0.2098
CLUBS SIX CLUBS QUEEN,0.3764,0.012,0.6116
HEARTS THREE HEARTS KING,0.4026,0.007,0.5904
HEARTS FIVE HEARTS THREE,0.6114,0.0816,0.307
CLUBS FIVE DIAMONDS FOUR,0.6424,0.0812,0.2764
CLUBS JACK HEARTS TEN,0.2714,0.0526,0.676
SPADES JACK HEARTS FOUR,0.4308,0.017,0.5522
DIAMONDS TWO SPADES SEVEN,0.6472,0.0306,0.3222
HEARTS EIGHT HEARTS SEVEN,0.5188,0.0274,0.4538
HEARTS SIX SPADES JACK,0.4064,0.0184,0.5752
SPADES TEN CLUBS TWO,0.3546,0.4484,0.197
CLUBS TEN DIAMONDS SIX,0.259,0.3614,0.3796
HEARTS EIGHT CLUBS QUEEN,0.3784,0.0112,0.6104
HEARTS EIGHT HEARTS QUEEN,0.3804,0.0094,0.6102
SPADES JACK HEARTS THREE,0.42,0.02,0.56
HEARTS KING HEARTS QUEEN,0.3456,0.0092,0.6452
SPADES EIGHT HEARTS TWO,0.6478,0.0284,0.3238
SPADES FOUR SPADES THREE,0.6058,0.0272,0.367
CLUBS SEVEN DIAMONDS NINE,0.5742,0.025,0.4008
SPADES KING CLUBS KING,0.1804,0.0104,0.8092
SPADES KING HEARTS FOUR,0.4288,0.0078,0.5634
CLUBS EIGHT HEARTS KING,0.4094,0.0076,0.583
CLUBS SEVEN CLUBS THREE,0.6028,0.027,0.3702
SPADES FIVE HEARTS KING,0.2754,0.0344,0.6902
SPADES ACE HEARTS JACK,0.3514,0.0048,0.6438
SPADES KING DIAMONDS NINE,0.3778,0.0072,0.615
CLUBS EIGHT DIAMONDS QUEEN,0.382,0.0136,0.6044
HEARTS SIX DIAMONDS NINE,0.5908,0.0288,0.3804
SPADES QUEEN HEARTS TWO,0.4346,0.0158,0.5496
HEARTS SIX CLUBS ACE,0.3988,0.0044,0.5968
CLUBS TEN SPADES FIVE,0.0742,0.9064,0.0194
DIAMONDS KING SPADES TWO,0.4236,0.0092,0.5672
SPADES THREE DIAMONDS SIX,0.6166,0.0318,0.3516
HEARTS THREE DIAMONDS ACE,0.4058,0.0054,0.5888
CLUBS JACK DIAMONDS JACK,0.175,0.023,0.802
DIAMONDS KING SPADES FIVE,0.279,0.035,0.686
SPADES ACE DIAMONDS NINE,0.4058,0.007,0.5872
SPADES KING SPADES JACK,0.3424,0.007,0.6506
CLUBS SEVEN HEARTS ACE,0.3974,0.0038,0.5988
SPADES SIX CLUBS QUEEN,0.3986,0.009,0.5924
SPADES SEVEN HEARTS QUEEN,0.4066,0.01,0.5834
SPADES THREE CLUBS QUEEN,0.4304,0.0136,0.556
CLUBS SEVEN SPADES THREE,0.6414,0.0288,0.3298
HEARTS EIGHT SPADES TEN,0.2734,0.2146,0.512
SPADES KING SPADES TEN,0.2604,0.0316,0.708
CLUBS SIX SPADES THREE,0.6208,0.0332,0.346
SPADES KING SPADES NINE,0.378,0.0054,0.6166
SPADES KING CLUBS FOUR,0.4296,0.008,0.5624
DIAMONDS KING CLUBS KING,0.1758,0.0114,0.8128
CLUBS JACK CLUBS FOUR,0.4022,0.02,0.5778
DIAMONDS TWO CLUBS SEVEN,0.633,0.029,0.338
DIAMONDS ACE HEARTS KING,0.349,0.0026,0.6484
CLUBS NINE CLUBS FIVE,0.6528,0.0742,0.273
SPADES ACE SPADES FOUR,0.4056,0.0036,0.5908
CLUBS TWO DIAMONDS SIX,0.6308,0.0302,0.339
HEARTS THREE HEARTS QUEEN,0.4128,0.0126,0.5746
DIAMONDS KING HEARTS QUEEN,0.3364,0.0096,0.654
HEARTS SIX CLUBS KING,0.4046,0.0076,0.5878
CLUBS SIX SPADES FIVE,0.6622,0.0676,0.2702
CLUBS FOUR CLUBS KING,0.405,0.005,0.59
SPADES ACE SPADES JACK,0.349,0.004,0.647
SPADES SEVEN CLUBS QUEEN,0.4108,0.0102,0.579
CLUBS JACK CLUBS KING,0.3476,0.0064,0.646
CLUBS FOUR SPADES SIX,0.6104,0.0282,0.3614
DIAMONDS ACE CLUBS KING,0.3668,0.0046,0.6286
CLUBS TEN SPADES THREE,0.3608,0.4482,0.191
DIAMONDS THREE CLUBS TEN,0.3458,0.4532,0.201
SPADES QUEEN CLUBS EIGHT,0.3836,0.0108,0.6056
SPADES TWO HEARTS QUEEN,0.4388,0.0126,0.5486
DIAMONDS KING CLUBS TWO,0.4254,0.0064,0.5682
SPADES ACE DIAMONDS TWO,0.4214,0.005,0.5736
SPADES NINE DIAMONDS FOUR,0.639,0.0282,0.3328
DIAMONDS TWO HEARTS SIX,0.6266,0.0262,0.3472
SPADES TEN DIAMONDS SEVEN,0.256,0.2816,0.4624
HEARTS EIGHT DIAMONDS NINE,0.5432,0.0272,0.4296
CLUBS TEN CLUBS ACE,0.2654,0.0222,0.7124
SPADES TWO DIAMONDS FOUR,0.6384,0.0314,0.3302
CLUBS SIX HEARTS QUEEN,0.4024,0.011,0.5866
CLUBS EIGHT HEARTS FOUR,0.6406,0.0246,0.3348
HEARTS FOUR DIAMONDS KING,0.408,0.007,0.585
DIAMONDS EIGHT HEARTS JACK,0.3688,0.0166,0.6146
CLUBS NINE DIAMONDS KING,0.3796,0.009,0.6114
CLUBS TEN SPADES EIGHT,0.2784,0.221,0.5006
CLUBS TEN DIAMONDS SEVEN,0.258,0.2736,0.4684
SPADES FIVE HEARTS JACK,0.2842,0.0606,0.6552
DIAMONDS TWO SPADES THREE,0.649,0.0302,0.3208
CLUBS FOUR CLUBS TWO,0.6132,0.0262,0.3606
CLUBS FIVE DIAMONDS QUEEN,0.2836,0.045,0.6714
CLUBS FIVE HEARTS TEN,0.076,0.8996,0.0244
SPADES QUEEN HEARTS FOUR,0.4258,0.0106,0.5636
CLUBS EIGHT CLUBS KING,0.3912,0.009,0.5998
CLUBS EIGHT DIAMONDS SIX,0.5824,0.0274,0.3902
CLUBS EIGHT HEARTS JACK,0.3846,0.0142,0.6012
CLUBS JACK HEARTS NINE,0.3802,0.0184,0.6014
SPADES KING SPADES SIX,0.3714,0.007,0.6216
HEARTS FIVE HEARTS KING,0.2642,0.0356,0.7002
HEARTS TWO HEARTS TEN,0.3334,0.4096,0.257
CLUBS NINE CLUBS TWO,0.6018,0.0232,0.375
SPADES QUEEN CLUBS SEVEN,0.4002,0.0128,0.587
CLUBS FOUR CLUBS QUEEN,0.3958,0.0082,0.596
SPADES ACE HEARTS ACE,0.183,0.0028,0.8142
SPADES QUEEN HEARTS SIX,0.3928,0.0098,0.5974
CLUBS SEVEN CLUBS QUEEN,0.3702,0.0118,0.618
SPADES TWO CLUBS QUEEN,0.4364,0.0094,0.5542
CLUBS JACK DIAMONDS NINE,0.3674,0.0158,0.6168
CLUBS SIX SPADES EIGHT,0.5794,0.0252,0.3954
HEARTS SEVEN DIAMONDS SEVEN,0.3178,0.0566,0.6256
CLUBS JACK HEARTS FIVE,0.2916,0.0566,0.6518
DIAMONDS THREE SPADES FIVE,0.6622,0.078,0.2598
DIAMONDS THREE DIAMONDS EIGHT,0.6404,0.0284,0.3312
CLUBS EIGHT DIAMONDS EIGHT,0.3182,0.0432,0.6386
SPADES QUEEN CLUBS QUEEN,0.1846,0.0136,0.8018
CLUBS NINE DIAMONDS FOUR,0.6338,0.0276,0.3386
DIAMONDS NINE SPADES TWO,0.6344,0.028,0.3376
CLUBS THREE DIAMONDS JACK,0.4154,0.0168,0.5678
CLUBS SIX DIAMONDS EIGHT,0.5738,0.0262,0.4
SPADES FOUR DIAMONDS NINE,0.6366,0.0272,0.3362
SPADES THREE HEARTS JACK,0.4312,0.0166,0.5522
SPADES JACK DIAMONDS NINE,0.3576,0.016,0.6264
CLUBS NINE CLUBS KING,0.3678,0.0074,0.6248
HEARTS QUEEN HEARTS NINE,0.3618,0.0106,0.6276
SPADES NINE SPADES SIX,0.565,0.0222,0.4128
CLUBS SIX DIAMONDS FOUR,0.5974,0.0302,0.3724
HEARTS SEVEN DIAMONDS QUEEN,0.3964,0.0118,0.5918
DIAMONDS TWO DIAMONDS NINE,0.6288,0.0304,0.3408
SPADES SIX HEARTS TEN,0.2746,0.352,0.3734
HEARTS EIGHT DIAMONDS JACK,0.3724,0.0186,0.609
CLUBS SEVEN DIAMONDS SEVEN,0.3206,0.0566,0.6228
