opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE DIAMONDS THREE
SPADES JACK SPADES SIX,0.3838,0.019,0.5972
SPADES QUEEN SPADES FOUR,0.3898,0.0148,0.5954
CLUBS EIGHT CLUBS SIX,0.3554,0.0586,0.586
SPADES ACE HEARTS EIGHT,0.396,0.003,0.601
DIAMONDS TWO SPADES TEN,0.4486,0.0336,0.5178
DIAMONDS TWO DIAMONDS JACK,0.4014,0.0234,0.5752
HEARTS THREE CLUBS KING,0.315,0.0318,0.6532
DIAMONDS TWO SPADES THREE,0.4316,0.3664,0.202
CLUBS SIX HEARTS TWO,0.4344,0.1556,0.41
SPADES EIGHT HEARTS KING,0.4068,0.0088,0.5844
CLUBS SIX SPADES EIGHT,0.3936,0.0586,0.5478
SPADES QUEEN CLUBS EIGHT,0.3874,0.0144,0.5982
SPADES SIX DIAMONDS JACK,0.389,0.0194,0.5916
DIAMONDS KING HEARTS JACK,0.3782,0.0112,0.6106
HEARTS QUEEN DIAMONDS SIX,0.39,0.0138,0.5962
HEARTS SIX DIAMONDS QUEEN,0.401,0.0122,0.5868
CLUBS JACK HEARTS NINE,0.3964,0.0202,0.5834
HEARTS SIX CLUBS THREE,0.2946,0.2564,0.449
SPADES FIVE CLUBS TWO,0.309,0.4838,0.2072
DIAMONDS KING SPADES THREE,0.3112,0.0282,0.6606
CLUBS JACK SPADES THREE,0.3316,0.0534,0.615
SPADES JACK SPADES THREE,0.305,0.0514,0.6436
SPADES TWO HEARTS NINE,0.456,0.0446,0.4994
DIAMONDS JACK HEARTS QUEEN,0.3812,0.0096,0.6092
SPADES ACE CLUBS FOUR,0.4008,0.0058,0.5934
SPADES SEVEN HEARTS QUEEN,0.4016,0.0108,0.5876
SPADES NINE HEARTS THREE,0.316,0.107,0.577
CLUBS EIGHT CLUBS SEVEN,0.3372,0.0594,0.6034
SPADES ACE DIAMONDS ACE,0.1908,0.0046,0.8046
HEARTS EIGHT HEARTS SEVEN,0.363,0.0552,0.5818
SPADES QUEEN CLUBS QUEEN,0.2154,0.034,0.7506
SPADES FOUR HEARTS KING,0.4312,0.01,0.5588
CLUBS JACK CLUBS EIGHT,0.3766,0.0166,0.6068
SPADES QUEEN CLUBS SIX,0.4124,0.0128,0.5748
CLUBS THREE DIAMONDS SIX,0.274,0.2496,0.4764
HEARTS TWO SPADES FOUR,0.445,0.2408,0.3142
SPADES ACE SPADES TWO,0.4144,0.005,0.5806
CLUBS SIX CLUBS THREE,0.2764,0.246,0.4776
CLUBS SIX DIAMONDS NINE,0.3764,0.0472,0.5764
SPADES QUEEN SPADES SIX,0.3868,0.0124,0.6008
SPADES TWO DIAMONDS EIGHT,0.4368,0.0674,0.4958
SPADES ACE SPADES NINE,0.3842,0.006,0.6098
SPADES SIX DIAMONDS SEVEN,0.355,0.088,0.557
SPADES FIVE DIAMONDS JACK,0.3104,0.0674,0.6222
HEARTS FIVE SPADES SIX,0.293,0.2482,0.4588
SPADES FIVE HEARTS ACE,0.294,0.0274,0.6786
CLUBS FIVE HEARTS ACE,0.296,0.026,0.678
CLUBS TEN CLUBS QUEEN,0.363,0.007,0.63
HEARTS FIVE SPADES EIGHT,0.2968,0.1472,0.556
CLUBS THREE HEARTS ACE,0.2996,0.017,0.6834
