opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE HEARTS FOUR
HEARTS ACE CLUBS ACE,0.1672,0.0044,0.8284
CLUBS THREE SPADES FIVE,0.2682,0.5158,0.216
CLUBS SIX SPADES TWO,0.4314,0.1608,0.4078
HEARTS SEVEN HEARTS JACK,0.354,0.0216,0.6244
HEARTS FIVE SPADES THREE,0.273,0.5068,0.2202
SPADES SIX SPADES TWO,0.3932,0.1546,0.4522
SPADES KING CLUBS SIX,0.3786,0.0078,0.6136
SPADES QUEEN CLUBS FOUR,0.302,0.043,0.655
SPADES JACK HEARTS TEN,0.346,0.0174,0.6366
CLUBS JACK DIAMONDS KING,0.364,0.008,0.628
SPADES JACK CLUBS ACE,0.3774,0.0056,0.617
DIAMONDS QUEEN CLUBS QUEEN,0.186,0.0336,0.7804
HEARTS SIX CLUBS SIX,0.147,0.1218,0.7312
CLUBS TEN DIAMONDS SIX,0.3578,0.0298,0.6124
DIAMONDS TWO HEARTS JACK,0.4234,0.0236,0.553
HEARTS SIX SPADES THREE,0.398,0.1602,0.4418
CLUBS TWO CLUBS ACE,0.3798,0.0054,0.6148
DIAMONDS KING DIAMONDS TEN,0.3514,0.0082,0.6404
CLUBS TEN SPADES EIGHT,0.377,0.0224,0.6006
SPADES TEN DIAMONDS KING,0.374,0.0072,0.6188
CLUBS NINE SPADES NINE,0.1964,0.0804,0.7232
CLUBS TEN CLUBS NINE,0.3302,0.022,0.6478
DIAMONDS THREE DIAMONDS TEN,0.3964,0.0348,0.5688
SPADES ACE HEARTS SIX,0.3704,0.0038,0.6258
CLUBS JACK SPADES JACK,0.1932,0.0492,0.7576
HEARTS EIGHT DIAMONDS TWO,0.4196,0.0718,0.5086
SPADES NINE CLUBS ACE,0.3776,0.0038,0.6186
DIAMONDS THREE SPADES THREE,0.3534,0.1498,0.4968
CLUBS NINE SPADES SIX,0.3702,0.0434,0.5864
DIAMONDS QUEEN HEARTS NINE,0.358,0.0126,0.6294
DIAMONDS THREE SPADES QUEEN,0.4394,0.016,0.5446
DIAMONDS EIGHT HEARTS TEN,0.354,0.0306,0.6154
DIAMONDS THREE HEARTS NINE,0.4228,0.0496,0.5276
SPADES QUEEN CLUBS FIVE,0.291,0.0528,0.6562
SPADES KING DIAMONDS KING,0.1752,0.0188,0.806
SPADES EIGHT DIAMONDS TEN,0.364,0.025,0.611
SPADES EIGHT HEARTS TEN,0.3698,0.0266,0.6036
DIAMONDS TWO DIAMONDS KING,0.4136,0.0094,0.577
CLUBS TEN CLUBS TWO,0.398,0.0308,0.5712
CLUBS NINE CLUBS TWO,0.3942,0.0438,0.562
CLUBS JACK SPADES EIGHT,0.3818,0.016,0.6022
SPADES NINE DIAMONDS JACK,0.3496,0.0162,0.6342
SPADES NINE CLUBS FOUR,0.2898,0.1074,0.6028
SPADES ACE HEARTS TWO,0.4076,0.0052,0.5872
CLUBS JACK SPADES TWO,0.4324,0.021,0.5466
DIAMONDS KING HEARTS NINE,0.3656,0.007,0.6274
DIAMONDS THREE DIAMONDS KING,0.399,0.01,0.591
CLUBS NINE HEARTS THREE,0.4246,0.0472,0.5282
DIAMONDS THREE HEARTS JACK,0.418,0.0212,0.5608
CLUBS FOUR SPADES THREE,0.4202,0.3526,0.2272
HEARTS SIX HEARTS NINE,0.3402,0.0438,0.616
SPADES KING DIAMONDS QUEEN,0.3774,0.0082,0.6144
CLUBS FOUR CLUBS ACE,0.2546,0.0224,0.723
CLUBS ACE DIAMONDS FOUR,0.2756,0.0224,0.702
SPADES KING CLUBS QUEEN,0.3608,0.0058,0.6334
SPADES NINE SPADES FIVE,0.2602,0.0996,0.6402
DIAMONDS KING CLUBS ACE,0.3722,0.0056,0.6222
CLUBS TWO DIAMONDS TEN,0.4252,0.028,0.5468
HEARTS SEVEN CLUBS FOUR,0.2622,0.2012,0.5366
HEARTS TEN HEARTS NINE,0.3308,0.0216,0.6476
DIAMONDS TEN DIAMONDS SEVEN,0.35,0.031,0.619
CLUBS SIX DIAMONDS NINE,0.3586,0.0462,0.5952
HEARTS FIVE DIAMONDS SEVEN,0.248,0.208,0.544
HEARTS SIX DIAMONDS JACK,0.3618,0.0238,0.6144
CLUBS EIGHT CLUBS ACE,0.3462,0.0054,0.6484
CLUBS SEVEN CLUBS ACE,0.3456,0.0062,0.6482
CLUBS FIVE DIAMONDS TEN,0.287,0.0876,0.6254
CLUBS FIVE DIAMONDS FOUR,0.0178,0.9714,0.0108
SPADES FIVE HEARTS KING,0.2874,0.044,0.6686
SPADES QUEEN SPADES THREE,0.3996,0.0132,0.5872
HEARTS SIX SPADES NINE,0.3504,0.0476,0.602
HEARTS FIVE SPADES EIGHT,0.2576,0.1472,0.5952
DIAMONDS KING DIAMONDS JACK,0.3562,0.0086,0.6352
SPADES NINE DIAMONDS NINE,0.1802,0.0758,0.744
SPADES FOUR SPADES THREE,0.398,0.332,0.27
CLUBS SIX DIAMONDS FOUR,0.2544,0.2812,0.4644
HEARTS SEVEN DIAMONDS EIGHT,0.3356,0.0584,0.606
CLUBS SEVEN CLUBS SIX,0.3164,0.0924,0.5912
HEARTS EIGHT DIAMONDS TEN,0.357,0.0268,0.6162
HEARTS TWO SPADES TWO,0.3488,0.1504,0.5008
DIAMONDS THREE DIAMONDS JACK,0.389,0.027,0.584
HEARTS KING CLUBS ACE,0.3712,0.0038,0.625
CLUBS JACK DIAMONDS TEN,0.3516,0.0138,0.6346
HEARTS FIVE DIAMONDS QUEEN,0.2766,0.0542,0.6692
CLUBS FIVE SPADES FOUR,0.0198,0.9578,0.0224
CLUBS JACK HEARTS NINE,0.3562,0.0194,0.6244
CLUBS SEVEN DIAMONDS JACK,0.3762,0.0166,0.6072
SPADES JACK HEARTS NINE,0.3504,0.0154,0.6342
SPADES QUEEN HEARTS FIVE,0.297,0.0478,0.6552
HEARTS FIVE CLUBS SEVEN,0.2424,0.1988,0.5588
DIAMONDS QUEEN DIAMONDS EIGHT,0.3556,0.0146,0.6298
SPADES EIGHT CLUBS KING,0.3844,0.006,0.6096
DIAMONDS THREE SPADES SIX,0.4004,0.158,0.4416
CLUBS TEN HEARTS FIVE,0.2886,0.079,0.6324
DIAMONDS QUEEN HEARTS JACK,0.3694,0.0114,0.6192
CLUBS TEN HEARTS KING,0.3668,0.0076,0.6256
DIAMONDS TWO HEARTS KING,0.4394,0.0116,0.549
SPADES ACE CLUBS NINE,0.3702,0.0056,0.6242
SPADES THREE DIAMONDS NINE,0.4234,0.042,0.5346
HEARTS FIVE HEARTS TWO,0.2684,0.479,0.2526
SPADES EIGHT DIAMONDS EIGHT,0.1644,0.1,0.7356
CLUBS FOUR DIAMONDS NINE,0.2812,0.1074,0.6114
SPADES TEN HEARTS QUEEN,0.3688,0.0112,0.62
CLUBS SIX CLUBS KING,0.3594,0.0076,0.633
CLUBS JACK HEARTS TWO,0.4316,0.0182,0.5502
SPADES TEN CLUBS TWO,0.4156,0.0318,0.5526
SPADES FIVE HEARTS ACE,0.2726,0.0288,0.6986
SPADES KING CLUBS EIGHT,0.3888,0.0094,0.6018
HEARTS SEVEN SPADES FIVE,0.2516,0.1986,0.5498
DIAMONDS JACK DIAMONDS EIGHT,0.3538,0.0194,0.6268
SPADES FIVE HEARTS QUEEN,0.2882,0.0518,0.66
SPADES QUEEN SPADES EIGHT,0.3582,0.0086,0.6332
SPADES QUEEN DIAMONDS TEN,0.3666,0.0118,0.6216
DIAMONDS JACK HEARTS JACK,0.1772,0.0532,0.7696
SPADES SIX CLUBS QUEEN,0.3822,0.0152,0.6026
HEARTS SEVEN DIAMONDS KING,0.3772,0.0092,0.6136
DIAMONDS ACE HEARTS KING,0.3788,0.0056,0.6156
SPADES EIGHT SPADES FIVE,0.2576,0.1488,0.5936
HEARTS THREE DIAMONDS JACK,0.4144,0.018,0.5676
DIAMONDS ACE SPADES FIVE,0.2702,0.0256,0.7042
SPADES KING HEARTS QUEEN,0.3668,0.0074,0.6258
HEARTS ACE CLUBS KING,0.371,0.0062,0.6228
DIAMONDS THREE CLUBS KING,0.4152,0.012,0.5728
HEARTS QUEEN DIAMONDS SIX,0.3746,0.0118,0.6136
CLUBS JACK SPADES NINE,0.3668,0.0198,0.6134
HEARTS EIGHT CLUBS NINE,0.3474,0.04,0.6126
CLUBS TEN DIAMONDS NINE,0.342,0.0252,0.6328
HEARTS SIX CLUBS THREE,0.4014,0.1612,0.4374
CLUBS TWO DIAMONDS SEVEN,0.4222,0.1136,0.4642
SPADES JACK DIAMONDS FOUR,0.2968,0.0548,0.6484
HEARTS JACK HEARTS TEN,0.3408,0.0152,0.644
SPADES TWO HEARTS NINE,0.4106,0.0478,0.5416
CLUBS TEN SPADES TWO,0.4294,0.028,0.5426
CLUBS JACK SPADES SIX,0.373,0.0194,0.6076
DIAMONDS TWO SPADES THREE,0.4728,0.2354,0.2918
SPADES KING CLUBS FIVE,0.2866,0.0414,0.672
SPADES SIX HEARTS KING,0.378,0.0082,0.6138
CLUBS KING DIAMONDS SIX,0.3686,0.008,0.6234
DIAMONDS JACK HEARTS ACE,0.3686,0.0054,0.626
SPADES EIGHT DIAMONDS KING,0.3662,0.0096,0.6242
DIAMONDS THREE SPADES FIVE,0.277,0.5064,0.2166
DIAMONDS KING HEARTS JACK,0.359,0.0082,0.6328
SPADES QUEEN HEARTS QUEEN,0.1822,0.0372,0.7806
SPADES SEVEN CLUBS QUEEN,0.385,0.01,0.605
SPADES JACK DIAMONDS KING,0.3742,0.0088,0.617
DIAMONDS TWO HEARTS TWO,0.3532,0.1546,0.4922
DIAMONDS ACE DIAMONDS SIX,0.3614,0.0056,0.633
SPADES JACK HEARTS JACK,0.1868,0.0496,0.7636
CLUBS SEVEN DIAMONDS SEVEN,0.1616,0.1104,0.728
SPADES QUEEN CLUBS THREE,0.4318,0.0132,0.555
SPADES KING SPADES TEN,0.3462,0.0078,0.646
HEARTS ACE HEARTS NINE,0.3566,0.0048,0.6386
DIAMONDS THREE CLUBS SEVEN,0.414,0.1066,0.4794
HEARTS SIX DIAMONDS SIX,0.134,0.1244,0.7416
HEARTS SEVEN SPADES QUEEN,0.3908,0.0104,0.5988
CLUBS EIGHT HEARTS TEN,0.3694,0.029,0.6016
DIAMONDS TWO SPADES SEVEN,0.4236,0.1036,0.4728
CLUBS THREE DIAMONDS NINE,0.4238,0.046,0.5302
HEARTS KING DIAMONDS SEVEN,0.3634,0.0098,0.6268
HEARTS ACE SPADES THREE,0.3988,0.0052,0.596
SPADES JACK CLUBS TWO,0.4372,0.0202,0.5426
DIAMONDS KING SPADES THREE,0.4216,0.01,0.5684
CLUBS FOUR DIAMONDS SEVEN,0.2562,0.2072,0.5366
HEARTS FIVE SPADES FOUR,0.0098,0.972,0.0182
SPADES TWO DIAMONDS SEVEN,0.4296,0.102,0.4684
HEARTS SEVEN HEARTS ACE,0.3478,0.0046,0.6476
CLUBS EIGHT DIAMONDS SEVEN,0.33,0.06,0.61
SPADES KING DIAMONDS SEVEN,0.3654,0.0082,0.6264
DIAMONDS ACE HEARTS QUEEN,0.3688,0.0056,0.6256
CLUBS ACE HEARTS NINE,0.369,0.006,0.625
CLUBS EIGHT CLUBS KING,0.3662,0.0092,0.6246
DIAMONDS SIX CLUBS QUEEN,0.3666,0.0132,0.6202
CLUBS FIVE DIAMONDS EIGHT,0.2728,0.1436,0.5836
HEARTS ACE DIAMONDS NINE,0.359,0.0046,0.6364
HEARTS EIGHT SPADES TEN,0.3572,0.0284,0.6144
CLUBS JACK SPADES SEVEN,0.382,0.0192,0.5988
SPADES TWO DIAMONDS FOUR,0.4278,0.355,0.2172
SPADES SIX SPADES FOUR,0.2396,0.2638,0.4966
DIAMONDS KING HEARTS ACE,0.368,0.0066,0.6254
DIAMONDS KING CLUBS TWO,0.435,0.0098,0.5552
HEARTS SIX HEARTS TEN,0.357,0.0266,0.6164
CLUBS NINE HEARTS QUEEN,0.371,0.0114,0.6176
SPADES TEN CLUBS ACE,0.3642,0.0042,0.6316
SPADES ACE HEARTS THREE,0.415,0.0062,0.5788
DIAMONDS TWO DIAMONDS ACE,0.3878,0.006,0.6062
DIAMONDS TWO HEARTS NINE,0.4232,0.0486,0.5282
SPADES JACK DIAMONDS TEN,0.344,0.0158,0.6402
SPADES KING DIAMONDS TWO,0.4416,0.009,0.5494
DIAMONDS TWO CLUBS QUEEN,0.4432,0.0164,0.5404
SPADES QUEEN HEARTS TEN,0.3646,0.0116,0.6238
SPADES FIVE SPADES THREE,0.2566,0.4716,0.2718
HEARTS SIX DIAMONDS TEN,0.3656,0.03,0.6044
CLUBS FIVE HEARTS KING,0.266,0.0388,0.6952
HEARTS SIX SPADES TWO,0.4122,0.1608,0.427
SPADES SIX SPADES FIVE,0.2334,0.2536,0.513
HEARTS QUEEN DIAMONDS FOUR,0.2944,0.0506,0.655
HEARTS SEVEN SPADES NINE,0.352,0.0424,0.6056
SPADES EIGHT HEARTS NINE,0.3392,0.0404,0.6204
SPADES FOUR DIAMONDS SEVEN,0.2594,0.2072,0.5334
CLUBS THREE SPADES FOUR,0.4028,0.3736,0.2236
SPADES ACE DIAMONDS ACE,0.1654,0.0028,0.8318
HEARTS THREE HEARTS ACE,0.3958,0.0074,0.5968
SPADES ACE HEARTS JACK,0.3768,0.0058,0.6174
SPADES FOUR SPADES TWO,0.3954,0.3398,0.2648
HEARTS EIGHT CLUBS THREE,0.4234,0.068,0.5086
SPADES FOUR HEARTS KING,0.292,0.0314,0.6766
HEARTS TWO CLUBS FIVE,0.291,0.5016,0.2074
DIAMONDS TEN CLUBS KING,0.36,0.0092,0.6308
SPADES FOUR DIAMONDS TEN,0.2884,0.085,0.6266
DIAMONDS QUEEN SPADES TWO,0.4258,0.0148,0.5594
HEARTS EIGHT DIAMONDS QUEEN,0.377,0.013,0.61
HEARTS SIX CLUBS KING,0.37,0.0084,0.6216
DIAMONDS NINE CLUBS KING,0.3666,0.0064,0.627
CLUBS JACK DIAMONDS JACK,0.187,0.0502,0.7628
SPADES ACE DIAMONDS TWO,0.4108,0.0074,0.5818
SPADES JACK CLUBS KING,0.3726,0.0076,0.6198
CLUBS TEN SPADES FOUR,0.2936,0.0802,0.6262
CLUBS EIGHT CLUBS THREE,0.4102,0.0664,0.5234
SPADES KING SPADES NINE,0.364,0.0082,0.6278
SPADES KING SPADES THREE,0.3996,0.0092,0.5912
SPADES KING DIAMONDS TEN,0.368,0.0082,0.6238
CLUBS JACK SPADES KING,0.3652,0.006,0.6288
CLUBS FOUR SPADES TWO,0.4184,0.3596,0.222
SPADES NINE SPADES SEVEN,0.329,0.044,0.627
HEARTS THREE CLUBS ACE,0.4156,0.005,0.5794
DIAMONDS NINE CLUBS ACE,0.376,0.0046,0.6194
HEARTS SIX DIAMONDS EIGHT,0.3484,0.0664,0.5852
CLUBS NINE CLUBS QUEEN,0.3494,0.0084,0.6422
CLUBS THREE HEARTS QUEEN,0.4126,0.017,0.5704
DIAMONDS TWO HEARTS SIX,0.4204,0.1604,0.4192
DIAMONDS SIX DIAMONDS FOUR,0.2506,0.2498,0.4996
SPADES ACE SPADES SEVEN,0.3488,0.0036,0.6476
CLUBS FIVE SPADES FIVE,0.13,0.1254,0.7446
SPADES FIVE CLUBS QUEEN,0.2842,0.0498,0.666
DIAMONDS THREE HEARTS ACE,0.4122,0.0058,0.582
SPADES TWO HEARTS QUEEN,0.4304,0.0142,0.5554
DIAMONDS TWO SPADES FOUR,0.4292,0.3576,0.2132
HEARTS FIVE SPADES NINE,0.2738,0.1064,0.6198
CLUBS SEVEN DIAMONDS ACE,0.3764,0.005,0.6186
SPADES EIGHT CLUBS FOUR,0.2796,0.148,0.5724
CLUBS THREE CLUBS KING,0.4092,0.0074,0.5834
DIAMONDS QUEEN HEARTS KING,0.3582,0.0114,0.6304
HEARTS SIX DIAMONDS KING,0.3672,0.0082,0.6246
HEARTS THREE SPADES SIX,0.4004,0.1696,0.43
SPADES KING CLUBS FOUR,0.2956,0.032,0.6724
SPADES FIVE DIAMONDS EIGHT,0.2542,0.1546,0.5912
CLUBS SIX HEARTS KING,0.368,0.0102,0.6218
CLUBS THREE CLUBS QUEEN,0.4008,0.0158,0.5834
SPADES TEN HEARTS NINE,0.3436,0.0258,0.6306
SPADES FIVE HEARTS NINE,0.2672,0.1164,0.6164
SPADES SEVEN SPADES SIX,0.313,0.0928,0.5942
CLUBS NINE HEARTS TWO,0.4392,0.0464,0.5144
SPADES NINE DIAMONDS SIX,0.3612,0.0398,0.599
DIAMONDS TWO DIAMONDS SIX,0.408,0.1474,0.4446
DIAMONDS TEN HEARTS JACK,0.3562,0.0126,0.6312
DIAMONDS ACE DIAMONDS KING,0.364,0.0052,0.6308
HEARTS QUEEN CLUBS ACE,0.3798,0.0052,0.615
HEARTS SEVEN DIAMONDS SEVEN,0.1478,0.1138,0.7384
CLUBS ACE HEARTS JACK,0.3762,0.0036,0.6202
SPADES SEVEN CLUBS FOUR,0.271,0.1956,0.5334
HEARTS SIX DIAMONDS QUEEN,0.3652,0.0142,0.6206
SPADES FOUR CLUBS QUEEN,0.3062,0.0456,0.6482
CLUBS KING HEARTS NINE,0.3578,0.0078,0.6344
SPADES JACK DIAMONDS SEVEN,0.3724,0.0188,0.6088
HEARTS EIGHT HEARTS TEN,0.3468,0.0222,0.631
HEARTS TWO DIAMONDS FOUR,0.4226,0.37,0.2074
HEARTS THREE HEARTS JACK,0.4116,0.0188,0.5696
HEARTS ACE HEARTS JACK,0.3546,0.006,0.6394
CLUBS EIGHT SPADES SIX,0.3508,0.057,0.5922
DIAMONDS EIGHT CLUBS QUEEN,0.3776,0.0116,0.6108
HEARTS QUEEN HEARTS JACK,0.3466,0.0106,0.6428
DIAMONDS QUEEN DIAMONDS FOUR,0.2724,0.0432,0.6844
SPADES EIGHT CLUBS TWO,0.4366,0.0686,0.4948
DIAMONDS TWO DIAMONDS TEN,0.4054,0.0356,0.559
SPADES EIGHT SPADES SIX,0.3316,0.0624,0.606
CLUBS JACK DIAMONDS EIGHT,0.3728,0.016,0.6112
SPADES THREE HEARTS TEN,0.4226,0.035,0.5424
HEARTS TEN DIAMONDS SIX,0.3698,0.0322,0.598
HEARTS QUEEN HEARTS NINE,0.3522,0.009,0.6388
DIAMONDS THREE DIAMONDS FOUR,0.3948,0.3598,0.2454
CLUBS TWO DIAMONDS SIX,0.423,0.1574,0.4196
SPADES NINE DIAMONDS EIGHT,0.3544,0.0406,0.605
SPADES TEN SPADES FOUR,0.2678,0.079,0.6532
SPADES EIGHT HEARTS JACK,0.358,0.0152,0.6268
SPADES QUEEN DIAMONDS FOUR,0.3,0.043,0.657
SPADES JACK SPADES TEN,0.3362,0.019,0.6448
SPADES TEN DIAMONDS SIX,0.365,0.0264,0.6086
HEARTS EIGHT SPADES TWO,0.4272,0.0656,0.5072
DIAMONDS KING DIAMONDS QUEEN,0.3612,0.0082,0.6306
CLUBS SIX HEARTS TWO,0.4134,0.1618,0.4248
SPADES ACE CLUBS FOUR,0.2814,0.0192,0.6994
HEARTS JACK CLUBS KING,0.3874,0.0088,0.6038
SPADES TWO CLUBS ACE,0.4058,0.0062,0.588
SPADES NINE DIAMONDS QUEEN,0.3572,0.0104,0.6324
HEARTS EIGHT DIAMONDS KING,0.3692,0.0092,0.6216
SPADES FOUR CLUBS ACE,0.2626,0.0184,0.719
DIAMONDS TWO CLUBS ACE,0.4246,0.0052,0.5702
DIAMONDS ACE SPADES FOUR,0.2586,0.0246,0.7168
DIAMONDS JACK DIAMONDS NINE,0.3482,0.0162,0.6356
DIAMONDS ACE SPADES TWO,0.4206,0.0078,0.5716
CLUBS FOUR CLUBS TWO,0.4,0.3328,0.2672
SPADES TEN DIAMONDS ACE,0.3708,0.0054,0.6238
DIAMONDS THREE CLUBS TEN,0.4166,0.0344,0.549
SPADES JACK CLUBS FIVE,0.2784,0.0644,0.6572
CLUBS TEN HEARTS ACE,0.3662,0.0058,0.628
CLUBS FIVE DIAMONDS JACK,0.2892,0.0688,0.642
SPADES SEVEN HEARTS KING,0.3714,0.007,0.6216
DIAMONDS TWO SPADES TWO,0.3582,0.1506,0.4912
HEARTS SEVEN DIAMONDS ACE,0.3744,0.0044,0.6212
DIAMONDS TEN HEARTS QUEEN,0.3614,0.0098,0.6288
HEARTS TWO HEARTS TEN,0.3988,0.0318,0.5694
CLUBS THREE HEARTS TEN,0.4162,0.0282,0.5556
CLUBS TWO DIAMONDS NINE,0.4152,0.0484,0.5364
SPADES QUEEN DIAMONDS SEVEN,0.3784,0.0132,0.6084
CLUBS TWO DIAMONDS FOUR,0.4244,0.3706,0.205
HEARTS EIGHT SPADES QUEEN,0.3712,0.0106,0.6182
SPADES SEVEN DIAMONDS SIX,0.3452,0.0902,0.5646
DIAMONDS EIGHT HEARTS JACK,0.3642,0.0196,0.6162
DIAMONDS THREE DIAMONDS TWO,0.452,0.2304,0.3176
DIAMONDS THREE SPADES TWO,0.471,0.235,0.294
CLUBS EIGHT SPADES THREE,0.4258,0.071,0.5032
SPADES TEN CLUBS FIVE,0.2944,0.0812,0.6244
DIAMONDS EIGHT CLUBS ACE,0.3528,0.0068,0.6404
CLUBS TEN CLUBS THREE,0.3998,0.0288,0.5714
CLUBS JACK HEARTS QUEEN,0.3736,0.0136,0.6128
SPADES THREE DIAMONDS FOUR,0.4314,0.3532,0.2154
DIAMONDS TWO CLUBS FIVE,0.2892,0.5046,0.2062
HEARTS SIX SPADES FIVE,0.2472,0.2656,0.4872
DIAMONDS TEN DIAMONDS EIGHT,0.3434,0.029,0.6276
HEARTS THREE CLUBS FIVE,0.2704,0.5092,0.2204
DIAMONDS NINE DIAMONDS FOUR,0.2666,0.1026,0.6308
HEARTS SIX DIAMONDS FOUR,0.2434,0.2766,0.48
CLUBS NINE CLUBS THREE,0.3954,0.0436,0.561
HEARTS SEVEN SPADES EIGHT,0.3516,0.0658,0.5826
DIAMONDS ACE CLUBS TWO,0.4046,0.0066,0.5888
SPADES QUEEN CLUBS NINE,0.3708,0.0106,0.6186
CLUBS TEN SPADES THREE,0.4328,0.0304,0.5368
CLUBS EIGHT DIAMONDS KING,0.3736,0.008,0.6184
CLUBS TEN DIAMONDS ACE,0.3884,0.005,0.6066
CLUBS SIX DIAMONDS KING,0.3822,0.0086,0.6092
HEARTS TWO CLUBS TWO,0.3636,0.147,0.4894
SPADES KING CLUBS NINE,0.3854,0.0078,0.6068
SPADES SEVEN DIAMONDS JACK,0.379,0.0214,0.5996
SPADES SEVEN DIAMONDS FOUR,0.272,0.2054,0.5226
HEARTS KING DIAMONDS FOUR,0.2734,0.0352,0.6914
DIAMONDS EIGHT DIAMONDS SEVEN,0.3268,0.0586,0.6146
SPADES FOUR HEARTS ACE,0.265,0.0188,0.7162
SPADES ACE HEARTS TEN,0.3538,0.0052,0.641
HEARTS EIGHT CLUBS TEN,0.3552,0.0284,0.6164
CLUBS TEN DIAMONDS JACK,0.361,0.0162,0.6228
CLUBS TWO HEARTS JACK,0.4262,0.0246,0.5492
HEARTS TWO DIAMONDS EIGHT,0.4172,0.0638,0.519
DIAMONDS QUEEN DIAMONDS NINE,0.3478,0.0092,0.643
SPADES TEN DIAMONDS SEVEN,0.3764,0.0266,0.597
DIAMONDS THREE SPADES SEVEN,0.4188,0.0986,0.4826
CLUBS FIVE CLUBS ACE,0.2522,0.022,0.7258
CLUBS ACE DIAMONDS SEVEN,0.376,0.005,0.619
DIAMONDS TEN DIAMONDS SIX,0.3532,0.0306,0.6162
DIAMONDS KING DIAMONDS SEVEN,0.3566,0.0074,0.636
SPADES ACE CLUBS TEN,0.3708,0.0046,0.6246
CLUBS JACK HEARTS TEN,0.3628,0.0148,0.6224
HEARTS SIX SPADES EIGHT,0.3544,0.0612,0.5844
SPADES SEVEN HEARTS NINE,0.3556,0.0458,0.5986
HEARTS EIGHT HEARTS NINE,0.3358,0.0418,0.6224
SPADES NINE SPADES FOUR,0.2612,0.1,0.6388
SPADES EIGHT DIAMONDS SIX,0.3424,0.0698,0.5878
CLUBS SEVEN SPADES SEVEN,0.163,0.1108,0.7262
HEARTS SEVEN SPADES THREE,0.4306,0.099,0.4704
HEARTS EIGHT SPADES FOUR,0.2796,0.1482,0.5722
CLUBS JACK DIAMONDS FOUR,0.2998,0.0584,0.6418
SPADES JACK HEARTS QUEEN,0.3622,0.0106,0.6272
SPADES ACE DIAMONDS SIX,0.3766,0.005,0.6184
SPADES NINE HEARTS TEN,0.344,0.022,0.634
CLUBS TEN HEARTS SEVEN,0.361,0.0286,0.6104
SPADES EIGHT SPADES THREE,0.3946,0.069,0.5364
CLUBS NINE HEARTS NINE,0.185,0.0864,0.7286
CLUBS TEN HEARTS TEN,0.171,0.0628,0.7662
HEARTS SIX HEARTS QUEEN,0.3628,0.0122,0.625
CLUBS EIGHT HEARTS TWO,0.4282,0.0652,0.5066
CLUBS FIVE CLUBS THREE,0.256,0.487,0.257
SPADES THREE HEARTS KING,0.4014,0.0124,0.5862
CLUBS SEVEN SPADES FIVE,0.2684,0.2062,0.5254
SPADES QUEEN SPADES JACK,0.3396,0.01,0.6504
HEARTS SEVEN DIAMONDS TWO,0.4234,0.1044,0.4722
DIAMONDS THREE DIAMONDS ACE,0.3972,0.005,0.5978
HEARTS SEVEN HEARTS QUEEN,0.3708,0.0106,0.6186
CLUBS FIVE CLUBS FOUR,0.022,0.9116,0.0664
HEARTS TWO DIAMONDS NINE,0.4224,0.0488,0.5288
DIAMONDS ACE SPADES SEVEN,0.378,0.0038,0.6182
CLUBS FIVE CLUBS TWO,0.2738,0.4596,0.2666
SPADES EIGHT HEARTS KING,0.3842,0.0078,0.608
CLUBS TWO HEARTS TEN,0.4232,0.0352,0.5416
SPADES QUEEN CLUBS TWO,0.435,0.0168,0.5482
SPADES THREE HEARTS QUEEN,0.4116,0.0142,0.5742
HEARTS SIX DIAMONDS NINE,0.3534,0.0456,0.601
HEARTS SEVEN SPADES FOUR,0.2626,0.1966,0.5408
SPADES ACE SPADES EIGHT,0.3512,0.0044,0.6444
CLUBS TEN SPADES NINE,0.3366,0.0238,0.6396
HEARTS TWO CLUBS ACE,0.4266,0.0058,0.5676
SPADES THREE DIAMONDS EIGHT,0.4164,0.0652,0.5184
HEARTS FIVE HEARTS ACE,0.252,0.0278,0.7202
SPADES EIGHT DIAMONDS NINE,0.3492,0.0396,0.6112
CLUBS TWO HEARTS KING,0.4328,0.0092,0.558
DIAMONDS ACE CLUBS THREE,0.4078,0.005,0.5872
DIAMONDS NINE DIAMONDS EIGHT,0.3442,0.0344,0.6214
SPADES SIX DIAMONDS JACK,0.3746,0.0176,0.6078
CLUBS JACK HEARTS KING,0.3566,0.0088,0.6346
CLUBS NINE DIAMONDS SEVEN,0.3486,0.0394,0.612
HEARTS SEVEN HEARTS SIX,0.315,0.0978,0.5872
CLUBS EIGHT HEARTS KING,0.378,0.0062,0.6158
DIAMONDS EIGHT CLUBS KING,0.3798,0.0092,0.611
