opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE HEARTS NINE
CLUBS FOUR CLUBS KING,0.3766,0.0054,0.618
SPADES TWO HEARTS QUEEN,0.4086,0.0124,0.579
CLUBS FOUR SPADES FOUR,0.389,0.0762,0.5348
CLUBS SEVEN DIAMONDS KING,0.3684,0.0064,0.6252
SPADES ACE DIAMONDS KING,0.3406,0.006,0.6534
SPADES SIX DIAMONDS TEN,0.3566,0.0246,0.6188
CLUBS SIX SPADES EIGHT,0.5512,0.0422,0.4066
CLUBS TEN HEARTS SIX,0.3634,0.024,0.6126
CLUBS FOUR DIAMONDS JACK,0.402,0.0178,0.5802
CLUBS THREE SPADES THREE,0.391,0.0858,0.5232
CLUBS TWO HEARTS EIGHT,0.6282,0.044,0.3278
SPADES KING HEARTS FIVE,0.2608,0.0358,0.7034
SPADES THREE CLUBS KING,0.395,0.0072,0.5978
CLUBS SIX SPADES TWO,0.606,0.0412,0.3528
DIAMONDS QUEEN HEARTS KING,0.3198,0.0082,0.672
DIAMONDS THREE CLUBS KING,0.4184,0.008,0.5736
CLUBS FOUR DIAMONDS TEN,0.3948,0.0278,0.5774
DIAMONDS TWO SPADES EIGHT,0.6238,0.0432,0.333
HEARTS KING CLUBS KING,0.1556,0.016,0.8284
CLUBS TEN SPADES EIGHT,0.3512,0.0258,0.623
DIAMONDS JACK SPADES FOUR,0.3942,0.0208,0.585
CLUBS FIVE SPADES SIX,0.6316,0.1012,0.2672
CLUBS EIGHT HEARTS KING,0.3692,0.0074,0.6234
CLUBS FOUR DIAMONDS KING,0.4034,0.0066,0.59
HEARTS SIX CLUBS NINE,0.2252,0.3822,0.3926
SPADES EIGHT HEARTS QUEEN,0.3438,0.012,0.6442
SPADES KING CLUBS NINE,0.2468,0.0344,0.7188
DIAMONDS KING HEARTS ACE,0.326,0.007,0.667
DIAMONDS KING DIAMONDS JACK,0.3166,0.0066,0.6768
HEARTS THREE SPADES NINE,0.3342,0.4604,0.2054
SPADES TWO HEARTS EIGHT,0.6258,0.0444,0.3298
SPADES JACK DIAMONDS EIGHT,0.3416,0.0164,0.642
CLUBS JACK HEARTS THREE,0.4032,0.019,0.5778
HEARTS FIVE CLUBS EIGHT,0.6518,0.104,0.2442
CLUBS EIGHT HEARTS FOUR,0.619,0.0424,0.3386
HEARTS SIX SPADES SIX,0.2712,0.0722,0.6566
CLUBS TEN DIAMONDS SEVEN,0.3566,0.0214,0.622
CLUBS JACK CLUBS EIGHT,0.3314,0.0168,0.6518
SPADES KING HEARTS TWO,0.4116,0.0072,0.5812
DIAMONDS THREE DIAMONDS FOUR,0.5778,0.0464,0.3758
CLUBS SEVEN HEARTS JACK,0.3592,0.0138,0.627
SPADES EIGHT DIAMONDS KING,0.3692,0.0066,0.6242
DIAMONDS THREE SPADES EIGHT,0.6256,0.0442,0.3302
HEARTS FIVE HEARTS TWO,0.6194,0.1074,0.2732
DIAMONDS QUEEN CLUBS KING,0.3342,0.0066,0.6592
CLUBS FIVE DIAMONDS ACE,0.258,0.0214,0.7206
HEARTS FOUR CLUBS SIX,0.5962,0.0422,0.3616
DIAMONDS THREE HEARTS FIVE,0.629,0.1136,0.2574
HEARTS SIX CLUBS SIX,0.2686,0.0726,0.6588
DIAMONDS ACE CLUBS KING,0.3376,0.0048,0.6576
CLUBS FIVE SPADES TWO,0.6376,0.1066,0.2558
CLUBS EIGHT CLUBS QUEEN,0.3486,0.0114,0.64
SPADES EIGHT HEARTS ACE,0.3572,0.0056,0.6372
CLUBS JACK SPADES SEVEN,0.3658,0.017,0.6172
HEARTS QUEEN CLUBS KING,0.3186,0.0066,0.6748
CLUBS EIGHT DIAMONDS QUEEN,0.3512,0.0106,0.6382
SPADES QUEEN HEARTS FOUR,0.413,0.0108,0.5762
HEARTS SIX SPADES JACK,0.3714,0.018,0.6106
HEARTS SIX CLUBS KING,0.3766,0.0074,0.616
HEARTS KING DIAMONDS EIGHT,0.3584,0.0104,0.6312
CLUBS NINE SPADES THREE,0.3254,0.4494,0.2252
CLUBS THREE HEARTS EIGHT,0.6226,0.046,0.3314
DIAMONDS TWO HEARTS KING,0.3886,0.0118,0.5996
SPADES ACE SPADES SIX,0.348,0.0026,0.6494
CLUBS TEN SPADES FOUR,0.3978,0.0258,0.5764
SPADES TEN CLUBS SIX,0.3554,0.0284,0.6162
SPADES NINE CLUBS KING,0.2446,0.0376,0.7178
DIAMONDS ACE DIAMONDS FOUR,0.3584,0.0068,0.6348
CLUBS TWO DIAMONDS FOUR,0.6114,0.0466,0.342
DIAMONDS TWO SPADES SIX,0.6102,0.0416,0.3482
CLUBS TEN CLUBS KING,0.312,0.0052,0.6828
CLUBS SIX SPADES FOUR,0.5672,0.0468,0.386
HEARTS FIVE SPADES SEVEN,0.6364,0.1064,0.2572
CLUBS SIX DIAMONDS FOUR,0.5952,0.0482,0.3566
CLUBS EIGHT CLUBS ACE,0.3412,0.0042,0.6546
HEARTS FIVE HEARTS EIGHT,0.6262,0.1014,0.2724
DIAMONDS EIGHT DIAMONDS SEVEN,0.5056,0.0394,0.455
CLUBS FIVE CLUBS TWO,0.596,0.1088,0.2952
SPADES NINE SPADES SIX,0.2236,0.3504,0.426
