opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE HEARTS QUEEN
DIAMONDS TEN HEARTS EIGHT,0.5572,0.0104,0.4324
HEARTS THREE CLUBS QUEEN,0.3218,0.4608,0.2174
CLUBS JACK SPADES FIVE,0.712,0.051,0.237
SPADES TEN HEARTS TWO,0.6418,0.0118,0.3464
HEARTS FIVE DIAMONDS ACE,0.2198,0.0272,0.753
HEARTS FIVE DIAMONDS EIGHT,0.6982,0.0458,0.256
DIAMONDS ACE SPADES FIVE,0.231,0.0296,0.7394
CLUBS NINE DIAMONDS SIX,0.577,0.0118,0.4112
CLUBS SEVEN CLUBS THREE,0.5866,0.0118,0.4016
DIAMONDS ACE HEARTS ACE,0.1222,0.0042,0.8736
SPADES TWO DIAMONDS SIX,0.6254,0.015,0.3596
CLUBS THREE HEARTS KING,0.386,0.0072,0.6068
SPADES SIX SPADES TWO,0.5882,0.0132,0.3986
SPADES ACE HEARTS ACE,0.1202,0.0052,0.8746
SPADES ACE DIAMONDS NINE,0.3582,0.0048,0.637
HEARTS TWO HEARTS NINE,0.5964,0.0116,0.392
SPADES KING DIAMONDS NINE,0.3514,0.0074,0.6412
CLUBS TWO HEARTS NINE,0.6344,0.0128,0.3528
HEARTS SIX HEARTS EIGHT,0.5498,0.0124,0.4378
SPADES QUEEN HEARTS TWO,0.3268,0.4594,0.2138
DIAMONDS ACE SPADES FOUR,0.3724,0.0048,0.6228
CLUBS SEVEN HEARTS ACE,0.349,0.0054,0.6456
HEARTS TWO HEARTS TEN,0.6018,0.0146,0.3836
DIAMONDS SEVEN CLUBS QUEEN,0.2272,0.3006,0.4722
SPADES SIX DIAMONDS SIX,0.3232,0.03,0.6468
DIAMONDS KING HEARTS JACK,0.337,0.008,0.655
SPADES QUEEN DIAMONDS NINE,0.2324,0.171,0.5966
DIAMONDS THREE HEARTS NINE,0.6488,0.0128,0.3384
HEARTS SEVEN SPADES SEVEN,0.3184,0.025,0.6566
SPADES ACE HEARTS JACK,0.3456,0.0044,0.65
DIAMONDS KING HEARTS ACE,0.3182,0.0074,0.6744
SPADES ACE SPADES FIVE,0.2186,0.0254,0.756
DIAMONDS KING CLUBS QUEEN,0.225,0.03,0.745
CLUBS JACK CLUBS TWO,0.597,0.0116,0.3914
CLUBS NINE DIAMONDS SEVEN,0.5584,0.011,0.4306
DIAMONDS KING DIAMONDS QUEEN,0.2372,0.0232,0.7396
HEARTS TEN CLUBS QUEEN,0.2234,0.1198,0.6568
DIAMONDS ACE SPADES THREE,0.3776,0.004,0.6184
CLUBS TEN CLUBS SIX,0.5614,0.009,0.4296
HEARTS SIX CLUBS ACE,0.3606,0.0058,0.6336
CLUBS THREE DIAMONDS SIX,0.6216,0.012,0.3664
HEARTS FOUR HEARTS ACE,0.358,0.005,0.637
SPADES ACE SPADES TWO,0.366,0.004,0.63
SPADES KING DIAMONDS EIGHT,0.3692,0.009,0.6218
