opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE HEARTS THREE
HEARTS FOUR HEARTS QUEEN,0.3708,0.0126,0.6166
SPADES NINE DIAMONDS ACE,0.3722,0.0054,0.6224
SPADES KING SPADES SEVEN,0.3426,0.0062,0.6512
DIAMONDS THREE CLUBS THREE,0.2606,0.1172,0.6222
HEARTS FIVE SPADES EIGHT,0.2514,0.1476,0.601
DIAMONDS ACE DIAMONDS SEVEN,0.342,0.0066,0.6514
HEARTS SEVEN DIAMONDS TEN,0.35,0.0284,0.6216
SPADES NINE DIAMONDS SIX,0.351,0.0438,0.6052
CLUBS EIGHT CLUBS SIX,0.3226,0.0626,0.6148
CLUBS TEN SPADES NINE,0.3624,0.021,0.6166
HEARTS FOUR HEARTS TEN,0.3706,0.0354,0.594
CLUBS SIX DIAMONDS JACK,0.3674,0.02,0.6126
HEARTS FOUR CLUBS KING,0.3784,0.0078,0.6138
CLUBS SEVEN HEARTS JACK,0.3484,0.0156,0.636
SPADES JACK SPADES SIX,0.3526,0.0196,0.6278
DIAMONDS ACE DIAMONDS EIGHT,0.3458,0.0066,0.6476
SPADES ACE DIAMONDS ACE,0.1468,0.0048,0.8484
SPADES QUEEN HEARTS TEN,0.3484,0.0112,0.6404
HEARTS TWO DIAMONDS EIGHT,0.412,0.0716,0.5164
HEARTS TWO DIAMONDS ACE,0.3934,0.0064,0.6002
DIAMONDS NINE SPADES TWO,0.4188,0.0518,0.5294
CLUBS TEN DIAMONDS KING,0.3578,0.0072,0.635
DIAMONDS THREE HEARTS FIVE,0.0082,0.9838,0.008
SPADES JACK SPADES TEN,0.319,0.0176,0.6634
SPADES NINE DIAMONDS NINE,0.1616,0.079,0.7594
SPADES TEN HEARTS KING,0.3608,0.0062,0.633
CLUBS FOUR SPADES TWO,0.4268,0.2456,0.3276
CLUBS SEVEN SPADES FOUR,0.3554,0.1056,0.539
HEARTS SEVEN HEARTS ACE,0.3426,0.004,0.6534
CLUBS EIGHT DIAMONDS TEN,0.3464,0.0244,0.6292
HEARTS JACK HEARTS NINE,0.3484,0.0184,0.6332
HEARTS TWO DIAMONDS JACK,0.4138,0.0228,0.5634
HEARTS SEVEN SPADES SEVEN,0.1542,0.1088,0.737
HEARTS TWO SPADES SIX,0.4136,0.1672,0.4192
SPADES JACK HEARTS FIVE,0.2592,0.0664,0.6744
CLUBS TEN DIAMONDS SIX,0.3648,0.0324,0.6028
DIAMONDS KING DIAMONDS QUEEN,0.3288,0.0074,0.6638
DIAMONDS NINE HEARTS TEN,0.3304,0.0234,0.6462
CLUBS FOUR SPADES FIVE,0.2132,0.5118,0.275
SPADES FIVE CLUBS QUEEN,0.2754,0.053,0.6716
CLUBS NINE CLUBS TWO,0.4016,0.045,0.5534
CLUBS JACK CLUBS EIGHT,0.3392,0.0172,0.6436
DIAMONDS THREE SPADES FIVE,0.017,0.9704,0.0126
DIAMONDS ACE CLUBS KING,0.3574,0.0054,0.6372
DIAMONDS THREE SPADES QUEEN,0.2884,0.0478,0.6638
SPADES THREE CLUBS ACE,0.2728,0.0184,0.7088
DIAMONDS THREE HEARTS TWO,0.4174,0.3802,0.2024
SPADES KING CLUBS FOUR,0.3834,0.0086,0.608
CLUBS FOUR HEARTS JACK,0.3838,0.019,0.5972
CLUBS NINE DIAMONDS SIX,0.334,0.0406,0.6254
HEARTS TWO DIAMONDS TEN,0.4136,0.0316,0.5548
SPADES JACK DIAMONDS FOUR,0.3796,0.0212,0.5992
CLUBS NINE HEARTS SIX,0.3528,0.044,0.6032
CLUBS TEN SPADES JACK,0.3556,0.015,0.6294
CLUBS NINE SPADES TWO,0.4188,0.054,0.5272
SPADES KING CLUBS TWO,0.4164,0.0116,0.572
SPADES KING DIAMONDS TEN,0.3568,0.011,0.6322
CLUBS TEN HEARTS FOUR,0.3788,0.0306,0.5906
DIAMONDS KING HEARTS JACK,0.3562,0.0088,0.635
DIAMONDS EIGHT HEARTS JACK,0.3478,0.0174,0.6348
CLUBS JACK HEARTS ACE,0.3494,0.0058,0.6448
CLUBS THREE DIAMONDS EIGHT,0.2708,0.1504,0.5788
CLUBS TEN HEARTS JACK,0.349,0.0184,0.6326
DIAMONDS THREE HEARTS KING,0.2784,0.0298,0.6918
CLUBS EIGHT HEARTS JACK,0.3646,0.0186,0.6168
HEARTS SEVEN CLUBS KING,0.3514,0.0072,0.6414
HEARTS FOUR DIAMONDS SIX,0.342,0.1572,0.5008
CLUBS ACE HEARTS JACK,0.3526,0.0062,0.6412
CLUBS EIGHT DIAMONDS SIX,0.3412,0.0616,0.5972
SPADES NINE HEARTS TEN,0.3392,0.0232,0.6376
CLUBS SEVEN HEARTS KING,0.3496,0.0054,0.645
DIAMONDS ACE SPADES SIX,0.3668,0.0052,0.628
DIAMONDS TWO SPADES TWO,0.3286,0.1612,0.5102
CLUBS TWO CLUBS ACE,0.3868,0.0056,0.6076
SPADES SEVEN DIAMONDS NINE,0.3494,0.0432,0.6074
HEARTS SIX CLUBS KING,0.3596,0.0092,0.6312
CLUBS FIVE HEARTS ACE,0.249,0.023,0.728
CLUBS ACE DIAMONDS FOUR,0.3888,0.005,0.6062
CLUBS SEVEN DIAMONDS KING,0.3736,0.0088,0.6176
SPADES ACE HEARTS FOUR,0.3772,0.0052,0.6176
SPADES FIVE DIAMONDS TEN,0.2662,0.0846,0.6492
CLUBS NINE DIAMONDS SEVEN,0.3416,0.0372,0.6212
CLUBS QUEEN HEARTS NINE,0.349,0.013,0.638
HEARTS FOUR CLUBS QUEEN,0.3754,0.0162,0.6084
CLUBS THREE HEARTS TEN,0.264,0.0778,0.6582
SPADES JACK SPADES FOUR,0.3524,0.0184,0.6292
DIAMONDS NINE DIAMONDS FOUR,0.3666,0.0398,0.5936
HEARTS TWO SPADES THREE,0.423,0.3686,0.2084
HEARTS KING HEARTS NINE,0.3356,0.0078,0.6566
HEARTS SIX DIAMONDS TEN,0.3444,0.0298,0.6258
SPADES KING HEARTS FIVE,0.2592,0.0404,0.7004
SPADES SEVEN CLUBS KING,0.3604,0.0072,0.6324
HEARTS FIVE SPADES SIX,0.2348,0.2664,0.4988
CLUBS ACE HEARTS NINE,0.3636,0.0062,0.6302
CLUBS TEN CLUBS FOUR,0.3628,0.031,0.6062
DIAMONDS TWO DIAMONDS NINE,0.402,0.0466,0.5514
SPADES EIGHT DIAMONDS SEVEN,0.3364,0.0626,0.601
HEARTS EIGHT SPADES FIVE,0.2384,0.153,0.6086
DIAMONDS KING HEARTS NINE,0.3542,0.0084,0.6374
SPADES TEN HEARTS JACK,0.342,0.0166,0.6414
HEARTS FIVE CLUBS SEVEN,0.2482,0.1962,0.5556
CLUBS THREE DIAMONDS FOUR,0.4096,0.3684,0.222
SPADES JACK HEARTS KING,0.351,0.0094,0.6396
DIAMONDS THREE SPADES EIGHT,0.2972,0.1458,0.557
CLUBS SEVEN CLUBS THREE,0.2474,0.1856,0.567
CLUBS FIVE HEARTS KING,0.2654,0.0386,0.696
SPADES NINE DIAMONDS SEVEN,0.3472,0.0414,0.6114
HEARTS ACE HEARTS QUEEN,0.339,0.0064,0.6546
SPADES EIGHT CLUBS ACE,0.3618,0.004,0.6342
SPADES KING HEARTS TEN,0.367,0.0086,0.6244
SPADES TEN SPADES TWO,0.3924,0.028,0.5796
HEARTS EIGHT SPADES QUEEN,0.3588,0.0082,0.633
SPADES TEN HEARTS NINE,0.3466,0.0276,0.6258
CLUBS TEN CLUBS EIGHT,0.3128,0.0258,0.6614
SPADES ACE HEARTS SIX,0.3598,0.004,0.6362
HEARTS SIX DIAMONDS KING,0.3512,0.0098,0.639
DIAMONDS KING SPADES SIX,0.3528,0.0096,0.6376
CLUBS TWO DIAMONDS NINE,0.4096,0.0496,0.5408
HEARTS ACE DIAMONDS TEN,0.3426,0.0072,0.6502
SPADES ACE DIAMONDS TEN,0.3578,0.0026,0.6396
CLUBS NINE DIAMONDS EIGHT,0.34,0.039,0.621
SPADES KING DIAMONDS NINE,0.3672,0.0058,0.627
HEARTS QUEEN HEARTS NINE,0.335,0.0122,0.6528
CLUBS TEN SPADES QUEEN,0.3484,0.0118,0.6398
SPADES KING SPADES FIVE,0.2602,0.037,0.7028
CLUBS FOUR CLUBS QUEEN,0.369,0.0158,0.6152
HEARTS EIGHT SPADES FOUR,0.37,0.0694,0.5606
HEARTS QUEEN DIAMONDS SIX,0.3506,0.0136,0.6358
DIAMONDS THREE CLUBS QUEEN,0.2822,0.0436,0.6742
HEARTS FIVE HEARTS TWO,0.249,0.4946,0.2564
DIAMONDS TWO DIAMONDS KING,0.3814,0.011,0.6076
SPADES NINE HEARTS QUEEN,0.3628,0.0122,0.625
SPADES TEN SPADES NINE,0.326,0.0198,0.6542
DIAMONDS QUEEN HEARTS NINE,0.3478,0.0124,0.6398
CLUBS THREE SPADES THREE,0.269,0.107,0.624
SPADES FIVE DIAMONDS JACK,0.2702,0.0602,0.6696
CLUBS THREE SPADES FOUR,0.4094,0.3662,0.2244
DIAMONDS ACE CLUBS TWO,0.413,0.0048,0.5822
HEARTS SIX SPADES JACK,0.3646,0.0226,0.6128
CLUBS FIVE DIAMONDS SIX,0.2292,0.2742,0.4966
SPADES ACE DIAMONDS JACK,0.36,0.005,0.635
HEARTS TEN DIAMONDS FOUR,0.379,0.0298,0.5912
CLUBS FIVE SPADES SEVEN,0.253,0.191,0.556
DIAMONDS KING DIAMONDS JACK,0.3376,0.0074,0.655
HEARTS FOUR SPADES THREE,0.3998,0.3776,0.2226
DIAMONDS THREE DIAMONDS ACE,0.2508,0.0162,0.733
CLUBS JACK SPADES THREE,0.292,0.057,0.651
SPADES ACE HEARTS SEVEN,0.3598,0.0046,0.6356
SPADES TEN SPADES THREE,0.2622,0.0706,0.6672
CLUBS JACK SPADES FOUR,0.396,0.0218,0.5822
CLUBS TWO DIAMONDS TEN,0.405,0.031,0.564
DIAMONDS KING DIAMONDS TEN,0.3444,0.0078,0.6478
SPADES THREE HEARTS JACK,0.2878,0.0488,0.6634
SPADES JACK CLUBS FOUR,0.392,0.0198,0.5882
SPADES KING SPADES EIGHT,0.342,0.008,0.65
HEARTS SEVEN SPADES JACK,0.3526,0.0178,0.6296
DIAMONDS TEN CLUBS QUEEN,0.344,0.0112,0.6448
DIAMONDS THREE CLUBS FOUR,0.4114,0.3698,0.2188
