opposingHand,winningChance,drawChance,lostChance
DIAMONDS FIVE SPADES SIX
HEARTS FIVE SPADES TEN,0.2876,0.0782,0.6342
HEARTS FIVE SPADES JACK,0.2818,0.055,0.6632
SPADES FIVE CLUBS JACK,0.2944,0.0604,0.6452
CLUBS TEN SPADES FIVE,0.2852,0.0778,0.637
CLUBS EIGHT CLUBS JACK,0.3302,0.018,0.6518
CLUBS TEN CLUBS EIGHT,0.3348,0.025,0.6402
CLUBS EIGHT CLUBS KING,0.3608,0.0062,0.633
SPADES FIVE CLUBS ACE,0.2666,0.0254,0.708
CLUBS EIGHT CLUBS QUEEN,0.3516,0.0118,0.6366
SPADES FIVE CLUBS KING,0.2882,0.029,0.6828
SPADES FIVE CLUBS QUEEN,0.2756,0.0496,0.6748
CLUBS EIGHT CLUBS ACE,0.3504,0.0048,0.6448
DIAMONDS TWO DIAMONDS THREE,0.503,0.1516,0.3454
HEARTS FIVE SPADES KING,0.274,0.0324,0.6936
DIAMONDS TWO DIAMONDS FOUR,0.5194,0.1464,0.3342
HEARTS FIVE SPADES QUEEN,0.2846,0.0422,0.6732
DIAMONDS TWO DIAMONDS SEVEN,0.4126,0.0982,0.4892
DIAMONDS TWO DIAMONDS SIX,0.3226,0.4334,0.244
SPADES ACE HEARTS FIVE,0.2704,0.0264,0.7032
DIAMONDS TWO DIAMONDS NINE,0.419,0.047,0.534
DIAMONDS TWO DIAMONDS EIGHT,0.4146,0.061,0.5244
DIAMONDS THREE DIAMONDS FOUR,0.508,0.1368,0.3552
SPADES FOUR CLUBS TWO,0.5488,0.1534,0.2978
SPADES FIVE CLUBS TWO,0.5018,0.2662,0.232
CLUBS TWO SPADES TWO,0.3782,0.125,0.4968
CLUBS TWO SPADES THREE,0.537,0.1486,0.3144
DIAMONDS THREE DIAMONDS EIGHT,0.4148,0.069,0.5162
SPADES EIGHT CLUBS TWO,0.44,0.0644,0.4956
DIAMONDS THREE DIAMONDS NINE,0.412,0.038,0.55
SPADES NINE CLUBS TWO,0.4282,0.0464,0.5254
DIAMONDS THREE DIAMONDS SIX,0.3318,0.421,0.2472
DIAMONDS THREE DIAMONDS SEVEN,0.3998,0.1044,0.4958
SPADES SEVEN CLUBS TWO,0.4202,0.0996,0.4802
CLUBS SIX CLUBS TWO,0.321,0.4088,0.2702
CLUBS SEVEN CLUBS TWO,0.3974,0.1068,0.4958
CLUBS FOUR CLUBS TWO,0.5004,0.144,0.3556
CLUBS FIVE CLUBS TWO,0.4554,0.2562,0.2884
CLUBS TEN CLUBS JACK,0.3362,0.0146,0.6492
DIAMONDS SIX DIAMONDS FOUR,0.309,0.4318,0.2592
CLUBS TEN CLUBS QUEEN,0.3454,0.0104,0.6442
DIAMONDS FOUR DIAMONDS SEVEN,0.3962,0.0924,0.5114
CLUBS TEN CLUBS KING,0.3456,0.0066,0.6478
CLUBS TEN CLUBS ACE,0.3316,0.0044,0.664
CLUBS EIGHT CLUBS TWO,0.4056,0.0584,0.536
CLUBS NINE CLUBS TWO,0.415,0.036,0.549
DIAMONDS NINE DIAMONDS FOUR,0.402,0.045,0.553
DIAMONDS FOUR DIAMONDS EIGHT,0.3894,0.0596,0.551
CLUBS THREE CLUBS TWO,0.487,0.1398,0.3732
DIAMONDS TWO CLUBS JACK,0.4302,0.0214,0.5484
CLUBS TEN DIAMONDS TWO,0.4352,0.033,0.5318
DIAMONDS TWO CLUBS ACE,0.4282,0.0058,0.566
DIAMONDS TWO CLUBS KING,0.4506,0.0078,0.5416
DIAMONDS TWO CLUBS QUEEN,0.4356,0.0146,0.5498
DIAMONDS SIX DIAMONDS EIGHT,0.2468,0.1402,0.613
DIAMONDS NINE DIAMONDS SIX,0.269,0.108,0.623
HEARTS ACE SPADES THREE,0.427,0.0038,0.5692
SPADES THREE HEARTS KING,0.4238,0.007,0.5692
DIAMONDS SIX DIAMONDS SEVEN,0.238,0.1882,0.5738
SPADES THREE HEARTS QUEEN,0.4316,0.0112,0.5572
SPADES THREE HEARTS JACK,0.4224,0.0204,0.5572
SPADES THREE HEARTS TEN,0.4208,0.0286,0.5506
DIAMONDS EIGHT DIAMONDS SEVEN,0.3264,0.0608,0.6128
DIAMONDS NINE DIAMONDS SEVEN,0.3338,0.0394,0.6268
DIAMONDS NINE DIAMONDS EIGHT,0.325,0.0376,0.6374
DIAMONDS KING HEARTS TEN,0.3682,0.008,0.6238
HEARTS THREE HEARTS TEN,0.4068,0.0324,0.5608
SPADES JACK CLUBS SIX,0.2876,0.0624,0.65
DIAMONDS KING HEARTS JACK,0.376,0.0054,0.6186
HEARTS THREE HEARTS JACK,0.3986,0.0178,0.5836
SPADES TEN CLUBS SIX,0.2658,0.0812,0.653
SPADES JACK SPADES FIVE,0.271,0.0672,0.6618
SPADES TEN SPADES FIVE,0.2754,0.0692,0.6554
DIAMONDS KING HEARTS ACE,0.37,0.0058,0.6242
HEARTS THREE HEARTS ACE,0.3958,0.0052,0.599
SPADES ACE CLUBS SIX,0.2722,0.0258,0.702
DIAMONDS KING HEARTS QUEEN,0.3736,0.0058,0.6206
HEARTS THREE HEARTS QUEEN,0.3902,0.013,0.5968
SPADES KING CLUBS SIX,0.282,0.038,0.68
DIAMONDS KING HEARTS KING,0.1944,0.0176,0.788
HEARTS THREE HEARTS KING,0.4124,0.0088,0.5788
SPADES QUEEN CLUBS SIX,0.2862,0.0548,0.659
SPADES NINE HEARTS TEN,0.3538,0.0246,0.6216
SPADES NINE HEARTS JACK,0.3532,0.0174,0.6294
SPADES QUEEN SPADES FIVE,0.258,0.0524,0.6896
SPADES KING SPADES FIVE,0.2762,0.0346,0.6892
SPADES ACE SPADES FIVE,0.255,0.022,0.723
SPADES NINE HEARTS QUEEN,0.365,0.0112,0.6238
SPADES NINE HEARTS KING,0.3752,0.0064,0.6184
SPADES NINE HEARTS ACE,0.378,0.005,0.617
CLUBS TEN SPADES JACK,0.3494,0.0148,0.6358
CLUBS TEN SPADES TEN,0.183,0.0628,0.7542
SPADES ACE CLUBS TEN,0.3584,0.005,0.6366
SPADES KING CLUBS TEN,0.352,0.0054,0.6426
CLUBS TEN SPADES QUEEN,0.3618,0.0104,0.6278
SPADES FIVE HEARTS QUEEN,0.2864,0.041,0.6726
SPADES FIVE HEARTS KING,0.2956,0.0302,0.6742
SPADES FIVE HEARTS ACE,0.2678,0.0234,0.7088
