opposingHand,winningChance,drawChance,lostChance
DIAMONDS FOUR CLUBS NINE
HEARTS FIVE SPADES TEN,0.3546,0.027,0.6184
HEARTS FIVE SPADES JACK,0.3466,0.0174,0.636
CLUBS JACK SPADES FIVE,0.3366,0.0214,0.642
CLUBS TEN SPADES FIVE,0.3428,0.026,0.6312
CLUBS JACK CLUBS EIGHT,0.3168,0.0166,0.6666
CLUBS TEN CLUBS EIGHT,0.3144,0.0268,0.6588
CLUBS EIGHT CLUBS KING,0.339,0.0098,0.6512
SPADES FIVE CLUBS ACE,0.324,0.0054,0.6706
CLUBS EIGHT CLUBS QUEEN,0.3318,0.0104,0.6578
SPADES FIVE CLUBS KING,0.3564,0.0082,0.6354
SPADES FIVE CLUBS QUEEN,0.3468,0.0118,0.6414
CLUBS EIGHT CLUBS ACE,0.3408,0.0048,0.6544
DIAMONDS TWO DIAMONDS THREE,0.5734,0.042,0.3846
DIAMONDS TWO DIAMONDS FIVE,0.5424,0.044,0.4136
HEARTS FIVE SPADES KING,0.355,0.0086,0.6364
HEARTS FIVE SPADES QUEEN,0.3498,0.0118,0.6384
DIAMONDS TWO DIAMONDS SEVEN,0.5818,0.0456,0.3726
DIAMONDS TWO DIAMONDS SIX,0.5586,0.0464,0.395
SPADES ACE HEARTS FIVE,0.3472,0.0046,0.6482
DIAMONDS TWO DIAMONDS NINE,0.269,0.484,0.247
DIAMONDS TWO DIAMONDS EIGHT,0.5764,0.0428,0.3808
CLUBS TWO SPADES FOUR,0.6336,0.1074,0.259
DIAMONDS THREE DIAMONDS FIVE,0.5434,0.047,0.4096
SPADES FIVE CLUBS TWO,0.5902,0.0412,0.3686
CLUBS TWO SPADES TWO,0.373,0.0902,0.5368
CLUBS TWO SPADES THREE,0.6022,0.0508,0.347
DIAMONDS THREE DIAMONDS EIGHT,0.5598,0.0394,0.4008
SPADES EIGHT CLUBS TWO,0.6102,0.0468,0.343
DIAMONDS THREE DIAMONDS NINE,0.2472,0.506,0.2468
SPADES NINE CLUBS TWO,0.266,0.519,0.215
DIAMONDS THREE DIAMONDS SIX,0.557,0.0462,0.3968
SPADES SIX CLUBS TWO,0.5988,0.0424,0.3588
DIAMONDS THREE DIAMONDS SEVEN,0.5622,0.0422,0.3956
SPADES SEVEN CLUBS TWO,0.6168,0.0414,0.3418
CLUBS SIX CLUBS TWO,0.5676,0.0474,0.385
CLUBS SEVEN CLUBS TWO,0.5798,0.0422,0.378
CLUBS FOUR CLUBS TWO,0.604,0.111,0.285
CLUBS FIVE CLUBS TWO,0.5672,0.044,0.3888
CLUBS TEN CLUBS JACK,0.2824,0.014,0.7036
CLUBS TEN CLUBS QUEEN,0.303,0.0122,0.6848
CLUBS TEN CLUBS KING,0.2916,0.0096,0.6988
CLUBS TEN CLUBS ACE,0.3026,0.0078,0.6896
CLUBS EIGHT CLUBS TWO,0.5756,0.0416,0.3828
CLUBS THREE CLUBS TWO,0.5816,0.047,0.3714
DIAMONDS NINE DIAMONDS FIVE,0.2056,0.4318,0.3626
CLUBS JACK DIAMONDS TWO,0.384,0.0218,0.5942
DIAMONDS FIVE DIAMONDS EIGHT,0.5268,0.0436,0.4296
CLUBS TEN DIAMONDS TWO,0.3826,0.0288,0.5886
DIAMONDS FIVE DIAMONDS SEVEN,0.519,0.0394,0.4416
DIAMONDS SIX DIAMONDS FIVE,0.505,0.0448,0.4502
DIAMONDS TWO CLUBS ACE,0.3798,0.0086,0.6116
DIAMONDS TWO CLUBS KING,0.3986,0.01,0.5914
DIAMONDS TWO CLUBS QUEEN,0.387,0.013,0.6
DIAMONDS SIX DIAMONDS EIGHT,0.5072,0.0436,0.4492
DIAMONDS NINE DIAMONDS SIX,0.211,0.347,0.442
HEARTS ACE SPADES THREE,0.386,0.0048,0.6092
SPADES THREE HEARTS KING,0.3932,0.0082,0.5986
DIAMONDS SIX DIAMONDS SEVEN,0.5106,0.0444,0.445
HEARTS QUEEN SPADES THREE,0.404,0.012,0.584
SPADES THREE HEARTS JACK,0.3754,0.0192,0.6054
SPADES THREE HEARTS TEN,0.3834,0.0328,0.5838
DIAMONDS EIGHT DIAMONDS SEVEN,0.4918,0.0394,0.4688
DIAMONDS NINE DIAMONDS SEVEN,0.209,0.2846,0.5064
DIAMONDS NINE DIAMONDS EIGHT,0.21,0.2324,0.5576
DIAMONDS KING HEARTS TEN,0.3138,0.0056,0.6806
HEARTS THREE HEARTS TEN,0.3596,0.0264,0.614
SPADES JACK CLUBS SIX,0.3634,0.0192,0.6174
DIAMONDS KING HEARTS JACK,0.3206,0.007,0.6724
HEARTS THREE HEARTS JACK,0.3728,0.0172,0.61
SPADES TEN CLUBS SIX,0.3524,0.0278,0.6198
SPADES JACK SPADES FIVE,0.33,0.0164,0.6536
SPADES TEN SPADES FIVE,0.3324,0.0264,0.6412
DIAMONDS KING HEARTS ACE,0.3138,0.0058,0.6804
HEARTS THREE HEARTS ACE,0.353,0.0032,0.6438
SPADES ACE CLUBS SIX,0.3584,0.0038,0.6378
DIAMONDS KING HEARTS QUEEN,0.313,0.0066,0.6804
HEARTS THREE HEARTS QUEEN,0.3606,0.0112,0.6282
SPADES KING CLUBS SIX,0.3714,0.0074,0.6212
DIAMONDS KING HEARTS KING,0.1306,0.0122,0.8572
HEARTS THREE HEARTS KING,0.3618,0.008,0.6302
SPADES QUEEN CLUBS SIX,0.3496,0.0086,0.6418
SPADES NINE HEARTS TEN,0.2274,0.0782,0.6944
SPADES NINE HEARTS JACK,0.229,0.0586,0.7124
SPADES QUEEN SPADES FIVE,0.3302,0.0124,0.6574
SPADES KING SPADES FIVE,0.3384,0.0074,0.6542
SPADES ACE SPADES FIVE,0.3148,0.0082,0.677
SPADES NINE HEARTS QUEEN,0.2358,0.0456,0.7186
SPADES NINE HEARTS KING,0.2294,0.0354,0.7352
SPADES NINE HEARTS ACE,0.2334,0.024,0.7426
CLUBS TEN SPADES JACK,0.2812,0.0172,0.7016
CLUBS TEN SPADES TEN,0.1338,0.0366,0.8296
SPADES ACE CLUBS TEN,0.3142,0.0052,0.6806
CLUBS TEN SPADES KING,0.3188,0.0094,0.6718
CLUBS TEN SPADES QUEEN,0.295,0.009,0.696
SPADES FIVE HEARTS QUEEN,0.3648,0.012,0.6232
SPADES FIVE HEARTS KING,0.3598,0.0074,0.6328
HEARTS ACE SPADES FIVE,0.3564,0.004,0.6396
CLUBS EIGHT SPADES TEN,0.3222,0.028,0.6498
SPADES JACK HEARTS THREE,0.3838,0.018,0.5982
SPADES JACK DIAMONDS KING,0.3208,0.0072,0.672
SPADES TEN DIAMONDS KING,0.314,0.0068,0.6792
SPADES TEN HEARTS THREE,0.392,0.0268,0.5812
SPADES JACK CLUBS EIGHT,0.3382,0.0168,0.645
CLUBS SIX HEARTS ACE,0.3648,0.0028,0.6324
SPADES ACE CLUBS EIGHT,0.35,0.0038,0.6462
HEARTS FIVE CLUBS JACK,0.3538,0.0164,0.6298
CLUBS TEN HEARTS FIVE,0.3382,0.0306,0.6312
CLUBS SIX HEARTS QUEEN,0.3642,0.01,0.6258
SPADES QUEEN CLUBS EIGHT,0.3642,0.0104,0.6254
CLUBS TEN SPADES THREE,0.3766,0.025,0.5984
CLUBS SIX HEARTS KING,0.3554,0.0056,0.639
SPADES KING CLUBS EIGHT,0.3692,0.0078,0.623
CLUBS JACK SPADES THREE,0.3888,0.0178,0.5934
DIAMONDS TWO HEARTS JACK,0.3954,0.02,0.5846
SPADES THREE CLUBS QUEEN,0.3764,0.0122,0.6114
DIAMONDS TWO HEARTS TEN,0.3916,0.027,0.5814
SPADES THREE CLUBS KING,0.3936,0.009,0.5974
HEARTS FIVE CLUBS ACE,0.3436,0.0048,0.6516
SPADES FIVE HEARTS TEN,0.3634,0.0252,0.6114
SPADES THREE CLUBS ACE,0.378,0.005,0.617
HEARTS FIVE CLUBS KING,0.3474,0.0084,0.6442
