opposingHand,winningChance,drawChance,lostChance
DIAMONDS FOUR DIAMONDS KING
DIAMONDS TWO HEARTS QUEEN,0.6474,0.0114,0.3412
SPADES EIGHT CLUBS QUEEN,0.6038,0.0084,0.3878
HEARTS EIGHT HEARTS QUEEN,0.5768,0.008,0.4152
HEARTS EIGHT DIAMONDS JACK,0.596,0.0076,0.3964
HEARTS EIGHT SPADES EIGHT,0.357,0.0112,0.6318
SPADES EIGHT DIAMONDS FIVE,0.5966,0.0108,0.3926
CLUBS EIGHT DIAMONDS TEN,0.5726,0.009,0.4184
CLUBS SIX CLUBS FIVE,0.5544,0.009,0.4366
SPADES TEN SPADES TWO,0.6124,0.0104,0.3772
SPADES TEN DIAMONDS SEVEN,0.5958,0.007,0.3972
CLUBS SEVEN DIAMONDS JACK,0.611,0.006,0.383
CLUBS SIX DIAMONDS SIX,0.3638,0.0144,0.6218
CLUBS FOUR CLUBS KING,0.0712,0.855,0.0738
DIAMONDS EIGHT CLUBS QUEEN,0.5984,0.0054,0.3962
CLUBS TEN CLUBS ACE,0.3752,0.007,0.6178
HEARTS EIGHT SPADES KING,0.2812,0.2152,0.5036
HEARTS KING DIAMONDS FIVE,0.2584,0.437,0.3046
SPADES KING DIAMONDS EIGHT,0.2684,0.217,0.5146
SPADES EIGHT HEARTS KING,0.2792,0.213,0.5078
CLUBS SIX DIAMONDS SEVEN,0.5652,0.0082,0.4266
DIAMONDS TWO DIAMONDS SEVEN,0.6638,0.0092,0.327
SPADES TEN DIAMONDS QUEEN,0.5666,0.0076,0.4258
SPADES FIVE DIAMONDS EIGHT,0.61,0.0098,0.3802
HEARTS SEVEN CLUBS THREE,0.6576,0.0084,0.334
SPADES FIVE CLUBS QUEEN,0.6294,0.0076,0.363
HEARTS ACE HEARTS NINE,0.3798,0.0032,0.617
CLUBS SIX DIAMONDS ACE,0.389,0.0066,0.6044
DIAMONDS QUEEN DIAMONDS TEN,0.5722,0.0092,0.4186
SPADES EIGHT CLUBS THREE,0.651,0.0072,0.3418
SPADES EIGHT DIAMONDS NINE,0.5846,0.0072,0.4082
CLUBS JACK HEARTS SEVEN,0.6104,0.0052,0.3844
HEARTS EIGHT DIAMONDS QUEEN,0.594,0.0076,0.3984
CLUBS EIGHT HEARTS ACE,0.402,0.0046,0.5934
DIAMONDS TWO CLUBS EIGHT,0.6464,0.0102,0.3434
CLUBS NINE DIAMONDS TEN,0.554,0.0094,0.4366
DIAMONDS TWO SPADES NINE,0.6482,0.0106,0.3412
CLUBS EIGHT CLUBS KING,0.2614,0.2022,0.5364
CLUBS THREE CLUBS TWO,0.6218,0.0088,0.3694
DIAMONDS SEVEN HEARTS TEN,0.5814,0.005,0.4136
SPADES NINE DIAMONDS EIGHT,0.5758,0.0082,0.416
HEARTS SIX DIAMONDS TEN,0.613,0.0072,0.3798
CLUBS SEVEN DIAMONDS SEVEN,0.3714,0.0142,0.6144
HEARTS THREE SPADES SIX,0.6402,0.0096,0.3502
