opposingHand,winningChance,drawChance,lostChance
DIAMONDS FOUR DIAMONDS SIX
SPADES TEN SPADES SIX,0.295,0.077,0.628
HEARTS KING DIAMONDS FIVE,0.412,0.0098,0.5782
HEARTS SEVEN SPADES TEN,0.3912,0.0272,0.5816
HEARTS FOUR HEARTS QUEEN,0.3072,0.0362,0.6566
SPADES NINE CLUBS ACE,0.39,0.003,0.607
DIAMONDS THREE CLUBS TWO,0.5548,0.1462,0.299
DIAMONDS THREE CLUBS SEVEN,0.4504,0.0934,0.4562
CLUBS FIVE CLUBS QUEEN,0.3896,0.0132,0.5972
SPADES TEN CLUBS SIX,0.314,0.0806,0.6054
CLUBS JACK CLUBS TWO,0.4212,0.0172,0.5616
CLUBS SIX HEARTS QUEEN,0.3096,0.0502,0.6402
SPADES JACK CLUBS FOUR,0.3088,0.0558,0.6354
SPADES ACE CLUBS SIX,0.3054,0.0216,0.673
DIAMONDS ACE HEARTS QUEEN,0.3896,0.004,0.6064
SPADES KING HEARTS SEVEN,0.4008,0.0074,0.5918
DIAMONDS THREE CLUBS FOUR,0.503,0.2614,0.2356
HEARTS EIGHT DIAMONDS JACK,0.3974,0.0158,0.5868
DIAMONDS TWO SPADES JACK,0.4494,0.0166,0.534
CLUBS TEN HEARTS SIX,0.3096,0.0782,0.6122
CLUBS TWO DIAMONDS QUEEN,0.4448,0.0146,0.5406
HEARTS EIGHT SPADES QUEEN,0.414,0.0104,0.5756
DIAMONDS TEN HEARTS JACK,0.3788,0.0154,0.6058
HEARTS FIVE HEARTS FOUR,0.479,0.2398,0.2812
SPADES TEN HEARTS THREE,0.4498,0.0302,0.52
CLUBS NINE HEARTS THREE,0.452,0.036,0.512
SPADES KING DIAMONDS SEVEN,0.3932,0.009,0.5978
HEARTS SIX CLUBS KING,0.314,0.0388,0.6472
CLUBS TWO DIAMONDS FIVE,0.5236,0.148,0.3284
HEARTS TWO DIAMONDS TEN,0.4354,0.027,0.5376
SPADES JACK HEARTS KING,0.4052,0.0062,0.5886
HEARTS QUEEN CLUBS ACE,0.3884,0.0036,0.608
HEARTS FOUR SPADES FOUR,0.3024,0.1038,0.5938
SPADES FOUR HEARTS QUEEN,0.3112,0.0342,0.6546
DIAMONDS KING DIAMONDS NINE,0.3602,0.0086,0.6312
DIAMONDS QUEEN DIAMONDS EIGHT,0.3366,0.0136,0.6498
HEARTS JACK DIAMONDS EIGHT,0.3804,0.0164,0.6032
SPADES TEN CLUBS FIVE,0.4234,0.0286,0.548
CLUBS JACK DIAMONDS SEVEN,0.3806,0.0194,0.6
CLUBS THREE SPADES FIVE,0.5136,0.1546,0.3318
HEARTS THREE HEARTS KING,0.4236,0.0104,0.566
