opposingHand,winningChance,drawChance,lostChance
DIAMONDS FOUR DIAMONDS TWO
SPADES TEN CLUBS ACE,0.3868,0.0046,0.6086
SPADES SEVEN DIAMONDS KING,0.3732,0.0092,0.6176
CLUBS FOUR DIAMONDS ACE,0.2624,0.0224,0.7152
SPADES QUEEN HEARTS ACE,0.3956,0.0042,0.6002
HEARTS THREE SPADES TWO,0.3088,0.4642,0.227
SPADES SEVEN CLUBS QUEEN,0.384,0.0152,0.6008
CLUBS TEN CLUBS QUEEN,0.3654,0.011,0.6236
CLUBS TEN CLUBS FOUR,0.282,0.0802,0.6378
HEARTS THREE DIAMONDS TEN,0.3964,0.0322,0.5714
DIAMONDS EIGHT CLUBS KING,0.3746,0.0086,0.6168
CLUBS SIX HEARTS QUEEN,0.3978,0.0116,0.5906
DIAMONDS FIVE SPADES JACK,0.366,0.022,0.612
CLUBS ACE CLUBS QUEEN,0.3736,0.0046,0.6218
HEARTS THREE HEARTS QUEEN,0.3746,0.0128,0.6126
CLUBS SEVEN SPADES SIX,0.3648,0.0948,0.5404
CLUBS EIGHT SPADES THREE,0.415,0.067,0.518
HEARTS FIVE SPADES TWO,0.2686,0.3454,0.386
SPADES NINE HEARTS QUEEN,0.3954,0.0112,0.5934
SPADES EIGHT DIAMONDS KING,0.367,0.0076,0.6254
CLUBS EIGHT DIAMONDS ACE,0.3582,0.0052,0.6366
CLUBS EIGHT HEARTS QUEEN,0.3882,0.0114,0.6004
SPADES ACE HEARTS FIVE,0.3556,0.0064,0.638
CLUBS THREE DIAMONDS QUEEN,0.398,0.0138,0.5882
SPADES QUEEN CLUBS SEVEN,0.3894,0.0124,0.5982
SPADES KING HEARTS FOUR,0.3036,0.0304,0.666
SPADES THREE SPADES TWO,0.2924,0.4658,0.2418
CLUBS FIVE DIAMONDS EIGHT,0.3754,0.0664,0.5582
CLUBS FIVE DIAMONDS SIX,0.33,0.1482,0.5218
HEARTS FIVE DIAMONDS QUEEN,0.3774,0.0138,0.6088
CLUBS SIX CLUBS THREE,0.3718,0.1392,0.489
HEARTS EIGHT CLUBS TWO,0.3118,0.1386,0.5496
HEARTS THREE DIAMONDS JACK,0.3936,0.0224,0.584
SPADES EIGHT DIAMONDS QUEEN,0.3638,0.0128,0.6234
CLUBS JACK SPADES JACK,0.1942,0.0476,0.7582
HEARTS TWO DIAMONDS KING,0.2984,0.0232,0.6784
HEARTS SIX SPADES JACK,0.3902,0.0152,0.5946
DIAMONDS FIVE DIAMONDS NINE,0.3362,0.0424,0.6214
CLUBS FIVE SPADES TWO,0.2654,0.3574,0.3772
HEARTS FOUR DIAMONDS EIGHT,0.2822,0.15,0.5678
SPADES TEN CLUBS QUEEN,0.3836,0.011,0.6054
SPADES ACE HEARTS ACE,0.1748,0.0052,0.82
HEARTS TWO DIAMONDS SIX,0.2824,0.2594,0.4582
HEARTS SEVEN CLUBS SIX,0.3722,0.09,0.5378
CLUBS SIX CLUBS FOUR,0.2772,0.2452,0.4776
CLUBS JACK HEARTS EIGHT,0.3812,0.0182,0.6006
SPADES TEN SPADES EIGHT,0.3506,0.0244,0.625
DIAMONDS THREE HEARTS TEN,0.4018,0.0306,0.5676
CLUBS EIGHT DIAMONDS TEN,0.361,0.0264,0.6126
CLUBS SEVEN DIAMONDS SIX,0.3458,0.0904,0.5638
HEARTS FOUR DIAMONDS JACK,0.2832,0.0638,0.653
SPADES TEN HEARTS QUEEN,0.394,0.0106,0.5954
SPADES QUEEN DIAMONDS ACE,0.3656,0.0062,0.6282
CLUBS EIGHT DIAMONDS SEVEN,0.3538,0.0598,0.5864
SPADES ACE HEARTS QUEEN,0.388,0.0036,0.6084
CLUBS NINE DIAMONDS KING,0.3768,0.008,0.6152
HEARTS QUEEN DIAMONDS NINE,0.3692,0.0106,0.6202
HEARTS JACK DIAMONDS SEVEN,0.3698,0.0192,0.611
SPADES QUEEN HEARTS JACK,0.3828,0.0114,0.6058
DIAMONDS FIVE SPADES SIX,0.3336,0.1466,0.5198
DIAMONDS THREE SPADES EIGHT,0.4052,0.0694,0.5254
CLUBS JACK SPADES FIVE,0.3798,0.0224,0.5978
HEARTS TWO CLUBS ACE,0.2968,0.013,0.6902
CLUBS EIGHT HEARTS FIVE,0.3846,0.0656,0.5498
SPADES FOUR SPADES THREE,0.249,0.4646,0.2864
DIAMONDS FIVE DIAMONDS ACE,0.3188,0.0062,0.675
CLUBS SIX SPADES FOUR,0.2844,0.2572,0.4584
HEARTS SIX DIAMONDS ACE,0.3642,0.0064,0.6294
HEARTS SIX SPADES FIVE,0.3514,0.1432,0.5054
DIAMONDS FIVE CLUBS NINE,0.3722,0.046,0.5818
HEARTS EIGHT SPADES SIX,0.3786,0.0662,0.5552
DIAMONDS FIVE DIAMONDS QUEEN,0.3344,0.0164,0.6492
CLUBS NINE HEARTS THREE,0.4046,0.0494,0.546
SPADES NINE HEARTS ACE,0.3882,0.005,0.6068
SPADES EIGHT HEARTS TWO,0.3092,0.1384,0.5524
SPADES ACE DIAMONDS FIVE,0.3504,0.0076,0.642
CLUBS NINE HEARTS TEN,0.3638,0.0238,0.6124
SPADES ACE SPADES NINE,0.3558,0.0068,0.6374
HEARTS SEVEN CLUBS FIVE,0.3662,0.1016,0.5322
CLUBS THREE HEARTS KING,0.4144,0.01,0.5756
CLUBS SEVEN HEARTS QUEEN,0.3992,0.0134,0.5874
DIAMONDS JACK HEARTS TEN,0.3498,0.0148,0.6354
CLUBS FOUR SPADES FOUR,0.1344,0.137,0.7286
SPADES NINE SPADES EIGHT,0.366,0.034,0.6
CLUBS JACK CLUBS EIGHT,0.353,0.0178,0.6292
CLUBS FIVE HEARTS JACK,0.3996,0.0184,0.582
DIAMONDS FIVE DIAMONDS TEN,0.3232,0.035,0.6418
HEARTS ACE SPADES TWO,0.2842,0.0168,0.699
SPADES NINE SPADES TWO,0.291,0.0926,0.6164
CLUBS FOUR DIAMONDS NINE,0.2802,0.107,0.6128
HEARTS TEN CLUBS QUEEN,0.376,0.012,0.612
HEARTS THREE HEARTS ACE,0.372,0.0066,0.6214
CLUBS TEN SPADES FOUR,0.3032,0.0726,0.6242
HEARTS KING DIAMONDS NINE,0.3634,0.0084,0.6282
HEARTS SIX HEARTS JACK,0.3586,0.0168,0.6246
SPADES SIX HEARTS NINE,0.3662,0.0436,0.5902
HEARTS SEVEN DIAMONDS JACK,0.379,0.018,0.603
HEARTS FOUR HEARTS JACK,0.276,0.0612,0.6628
HEARTS THREE DIAMONDS NINE,0.4016,0.0522,0.5462
DIAMONDS FIVE HEARTS ACE,0.3626,0.0078,0.6296
SPADES QUEEN HEARTS QUEEN,0.1954,0.0386,0.766
HEARTS ACE CLUBS ACE,0.1752,0.0046,0.8202
HEARTS TWO HEARTS JACK,0.2884,0.0464,0.6652
HEARTS ACE DIAMONDS NINE,0.371,0.008,0.621
SPADES FOUR DIAMONDS NINE,0.282,0.1108,0.6072
SPADES KING HEARTS QUEEN,0.385,0.0072,0.6078
HEARTS FOUR CLUBS TWO,0.0742,0.9034,0.0224
CLUBS EIGHT CLUBS QUEEN,0.3564,0.0122,0.6314
SPADES FIVE SPADES TWO,0.251,0.3358,0.4132
HEARTS SEVEN SPADES FOUR,0.2842,0.189,0.5268
SPADES KING DIAMONDS EIGHT,0.371,0.0062,0.6228
SPADES FOUR CLUBS KING,0.3022,0.0338,0.664
DIAMONDS JACK CLUBS ACE,0.3516,0.0042,0.6442
DIAMONDS QUEEN SPADES THREE,0.3996,0.017,0.5834
HEARTS EIGHT HEARTS THREE,0.3726,0.068,0.5594
DIAMONDS FIVE HEARTS SEVEN,0.3468,0.097,0.5562
SPADES NINE SPADES FIVE,0.35,0.0424,0.6076
CLUBS EIGHT CLUBS SIX,0.3452,0.0598,0.595
CLUBS THREE DIAMONDS SIX,0.3784,0.1598,0.4618
HEARTS EIGHT HEARTS SEVEN,0.346,0.0568,0.5972
CLUBS TEN SPADES THREE,0.4154,0.0312,0.5534
DIAMONDS TEN SPADES TWO,0.284,0.0692,0.6468
SPADES KING HEARTS JACK,0.3854,0.0086,0.606
CLUBS TEN CLUBS TWO,0.2992,0.0728,0.628
HEARTS SEVEN SPADES QUEEN,0.3892,0.0122,0.5986
DIAMONDS ACE DIAMONDS QUEEN,0.3324,0.0052,0.6624
SPADES SEVEN DIAMONDS SEVEN,0.1762,0.1162,0.7076
CLUBS SEVEN CLUBS KING,0.365,0.0074,0.6276
SPADES THREE CLUBS QUEEN,0.4046,0.0122,0.5832
DIAMONDS FIVE DIAMONDS JACK,0.331,0.0226,0.6464
CLUBS JACK DIAMONDS FIVE,0.3818,0.0188,0.5994
SPADES JACK HEARTS ACE,0.3806,0.0036,0.6158
CLUBS TEN DIAMONDS SIX,0.3664,0.0266,0.607
SPADES NINE HEARTS KING,0.3832,0.008,0.6088
HEARTS EIGHT SPADES THREE,0.4088,0.068,0.5232
SPADES SIX HEARTS QUEEN,0.3892,0.0118,0.599
SPADES QUEEN HEARTS KING,0.3926,0.007,0.6004
SPADES TWO CLUBS ACE,0.2864,0.0118,0.7018
HEARTS FIVE DIAMONDS TEN,0.3594,0.0308,0.6098
HEARTS FOUR HEARTS THREE,0.2458,0.4586,0.2956
HEARTS FIVE CLUBS QUEEN,0.4,0.0146,0.5854
DIAMONDS QUEEN DIAMONDS NINE,0.3322,0.0094,0.6584
DIAMONDS THREE SPADES NINE,0.411,0.0428,0.5462
HEARTS FOUR SPADES FOUR,0.1362,0.1282,0.7356
SPADES ACE DIAMONDS SEVEN,0.3662,0.0042,0.6296
CLUBS SEVEN SPADES TWO,0.301,0.1834,0.5156
CLUBS EIGHT SPADES SIX,0.3714,0.0646,0.564
DIAMONDS QUEEN DIAMONDS EIGHT,0.3332,0.0164,0.6504
SPADES ACE CLUBS QUEEN,0.3794,0.005,0.6156
SPADES NINE DIAMONDS TEN,0.3468,0.0234,0.6298
HEARTS EIGHT HEARTS SIX,0.3568,0.058,0.5852
SPADES EIGHT CLUBS THREE,0.4114,0.0672,0.5214
SPADES SIX SPADES FIVE,0.3302,0.141,0.5288
HEARTS FOUR HEARTS QUEEN,0.289,0.0468,0.6642
CLUBS SEVEN CLUBS FOUR,0.276,0.184,0.54
SPADES NINE CLUBS THREE,0.3988,0.0446,0.5566
HEARTS FIVE SPADES SIX,0.3472,0.145,0.5078
DIAMONDS ACE CLUBS TWO,0.26,0.0154,0.7246
HEARTS SIX SPADES FOUR,0.2944,0.2542,0.4514
DIAMONDS EIGHT DIAMONDS SEVEN,0.316,0.0634,0.6206
SPADES QUEEN DIAMONDS KING,0.373,0.008,0.619
DIAMONDS THREE CLUBS NINE,0.4088,0.0396,0.5516
CLUBS SIX HEARTS TWO,0.3016,0.2568,0.4416
DIAMONDS JACK HEARTS KING,0.3788,0.007,0.6142
SPADES TEN DIAMONDS SEVEN,0.3704,0.029,0.6006
HEARTS EIGHT CLUBS SIX,0.3816,0.066,0.5524
HEARTS SIX DIAMONDS TEN,0.3824,0.0244,0.5932
DIAMONDS NINE CLUBS KING,0.3662,0.0086,0.6252
CLUBS TEN HEARTS TWO,0.3212,0.0694,0.6094
CLUBS NINE SPADES NINE,0.1806,0.0908,0.7286
HEARTS THREE CLUBS FOUR,0.2614,0.495,0.2436
HEARTS TWO DIAMONDS EIGHT,0.287,0.1416,0.5714
SPADES FIVE HEARTS ACE,0.3664,0.003,0.6306
CLUBS FOUR HEARTS TEN,0.3026,0.0796,0.6178
HEARTS KING HEARTS TEN,0.3682,0.0082,0.6236
SPADES JACK DIAMONDS NINE,0.3698,0.0174,0.6128
DIAMONDS FIVE CLUBS FIVE,0.1582,0.143,0.6988
DIAMONDS FIVE HEARTS NINE,0.3656,0.0452,0.5892
SPADES KING CLUBS ACE,0.375,0.0054,0.6196
SPADES QUEEN CLUBS NINE,0.386,0.0092,0.6048
SPADES ACE SPADES TEN,0.3614,0.0058,0.6328
HEARTS THREE CLUBS TWO,0.3144,0.4846,0.201
HEARTS TWO DIAMONDS JACK,0.2952,0.0562,0.6486
SPADES FIVE SPADES FOUR,0.246,0.3228,0.4312
SPADES TEN HEARTS ACE,0.4008,0.0058,0.5934
SPADES TEN SPADES FOUR,0.2842,0.0828,0.633
CLUBS TEN DIAMONDS ACE,0.379,0.0076,0.6134
SPADES ACE HEARTS SIX,0.3866,0.0038,0.6096
CLUBS TEN CLUBS SEVEN,0.3656,0.025,0.6094
HEARTS SIX CLUBS SIX,0.187,0.1284,0.6846
CLUBS JACK HEARTS QUEEN,0.3898,0.0122,0.598
SPADES QUEEN DIAMONDS TEN,0.3684,0.01,0.6216
DIAMONDS SEVEN DIAMONDS SIX,0.309,0.0964,0.5946
HEARTS TEN DIAMONDS SEVEN,0.3694,0.0264,0.6042
DIAMONDS THREE HEARTS JACK,0.4122,0.0214,0.5664
HEARTS THREE CLUBS KING,0.4098,0.0102,0.58
DIAMONDS TEN DIAMONDS SIX,0.3372,0.0292,0.6336
CLUBS FIVE HEARTS TEN,0.3816,0.0264,0.592
SPADES QUEEN SPADES JACK,0.3592,0.012,0.6288
SPADES JACK DIAMONDS QUEEN,0.3664,0.011,0.6226
CLUBS SIX DIAMONDS JACK,0.3742,0.022,0.6038
DIAMONDS THREE SPADES TEN,0.4144,0.0284,0.5572
HEARTS SIX CLUBS QUEEN,0.394,0.014,0.592
DIAMONDS TEN HEARTS QUEEN,0.3724,0.0094,0.6182
CLUBS THREE SPADES FIVE,0.3688,0.2324,0.3988
HEARTS SEVEN SPADES NINE,0.3688,0.0406,0.5906
SPADES NINE CLUBS KING,0.3908,0.0094,0.5998
HEARTS EIGHT CLUBS QUEEN,0.387,0.012,0.601
SPADES TEN SPADES SIX,0.3628,0.0258,0.6114
DIAMONDS ACE DIAMONDS TEN,0.324,0.007,0.669
CLUBS JACK DIAMONDS SIX,0.3738,0.0248,0.6014
HEARTS SIX SPADES THREE,0.3842,0.153,0.4628
CLUBS SIX SPADES TWO,0.3022,0.2626,0.4352
DIAMONDS NINE HEARTS NINE,0.1734,0.0816,0.745
SPADES TEN DIAMONDS ACE,0.3652,0.0046,0.6302
DIAMONDS FIVE SPADES TEN,0.3614,0.0284,0.6102
CLUBS FIVE HEARTS QUEEN,0.3844,0.0124,0.6032
SPADES JACK SPADES TWO,0.2926,0.0486,0.6588
HEARTS EIGHT CLUBS SEVEN,0.3596,0.0578,0.5826
HEARTS SIX HEARTS FOUR,0.2772,0.2474,0.4754
HEARTS FOUR DIAMONDS ACE,0.2588,0.0198,0.7214
CLUBS TEN SPADES SEVEN,0.3906,0.0266,0.5828
CLUBS JACK HEARTS SIX,0.3872,0.0198,0.593
HEARTS SIX CLUBS SEVEN,0.375,0.0946,0.5304
HEARTS FIVE CLUBS KING,0.388,0.0092,0.6028
HEARTS EIGHT DIAMONDS TEN,0.3638,0.0272,0.609
SPADES QUEEN SPADES NINE,0.3598,0.0128,0.6274
HEARTS EIGHT SPADES FIVE,0.3704,0.071,0.5586
DIAMONDS THREE HEARTS NINE,0.4042,0.0506,0.5452
CLUBS FOUR SPADES TWO,0.0714,0.909,0.0196
HEARTS FOUR SPADES EIGHT,0.3004,0.1366,0.563
HEARTS SIX DIAMONDS QUEEN,0.371,0.0132,0.6158
DIAMONDS THREE SPADES SEVEN,0.3892,0.1028,0.508
SPADES QUEEN SPADES FIVE,0.3806,0.0144,0.605
CLUBS TEN HEARTS TEN,0.1864,0.0662,0.7474
SPADES ACE HEARTS EIGHT,0.3896,0.0026,0.6078
HEARTS SEVEN DIAMONDS THREE,0.4028,0.1014,0.4958
SPADES TEN HEARTS FOUR,0.2976,0.0782,0.6242
CLUBS FOUR DIAMONDS KING,0.2852,0.0364,0.6784
SPADES EIGHT SPADES SIX,0.3482,0.063,0.5888
CLUBS SIX HEARTS TEN,0.3836,0.0254,0.591
HEARTS EIGHT SPADES TEN,0.3818,0.0318,0.5864
DIAMONDS QUEEN SPADES FOUR,0.2774,0.0492,0.6734
DIAMONDS ACE CLUBS KING,0.369,0.0068,0.6242
HEARTS SEVEN SPADES TWO,0.3084,0.1888,0.5028
DIAMONDS FIVE CLUBS FOUR,0.2472,0.3442,0.4086
DIAMONDS THREE DIAMONDS JACK,0.3632,0.0232,0.6136
CLUBS EIGHT CLUBS ACE,0.3632,0.0058,0.631
SPADES QUEEN CLUBS QUEEN,0.1834,0.042,0.7746
CLUBS JACK HEARTS NINE,0.3726,0.0176,0.6098
CLUBS EIGHT DIAMONDS JACK,0.3688,0.0164,0.6148
SPADES JACK CLUBS QUEEN,0.3958,0.0116,0.5926
HEARTS SIX HEARTS TEN,0.3546,0.0258,0.6196
SPADES KING DIAMONDS SEVEN,0.3632,0.0086,0.6282
SPADES TEN HEARTS TEN,0.1828,0.0706,0.7466
HEARTS QUEEN HEARTS TEN,0.367,0.011,0.622
SPADES SEVEN HEARTS ACE,0.3804,0.0042,0.6154
CLUBS SEVEN DIAMONDS TEN,0.3596,0.0324,0.608
DIAMONDS KING DIAMONDS TEN,0.3228,0.01,0.6672
SPADES NINE DIAMONDS SIX,0.3668,0.0452,0.588
HEARTS SIX SPADES TEN,0.3804,0.0242,0.5954
SPADES JACK SPADES EIGHT,0.3696,0.016,0.6144
SPADES KING CLUBS SIX,0.391,0.0062,0.6028
CLUBS FOUR DIAMONDS EIGHT,0.2918,0.1376,0.5706
