opposingHand,winningChance,drawChance,lostChance
DIAMONDS FOUR HEARTS FIVE
SPADES JACK CLUBS THREE,0.417,0.022,0.561
DIAMONDS KING CLUBS TWO,0.4304,0.011,0.5586
CLUBS SIX SPADES SIX,0.1596,0.1258,0.7146
HEARTS EIGHT SPADES TWO,0.4274,0.0676,0.505
SPADES ACE SPADES TEN,0.3456,0.0046,0.6498
DIAMONDS EIGHT DIAMONDS FIVE,0.262,0.1478,0.5902
HEARTS EIGHT CLUBS SEVEN,0.3284,0.0608,0.6108
SPADES EIGHT DIAMONDS SIX,0.3434,0.0656,0.591
HEARTS TWO CLUBS QUEEN,0.427,0.0134,0.5596
DIAMONDS NINE SPADES TWO,0.4242,0.0466,0.5292
CLUBS TEN DIAMONDS JACK,0.3734,0.0132,0.6134
CLUBS ACE DIAMONDS FIVE,0.2664,0.0272,0.7064
CLUBS SIX CLUBS TWO,0.4048,0.1462,0.449
SPADES TEN SPADES SEVEN,0.3458,0.0268,0.6274
HEARTS SIX SPADES SIX,0.146,0.129,0.725
CLUBS SEVEN DIAMONDS EIGHT,0.3504,0.06,0.5896
DIAMONDS TWO SPADES SIX,0.4232,0.1646,0.4122
DIAMONDS ACE CLUBS ACE,0.1714,0.0034,0.8252
SPADES TEN HEARTS TEN,0.1888,0.065,0.7462
CLUBS TEN HEARTS QUEEN,0.3498,0.0114,0.6388
SPADES ACE DIAMONDS SIX,0.3608,0.004,0.6352
HEARTS EIGHT SPADES JACK,0.3628,0.0204,0.6168
CLUBS FOUR HEARTS JACK,0.2854,0.061,0.6536
HEARTS EIGHT HEARTS FOUR,0.2652,0.141,0.5938
DIAMONDS TWO SPADES TWO,0.3656,0.1544,0.48
CLUBS SIX HEARTS TWO,0.4196,0.159,0.4214
CLUBS FOUR HEARTS TEN,0.2862,0.0854,0.6284
DIAMONDS QUEEN HEARTS TEN,0.3588,0.0114,0.6298
CLUBS THREE SPADES TWO,0.4584,0.2432,0.2984
CLUBS SIX HEARTS ACE,0.376,0.0052,0.6188
DIAMONDS EIGHT HEARTS TEN,0.349,0.03,0.621
HEARTS EIGHT CLUBS SIX,0.3408,0.0666,0.5926
HEARTS THREE SPADES THREE,0.3464,0.1488,0.5048
DIAMONDS ACE SPADES THREE,0.4008,0.007,0.5922
SPADES QUEEN DIAMONDS EIGHT,0.3796,0.0096,0.6108
SPADES QUEEN DIAMONDS FIVE,0.2744,0.049,0.6766
SPADES NINE SPADES SEVEN,0.348,0.0426,0.6094
SPADES ACE SPADES KING,0.3542,0.0064,0.6394
DIAMONDS ACE DIAMONDS QUEEN,0.3566,0.006,0.6374
CLUBS JACK HEARTS THREE,0.4392,0.0202,0.5406
CLUBS JACK SPADES KING,0.376,0.0056,0.6184
SPADES KING HEARTS KING,0.19,0.021,0.789
HEARTS TWO DIAMONDS SIX,0.4132,0.1732,0.4136
HEARTS SEVEN CLUBS NINE,0.3588,0.0402,0.601
CLUBS FIVE HEARTS ACE,0.2716,0.0262,0.7022
SPADES TEN DIAMONDS NINE,0.352,0.0242,0.6238
HEARTS SEVEN DIAMONDS TEN,0.3614,0.0294,0.6092
SPADES EIGHT SPADES FOUR,0.2724,0.141,0.5866
SPADES ACE CLUBS THREE,0.414,0.0034,0.5826
CLUBS JACK HEARTS EIGHT,0.3606,0.0176,0.6218
DIAMONDS ACE SPADES FIVE,0.2572,0.0298,0.713
HEARTS THREE HEARTS TEN,0.4048,0.031,0.5642
SPADES QUEEN CLUBS KING,0.378,0.006,0.616
CLUBS SEVEN HEARTS KING,0.3758,0.0076,0.6166
HEARTS SIX DIAMONDS EIGHT,0.323,0.0704,0.6066
CLUBS TEN SPADES TEN,0.1846,0.067,0.7484
CLUBS JACK HEARTS TWO,0.4332,0.0184,0.5484
HEARTS FOUR SPADES FIVE,0.0148,0.9726,0.0126
CLUBS SEVEN SPADES EIGHT,0.3464,0.0638,0.5898
HEARTS TWO SPADES SEVEN,0.4308,0.1034,0.4658
DIAMONDS TWO SPADES NINE,0.4276,0.0452,0.5272
CLUBS SIX SPADES TWO,0.4242,0.1566,0.4192
SPADES ACE DIAMONDS THREE,0.4088,0.005,0.5862
CLUBS JACK DIAMONDS TWO,0.4422,0.02,0.5378
SPADES ACE HEARTS JACK,0.3754,0.0038,0.6208
HEARTS SIX HEARTS NINE,0.3396,0.045,0.6154
SPADES KING SPADES SIX,0.3532,0.0076,0.6392
DIAMONDS QUEEN HEARTS KING,0.3648,0.009,0.6262
HEARTS SEVEN DIAMONDS TWO,0.4226,0.1046,0.4728
SPADES ACE HEARTS TEN,0.3492,0.0044,0.6464
DIAMONDS KING CLUBS THREE,0.4312,0.009,0.5598
HEARTS THREE DIAMONDS QUEEN,0.4266,0.0156,0.5578
