opposingHand,winningChance,drawChance,lostChance
DIAMONDS FOUR HEARTS JACK
DIAMONDS JACK HEARTS QUEEN,0.2222,0.0474,0.7304
SPADES SIX DIAMONDS EIGHT,0.5586,0.0186,0.4228
CLUBS EIGHT SPADES THREE,0.6292,0.0164,0.3544
HEARTS FOUR DIAMONDS KING,0.2392,0.0346,0.7262
SPADES SEVEN CLUBS THREE,0.6282,0.0214,0.3504
CLUBS KING DIAMONDS SIX,0.361,0.0074,0.6316
DIAMONDS THREE SPADES FIVE,0.6066,0.0182,0.3752
HEARTS THREE DIAMONDS SEVEN,0.614,0.0202,0.3658
CLUBS FOUR HEARTS EIGHT,0.6864,0.0604,0.2532
CLUBS NINE DIAMONDS ACE,0.3534,0.0034,0.6432
SPADES SEVEN SPADES FOUR,0.6384,0.052,0.3096
CLUBS NINE SPADES SIX,0.5612,0.0196,0.4192
CLUBS NINE CLUBS FIVE,0.5414,0.0178,0.4408
SPADES THREE DIAMONDS NINE,0.6214,0.0184,0.3602
HEARTS THREE DIAMONDS QUEEN,0.3934,0.014,0.5926
CLUBS EIGHT DIAMONDS ACE,0.344,0.0038,0.6522
CLUBS JACK HEARTS FOUR,0.0194,0.9674,0.0132
HEARTS SEVEN DIAMONDS SIX,0.5578,0.0214,0.4208
DIAMONDS TWO DIAMONDS SIX,0.592,0.02,0.388
HEARTS ACE SPADES THREE,0.3704,0.0048,0.6248
CLUBS NINE DIAMONDS QUEEN,0.3426,0.0112,0.6462
HEARTS SIX DIAMONDS TEN,0.5796,0.021,0.3994
SPADES QUEEN CLUBS SEVEN,0.3594,0.0088,0.6318
SPADES TWO CLUBS QUEEN,0.39,0.0114,0.5986
CLUBS JACK SPADES NINE,0.2314,0.1618,0.6068
SPADES QUEEN HEARTS THREE,0.3894,0.0132,0.5974
DIAMONDS THREE SPADES SEVEN,0.6202,0.02,0.3598
DIAMONDS TWO SPADES THREE,0.6428,0.0242,0.333
SPADES SEVEN HEARTS KING,0.3588,0.009,0.6322
CLUBS EIGHT HEARTS FOUR,0.7004,0.0588,0.2408
SPADES FOUR HEARTS QUEEN,0.2256,0.046,0.7284
SPADES SIX SPADES FOUR,0.6348,0.0558,0.3094
SPADES QUEEN DIAMONDS EIGHT,0.3586,0.01,0.6314
DIAMONDS TEN CLUBS KING,0.3428,0.0066,0.6506
DIAMONDS THREE SPADES TEN,0.6346,0.016,0.3494
DIAMONDS ACE HEARTS TEN,0.3512,0.0052,0.6436
CLUBS THREE SPADES TWO,0.646,0.0234,0.3306
HEARTS KING DIAMONDS EIGHT,0.3608,0.0112,0.628
SPADES QUEEN SPADES FIVE,0.3402,0.012,0.6478
SPADES NINE DIAMONDS SEVEN,0.536,0.0172,0.4468
SPADES FIVE DIAMONDS FIVE,0.2938,0.0478,0.6584
CLUBS FOUR DIAMONDS TEN,0.7056,0.058,0.2364
DIAMONDS SEVEN DIAMONDS SIX,0.5258,0.0192,0.455
DIAMONDS NINE HEARTS NINE,0.2848,0.0272,0.688
SPADES EIGHT DIAMONDS FIVE,0.5874,0.0182,0.3944
HEARTS SEVEN HEARTS ACE,0.341,0.0048,0.6542
HEARTS FOUR CLUBS TWO,0.6756,0.064,0.2604
CLUBS THREE CLUBS QUEEN,0.3726,0.0132,0.6142
CLUBS THREE CLUBS KING,0.3646,0.0078,0.6276
