opposingHand,winningChance,drawChance,lostChance
DIAMONDS FOUR HEARTS NINE
SPADES SEVEN HEARTS EIGHT,0.5264,0.0408,0.4328
DIAMONDS QUEEN SPADES FIVE,0.3566,0.011,0.6324
SPADES NINE DIAMONDS SEVEN,0.2252,0.2798,0.495
SPADES NINE HEARTS JACK,0.2254,0.067,0.7076
HEARTS JACK DIAMONDS SIX,0.3612,0.0182,0.6206
SPADES NINE SPADES TWO,0.2402,0.4892,0.2706
SPADES SEVEN DIAMONDS KING,0.3512,0.0052,0.6436
DIAMONDS TWO SPADES FOUR,0.6426,0.1096,0.2478
HEARTS SIX HEARTS EIGHT,0.5106,0.0364,0.453
SPADES FIVE HEARTS ACE,0.3316,0.005,0.6634
DIAMONDS KING HEARTS KING,0.125,0.0136,0.8614
DIAMONDS ACE HEARTS TEN,0.3074,0.0052,0.6874
DIAMONDS QUEEN DIAMONDS TEN,0.3028,0.011,0.6862
HEARTS TWO SPADES EIGHT,0.6044,0.0432,0.3524
SPADES ACE SPADES EIGHT,0.3252,0.004,0.6708
SPADES FIVE DIAMONDS TEN,0.3536,0.0238,0.6226
HEARTS THREE CLUBS QUEEN,0.3876,0.0142,0.5982
SPADES JACK HEARTS QUEEN,0.3172,0.0094,0.6734
DIAMONDS EIGHT HEARTS JACK,0.3364,0.0174,0.6462
DIAMONDS KING CLUBS QUEEN,0.3318,0.0054,0.6628
DIAMONDS THREE DIAMONDS TWO,0.5818,0.0432,0.375
SPADES KING CLUBS FOUR,0.2358,0.0366,0.7276
SPADES TEN SPADES FIVE,0.3236,0.0258,0.6506
SPADES JACK SPADES SEVEN,0.3232,0.0144,0.6624
SPADES SIX DIAMONDS EIGHT,0.532,0.0396,0.4284
HEARTS FOUR HEARTS EIGHT,0.6154,0.1022,0.2824
HEARTS QUEEN CLUBS QUEEN,0.1292,0.0214,0.8494
HEARTS SEVEN HEARTS EIGHT,0.4994,0.037,0.4636
SPADES NINE DIAMONDS JACK,0.221,0.0582,0.7208
CLUBS FOUR DIAMONDS EIGHT,0.648,0.0988,0.2532
DIAMONDS TWO CLUBS FOUR,0.6352,0.1152,0.2496
DIAMONDS EIGHT HEARTS EIGHT,0.267,0.0606,0.6724
DIAMONDS THREE CLUBS TEN,0.3792,0.026,0.5948
CLUBS EIGHT SPADES NINE,0.2274,0.2244,0.5482
DIAMONDS TWO DIAMONDS EIGHT,0.5682,0.0422,0.3896
DIAMONDS QUEEN SPADES TWO,0.3866,0.0154,0.598
HEARTS TWO HEARTS QUEEN,0.3848,0.013,0.6022
DIAMONDS THREE CLUBS FIVE,0.5696,0.045,0.3854
HEARTS FOUR DIAMONDS SEVEN,0.626,0.1108,0.2632
CLUBS THREE CLUBS ACE,0.3502,0.0044,0.6454
CLUBS JACK SPADES JACK,0.1414,0.0336,0.825
CLUBS JACK HEARTS THREE,0.3818,0.0212,0.597
HEARTS ACE DIAMONDS EIGHT,0.3408,0.004,0.6552
SPADES TEN DIAMONDS JACK,0.2926,0.0136,0.6938
CLUBS THREE DIAMONDS QUEEN,0.3714,0.0128,0.6158
SPADES JACK HEARTS JACK,0.1332,0.0304,0.8364
SPADES NINE SPADES SEVEN,0.216,0.2596,0.5244
HEARTS SIX DIAMONDS TEN,0.3448,0.0264,0.6288
SPADES EIGHT DIAMONDS QUEEN,0.354,0.0124,0.6336
HEARTS THREE SPADES FIVE,0.5636,0.0506,0.3858
SPADES SIX DIAMONDS FIVE,0.5298,0.0416,0.4286
SPADES KING HEARTS KING,0.1284,0.0128,0.8588
DIAMONDS KING DIAMONDS FIVE,0.341,0.0098,0.6492
HEARTS THREE DIAMONDS KING,0.4012,0.0088,0.59
CLUBS FOUR CLUBS THREE,0.5736,0.1092,0.3172
SPADES KING DIAMONDS FIVE,0.3576,0.0106,0.6318
CLUBS TEN DIAMONDS EIGHT,0.3276,0.0284,0.644
SPADES ACE SPADES SEVEN,0.3262,0.0028,0.671
SPADES EIGHT SPADES SEVEN,0.491,0.0394,0.4696
DIAMONDS TWO DIAMONDS TEN,0.3648,0.0292,0.606
SPADES QUEEN SPADES JACK,0.2942,0.0104,0.6954
CLUBS SEVEN HEARTS QUEEN,0.3476,0.0118,0.6406
HEARTS FOUR SPADES TWO,0.6338,0.11,0.2562
SPADES FIVE DIAMONDS FIVE,0.263,0.0892,0.6478
HEARTS SIX CLUBS FOUR,0.6254,0.0972,0.2774
HEARTS FOUR CLUBS TWO,0.6504,0.1004,0.2492
SPADES KING DIAMONDS TWO,0.3882,0.0088,0.603
SPADES ACE DIAMONDS KING,0.322,0.0036,0.6744
SPADES QUEEN SPADES TEN,0.2982,0.0096,0.6922
CLUBS JACK CLUBS SIX,0.3308,0.017,0.6522
DIAMONDS TWO CLUBS THREE,0.5968,0.045,0.3582
DIAMONDS QUEEN HEARTS QUEEN,0.138,0.0288,0.8332
HEARTS TEN CLUBS QUEEN,0.3002,0.0096,0.6902
DIAMONDS TEN HEARTS TEN,0.1454,0.044,0.8106
HEARTS TEN DIAMONDS FIVE,0.3464,0.0322,0.6214
DIAMONDS KING HEARTS ACE,0.3274,0.0054,0.6672
DIAMONDS KING DIAMONDS SEVEN,0.3384,0.0108,0.6508
CLUBS SIX DIAMONDS KING,0.3476,0.0062,0.6462
DIAMONDS NINE HEARTS QUEEN,0.2192,0.0472,0.7336
SPADES SEVEN HEARTS TEN,0.332,0.0274,0.6406
HEARTS SIX HEARTS TWO,0.5736,0.0382,0.3882
SPADES NINE CLUBS SIX,0.2156,0.3696,0.4148
CLUBS TEN HEARTS JACK,0.2996,0.016,0.6844
HEARTS FIVE SPADES EIGHT,0.5566,0.0408,0.4026
DIAMONDS QUEEN DIAMONDS EIGHT,0.329,0.0116,0.6594
SPADES TEN DIAMONDS SEVEN,0.3358,0.0266,0.6376
SPADES FOUR HEARTS EIGHT,0.6418,0.1156,0.2426
HEARTS SIX DIAMONDS SEVEN,0.5246,0.0458,0.4296
SPADES SIX CLUBS QUEEN,0.3586,0.0102,0.6312
DIAMONDS QUEEN DIAMONDS SEVEN,0.3362,0.0124,0.6514
CLUBS TEN DIAMONDS NINE,0.2188,0.0776,0.7036
CLUBS EIGHT CLUBS ACE,0.3254,0.0036,0.671
DIAMONDS JACK DIAMONDS TEN,0.2914,0.0184,0.6902
SPADES FOUR CLUBS QUEEN,0.238,0.0438,0.7182
HEARTS SEVEN SPADES QUEEN,0.3394,0.0104,0.6502
CLUBS TEN CLUBS SIX,0.323,0.0232,0.6538
SPADES ACE HEARTS QUEEN,0.328,0.0044,0.6676
DIAMONDS THREE SPADES KING,0.401,0.0076,0.5914
SPADES EIGHT DIAMONDS ACE,0.338,0.0044,0.6576
CLUBS SEVEN CLUBS FOUR,0.594,0.0882,0.3178
SPADES EIGHT SPADES FOUR,0.6072,0.0988,0.294
SPADES KING CLUBS QUEEN,0.3304,0.005,0.6646
DIAMONDS JACK CLUBS QUEEN,0.31,0.0112,0.6788
HEARTS SIX SPADES SEVEN,0.5326,0.0366,0.4308
SPADES FOUR DIAMONDS TEN,0.2232,0.086,0.6908
SPADES KING CLUBS SIX,0.3618,0.0078,0.6304
HEARTS SIX SPADES TWO,0.5992,0.046,0.3548
CLUBS SEVEN DIAMONDS QUEEN,0.3528,0.0138,0.6334
SPADES JACK SPADES TEN,0.275,0.0128,0.7122
DIAMONDS THREE CLUBS FOUR,0.6294,0.1152,0.2554
DIAMONDS KING SPADES FOUR,0.2394,0.0316,0.729
DIAMONDS JACK DIAMONDS FIVE,0.3394,0.019,0.6416
DIAMONDS QUEEN DIAMONDS NINE,0.2188,0.0462,0.735
DIAMONDS QUEEN HEARTS ACE,0.3096,0.0046,0.6858
CLUBS ACE HEARTS TEN,0.3194,0.0048,0.6758
SPADES TEN HEARTS EIGHT,0.3302,0.0232,0.6466
DIAMONDS THREE HEARTS FOUR,0.6346,0.1182,0.2472
CLUBS NINE DIAMONDS FIVE,0.2148,0.4544,0.3308
SPADES KING SPADES SIX,0.3352,0.0078,0.657
SPADES SIX HEARTS QUEEN,0.354,0.0118,0.6342
DIAMONDS NINE SPADES TWO,0.2704,0.5102,0.2194
CLUBS JACK DIAMONDS TEN,0.285,0.0146,0.7004
HEARTS KING DIAMONDS SEVEN,0.3476,0.0064,0.646
HEARTS THREE DIAMONDS QUEEN,0.393,0.0118,0.5952
HEARTS TWO CLUBS THREE,0.6044,0.0484,0.3472
SPADES ACE HEARTS FIVE,0.3418,0.0048,0.6534
HEARTS THREE CLUBS ACE,0.3862,0.0036,0.6102
DIAMONDS THREE DIAMONDS JACK,0.386,0.018,0.596
SPADES ACE CLUBS SIX,0.3614,0.005,0.6336
CLUBS TEN CLUBS TWO,0.369,0.024,0.607
