opposingHand,winningChance,drawChance,lostChance
DIAMONDS FOUR HEARTS TWO
SPADES FIVE SPADES FOUR,0.2076,0.3482,0.4442
SPADES FIVE DIAMONDS FIVE,0.1112,0.1442,0.7446
DIAMONDS SEVEN CLUBS QUEEN,0.3408,0.0142,0.645
CLUBS SIX HEARTS TEN,0.3328,0.0306,0.6366
HEARTS SEVEN CLUBS SIX,0.3226,0.0964,0.581
SPADES KING HEARTS FIVE,0.3242,0.0106,0.6652
CLUBS NINE DIAMONDS ACE,0.3354,0.005,0.6596
SPADES JACK HEARTS JACK,0.1548,0.053,0.7922
HEARTS FOUR DIAMONDS TEN,0.2428,0.0862,0.671
DIAMONDS TEN DIAMONDS SIX,0.3294,0.028,0.6426
SPADES QUEEN SPADES THREE,0.3446,0.0148,0.6406
SPADES ACE HEARTS EIGHT,0.344,0.0074,0.6486
CLUBS JACK HEARTS SIX,0.3552,0.0232,0.6216
SPADES KING DIAMONDS TEN,0.351,0.0076,0.6414
DIAMONDS JACK HEARTS KING,0.3272,0.0098,0.663
SPADES JACK DIAMONDS NINE,0.3346,0.0146,0.6508
HEARTS EIGHT SPADES NINE,0.325,0.042,0.633
SPADES SIX DIAMONDS QUEEN,0.3458,0.0122,0.642
DIAMONDS TWO CLUBS NINE,0.2534,0.1126,0.634
CLUBS THREE SPADES FOUR,0.2108,0.5194,0.2698
HEARTS EIGHT DIAMONDS ACE,0.3294,0.0042,0.6664
DIAMONDS TWO DIAMONDS JACK,0.2646,0.0516,0.6838
SPADES QUEEN SPADES TEN,0.3138,0.0118,0.6744
HEARTS SIX HEARTS QUEEN,0.3382,0.0156,0.6462
SPADES JACK SPADES FIVE,0.3368,0.0214,0.6418
DIAMONDS THREE SPADES THREE,0.2156,0.175,0.6094
CLUBS SEVEN HEARTS THREE,0.369,0.1032,0.5278
CLUBS JACK SPADES FOUR,0.2688,0.0636,0.6676
DIAMONDS EIGHT DIAMONDS SEVEN,0.2994,0.0548,0.6458
CLUBS SEVEN DIAMONDS EIGHT,0.3176,0.0696,0.6128
HEARTS SEVEN HEARTS ACE,0.3206,0.0048,0.6746
SPADES QUEEN CLUBS EIGHT,0.348,0.013,0.639
HEARTS EIGHT CLUBS TEN,0.3376,0.0288,0.6336
DIAMONDS ACE DIAMONDS SIX,0.3178,0.0038,0.6784
SPADES EIGHT CLUBS TWO,0.255,0.1484,0.5966
SPADES TWO CLUBS KING,0.2638,0.0274,0.7088
SPADES ACE DIAMONDS SIX,0.3492,0.0048,0.646
DIAMONDS TWO SPADES THREE,0.2628,0.5298,0.2074
CLUBS JACK HEARTS EIGHT,0.329,0.013,0.658
DIAMONDS KING CLUBS QUEEN,0.3358,0.006,0.6582
CLUBS ACE CLUBS KING,0.3174,0.0072,0.6754
HEARTS SEVEN SPADES SIX,0.3138,0.0958,0.5904
SPADES TWO CLUBS ACE,0.2436,0.0152,0.7412
SPADES FIVE DIAMONDS JACK,0.346,0.0176,0.6364
CLUBS THREE DIAMONDS SIX,0.3424,0.1498,0.5078
HEARTS QUEEN CLUBS QUEEN,0.1458,0.0344,0.8198
CLUBS THREE HEARTS JACK,0.3572,0.0246,0.6182
SPADES TEN CLUBS THREE,0.3632,0.0344,0.6024
HEARTS EIGHT SPADES FOUR,0.2484,0.1468,0.6048
SPADES NINE SPADES EIGHT,0.3122,0.0402,0.6476
HEARTS THREE SPADES EIGHT,0.3826,0.0696,0.5478
SPADES TEN SPADES NINE,0.3076,0.028,0.6644
SPADES KING CLUBS ACE,0.3406,0.0066,0.6528
CLUBS ACE DIAMONDS SEVEN,0.3258,0.0046,0.6696
HEARTS SIX HEARTS KING,0.339,0.011,0.65
CLUBS FIVE HEARTS KING,0.3306,0.0098,0.6596
CLUBS JACK CLUBS ACE,0.3166,0.006,0.6774
SPADES TEN DIAMONDS EIGHT,0.332,0.029,0.639
DIAMONDS THREE HEARTS THREE,0.2052,0.1686,0.6262
SPADES ACE DIAMONDS TWO,0.2508,0.0146,0.7346
SPADES JACK SPADES FOUR,0.2368,0.0616,0.7016
HEARTS ACE DIAMONDS FIVE,0.3152,0.0044,0.6804
SPADES EIGHT DIAMONDS TEN,0.3304,0.026,0.6436
SPADES QUEEN CLUBS THREE,0.3744,0.016,0.6096
HEARTS JACK HEARTS TEN,0.32,0.0144,0.6656
SPADES JACK CLUBS TWO,0.2724,0.0542,0.6734
