opposingHand,winningChance,drawChance,lostChance
DIAMONDS FOUR SPADES NINE
HEARTS FIVE SPADES TEN,0.3538,0.0282,0.618
HEARTS FIVE SPADES JACK,0.3434,0.0192,0.6374
SPADES FIVE CLUBS JACK,0.3618,0.0208,0.6174
CLUBS TEN SPADES FIVE,0.36,0.0304,0.6096
CLUBS EIGHT CLUBS JACK,0.3182,0.0174,0.6644
CLUBS TEN CLUBS EIGHT,0.2944,0.0198,0.6858
CLUBS EIGHT CLUBS KING,0.3416,0.0074,0.651
SPADES FIVE CLUBS ACE,0.3598,0.0054,0.6348
CLUBS EIGHT CLUBS QUEEN,0.3252,0.0104,0.6644
SPADES FIVE CLUBS KING,0.3562,0.01,0.6338
SPADES FIVE CLUBS QUEEN,0.3636,0.012,0.6244
CLUBS EIGHT CLUBS ACE,0.3306,0.005,0.6644
DIAMONDS TWO DIAMONDS THREE,0.5736,0.047,0.3794
DIAMONDS TWO DIAMONDS FIVE,0.5432,0.044,0.4128
HEARTS FIVE SPADES KING,0.3572,0.0072,0.6356
HEARTS FIVE SPADES QUEEN,0.3438,0.014,0.6422
DIAMONDS TWO DIAMONDS SEVEN,0.5702,0.0416,0.3882
DIAMONDS TWO DIAMONDS SIX,0.566,0.0438,0.3902
SPADES ACE HEARTS FIVE,0.3358,0.0044,0.6598
DIAMONDS TWO DIAMONDS NINE,0.2582,0.482,0.2598
DIAMONDS TWO DIAMONDS EIGHT,0.5656,0.0412,0.3932
SPADES FOUR CLUBS TWO,0.636,0.1114,0.2526
DIAMONDS THREE DIAMONDS FIVE,0.5302,0.0448,0.425
SPADES FIVE CLUBS TWO,0.57,0.0464,0.3836
CLUBS TWO SPADES TWO,0.3736,0.0814,0.545
CLUBS TWO SPADES THREE,0.6112,0.0508,0.338
DIAMONDS THREE DIAMONDS EIGHT,0.58,0.0436,0.3764
SPADES EIGHT CLUBS TWO,0.6022,0.0458,0.352
DIAMONDS THREE DIAMONDS NINE,0.247,0.5034,0.2496
DIAMONDS THREE DIAMONDS SIX,0.5476,0.0424,0.41
SPADES SIX CLUBS TWO,0.6006,0.0438,0.3556
DIAMONDS THREE DIAMONDS SEVEN,0.5696,0.0456,0.3848
SPADES SEVEN CLUBS TWO,0.6146,0.0454,0.34
CLUBS SIX CLUBS TWO,0.5562,0.0436,0.4002
CLUBS SEVEN CLUBS TWO,0.5634,0.0408,0.3958
CLUBS FOUR CLUBS TWO,0.5914,0.109,0.2996
CLUBS FIVE CLUBS TWO,0.538,0.0452,0.4168
CLUBS TEN CLUBS JACK,0.2786,0.0136,0.7078
CLUBS TEN CLUBS QUEEN,0.2994,0.0078,0.6928
CLUBS TEN CLUBS KING,0.2922,0.0082,0.6996
CLUBS TEN CLUBS ACE,0.2976,0.0044,0.698
CLUBS EIGHT CLUBS TWO,0.5598,0.0448,0.3954
CLUBS NINE CLUBS TWO,0.2394,0.4884,0.2722
CLUBS THREE CLUBS TWO,0.5694,0.0468,0.3838
DIAMONDS NINE DIAMONDS FIVE,0.2072,0.4354,0.3574
DIAMONDS TWO CLUBS JACK,0.3878,0.0224,0.5898
DIAMONDS FIVE DIAMONDS EIGHT,0.5184,0.038,0.4436
CLUBS TEN DIAMONDS TWO,0.384,0.0244,0.5916
DIAMONDS FIVE DIAMONDS SEVEN,0.4952,0.046,0.4588
DIAMONDS SIX DIAMONDS FIVE,0.4974,0.0434,0.4592
DIAMONDS TWO CLUBS ACE,0.382,0.0048,0.6132
DIAMONDS TWO CLUBS KING,0.3996,0.008,0.5924
DIAMONDS TWO CLUBS QUEEN,0.4002,0.013,0.5868
DIAMONDS SIX DIAMONDS EIGHT,0.5074,0.0404,0.4522
DIAMONDS NINE DIAMONDS SIX,0.2144,0.3478,0.4378
HEARTS ACE SPADES THREE,0.3744,0.0056,0.62
SPADES THREE HEARTS KING,0.3978,0.0068,0.5954
DIAMONDS SIX DIAMONDS SEVEN,0.518,0.0384,0.4436
SPADES THREE HEARTS QUEEN,0.3826,0.0146,0.6028
SPADES THREE HEARTS JACK,0.392,0.0172,0.5908
SPADES THREE HEARTS TEN,0.3764,0.0294,0.5942
DIAMONDS EIGHT DIAMONDS SEVEN,0.492,0.0368,0.4712
DIAMONDS NINE DIAMONDS SEVEN,0.215,0.272,0.513
DIAMONDS NINE DIAMONDS EIGHT,0.1994,0.2254,0.5752
DIAMONDS KING HEARTS TEN,0.329,0.0068,0.6642
HEARTS THREE HEARTS TEN,0.3534,0.0284,0.6182
SPADES JACK CLUBS SIX,0.3668,0.016,0.6172
DIAMONDS KING HEARTS JACK,0.3104,0.0058,0.6838
HEARTS THREE HEARTS JACK,0.362,0.0158,0.6222
SPADES TEN CLUBS SIX,0.3404,0.0274,0.6322
SPADES JACK SPADES FIVE,0.3374,0.0172,0.6454
SPADES TEN SPADES FIVE,0.3388,0.0282,0.633
DIAMONDS KING HEARTS ACE,0.321,0.0044,0.6746
HEARTS THREE HEARTS ACE,0.3564,0.0038,0.6398
SPADES ACE CLUBS SIX,0.3434,0.004,0.6526
DIAMONDS KING HEARTS QUEEN,0.313,0.0058,0.6812
HEARTS THREE HEARTS QUEEN,0.3552,0.0126,0.6322
SPADES KING CLUBS SIX,0.3552,0.0068,0.638
DIAMONDS KING HEARTS KING,0.1334,0.0134,0.8532
HEARTS THREE HEARTS KING,0.3738,0.009,0.6172
SPADES QUEEN CLUBS SIX,0.352,0.0118,0.6362
SPADES QUEEN SPADES FIVE,0.3456,0.01,0.6444
SPADES KING SPADES FIVE,0.3426,0.0078,0.6496
SPADES ACE SPADES FIVE,0.3264,0.005,0.6686
CLUBS TEN SPADES JACK,0.2984,0.0168,0.6848
CLUBS TEN SPADES TEN,0.1246,0.0426,0.8328
SPADES ACE CLUBS TEN,0.3254,0.0056,0.669
SPADES KING CLUBS TEN,0.315,0.009,0.676
CLUBS TEN SPADES QUEEN,0.2996,0.0106,0.6898
SPADES FIVE HEARTS QUEEN,0.3602,0.012,0.6278
SPADES FIVE HEARTS KING,0.3578,0.0062,0.636
SPADES FIVE HEARTS ACE,0.3474,0.005,0.6476
CLUBS EIGHT SPADES TEN,0.3286,0.0282,0.6432
SPADES JACK HEARTS THREE,0.3778,0.0228,0.5994
SPADES JACK DIAMONDS KING,0.303,0.0098,0.6872
SPADES TEN DIAMONDS KING,0.3156,0.0118,0.6726
SPADES TEN HEARTS THREE,0.3812,0.0326,0.5862
SPADES JACK CLUBS EIGHT,0.3366,0.0186,0.6448
CLUBS SIX HEARTS ACE,0.3672,0.0044,0.6284
SPADES ACE CLUBS EIGHT,0.3552,0.0038,0.641
HEARTS FIVE CLUBS JACK,0.3662,0.0168,0.617
HEARTS FIVE CLUBS TEN,0.3542,0.0254,0.6204
CLUBS SIX HEARTS QUEEN,0.368,0.0112,0.6208
SPADES QUEEN CLUBS EIGHT,0.3492,0.01,0.6408
CLUBS TEN SPADES THREE,0.3844,0.0302,0.5854
CLUBS SIX HEARTS KING,0.368,0.008,0.624
SPADES KING CLUBS EIGHT,0.3558,0.0078,0.6364
SPADES THREE CLUBS JACK,0.3854,0.0182,0.5964
DIAMONDS TWO HEARTS JACK,0.4036,0.018,0.5784
SPADES THREE CLUBS QUEEN,0.3928,0.015,0.5922
DIAMONDS TWO HEARTS TEN,0.386,0.0304,0.5836
SPADES THREE CLUBS KING,0.3926,0.0084,0.599
HEARTS FIVE CLUBS ACE,0.3522,0.0042,0.6436
SPADES FIVE HEARTS TEN,0.3592,0.0262,0.6146
SPADES THREE CLUBS ACE,0.3858,0.005,0.6092
HEARTS FIVE CLUBS KING,0.3552,0.0082,0.6366
SPADES FIVE HEARTS JACK,0.37,0.015,0.615
HEARTS FIVE CLUBS QUEEN,0.3528,0.0122,0.635
HEARTS THREE CLUBS KING,0.3886,0.0088,0.6026
DIAMONDS KING CLUBS KING,0.1228,0.0116,0.8656
HEARTS THREE CLUBS QUEEN,0.3832,0.0128,0.604
DIAMONDS KING CLUBS QUEEN,0.3202,0.0068,0.673
HEARTS FIVE HEARTS JACK,0.326,0.0164,0.6576
HEARTS FIVE HEARTS TEN,0.341,0.0222,0.6368
HEARTS THREE CLUBS ACE,0.3738,0.0034,0.6228
DIAMONDS KING CLUBS ACE,0.3216,0.0052,0.6732
SPADES ACE CLUBS QUEEN,0.317,0.006,0.677
SPADES KING CLUBS QUEEN,0.3224,0.0074,0.6702
HEARTS THREE CLUBS JACK,0.389,0.0198,0.5912
DIAMONDS KING CLUBS JACK,0.3212,0.007,0.6718
SPADES QUEEN CLUBS QUEEN,0.1352,0.0244,0.8404
CLUBS TEN HEARTS THREE,0.377,0.025,0.598
CLUBS TEN DIAMONDS KING,0.3222,0.0058,0.672
SPADES JACK CLUBS QUEEN,0.3196,0.0098,0.6706
CLUBS SIX CLUBS QUEEN,0.3388,0.0098,0.6514
SPADES TEN CLUBS QUEEN,0.2988,0.011,0.6902
CLUBS SIX CLUBS KING,0.339,0.0068,0.6542
CLUBS SIX CLUBS ACE,0.3276,0.0032,0.6692
HEARTS FIVE HEARTS KING,0.327,0.0064,0.6666
HEARTS FIVE HEARTS QUEEN,0.3308,0.0114,0.6578
CLUBS TEN CLUBS SIX,0.3192,0.023,0.6578
HEARTS FIVE HEARTS ACE,0.317,0.0048,0.6782
CLUBS SIX CLUBS JACK,0.3386,0.0176,0.6438
SPADES SEVEN HEARTS JACK,0.3554,0.019,0.6256
SPADES SEVEN HEARTS TEN,0.323,0.026,0.651
DIAMONDS TWO CLUBS TWO,0.3782,0.0834,0.5384
DIAMONDS TWO CLUBS THREE,0.6132,0.0484,0.3384
DIAMONDS TWO HEARTS SIX,0.5998,0.0456,0.3546
DIAMONDS TWO HEARTS QUEEN,0.385,0.0126,0.6024
HEARTS SEVEN DIAMONDS TWO,0.6094,0.0472,0.3434
DIAMONDS TWO HEARTS KING,0.3898,0.0106,0.5996
DIAMONDS TWO HEARTS EIGHT,0.6046,0.044,0.3514
DIAMONDS TWO HEARTS ACE,0.3698,0.0052,0.625
DIAMONDS TWO HEARTS NINE,0.262,0.5262,0.2118
DIAMONDS TWO DIAMONDS QUEEN,0.3546,0.017,0.6284
DIAMONDS TWO HEARTS TWO,0.38,0.0832,0.5368
DIAMONDS TWO DIAMONDS KING,0.3758,0.0126,0.6116
DIAMONDS TWO HEARTS THREE,0.6076,0.0538,0.3386
DIAMONDS TWO DIAMONDS ACE,0.3586,0.0056,0.6358
HEARTS FOUR DIAMONDS TWO,0.6486,0.1034,0.248
HEARTS FIVE DIAMONDS TWO,0.588,0.0498,0.3622
SPADES SEVEN HEARTS ACE,0.3524,0.0054,0.6422
DIAMONDS TWO DIAMONDS TEN,0.3666,0.03,0.6034
SPADES SEVEN HEARTS KING,0.373,0.0072,0.6198
DIAMONDS TWO DIAMONDS JACK,0.381,0.0172,0.6018
SPADES SEVEN HEARTS QUEEN,0.351,0.0112,0.6378
DIAMONDS TWO SPADES EIGHT,0.601,0.0446,0.3544
DIAMONDS TWO SPADES SEVEN,0.6138,0.0468,0.3394
DIAMONDS TWO SPADES SIX,0.6134,0.0472,0.3394
DIAMONDS TWO SPADES FIVE,0.602,0.0462,0.3518
DIAMONDS TWO SPADES FOUR,0.6536,0.1102,0.2362
DIAMONDS TWO SPADES THREE,0.6094,0.0468,0.3438
DIAMONDS TWO SPADES TWO,0.3822,0.084,0.5338
CLUBS NINE DIAMONDS TWO,0.2684,0.5178,0.2138
DIAMONDS TWO CLUBS EIGHT,0.6108,0.047,0.3422
CLUBS SEVEN DIAMONDS TWO,0.601,0.0448,0.3542
DIAMONDS TWO CLUBS SIX,0.5998,0.047,0.3532
DIAMONDS TWO CLUBS FIVE,0.5708,0.047,0.3822
DIAMONDS TWO CLUBS FOUR,0.6346,0.1092,0.2562
CLUBS FOUR SPADES FIVE,0.6094,0.1034,0.2872
CLUBS FOUR SPADES FOUR,0.2706,0.0654,0.664
CLUBS FOUR SPADES THREE,0.6176,0.1106,0.2718
CLUBS FOUR SPADES TWO,0.6336,0.1104,0.256
SPADES EIGHT CLUBS FOUR,0.663,0.1048,0.2322
SPADES SEVEN CLUBS FOUR,0.6404,0.1012,0.2584
SPADES SIX CLUBS FOUR,0.6334,0.1,0.2666
SPADES ACE DIAMONDS SIX,0.3456,0.006,0.6484
SPADES QUEEN DIAMONDS SIX,0.3428,0.0112,0.646
SPADES KING DIAMONDS SIX,0.3454,0.0056,0.649
SPADES TEN DIAMONDS SIX,0.3286,0.029,0.6424
SPADES JACK DIAMONDS SIX,0.35,0.0212,0.6288
SPADES QUEEN SPADES TWO,0.3792,0.0112,0.6096
SPADES KING SPADES TWO,0.3728,0.0088,0.6184
SPADES ACE SPADES TWO,0.3684,0.0034,0.6282
DIAMONDS JACK CLUBS JACK,0.1314,0.0286,0.84
CLUBS TEN DIAMONDS JACK,0.2962,0.0162,0.6876
DIAMONDS JACK CLUBS KING,0.3254,0.0064,0.6682
DIAMONDS JACK CLUBS QUEEN,0.3108,0.0098,0.6794
DIAMONDS THREE DIAMONDS JACK,0.3802,0.0202,0.5996
DIAMONDS THREE DIAMONDS TEN,0.37,0.0284,0.6016
DIAMONDS JACK CLUBS ACE,0.32,0.004,0.676
DIAMONDS THREE DIAMONDS KING,0.3674,0.0078,0.6248
DIAMONDS THREE HEARTS THREE,0.3698,0.0888,0.5414
DIAMONDS THREE DIAMONDS QUEEN,0.3632,0.0124,0.6244
DIAMONDS THREE HEARTS TWO,0.6144,0.0446,0.341
HEARTS FIVE DIAMONDS THREE,0.569,0.046,0.385
DIAMONDS THREE DIAMONDS ACE,0.3652,0.0052,0.6296
HEARTS FOUR DIAMONDS THREE,0.6178,0.1062,0.276
HEARTS SEVEN DIAMONDS THREE,0.596,0.0464,0.3576
HEARTS SIX DIAMONDS THREE,0.5796,0.045,0.3754
DIAMONDS THREE HEARTS NINE,0.2596,0.5292,0.2112
HEARTS ACE HEARTS KING,0.3132,0.0048,0.682
SPADES TEN SPADES TWO,0.3516,0.0296,0.6188
DIAMONDS THREE HEARTS EIGHT,0.599,0.0452,0.3558
SPADES JACK SPADES TWO,0.35,0.0214,0.6286
DIAMONDS THREE SPADES EIGHT,0.614,0.0494,0.3366
DIAMONDS THREE SPADES SEVEN,0.607,0.0438,0.3492
DIAMONDS THREE SPADES SIX,0.5852,0.0482,0.3666
DIAMONDS THREE CLUBS SIX,0.583,0.0448,0.3722
CLUBS FIVE CLUBS SIX,0.5002,0.0394,0.4604
CLUBS SEVEN DIAMONDS THREE,0.5872,0.0448,0.368
CLUBS SEVEN CLUBS FIVE,0.5094,0.0406,0.45
DIAMONDS THREE CLUBS FOUR,0.6182,0.1128,0.269
DIAMONDS THREE CLUBS FIVE,0.5516,0.048,0.4004
DIAMONDS THREE CLUBS TWO,0.6108,0.0486,0.3406
DIAMONDS THREE CLUBS THREE,0.3854,0.0826,0.532
DIAMONDS THREE SPADES FOUR,0.6258,0.1098,0.2644
DIAMONDS THREE SPADES FIVE,0.5722,0.0444,0.3834
DIAMONDS THREE SPADES TWO,0.6214,0.0468,0.3318
DIAMONDS THREE SPADES THREE,0.3746,0.0876,0.5378
CLUBS EIGHT DIAMONDS THREE,0.603,0.0478,0.3492
CLUBS NINE DIAMONDS THREE,0.2598,0.5326,0.2076
SPADES SEVEN CLUBS ACE,0.351,0.0052,0.6438
SPADES SEVEN CLUBS QUEEN,0.3686,0.0094,0.622
SPADES SEVEN CLUBS KING,0.3498,0.009,0.6412
CLUBS FIVE SPADES SEVEN,0.5452,0.0386,0.4162
CLUBS TEN SPADES SEVEN,0.3306,0.0262,0.6432
CLUBS FIVE SPADES SIX,0.538,0.0446,0.4174
SPADES SEVEN CLUBS JACK,0.3612,0.015,0.6238
CLUBS FIVE SPADES EIGHT,0.5512,0.0428,0.406
CLUBS FIVE SPADES THREE,0.5634,0.046,0.3906
CLUBS FIVE SPADES TWO,0.5808,0.05,0.3692
CLUBS FIVE SPADES FIVE,0.2784,0.0726,0.649
CLUBS FIVE SPADES FOUR,0.5972,0.1108,0.292
CLUBS NINE CLUBS FIVE,0.1934,0.4376,0.369
CLUBS EIGHT CLUBS FIVE,0.5266,0.038,0.4354
CLUBS ACE CLUBS QUEEN,0.299,0.0046,0.6964
CLUBS KING CLUBS QUEEN,0.3088,0.0078,0.6834
CLUBS TEN DIAMONDS NINE,0.2264,0.0764,0.6972
DIAMONDS NINE CLUBS JACK,0.225,0.0636,0.7114
DIAMONDS JACK HEARTS TEN,0.3074,0.0142,0.6784
DIAMONDS TWO SPADES TEN,0.3878,0.0284,0.5838
DIAMONDS NINE CLUBS ACE,0.212,0.0242,0.7638
DIAMONDS JACK HEARTS JACK,0.1386,0.028,0.8334
DIAMONDS TWO SPADES JACK,0.386,0.0208,0.5932
DIAMONDS NINE CLUBS QUEEN,0.2264,0.055,0.7186
DIAMONDS NINE CLUBS KING,0.2226,0.039,0.7384
HEARTS ACE DIAMONDS JACK,0.3186,0.0064,0.675
SPADES ACE DIAMONDS TWO,0.3816,0.0058,0.6126
HEARTS QUEEN DIAMONDS JACK,0.3038,0.0128,0.6834
SPADES QUEEN DIAMONDS TWO,0.3978,0.0126,0.5896
HEARTS KING DIAMONDS JACK,0.314,0.0088,0.6772
SPADES KING DIAMONDS TWO,0.4008,0.0084,0.5908
SPADES JACK SPADES SEVEN,0.3306,0.017,0.6524
SPADES TEN SPADES SEVEN,0.3254,0.0278,0.6468
CLUBS SEVEN CLUBS THREE,0.548,0.0426,0.4094
CLUBS SIX CLUBS THREE,0.5394,0.0472,0.4134
CLUBS FIVE CLUBS THREE,0.5352,0.0384,0.4264
CLUBS THREE CLUBS FOUR,0.5764,0.112,0.3116
CLUBS NINE CLUBS THREE,0.244,0.495,0.261
CLUBS EIGHT CLUBS THREE,0.5632,0.041,0.3958
CLUBS THREE SPADES FIVE,0.5758,0.0518,0.3724
CLUBS THREE SPADES FOUR,0.6198,0.104,0.2762
CLUBS THREE SPADES THREE,0.3688,0.0844,0.5468
CLUBS THREE SPADES TWO,0.6096,0.0496,0.3408
CLUBS THREE SPADES SIX,0.6004,0.041,0.3586
SPADES SEVEN CLUBS THREE,0.593,0.0432,0.3638
SPADES EIGHT CLUBS THREE,0.6092,0.0426,0.3482
DIAMONDS TEN DIAMONDS FIVE,0.3294,0.0254,0.6452
DIAMONDS JACK DIAMONDS FIVE,0.3246,0.0176,0.6578
DIAMONDS NINE HEARTS QUEEN,0.2274,0.0448,0.7278
DIAMONDS NINE HEARTS KING,0.2332,0.037,0.7298
HEARTS ACE DIAMONDS NINE,0.2126,0.0284,0.759
DIAMONDS NINE HEARTS TEN,0.2148,0.0756,0.7096
DIAMONDS NINE HEARTS JACK,0.2186,0.0652,0.7162
DIAMONDS SIX CLUBS KING,0.3416,0.0092,0.6492
DIAMONDS SIX CLUBS QUEEN,0.3414,0.011,0.6476
CLUBS ACE DIAMONDS SIX,0.3612,0.0048,0.634
SPADES ACE SPADES SEVEN,0.3416,0.0062,0.6522
SPADES QUEEN SPADES SEVEN,0.3454,0.0106,0.644
DIAMONDS SIX CLUBS JACK,0.3542,0.0186,0.6272
SPADES KING SPADES SEVEN,0.3414,0.0104,0.6482
CLUBS TEN DIAMONDS SIX,0.335,0.0266,0.6384
CLUBS NINE CLUBS FOUR,0.019,0.9074,0.0736
CLUBS EIGHT CLUBS FOUR,0.6056,0.0998,0.2946
CLUBS FIVE CLUBS FOUR,0.5628,0.102,0.3352
CLUBS SEVEN CLUBS FOUR,0.587,0.1024,0.3106
CLUBS SIX CLUBS FOUR,0.585,0.0948,0.3202
CLUBS SEVEN SPADES EIGHT,0.53,0.042,0.428
CLUBS SEVEN SPADES SIX,0.5352,0.0434,0.4214
CLUBS SEVEN SPADES SEVEN,0.2704,0.0706,0.659
CLUBS SEVEN SPADES FIVE,0.548,0.0436,0.4084
CLUBS SEVEN SPADES FOUR,0.6512,0.097,0.2518
CLUBS SEVEN SPADES THREE,0.5848,0.0428,0.3724
CLUBS SEVEN SPADES TWO,0.5966,0.0424,0.361
CLUBS NINE CLUBS SEVEN,0.2198,0.2726,0.5076
CLUBS SEVEN CLUBS EIGHT,0.4954,0.0324,0.4722
HEARTS SIX DIAMONDS FIVE,0.525,0.0464,0.4286
HEARTS SEVEN DIAMONDS FIVE,0.5302,0.0414,0.4284
DIAMONDS FIVE HEARTS EIGHT,0.5488,0.0426,0.4086
DIAMONDS FIVE HEARTS NINE,0.2136,0.4648,0.3216
DIAMONDS QUEEN DIAMONDS FIVE,0.3326,0.0112,0.6562
HEARTS TWO DIAMONDS FIVE,0.5756,0.0412,0.3832
HEARTS KING HEARTS EIGHT,0.3322,0.0064,0.6614
DIAMONDS KING DIAMONDS FIVE,0.3294,0.0086,0.662
HEARTS THREE DIAMONDS FIVE,0.5602,0.0466,0.3932
HEARTS QUEEN HEARTS EIGHT,0.3238,0.0102,0.666
DIAMONDS ACE DIAMONDS FIVE,0.317,0.0058,0.6772
HEARTS FOUR DIAMONDS FIVE,0.6022,0.103,0.2948
HEARTS FIVE DIAMONDS FIVE,0.277,0.0822,0.6408
HEARTS ACE HEARTS EIGHT,0.3312,0.0034,0.6654
CLUBS FOUR DIAMONDS FIVE,0.597,0.1088,0.2942
CLUBS FIVE DIAMONDS FIVE,0.2746,0.0858,0.6396
CLUBS SIX DIAMONDS FIVE,0.5256,0.047,0.4274
CLUBS SEVEN DIAMONDS FIVE,0.5356,0.049,0.4154
CLUBS TWO DIAMONDS FIVE,0.5772,0.0446,0.3782
CLUBS THREE DIAMONDS FIVE,0.568,0.0478,0.3842
SPADES THREE DIAMONDS FIVE,0.5816,0.0442,0.3742
SPADES TWO DIAMONDS FIVE,0.5692,0.046,0.3848
SPADES JACK DIAMONDS EIGHT,0.3158,0.0204,0.6638
SPADES FIVE DIAMONDS FIVE,0.2636,0.0874,0.649
CLUBS TEN HEARTS JACK,0.3082,0.0114,0.6804
SPADES TEN DIAMONDS EIGHT,0.326,0.0258,0.6482
SPADES FOUR DIAMONDS FIVE,0.6164,0.1078,0.2758
HEARTS JACK CLUBS JACK,0.1458,0.0282,0.826
HEARTS JACK CLUBS QUEEN,0.3162,0.0092,0.6746
