opposingHand,winningChance,drawChance,lostChance
DIAMONDS JACK CLUBS KING
HEARTS FIVE SPADES TEN,0.6758,0.0072,0.317
HEARTS FIVE SPADES JACK,0.7394,0.0312,0.2294
SPADES FIVE CLUBS JACK,0.7328,0.033,0.2342
CLUBS TEN SPADES FIVE,0.6762,0.0044,0.3194
CLUBS EIGHT CLUBS JACK,0.704,0.0318,0.2642
CLUBS TEN CLUBS EIGHT,0.6204,0.0082,0.3714
SPADES FIVE CLUBS ACE,0.4126,0.004,0.5834
CLUBS EIGHT CLUBS QUEEN,0.6172,0.006,0.3768
SPADES FIVE CLUBS QUEEN,0.64,0.0088,0.3512
CLUBS EIGHT CLUBS ACE,0.4082,0.0052,0.5866
DIAMONDS TWO DIAMONDS THREE,0.6284,0.0078,0.3638
DIAMONDS TWO DIAMONDS FIVE,0.6066,0.006,0.3874
HEARTS FIVE SPADES KING,0.666,0.0916,0.2424
DIAMONDS TWO DIAMONDS FOUR,0.6212,0.0068,0.372
HEARTS FIVE SPADES QUEEN,0.6464,0.0084,0.3452
DIAMONDS TWO DIAMONDS SEVEN,0.638,0.0106,0.3514
DIAMONDS TWO DIAMONDS SIX,0.626,0.0102,0.3638
SPADES ACE HEARTS FIVE,0.4182,0.003,0.5788
DIAMONDS TWO DIAMONDS NINE,0.6462,0.007,0.3468
DIAMONDS TWO DIAMONDS EIGHT,0.6458,0.0088,0.3454
DIAMONDS THREE DIAMONDS FOUR,0.6104,0.0092,0.3804
CLUBS TWO SPADES FOUR,0.6588,0.0088,0.3324
DIAMONDS THREE DIAMONDS FIVE,0.6044,0.0088,0.3868
SPADES FIVE CLUBS TWO,0.6532,0.0072,0.3396
CLUBS TWO SPADES TWO,0.486,0.011,0.503
CLUBS TWO SPADES THREE,0.6556,0.009,0.3354
DIAMONDS THREE DIAMONDS EIGHT,0.6472,0.0072,0.3456
SPADES EIGHT CLUBS TWO,0.673,0.0052,0.3218
DIAMONDS THREE DIAMONDS NINE,0.6478,0.0068,0.3454
SPADES NINE CLUBS TWO,0.6754,0.008,0.3166
DIAMONDS THREE DIAMONDS SIX,0.6294,0.0082,0.3624
SPADES SIX CLUBS TWO,0.6676,0.006,0.3264
DIAMONDS THREE DIAMONDS SEVEN,0.629,0.0074,0.3636
SPADES SEVEN CLUBS TWO,0.6824,0.007,0.3106
CLUBS SIX CLUBS TWO,0.6416,0.0062,0.3522
CLUBS SEVEN CLUBS TWO,0.6548,0.0072,0.338
CLUBS FOUR CLUBS TWO,0.6228,0.0084,0.3688
CLUBS FIVE CLUBS TWO,0.6158,0.0068,0.3774
CLUBS TEN CLUBS JACK,0.6886,0.0278,0.2836
DIAMONDS FOUR DIAMONDS SIX,0.6104,0.01,0.3796
CLUBS TEN CLUBS QUEEN,0.6056,0.0062,0.3882
DIAMONDS FOUR DIAMONDS SEVEN,0.615,0.0082,0.3768
CLUBS TEN CLUBS ACE,0.3788,0.0048,0.6164
