opposingHand,winningChance,drawChance,lostChance
DIAMONDS JACK DIAMONDS EIGHT
DIAMONDS THREE SPADES EIGHT,0.725,0.0632,0.2118
SPADES ACE DIAMONDS SIX,0.4502,0.004,0.5458
HEARTS SIX HEARTS ACE,0.4312,0.004,0.5648
HEARTS THREE SPADES FOUR,0.6598,0.0174,0.3228
CLUBS SIX SPADES FOUR,0.6442,0.0164,0.3394
SPADES FOUR SPADES TWO,0.6136,0.0158,0.3706
CLUBS JACK HEARTS EIGHT,0.0738,0.9084,0.0178
CLUBS FOUR SPADES FOUR,0.4714,0.031,0.4976
SPADES KING DIAMONDS SIX,0.446,0.0068,0.5472
CLUBS JACK HEARTS ACE,0.2906,0.018,0.6914
SPADES ACE HEARTS TWO,0.4636,0.0036,0.5328
SPADES QUEEN SPADES JACK,0.2708,0.0404,0.6888
DIAMONDS ACE HEARTS QUEEN,0.3798,0.0036,0.6166
SPADES JACK DIAMONDS ACE,0.2798,0.0232,0.697
DIAMONDS ACE CLUBS THREE,0.4418,0.0048,0.5534
DIAMONDS SIX HEARTS NINE,0.6268,0.015,0.3582
CLUBS THREE HEARTS KING,0.4576,0.0062,0.5362
SPADES JACK DIAMONDS FIVE,0.5776,0.2062,0.2162
CLUBS EIGHT DIAMONDS TEN,0.6974,0.056,0.2466
SPADES FIVE HEARTS TEN,0.6552,0.0144,0.3304
CLUBS EIGHT CLUBS FOUR,0.6748,0.0522,0.273
CLUBS JACK HEARTS SIX,0.5858,0.2068,0.2074
SPADES ACE DIAMONDS THREE,0.4416,0.0028,0.5556
CLUBS SIX DIAMONDS ACE,0.4466,0.0048,0.5486
SPADES NINE SPADES TWO,0.628,0.017,0.355
CLUBS SEVEN SPADES FIVE,0.645,0.0206,0.3344
SPADES FIVE HEARTS KING,0.4592,0.006,0.5348
SPADES FIVE HEARTS JACK,0.5728,0.2066,0.2206
SPADES THREE HEARTS KING,0.453,0.0092,0.5378
HEARTS EIGHT SPADES SEVEN,0.6886,0.0538,0.2576
DIAMONDS ACE CLUBS ACE,0.1824,0.0052,0.8124
HEARTS FOUR HEARTS TWO,0.6212,0.0188,0.36
HEARTS SEVEN DIAMONDS ACE,0.4284,0.0066,0.565
HEARTS FIVE CLUBS TWO,0.6592,0.0182,0.3226
CLUBS THREE DIAMONDS FOUR,0.629,0.0208,0.3502
HEARTS EIGHT HEARTS FOUR,0.6632,0.06,0.2768
HEARTS SIX HEARTS FIVE,0.6016,0.016,0.3824
HEARTS ACE SPADES TWO,0.4574,0.0046,0.538
HEARTS KING CLUBS KING,0.2148,0.0078,0.7774
HEARTS SIX SPADES FOUR,0.6548,0.0186,0.3266
SPADES KING SPADES SEVEN,0.4296,0.0072,0.5632
HEARTS THREE DIAMONDS FIVE,0.642,0.0138,0.3442
SPADES JACK CLUBS SIX,0.571,0.2194,0.2096
CLUBS FOUR SPADES TWO,0.6652,0.0166,0.3182
DIAMONDS THREE DIAMONDS SIX,0.6434,0.0178,0.3388
HEARTS SEVEN DIAMONDS NINE,0.6302,0.0186,0.3512
HEARTS SEVEN CLUBS SEVEN,0.459,0.029,0.512
SPADES ACE HEARTS NINE,0.4176,0.0042,0.5782
DIAMONDS THREE SPADES TEN,0.6602,0.019,0.3208
DIAMONDS ACE DIAMONDS FOUR,0.404,0.0058,0.5902
CLUBS SEVEN CLUBS KING,0.4128,0.0056,0.5816
DIAMONDS QUEEN HEARTS KING,0.367,0.008,0.625
HEARTS FOUR SPADES SEVEN,0.6694,0.0182,0.3124
SPADES FOUR DIAMONDS FIVE,0.6188,0.0202,0.361
HEARTS FOUR CLUBS FIVE,0.6322,0.0166,0.3512
SPADES FOUR DIAMONDS TEN,0.669,0.0166,0.3144
CLUBS NINE HEARTS QUEEN,0.4062,0.0102,0.5836
CLUBS JACK CLUBS ACE,0.2954,0.0198,0.6848
CLUBS TEN CLUBS FOUR,0.6274,0.0136,0.359
HEARTS KING DIAMONDS NINE,0.4054,0.0056,0.589
CLUBS TWO SPADES FOUR,0.6542,0.0162,0.3296
DIAMONDS THREE SPADES SIX,0.6614,0.0188,0.3198
HEARTS SIX CLUBS THREE,0.6658,0.0158,0.3184
SPADES JACK HEARTS ACE,0.3094,0.0186,0.672
CLUBS FOUR HEARTS NINE,0.6708,0.0146,0.3146
HEARTS JACK DIAMONDS FIVE,0.5738,0.2068,0.2194
HEARTS TWO SPADES FIVE,0.6524,0.0156,0.332
CLUBS THREE DIAMONDS FIVE,0.6458,0.0166,0.3376
HEARTS SIX HEARTS TEN,0.624,0.0158,0.3602
SPADES QUEEN SPADES SIX,0.4174,0.011,0.5716
SPADES FIVE SPADES FOUR,0.5948,0.0194,0.3858
CLUBS THREE HEARTS ACE,0.4626,0.0034,0.534
DIAMONDS QUEEN CLUBS KING,0.3676,0.0082,0.6242
CLUBS TEN HEARTS SEVEN,0.6384,0.0152,0.3464
HEARTS TWO SPADES TWO,0.471,0.0364,0.4926
CLUBS FIVE CLUBS KING,0.4378,0.0064,0.5558
SPADES QUEEN HEARTS THREE,0.4688,0.0108,0.5204
SPADES QUEEN HEARTS TWO,0.4612,0.0112,0.5276
HEARTS FOUR DIAMONDS SIX,0.6346,0.0164,0.349
SPADES EIGHT HEARTS JACK,0.0712,0.9096,0.0192
CLUBS FOUR DIAMONDS QUEEN,0.4448,0.0118,0.5434
CLUBS JACK DIAMONDS TEN,0.264,0.1108,0.6252
SPADES FOUR HEARTS KING,0.461,0.0068,0.5322
CLUBS NINE HEARTS JACK,0.2734,0.1618,0.5648
SPADES ACE HEARTS ACE,0.1896,0.0024,0.808
CLUBS FIVE HEARTS ACE,0.465,0.004,0.531
SPADES SEVEN DIAMONDS FIVE,0.6448,0.0196,0.3356
CLUBS NINE SPADES JACK,0.2716,0.1548,0.5736
SPADES NINE HEARTS JACK,0.2698,0.164,0.5662
SPADES SIX HEARTS TEN,0.6478,0.0146,0.3376
HEARTS ACE DIAMONDS FIVE,0.4314,0.0036,0.565
SPADES JACK HEARTS TEN,0.2618,0.1168,0.6214
SPADES KING SPADES EIGHT,0.2896,0.0306,0.6798
CLUBS FOUR DIAMONDS SEVEN,0.6582,0.0156,0.3262
CLUBS TEN CLUBS KING,0.3644,0.0052,0.6304
HEARTS SEVEN DIAMONDS SEVEN,0.4588,0.0286,0.5126
CLUBS SEVEN DIAMONDS NINE,0.6334,0.0186,0.348
HEARTS SIX DIAMONDS FOUR,0.6376,0.0214,0.341
HEARTS TEN DIAMONDS FIVE,0.65,0.0138,0.3362
SPADES QUEEN SPADES FOUR,0.4294,0.0118,0.5588
CLUBS SEVEN CLUBS FIVE,0.6106,0.0178,0.3716
HEARTS SEVEN SPADES TEN,0.6434,0.017,0.3396
