opposingHand,winningChance,drawChance,lostChance
DIAMONDS JACK HEARTS TEN
SPADES SEVEN SPADES FIVE,0.6018,0.0142,0.384
SPADES ACE SPADES FOUR,0.4242,0.0046,0.5712
CLUBS FIVE DIAMONDS SIX,0.6418,0.015,0.3432
HEARTS SIX CLUBS QUEEN,0.4562,0.0084,0.5354
CLUBS SIX SPADES FOUR,0.6272,0.013,0.3598
CLUBS JACK HEARTS QUEEN,0.2336,0.0398,0.7266
DIAMONDS SEVEN DIAMONDS FOUR,0.6212,0.0148,0.364
SPADES QUEEN CLUBS ACE,0.3446,0.0032,0.6522
HEARTS THREE SPADES NINE,0.691,0.0146,0.2944
CLUBS SIX CLUBS FIVE,0.599,0.0144,0.3866
SPADES ACE SPADES NINE,0.4158,0.0044,0.5798
DIAMONDS KING DIAMONDS NINE,0.4088,0.0092,0.582
SPADES FOUR DIAMONDS EIGHT,0.6724,0.0158,0.3118
SPADES FOUR CLUBS ACE,0.4318,0.005,0.5632
CLUBS TEN SPADES TEN,0.3314,0.0332,0.6354
SPADES SEVEN DIAMONDS NINE,0.6582,0.0156,0.3262
HEARTS SEVEN HEARTS FOUR,0.6286,0.0154,0.356
SPADES KING HEARTS JACK,0.263,0.03,0.707
CLUBS EIGHT SPADES SIX,0.65,0.0148,0.3352
CLUBS TEN CLUBS FOUR,0.6612,0.0594,0.2794
SPADES ACE CLUBS FIVE,0.4442,0.005,0.5508
DIAMONDS TEN CLUBS KING,0.2754,0.031,0.6936
DIAMONDS TWO SPADES FOUR,0.6522,0.0136,0.3342
DIAMONDS THREE CLUBS SEVEN,0.6706,0.0168,0.3126
SPADES SIX SPADES FOUR,0.595,0.0126,0.3924
HEARTS SEVEN DIAMONDS EIGHT,0.6588,0.0144,0.3268
CLUBS ACE HEARTS EIGHT,0.45,0.005,0.545
CLUBS NINE SPADES THREE,0.7,0.011,0.289
DIAMONDS THREE HEARTS JACK,0.6672,0.1202,0.2126
DIAMONDS TEN HEARTS NINE,0.7192,0.0522,0.2286
HEARTS SEVEN SPADES NINE,0.6622,0.0142,0.3236
SPADES THREE HEARTS QUEEN,0.455,0.0094,0.5356
CLUBS THREE SPADES FOUR,0.6302,0.014,0.3558
SPADES FOUR HEARTS NINE,0.6762,0.016,0.3078
DIAMONDS THREE HEARTS QUEEN,0.4498,0.0122,0.538
SPADES NINE CLUBS ACE,0.442,0.003,0.555
CLUBS SIX CLUBS TWO,0.617,0.0124,0.3706
SPADES SEVEN HEARTS ACE,0.4372,0.0028,0.56
HEARTS FIVE DIAMONDS FOUR,0.629,0.0142,0.3568
HEARTS THREE SPADES SEVEN,0.6622,0.016,0.3218
CLUBS FOUR CLUBS ACE,0.4216,0.0032,0.5752
CLUBS QUEEN DIAMONDS FOUR,0.4584,0.0108,0.5308
DIAMONDS TWO CLUBS FIVE,0.6546,0.0164,0.329
CLUBS SEVEN SPADES FIVE,0.6352,0.014,0.3508
HEARTS FOUR HEARTS JACK,0.6198,0.1256,0.2546
CLUBS JACK CLUBS TEN,0.022,0.9084,0.0696
HEARTS FIVE SPADES TWO,0.6376,0.0164,0.346
SPADES KING HEARTS KING,0.1592,0.01,0.8308
CLUBS THREE DIAMONDS FOUR,0.6492,0.0134,0.3374
DIAMONDS ACE HEARTS ACE,0.1714,0.0044,0.8242
CLUBS JACK DIAMONDS FIVE,0.6462,0.1268,0.227
CLUBS NINE SPADES EIGHT,0.6438,0.0118,0.3444
CLUBS SEVEN SPADES NINE,0.652,0.0138,0.3342
SPADES SIX DIAMONDS NINE,0.6754,0.0142,0.3104
CLUBS NINE HEARTS NINE,0.4522,0.02,0.5278
HEARTS KING HEARTS EIGHT,0.4204,0.0084,0.5712
HEARTS QUEEN CLUBS ACE,0.3514,0.0052,0.6434
CLUBS JACK HEARTS THREE,0.6444,0.1292,0.2264
SPADES EIGHT HEARTS ACE,0.4494,0.0054,0.5452
SPADES SIX DIAMONDS TEN,0.7382,0.0518,0.21
DIAMONDS THREE SPADES TWO,0.6542,0.0144,0.3314
SPADES QUEEN DIAMONDS FIVE,0.4516,0.01,0.5384
CLUBS JACK SPADES NINE,0.6344,0.1202,0.2454
CLUBS NINE HEARTS QUEEN,0.4204,0.0078,0.5718
CLUBS EIGHT CLUBS SEVEN,0.5968,0.0128,0.3904
SPADES EIGHT HEARTS QUEEN,0.427,0.008,0.565
DIAMONDS NINE DIAMONDS FIVE,0.6372,0.016,0.3468
SPADES QUEEN SPADES TEN,0.2312,0.0366,0.7322
CLUBS SIX DIAMONDS SEVEN,0.6332,0.0122,0.3546
HEARTS FIVE CLUBS THREE,0.6356,0.0152,0.3492
SPADES EIGHT HEARTS EIGHT,0.4556,0.0238,0.5206
SPADES ACE DIAMONDS THREE,0.4444,0.0054,0.5502
CLUBS EIGHT SPADES NINE,0.636,0.0138,0.3502
SPADES FIVE HEARTS JACK,0.6516,0.12,0.2284
SPADES NINE DIAMONDS FIVE,0.6834,0.0174,0.2992
CLUBS NINE SPADES FIVE,0.6672,0.015,0.3178
SPADES TWO CLUBS KING,0.4596,0.0066,0.5338
HEARTS TWO SPADES SIX,0.6784,0.0142,0.3074
CLUBS SEVEN DIAMONDS ACE,0.435,0.0034,0.5616
SPADES TWO CLUBS QUEEN,0.4606,0.0098,0.5296
HEARTS SIX DIAMONDS FOUR,0.6424,0.0158,0.3418
HEARTS TWO SPADES TWO,0.4902,0.0256,0.4842
SPADES QUEEN HEARTS JACK,0.2482,0.0376,0.7142
HEARTS FOUR SPADES NINE,0.6878,0.0156,0.2966
CLUBS SEVEN DIAMONDS QUEEN,0.4486,0.0084,0.543
DIAMONDS QUEEN HEARTS ACE,0.3498,0.0048,0.6454
CLUBS TEN DIAMONDS SEVEN,0.7072,0.055,0.2378
DIAMONDS TWO DIAMONDS EIGHT,0.6614,0.0134,0.3252
CLUBS EIGHT HEARTS TWO,0.6804,0.014,0.3056
SPADES ACE SPADES SEVEN,0.4184,0.0024,0.5792
HEARTS ACE HEARTS QUEEN,0.3382,0.0038,0.658
HEARTS FOUR DIAMONDS SEVEN,0.6656,0.0166,0.3178
DIAMONDS FIVE DIAMONDS FOUR,0.5938,0.0162,0.39
CLUBS FOUR HEARTS ACE,0.4408,0.007,0.5522
SPADES KING HEARTS SIX,0.4596,0.0054,0.535
SPADES KING DIAMONDS NINE,0.4292,0.0082,0.5626
CLUBS TEN CLUBS QUEEN,0.2476,0.0338,0.7186
CLUBS EIGHT HEARTS NINE,0.652,0.0158,0.3322
SPADES EIGHT DIAMONDS FIVE,0.65,0.0136,0.3364
CLUBS NINE CLUBS FIVE,0.6168,0.0118,0.3714
SPADES ACE HEARTS QUEEN,0.3696,0.0048,0.6256
SPADES QUEEN SPADES FOUR,0.4342,0.0086,0.5572
CLUBS NINE HEARTS EIGHT,0.6586,0.0136,0.3278
HEARTS SEVEN DIAMONDS FIVE,0.6512,0.0132,0.3356
HEARTS SEVEN SPADES SEVEN,0.462,0.026,0.512
CLUBS ACE CLUBS KING,0.3416,0.0044,0.654
HEARTS NINE DIAMONDS FIVE,0.6832,0.0124,0.3044
SPADES ACE HEARTS TWO,0.451,0.0056,0.5434
HEARTS FIVE HEARTS NINE,0.6398,0.0146,0.3456
SPADES FIVE HEARTS NINE,0.6752,0.0154,0.3094
DIAMONDS THREE SPADES SIX,0.655,0.0178,0.3272
SPADES ACE SPADES SIX,0.4304,0.005,0.5646
DIAMONDS ACE DIAMONDS SEVEN,0.41,0.0038,0.5862
CLUBS FIVE HEARTS QUEEN,0.4384,0.0106,0.551
HEARTS FOUR CLUBS FOUR,0.476,0.03,0.494
CLUBS TWO HEARTS EIGHT,0.696,0.0152,0.2888
SPADES ACE DIAMONDS NINE,0.4298,0.0032,0.567
DIAMONDS QUEEN CLUBS ACE,0.3528,0.0052,0.642
SPADES QUEEN SPADES FIVE,0.4308,0.0114,0.5578
CLUBS TWO HEARTS JACK,0.6466,0.1262,0.2272
SPADES KING CLUBS FOUR,0.4678,0.005,0.5272
