opposingHand,winningChance,drawChance,lostChance
DIAMONDS KING CLUBS ACE
HEARTS FIVE SPADES TEN,0.663,0.0034,0.3336
HEARTS FIVE SPADES JACK,0.6658,0.0032,0.331
SPADES FIVE CLUBS JACK,0.674,0.0032,0.3228
CLUBS TEN SPADES FIVE,0.6812,0.006,0.3128
CLUBS EIGHT CLUBS JACK,0.623,0.0068,0.3702
CLUBS TEN CLUBS EIGHT,0.6014,0.0042,0.3944
CLUBS EIGHT CLUBS KING,0.7386,0.0128,0.2486
CLUBS EIGHT CLUBS QUEEN,0.6382,0.0068,0.355
SPADES FIVE CLUBS KING,0.7606,0.011,0.2284
SPADES FIVE CLUBS QUEEN,0.6852,0.005,0.3098
DIAMONDS TWO DIAMONDS THREE,0.6316,0.0046,0.3638
DIAMONDS TWO DIAMONDS FIVE,0.6224,0.0054,0.3722
HEARTS FIVE SPADES KING,0.7556,0.0114,0.233
DIAMONDS TWO DIAMONDS FOUR,0.6312,0.0048,0.364
HEARTS FIVE SPADES QUEEN,0.6798,0.0044,0.3158
DIAMONDS TWO DIAMONDS SEVEN,0.6488,0.0048,0.3464
DIAMONDS TWO DIAMONDS SIX,0.635,0.0046,0.3604
SPADES ACE HEARTS FIVE,0.6864,0.051,0.2626
DIAMONDS TWO DIAMONDS NINE,0.6452,0.0058,0.349
DIAMONDS TWO DIAMONDS EIGHT,0.6444,0.0056,0.35
DIAMONDS THREE DIAMONDS FOUR,0.6086,0.0066,0.3848
CLUBS TWO SPADES FOUR,0.6556,0.0066,0.3378
DIAMONDS THREE DIAMONDS FIVE,0.6026,0.0074,0.39
SPADES FIVE CLUBS TWO,0.6546,0.0062,0.3392
CLUBS TWO SPADES TWO,0.4736,0.0058,0.5206
CLUBS TWO SPADES THREE,0.6444,0.006,0.3496
DIAMONDS THREE DIAMONDS EIGHT,0.6464,0.0034,0.3502
SPADES EIGHT CLUBS TWO,0.6624,0.0034,0.3342
DIAMONDS THREE DIAMONDS NINE,0.6522,0.0066,0.3412
SPADES NINE CLUBS TWO,0.6744,0.006,0.3196
DIAMONDS THREE DIAMONDS SIX,0.6202,0.0082,0.3716
SPADES SIX CLUBS TWO,0.6676,0.0052,0.3272
DIAMONDS THREE DIAMONDS SEVEN,0.6222,0.0048,0.373
SPADES SEVEN CLUBS TWO,0.677,0.0058,0.3172
CLUBS SIX CLUBS TWO,0.6342,0.005,0.3608
CLUBS SEVEN CLUBS TWO,0.6332,0.0072,0.3596
CLUBS FOUR CLUBS TWO,0.629,0.0072,0.3638
CLUBS FIVE CLUBS TWO,0.6236,0.0064,0.37
CLUBS TEN CLUBS JACK,0.599,0.0042,0.3968
DIAMONDS FOUR DIAMONDS SIX,0.6066,0.0062,0.3872
CLUBS TEN CLUBS QUEEN,0.6146,0.0066,0.3788
DIAMONDS FOUR DIAMONDS SEVEN,0.6132,0.004,0.3828
CLUBS TEN CLUBS KING,0.7136,0.0118,0.2746
CLUBS EIGHT CLUBS TWO,0.639,0.0062,0.3548
