opposingHand,winningChance,drawChance,lostChance
DIAMONDS KING DIAMONDS JACK
SPADES TWO CLUBS ACE,0.471,0.0058,0.5232
SPADES TEN DIAMONDS EIGHT,0.6754,0.0072,0.3174
DIAMONDS TWO SPADES THREE,0.6746,0.0064,0.319
CLUBS SIX DIAMONDS TEN,0.689,0.0062,0.3048
SPADES ACE CLUBS FOUR,0.463,0.0058,0.5312
DIAMONDS THREE SPADES THREE,0.5024,0.0108,0.4868
CLUBS JACK SPADES FIVE,0.7568,0.032,0.2112
SPADES KING DIAMONDS SIX,0.6898,0.0864,0.2238
HEARTS TWO SPADES SIX,0.6812,0.0062,0.3126
SPADES NINE SPADES THREE,0.6458,0.007,0.3472
SPADES JACK DIAMONDS FOUR,0.7328,0.032,0.2352
SPADES ACE SPADES NINE,0.4234,0.0038,0.5728
HEARTS EIGHT CLUBS FOUR,0.671,0.0074,0.3216
SPADES QUEEN DIAMONDS EIGHT,0.6536,0.0054,0.341
DIAMONDS THREE CLUBS ACE,0.4544,0.005,0.5406
CLUBS NINE HEARTS KING,0.684,0.0886,0.2274
SPADES QUEEN DIAMONDS FIVE,0.659,0.008,0.333
HEARTS SIX CLUBS SIX,0.4962,0.007,0.4968
HEARTS EIGHT DIAMONDS TWO,0.6924,0.0096,0.298
HEARTS TWO SPADES TWO,0.508,0.0102,0.4818
SPADES NINE HEARTS NINE,0.4746,0.005,0.5204
SPADES TEN SPADES NINE,0.622,0.006,0.372
SPADES NINE CLUBS QUEEN,0.6538,0.007,0.3392
CLUBS KING HEARTS TEN,0.6994,0.0826,0.218
HEARTS SIX DIAMONDS ACE,0.4472,0.0054,0.5474
CLUBS ACE HEARTS NINE,0.4536,0.0042,0.5422
DIAMONDS QUEEN SPADES TWO,0.6718,0.0078,0.3204
HEARTS EIGHT SPADES TEN,0.6754,0.0078,0.3168
DIAMONDS TEN DIAMONDS SEVEN,0.6804,0.0054,0.3142
SPADES ACE HEARTS TEN,0.4354,0.0042,0.5604
CLUBS NINE CLUBS ACE,0.4214,0.0042,0.5744
CLUBS EIGHT HEARTS ACE,0.4498,0.005,0.5452
CLUBS TEN DIAMONDS TWO,0.6956,0.0064,0.298
SPADES QUEEN CLUBS EIGHT,0.667,0.0062,0.3268
HEARTS SEVEN DIAMONDS NINE,0.651,0.0054,0.3436
HEARTS SEVEN DIAMONDS QUEEN,0.6726,0.0042,0.3232
SPADES TEN DIAMONDS NINE,0.6496,0.0076,0.3428
CLUBS SEVEN SPADES TWO,0.7084,0.0068,0.2848
SPADES KING CLUBS ACE,0.2826,0.0118,0.7056
HEARTS FOUR SPADES TWO,0.6592,0.007,0.3338
CLUBS SEVEN CLUBS THREE,0.6266,0.0074,0.366
HEARTS FOUR HEARTS TEN,0.654,0.0064,0.3396
DIAMONDS THREE DIAMONDS EIGHT,0.6902,0.0076,0.3022
SPADES QUEEN DIAMONDS TEN,0.6412,0.0062,0.3526
CLUBS ACE HEARTS JACK,0.2894,0.014,0.6966
HEARTS EIGHT CLUBS EIGHT,0.4834,0.0056,0.511
HEARTS QUEEN CLUBS QUEEN,0.3242,0.0048,0.671
SPADES ACE DIAMONDS EIGHT,0.4528,0.0048,0.5424
CLUBS TWO SPADES THREE,0.6734,0.0078,0.3188
SPADES SEVEN CLUBS ACE,0.4532,0.0032,0.5436
CLUBS FOUR SPADES THREE,0.6552,0.0074,0.3374
HEARTS FIVE HEARTS NINE,0.6334,0.0074,0.3592
HEARTS KING CLUBS ACE,0.299,0.0108,0.6902
SPADES KING DIAMONDS TWO,0.6944,0.089,0.2166
HEARTS JACK CLUBS QUEEN,0.7338,0.026,0.2402
CLUBS TWO CLUBS ACE,0.4238,0.005,0.5712
DIAMONDS THREE CLUBS KING,0.6908,0.0892,0.22
SPADES JACK SPADES TEN,0.6824,0.027,0.2906
DIAMONDS ACE SPADES SIX,0.4486,0.006,0.5454
SPADES KING HEARTS THREE,0.6906,0.0796,0.2298
HEARTS SEVEN SPADES TWO,0.6952,0.0082,0.2966
HEARTS TWO DIAMONDS SEVEN,0.6836,0.0084,0.308
SPADES SEVEN HEARTS NINE,0.654,0.0036,0.3424
CLUBS JACK CLUBS KING,0.0708,0.8562,0.073
DIAMONDS TWO DIAMONDS ACE,0.405,0.0054,0.5896
SPADES KING CLUBS SIX,0.6788,0.0888,0.2324
SPADES JACK HEARTS THREE,0.7568,0.0282,0.215
HEARTS JACK CLUBS KING,0.0722,0.9072,0.0206
DIAMONDS NINE DIAMONDS FIVE,0.6722,0.0088,0.319
SPADES NINE SPADES FOUR,0.6428,0.0088,0.3484
HEARTS SIX DIAMONDS SEVEN,0.6352,0.0062,0.3586
HEARTS QUEEN DIAMONDS FOUR,0.668,0.0076,0.3244
HEARTS EIGHT HEARTS JACK,0.6936,0.029,0.2774
HEARTS ACE HEARTS JACK,0.2744,0.0166,0.709
HEARTS ACE HEARTS TEN,0.4126,0.005,0.5824
DIAMONDS SEVEN DIAMONDS FIVE,0.6484,0.007,0.3446
DIAMONDS THREE SPADES TWO,0.6776,0.008,0.3144
SPADES TEN HEARTS FOUR,0.6952,0.0066,0.2982
SPADES ACE HEARTS SIX,0.4652,0.006,0.5288
