opposingHand,winningChance,drawChance,lostChance
DIAMONDS KING DIAMONDS SEVEN
HEARTS THREE DIAMONDS QUEEN,0.6558,0.0098,0.3344
HEARTS SIX HEARTS ACE,0.4088,0.004,0.5872
DIAMONDS QUEEN SPADES FIVE,0.6374,0.0072,0.3554
CLUBS ACE DIAMONDS FIVE,0.4074,0.0072,0.5854
CLUBS SIX DIAMONDS JACK,0.6476,0.007,0.3454
CLUBS EIGHT HEARTS TWO,0.6678,0.0058,0.3264
DIAMONDS TWO HEARTS TEN,0.6528,0.0086,0.3386
SPADES KING HEARTS TEN,0.2866,0.1082,0.6052
CLUBS TEN CLUBS NINE,0.5556,0.0058,0.4386
SPADES QUEEN HEARTS ACE,0.3888,0.0034,0.6078
HEARTS EIGHT CLUBS THREE,0.6746,0.0096,0.3158
SPADES QUEEN HEARTS FOUR,0.6572,0.0072,0.3356
HEARTS SEVEN DIAMONDS QUEEN,0.7334,0.032,0.2346
CLUBS ACE CLUBS KING,0.2676,0.0108,0.7216
CLUBS SEVEN DIAMONDS TEN,0.7138,0.0356,0.2506
DIAMONDS TWO CLUBS FOUR,0.6692,0.009,0.3218
SPADES ACE SPADES TWO,0.4194,0.005,0.5756
SPADES QUEEN CLUBS NINE,0.5916,0.0062,0.4022
CLUBS TWO HEARTS QUEEN,0.6504,0.0098,0.3398
HEARTS THREE SPADES FIVE,0.6632,0.008,0.3288
HEARTS SEVEN DIAMONDS ACE,0.265,0.0312,0.7038
SPADES NINE SPADES TWO,0.6122,0.0102,0.3776
HEARTS SIX SPADES EIGHT,0.632,0.0056,0.3624
DIAMONDS EIGHT DIAMONDS SIX,0.6206,0.0084,0.371
SPADES NINE CLUBS SIX,0.6244,0.008,0.3676
CLUBS JACK DIAMONDS EIGHT,0.603,0.0092,0.3878
CLUBS SEVEN HEARTS QUEEN,0.7368,0.0382,0.225
DIAMONDS ACE SPADES THREE,0.4192,0.0084,0.5724
CLUBS SEVEN HEARTS TEN,0.7216,0.0366,0.2418
HEARTS SEVEN SPADES EIGHT,0.6904,0.0326,0.277
HEARTS SEVEN DIAMONDS NINE,0.702,0.0322,0.2658
DIAMONDS JACK CLUBS QUEEN,0.5898,0.0092,0.401
CLUBS NINE HEARTS FOUR,0.659,0.0062,0.3348
HEARTS JACK DIAMONDS FOUR,0.6446,0.0078,0.3476
DIAMONDS THREE SPADES SIX,0.664,0.0104,0.3256
CLUBS EIGHT SPADES SEVEN,0.6988,0.0316,0.2696
HEARTS EIGHT DIAMONDS TEN,0.585,0.0076,0.4074
SPADES NINE HEARTS QUEEN,0.5946,0.0078,0.3976
SPADES EIGHT HEARTS QUEEN,0.6182,0.0072,0.3746
SPADES SIX SPADES TWO,0.6352,0.0082,0.3566
HEARTS TWO HEARTS TEN,0.6132,0.0076,0.3792
CLUBS JACK HEARTS THREE,0.6546,0.0076,0.3378
SPADES THREE CLUBS KING,0.497,0.2904,0.2126
HEARTS JACK CLUBS KING,0.2744,0.0852,0.6404
SPADES KING CLUBS ACE,0.2904,0.011,0.6986
SPADES QUEEN SPADES NINE,0.5706,0.0066,0.4228
HEARTS SEVEN SPADES SIX,0.6842,0.0392,0.2766
HEARTS TWO DIAMONDS FIVE,0.658,0.0116,0.3304
SPADES TEN HEARTS ACE,0.3868,0.004,0.6092
SPADES SIX SPADES THREE,0.6212,0.0106,0.3682
DIAMONDS THREE CLUBS THREE,0.47,0.012,0.518
HEARTS TWO CLUBS FOUR,0.6668,0.009,0.3242
HEARTS THREE DIAMONDS FOUR,0.6486,0.0098,0.3416
CLUBS TWO CLUBS ACE,0.4136,0.0054,0.581
CLUBS FOUR SPADES THREE,0.657,0.0074,0.3356
CLUBS JACK SPADES FOUR,0.6684,0.005,0.3266
HEARTS FOUR HEARTS KING,0.4636,0.2708,0.2656
HEARTS SIX SPADES FIVE,0.6346,0.0076,0.3578
DIAMONDS ACE DIAMONDS JACK,0.3464,0.0048,0.6488
DIAMONDS ACE SPADES SIX,0.4234,0.0024,0.5742
CLUBS EIGHT HEARTS QUEEN,0.6246,0.0078,0.3676
DIAMONDS JACK HEARTS TEN,0.5658,0.0064,0.4278
HEARTS SIX CLUBS TWO,0.6824,0.0094,0.3082
HEARTS FIVE DIAMONDS TEN,0.6522,0.0092,0.3386
SPADES ACE CLUBS TWO,0.4374,0.0048,0.5578
HEARTS ACE DIAMONDS NINE,0.4032,0.0042,0.5926
HEARTS THREE SPADES THREE,0.4744,0.0132,0.5124
HEARTS EIGHT SPADES SEVEN,0.698,0.0302,0.2718
CLUBS SIX HEARTS NINE,0.6248,0.0076,0.3676
SPADES QUEEN SPADES FIVE,0.6088,0.0074,0.3838
HEARTS FOUR CLUBS QUEEN,0.6566,0.0068,0.3366
HEARTS FIVE CLUBS KING,0.5114,0.2834,0.2052
SPADES KING CLUBS SEVEN,0.067,0.9134,0.0196
DIAMONDS THREE DIAMONDS SIX,0.6526,0.0118,0.3356
CLUBS FIVE DIAMONDS NINE,0.648,0.0082,0.3438
HEARTS SEVEN DIAMONDS FIVE,0.6952,0.0402,0.2646
DIAMONDS ACE CLUBS KING,0.2614,0.0142,0.7244
SPADES TEN CLUBS SIX,0.6518,0.0054,0.3428
SPADES FOUR DIAMONDS SIX,0.6464,0.0068,0.3468
SPADES KING HEARTS SEVEN,0.0722,0.91,0.0178
HEARTS SEVEN SPADES THREE,0.7274,0.044,0.2286
SPADES TEN DIAMONDS SIX,0.6344,0.0078,0.3578
SPADES FIVE CLUBS KING,0.5088,0.2704,0.2208
CLUBS SIX CLUBS QUEEN,0.6102,0.0076,0.3822
SPADES JACK HEARTS KING,0.277,0.0818,0.6412
SPADES NINE HEARTS KING,0.2818,0.153,0.5652
CLUBS EIGHT HEARTS ACE,0.4008,0.0034,0.5958
CLUBS FIVE SPADES FIVE,0.4694,0.012,0.5186
HEARTS FIVE HEARTS JACK,0.6154,0.007,0.3776
HEARTS THREE CLUBS THREE,0.4806,0.0136,0.5058
DIAMONDS TWO HEARTS SIX,0.6798,0.0088,0.3114
SPADES EIGHT DIAMONDS SIX,0.6142,0.0054,0.3804
HEARTS EIGHT DIAMONDS NINE,0.5958,0.0092,0.395
CLUBS QUEEN DIAMONDS FOUR,0.6546,0.007,0.3384
SPADES KING SPADES FOUR,0.4832,0.2576,0.2592
CLUBS SEVEN HEARTS JACK,0.7368,0.0342,0.229
SPADES KING CLUBS KING,0.133,0.012,0.855
HEARTS QUEEN DIAMONDS FOUR,0.644,0.008,0.348
SPADES KING SPADES EIGHT,0.2668,0.2168,0.5164
HEARTS THREE SPADES FOUR,0.655,0.0072,0.3378
HEARTS ACE HEARTS TEN,0.3724,0.0038,0.6238
SPADES ACE SPADES THREE,0.4014,0.003,0.5956
SPADES ACE DIAMONDS THREE,0.4346,0.0058,0.5596
CLUBS KING HEARTS TEN,0.269,0.1056,0.6254
CLUBS NINE HEARTS JACK,0.5928,0.008,0.3992
DIAMONDS THREE DIAMONDS EIGHT,0.6492,0.008,0.3428
SPADES NINE DIAMONDS TEN,0.583,0.0082,0.4088
HEARTS TWO DIAMONDS SIX,0.6734,0.0102,0.3164
SPADES THREE HEARTS QUEEN,0.6506,0.0046,0.3448
CLUBS NINE CLUBS SIX,0.5976,0.007,0.3954
SPADES SEVEN DIAMONDS SIX,0.6912,0.036,0.2728
SPADES SEVEN CLUBS QUEEN,0.7534,0.0316,0.215
SPADES KING SPADES SIX,0.4716,0.2708,0.2576
CLUBS NINE DIAMONDS NINE,0.338,0.0092,0.6528
HEARTS ACE HEARTS NINE,0.3778,0.0034,0.6188
CLUBS JACK HEARTS SIX,0.6476,0.0062,0.3462
CLUBS TEN DIAMONDS FOUR,0.6516,0.0096,0.3388
SPADES JACK SPADES EIGHT,0.5594,0.0066,0.434
DIAMONDS QUEEN HEARTS TEN,0.5756,0.0068,0.4176
SPADES QUEEN CLUBS TWO,0.66,0.0092,0.3308
HEARTS FIVE DIAMONDS NINE,0.6306,0.0094,0.36
DIAMONDS THREE SPADES TEN,0.6602,0.0082,0.3316
