opposingHand,winningChance,drawChance,lostChance
DIAMONDS KING SPADES FIVE
HEARTS SIX DIAMONDS SEVEN,0.5576,0.0088,0.4336
HEARTS SIX DIAMONDS TEN,0.595,0.0082,0.3968
CLUBS SEVEN DIAMONDS EIGHT,0.565,0.0074,0.4276
CLUBS SEVEN CLUBS JACK,0.5518,0.007,0.4412
HEARTS ACE CLUBS QUEEN,0.3522,0.0044,0.6434
CLUBS SEVEN HEARTS FOUR,0.6206,0.008,0.3714
SPADES QUEEN SPADES SEVEN,0.561,0.0088,0.4302
DIAMONDS ACE HEARTS JACK,0.3588,0.0046,0.6366
DIAMONDS ACE CLUBS TWO,0.3746,0.0072,0.6182
DIAMONDS THREE DIAMONDS SEVEN,0.6094,0.01,0.3806
DIAMONDS JACK DIAMONDS EIGHT,0.5608,0.008,0.4312
CLUBS FIVE DIAMONDS TEN,0.7224,0.0384,0.2392
HEARTS FIVE SPADES THREE,0.707,0.039,0.254
SPADES ACE DIAMONDS NINE,0.3644,0.0058,0.6298
DIAMONDS THREE HEARTS THREE,0.4362,0.0186,0.5452
SPADES JACK CLUBS SIX,0.6132,0.0086,0.3782
SPADES TEN CLUBS FOUR,0.6278,0.0086,0.3636
DIAMONDS TEN HEARTS QUEEN,0.5498,0.0058,0.4444
CLUBS FOUR CLUBS TWO,0.6132,0.0084,0.3784
CLUBS EIGHT DIAMONDS EIGHT,0.3244,0.0136,0.662
CLUBS FOUR DIAMONDS SEVEN,0.611,0.0088,0.3802
CLUBS NINE DIAMONDS FIVE,0.7216,0.0356,0.2428
SPADES KING DIAMONDS FOUR,0.3188,0.4692,0.212
HEARTS SIX SPADES TWO,0.6322,0.0098,0.358
HEARTS SIX SPADES EIGHT,0.5738,0.0086,0.4176
CLUBS TEN DIAMONDS NINE,0.5546,0.0078,0.4376
CLUBS SIX HEARTS JACK,0.6034,0.006,0.3906
SPADES ACE SPADES KING,0.2242,0.0122,0.7636
SPADES TEN DIAMONDS QUEEN,0.5548,0.0066,0.4386
SPADES THREE DIAMONDS EIGHT,0.6446,0.0094,0.346
HEARTS FOUR CLUBS ACE,0.36,0.0038,0.6362
