opposingHand,winningChance,drawChance,lostChance
DIAMONDS KING SPADES FOUR
SPADES TWO HEARTS EIGHT,0.647,0.0096,0.3434
HEARTS THREE DIAMONDS TEN,0.6418,0.0092,0.349
CLUBS TWO CLUBS JACK,0.6028,0.0064,0.3908
DIAMONDS TWO HEARTS TWO,0.4536,0.0206,0.5258
CLUBS FIVE DIAMONDS NINE,0.583,0.0118,0.4052
CLUBS NINE CLUBS SEVEN,0.5344,0.0062,0.4594
CLUBS NINE CLUBS THREE,0.5944,0.0072,0.3984
SPADES QUEEN SPADES JACK,0.533,0.0078,0.4592
CLUBS NINE HEARTS TWO,0.6328,0.0082,0.359
HEARTS FOUR CLUBS ACE,0.2304,0.026,0.7436
DIAMONDS ACE DIAMONDS QUEEN,0.33,0.005,0.665
DIAMONDS JACK DIAMONDS FIVE,0.5858,0.0064,0.4078
SPADES TEN HEARTS EIGHT,0.55,0.0092,0.4408
SPADES NINE DIAMONDS EIGHT,0.551,0.0076,0.4414
CLUBS SIX DIAMONDS EIGHT,0.5802,0.0078,0.412
CLUBS FIVE HEARTS TWO,0.616,0.0078,0.3762
DIAMONDS THREE CLUBS EIGHT,0.6374,0.0074,0.3552
SPADES TEN DIAMONDS EIGHT,0.5548,0.0068,0.4384
HEARTS ACE SPADES THREE,0.3698,0.0058,0.6244
CLUBS TEN CLUBS FOUR,0.6816,0.0374,0.281
HEARTS SIX CLUBS TWO,0.6252,0.0092,0.3656
SPADES QUEEN HEARTS KING,0.2442,0.0652,0.6906
HEARTS SEVEN DIAMONDS SIX,0.573,0.0072,0.4198
CLUBS FOUR CLUBS QUEEN,0.6804,0.0322,0.2874
HEARTS FIVE HEARTS NINE,0.5552,0.0064,0.4384
CLUBS TEN HEARTS KING,0.243,0.113,0.644
HEARTS QUEEN DIAMONDS FOUR,0.7384,0.0336,0.228
CLUBS FIVE DIAMONDS TEN,0.5888,0.0084,0.4028
SPADES JACK CLUBS SEVEN,0.5886,0.0072,0.4042
CLUBS FIVE SPADES SEVEN,0.5712,0.0096,0.4192
HEARTS SEVEN CLUBS FIVE,0.573,0.008,0.419
SPADES ACE HEARTS JACK,0.3424,0.0028,0.6548
HEARTS SIX SPADES THREE,0.625,0.0078,0.3672
CLUBS SEVEN HEARTS QUEEN,0.5976,0.0058,0.3966
HEARTS FIVE DIAMONDS QUEEN,0.5998,0.0082,0.392
HEARTS FIVE DIAMONDS EIGHT,0.5904,0.0074,0.4022
SPADES EIGHT HEARTS NINE,0.5536,0.009,0.4374
HEARTS QUEEN HEARTS TEN,0.5168,0.007,0.4762
CLUBS NINE DIAMONDS NINE,0.3152,0.0104,0.6744
CLUBS TEN DIAMONDS EIGHT,0.5686,0.0068,0.4246
CLUBS THREE CLUBS ACE,0.3568,0.0042,0.639
CLUBS SIX HEARTS JACK,0.6046,0.006,0.3894
DIAMONDS EIGHT CLUBS KING,0.2382,0.2224,0.5394
HEARTS FOUR CLUBS QUEEN,0.738,0.0346,0.2274
SPADES TWO DIAMONDS SIX,0.6388,0.008,0.3532
CLUBS FIVE CLUBS THREE,0.5644,0.0092,0.4264
SPADES TEN DIAMONDS FIVE,0.6182,0.0072,0.3746
SPADES KING HEARTS THREE,0.2616,0.5252,0.2132
SPADES KING HEARTS KING,0.071,0.0148,0.9142
CLUBS SIX HEARTS TEN,0.5914,0.0052,0.4034
CLUBS TEN HEARTS TWO,0.6356,0.0088,0.3556
SPADES QUEEN HEARTS ACE,0.3412,0.0036,0.6552
SPADES TWO HEARTS JACK,0.634,0.0096,0.3564
DIAMONDS TWO DIAMONDS SEVEN,0.6184,0.0086,0.373
CLUBS TEN CLUBS TWO,0.5958,0.0072,0.397
HEARTS FOUR CLUBS TWO,0.7066,0.0354,0.258
SPADES FIVE DIAMONDS SIX,0.574,0.0076,0.4184
SPADES TEN HEARTS KING,0.227,0.1196,0.6534
CLUBS NINE DIAMONDS FOUR,0.7282,0.0338,0.238
SPADES QUEEN SPADES EIGHT,0.554,0.01,0.436
CLUBS NINE DIAMONDS EIGHT,0.5472,0.0074,0.4454
DIAMONDS TEN HEARTS QUEEN,0.5718,0.0064,0.4218
CLUBS NINE SPADES EIGHT,0.544,0.0074,0.4486
DIAMONDS EIGHT HEARTS NINE,0.5518,0.0054,0.4428
SPADES SEVEN HEARTS JACK,0.5908,0.0062,0.403
CLUBS SEVEN DIAMONDS EIGHT,0.5624,0.0068,0.4308
HEARTS TWO HEARTS NINE,0.5768,0.009,0.4142
DIAMONDS THREE DIAMONDS JACK,0.6006,0.009,0.3904
HEARTS FOUR HEARTS NINE,0.6758,0.0304,0.2938
SPADES EIGHT CLUBS TWO,0.6224,0.0094,0.3682
HEARTS SIX CLUBS KING,0.2232,0.3898,0.387
SPADES EIGHT CLUBS ACE,0.357,0.0044,0.6386
SPADES FIVE HEARTS TEN,0.5988,0.0104,0.3908
HEARTS TWO SPADES THREE,0.6354,0.0112,0.3534
DIAMONDS JACK DIAMONDS NINE,0.5334,0.0096,0.457
CLUBS SIX DIAMONDS SEVEN,0.567,0.0076,0.4254
SPADES JACK SPADES EIGHT,0.548,0.0092,0.4428
