opposingHand,winningChance,drawChance,lostChance
DIAMONDS NINE HEARTS TEN
CLUBS SEVEN CLUBS TWO,0.6272,0.0202,0.3526
CLUBS ACE DIAMONDS FOUR,0.4502,0.0036,0.5462
CLUBS SEVEN HEARTS JACK,0.4204,0.016,0.5636
HEARTS FIVE SPADES SIX,0.6044,0.0212,0.3744
DIAMONDS THREE CLUBS THREE,0.463,0.0416,0.4954
SPADES QUEEN HEARTS JACK,0.3346,0.0096,0.6558
HEARTS SIX CLUBS SEVEN,0.6352,0.0222,0.3426
CLUBS TEN DIAMONDS SEVEN,0.6052,0.1704,0.2244
DIAMONDS QUEEN CLUBS QUEEN,0.163,0.0166,0.8204
SPADES JACK SPADES SEVEN,0.4042,0.0148,0.581
CLUBS SIX CLUBS THREE,0.6004,0.0238,0.3758
SPADES TEN DIAMONDS FIVE,0.6106,0.176,0.2134
CLUBS EIGHT SPADES EIGHT,0.4426,0.0368,0.5206
SPADES TWO CLUBS KING,0.4474,0.0056,0.547
CLUBS NINE SPADES NINE,0.3292,0.0448,0.626
SPADES SEVEN HEARTS EIGHT,0.6314,0.0182,0.3504
HEARTS FIVE CLUBS SEVEN,0.6368,0.0268,0.3364
CLUBS FIVE SPADES TWO,0.642,0.0242,0.3338
SPADES EIGHT HEARTS QUEEN,0.4168,0.0096,0.5736
CLUBS FOUR SPADES FIVE,0.6268,0.027,0.3462
HEARTS TWO SPADES EIGHT,0.6756,0.0256,0.2988
DIAMONDS EIGHT CLUBS ACE,0.4428,0.0028,0.5544
HEARTS ACE HEARTS EIGHT,0.4186,0.004,0.5774
HEARTS SIX DIAMONDS EIGHT,0.6462,0.024,0.3298
SPADES ACE DIAMONDS FOUR,0.45,0.0026,0.5474
CLUBS NINE DIAMONDS ACE,0.2918,0.0166,0.6916
DIAMONDS ACE HEARTS JACK,0.3514,0.006,0.6426
HEARTS FIVE HEARTS THREE,0.5972,0.0256,0.3772
SPADES NINE DIAMONDS QUEEN,0.2702,0.0432,0.6866
SPADES KING DIAMONDS FOUR,0.4454,0.0068,0.5478
SPADES ACE DIAMONDS QUEEN,0.3562,0.0052,0.6386
HEARTS FIVE SPADES NINE,0.7106,0.0712,0.2182
HEARTS ACE HEARTS JACK,0.3496,0.0078,0.6426
SPADES KING CLUBS TWO,0.448,0.006,0.546
HEARTS SIX HEARTS FOUR,0.6016,0.0224,0.376
DIAMONDS QUEEN DIAMONDS TEN,0.2422,0.0372,0.7206
HEARTS SEVEN SPADES FIVE,0.6352,0.0238,0.341
SPADES TEN HEARTS EIGHT,0.6088,0.1676,0.2236
CLUBS JACK CLUBS NINE,0.247,0.0508,0.7022
SPADES SEVEN DIAMONDS TEN,0.612,0.161,0.227
CLUBS TEN HEARTS THREE,0.6154,0.1668,0.2178
DIAMONDS TEN DIAMONDS SIX,0.5776,0.1676,0.2548
CLUBS QUEEN DIAMONDS FOUR,0.4478,0.0118,0.5404
SPADES QUEEN DIAMONDS SIX,0.4434,0.0106,0.546
CLUBS TEN SPADES TEN,0.1512,0.0496,0.7992
HEARTS ACE HEARTS NINE,0.2826,0.0192,0.6982
CLUBS JACK CLUBS EIGHT,0.3844,0.0146,0.601
CLUBS TWO SPADES FOUR,0.6386,0.0286,0.3328
DIAMONDS KING CLUBS QUEEN,0.3542,0.0076,0.6382
CLUBS EIGHT DIAMONDS FIVE,0.649,0.0252,0.3258
HEARTS SIX HEARTS KING,0.428,0.0056,0.5664
DIAMONDS THREE HEARTS QUEEN,0.4486,0.0108,0.5406
HEARTS KING CLUBS KING,0.184,0.0096,0.8064
CLUBS FIVE DIAMONDS KING,0.4468,0.0082,0.545
HEARTS SIX HEARTS ACE,0.4144,0.0044,0.5812
DIAMONDS KING CLUBS ACE,0.3762,0.0038,0.62
DIAMONDS KING CLUBS KING,0.1712,0.0086,0.8202
CLUBS TEN DIAMONDS KING,0.2662,0.0314,0.7024
DIAMONDS TWO CLUBS FOUR,0.6524,0.0208,0.3268
CLUBS FIVE HEARTS ACE,0.4404,0.0034,0.5562
HEARTS KING DIAMONDS FIVE,0.4428,0.0074,0.5498
CLUBS JACK CLUBS SEVEN,0.4014,0.0148,0.5838
HEARTS FOUR DIAMONDS KING,0.4478,0.0086,0.5436
