opposingHand,winningChance,drawChance,lostChance
DIAMONDS QUEEN CLUBS ACE
HEARTS FIVE SPADES TEN,0.677,0.0034,0.3196
HEARTS FIVE SPADES JACK,0.679,0.0036,0.3174
SPADES FIVE CLUBS JACK,0.6794,0.005,0.3156
CLUBS TEN SPADES FIVE,0.6708,0.0066,0.3226
CLUBS EIGHT CLUBS JACK,0.6282,0.0036,0.3682
CLUBS TEN CLUBS EIGHT,0.617,0.004,0.379
CLUBS EIGHT CLUBS KING,0.6138,0.0042,0.382
CLUBS EIGHT CLUBS QUEEN,0.704,0.0164,0.2796
SPADES FIVE CLUBS KING,0.6554,0.0054,0.3392
SPADES FIVE CLUBS QUEEN,0.7628,0.0164,0.2208
DIAMONDS TWO DIAMONDS THREE,0.6206,0.005,0.3744
DIAMONDS TWO DIAMONDS FIVE,0.6004,0.0062,0.3934
HEARTS FIVE SPADES KING,0.6494,0.0034,0.3472
DIAMONDS TWO DIAMONDS FOUR,0.6316,0.0048,0.3636
HEARTS FIVE SPADES QUEEN,0.7524,0.0144,0.2332
DIAMONDS TWO DIAMONDS SEVEN,0.6542,0.0064,0.3394
DIAMONDS TWO DIAMONDS SIX,0.644,0.0058,0.3502
SPADES ACE HEARTS FIVE,0.678,0.0624,0.2596
DIAMONDS TWO DIAMONDS NINE,0.6438,0.0058,0.3504
DIAMONDS TWO DIAMONDS EIGHT,0.6486,0.0038,0.3476
DIAMONDS THREE DIAMONDS FOUR,0.6144,0.0052,0.3804
CLUBS TWO SPADES FOUR,0.6398,0.0024,0.3578
DIAMONDS THREE DIAMONDS FIVE,0.6086,0.005,0.3864
SPADES FIVE CLUBS TWO,0.659,0.0046,0.3364
CLUBS TWO SPADES TWO,0.4728,0.004,0.5232
CLUBS TWO SPADES THREE,0.6566,0.0048,0.3386
DIAMONDS THREE DIAMONDS EIGHT,0.6406,0.0076,0.3518
SPADES EIGHT CLUBS TWO,0.6752,0.0046,0.3202
DIAMONDS THREE DIAMONDS NINE,0.6386,0.0046,0.3568
SPADES NINE CLUBS TWO,0.6856,0.006,0.3084
DIAMONDS THREE DIAMONDS SIX,0.6152,0.0046,0.3802
SPADES SIX CLUBS TWO,0.663,0.0068,0.3302
DIAMONDS THREE DIAMONDS SEVEN,0.623,0.0052,0.3718
SPADES SEVEN CLUBS TWO,0.674,0.0048,0.3212
CLUBS SIX CLUBS TWO,0.6326,0.006,0.3614
CLUBS SEVEN CLUBS TWO,0.6408,0.0064,0.3528
CLUBS FOUR CLUBS TWO,0.623,0.0064,0.3706
CLUBS FIVE CLUBS TWO,0.6172,0.004,0.3788
CLUBS TEN CLUBS JACK,0.6002,0.004,0.3958
DIAMONDS FOUR DIAMONDS SIX,0.6146,0.0044,0.381
CLUBS TEN CLUBS QUEEN,0.7012,0.0136,0.2852
DIAMONDS FOUR DIAMONDS SEVEN,0.626,0.005,0.369
CLUBS TEN CLUBS KING,0.5906,0.0038,0.4056
CLUBS EIGHT CLUBS TWO,0.644,0.0046,0.3514
DIAMONDS FIVE DIAMONDS FOUR,0.5876,0.0066,0.4058
CLUBS NINE CLUBS TWO,0.6444,0.0072,0.3484
DIAMONDS NINE DIAMONDS FOUR,0.6474,0.0054,0.3472
DIAMONDS EIGHT DIAMONDS FOUR,0.6372,0.0062,0.3566
CLUBS THREE CLUBS TWO,0.635,0.0062,0.3588
DIAMONDS NINE DIAMONDS FIVE,0.6332,0.0038,0.363
DIAMONDS TWO CLUBS JACK,0.7068,0.0066,0.2866
DIAMONDS EIGHT DIAMONDS FIVE,0.5982,0.0058,0.396
CLUBS TEN DIAMONDS TWO,0.688,0.0066,0.3054
DIAMONDS FIVE DIAMONDS SEVEN,0.6076,0.0054,0.387
DIAMONDS FIVE DIAMONDS SIX,0.5934,0.0046,0.402
DIAMONDS TWO CLUBS KING,0.6504,0.0056,0.344
DIAMONDS TWO CLUBS QUEEN,0.7772,0.0166,0.2062
DIAMONDS EIGHT DIAMONDS SIX,0.6146,0.0036,0.3818
DIAMONDS NINE DIAMONDS SIX,0.6114,0.0068,0.3818
HEARTS ACE SPADES THREE,0.6718,0.0642,0.264
SPADES THREE HEARTS KING,0.6532,0.0042,0.3426
DIAMONDS SEVEN DIAMONDS SIX,0.6086,0.0032,0.3882
HEARTS QUEEN SPADES THREE,0.7642,0.0128,0.223
SPADES THREE HEARTS JACK,0.6636,0.004,0.3324
SPADES THREE HEARTS TEN,0.6748,0.0026,0.3226
DIAMONDS EIGHT DIAMONDS SEVEN,0.6176,0.0052,0.3772
DIAMONDS NINE DIAMONDS SEVEN,0.6064,0.0046,0.389
DIAMONDS NINE DIAMONDS EIGHT,0.608,0.0048,0.3872
DIAMONDS KING HEARTS TEN,0.6152,0.0046,0.3802
HEARTS THREE HEARTS TEN,0.6346,0.0038,0.3616
SPADES JACK CLUBS SIX,0.6876,0.0034,0.309
DIAMONDS KING HEARTS JACK,0.6068,0.0044,0.3888
HEARTS THREE HEARTS JACK,0.6274,0.0032,0.3694
SPADES TEN CLUBS SIX,0.6676,0.0032,0.3292
SPADES JACK SPADES FIVE,0.6182,0.0052,0.3766
