opposingHand,winningChance,drawChance,lostChance
DIAMONDS QUEEN CLUBS KING
HEARTS FIVE SPADES TEN,0.6742,0.0068,0.319
HEARTS FIVE SPADES JACK,0.6684,0.0054,0.3262
SPADES FIVE CLUBS JACK,0.6848,0.0064,0.3088
CLUBS TEN SPADES FIVE,0.6846,0.0066,0.3088
CLUBS EIGHT CLUBS JACK,0.6284,0.0086,0.363
CLUBS TEN CLUBS EIGHT,0.6182,0.0052,0.3766
SPADES FIVE CLUBS ACE,0.4006,0.0058,0.5936
CLUBS EIGHT CLUBS QUEEN,0.7054,0.0282,0.2664
SPADES FIVE CLUBS QUEEN,0.7532,0.028,0.2188
CLUBS EIGHT CLUBS ACE,0.3984,0.006,0.5956
DIAMONDS TWO DIAMONDS THREE,0.6316,0.0062,0.3622
DIAMONDS TWO DIAMONDS FIVE,0.6176,0.0086,0.3738
HEARTS FIVE SPADES KING,0.6928,0.069,0.2382
DIAMONDS TWO DIAMONDS FOUR,0.6198,0.0096,0.3706
HEARTS FIVE SPADES QUEEN,0.7374,0.0284,0.2342
DIAMONDS TWO DIAMONDS SEVEN,0.637,0.0086,0.3544
DIAMONDS TWO DIAMONDS SIX,0.6128,0.0066,0.3806
SPADES ACE HEARTS FIVE,0.4116,0.003,0.5854
DIAMONDS TWO DIAMONDS NINE,0.644,0.0056,0.3504
DIAMONDS TWO DIAMONDS EIGHT,0.6548,0.0066,0.3386
DIAMONDS THREE DIAMONDS FOUR,0.6002,0.0102,0.3896
CLUBS TWO SPADES FOUR,0.6692,0.0052,0.3256
DIAMONDS THREE DIAMONDS FIVE,0.599,0.0068,0.3942
SPADES FIVE CLUBS TWO,0.6566,0.0076,0.3358
CLUBS TWO SPADES TWO,0.468,0.0088,0.5232
CLUBS TWO SPADES THREE,0.6538,0.0084,0.3378
DIAMONDS THREE DIAMONDS EIGHT,0.6452,0.0074,0.3474
SPADES EIGHT CLUBS TWO,0.6738,0.0076,0.3186
DIAMONDS THREE DIAMONDS NINE,0.6282,0.0072,0.3646
SPADES NINE CLUBS TWO,0.6714,0.0088,0.3198
DIAMONDS THREE DIAMONDS SIX,0.6288,0.0068,0.3644
SPADES SIX CLUBS TWO,0.6594,0.0056,0.335
DIAMONDS THREE DIAMONDS SEVEN,0.6298,0.006,0.3642
SPADES SEVEN CLUBS TWO,0.6888,0.0052,0.306
CLUBS SIX CLUBS TWO,0.629,0.0062,0.3648
CLUBS SEVEN CLUBS TWO,0.6458,0.0084,0.3458
CLUBS FOUR CLUBS TWO,0.6238,0.0088,0.3674
CLUBS FIVE CLUBS TWO,0.6212,0.0068,0.372
CLUBS TEN CLUBS JACK,0.6044,0.0082,0.3874
DIAMONDS FOUR DIAMONDS SIX,0.5906,0.0084,0.401
CLUBS TEN CLUBS QUEEN,0.7036,0.0224,0.274
DIAMONDS FOUR DIAMONDS SEVEN,0.605,0.0068,0.3882
CLUBS TEN CLUBS ACE,0.3828,0.0028,0.6144
CLUBS EIGHT CLUBS TWO,0.6524,0.0074,0.3402
DIAMONDS FIVE DIAMONDS FOUR,0.5928,0.0094,0.3978
CLUBS NINE CLUBS TWO,0.645,0.0068,0.3482
DIAMONDS NINE DIAMONDS FOUR,0.6398,0.0074,0.3528
DIAMONDS EIGHT DIAMONDS FOUR,0.6266,0.0052,0.3682
CLUBS THREE CLUBS TWO,0.616,0.0084,0.3756
DIAMONDS NINE DIAMONDS FIVE,0.6276,0.007,0.3654
DIAMONDS TWO CLUBS JACK,0.695,0.007,0.298
DIAMONDS EIGHT DIAMONDS FIVE,0.6054,0.0068,0.3878
CLUBS TEN DIAMONDS TWO,0.6886,0.0092,0.3022
DIAMONDS FIVE DIAMONDS SEVEN,0.6108,0.007,0.3822
DIAMONDS FIVE DIAMONDS SIX,0.5848,0.0066,0.4086
DIAMONDS TWO CLUBS ACE,0.4096,0.0062,0.5842
DIAMONDS TWO CLUBS QUEEN,0.7518,0.0282,0.22
DIAMONDS EIGHT DIAMONDS SIX,0.6116,0.0078,0.3806
DIAMONDS NINE DIAMONDS SIX,0.628,0.0074,0.3646
HEARTS ACE SPADES THREE,0.4228,0.0038,0.5734
SPADES THREE HEARTS KING,0.6864,0.0674,0.2462
DIAMONDS SEVEN DIAMONDS SIX,0.5922,0.0064,0.4014
HEARTS QUEEN SPADES THREE,0.745,0.027,0.228
SPADES THREE HEARTS JACK,0.6772,0.006,0.3168
SPADES THREE HEARTS TEN,0.669,0.0058,0.3252
DIAMONDS EIGHT DIAMONDS SEVEN,0.6008,0.007,0.3922
DIAMONDS NINE DIAMONDS SEVEN,0.606,0.0082,0.3858
DIAMONDS NINE DIAMONDS EIGHT,0.6098,0.0068,0.3834
DIAMONDS KING HEARTS TEN,0.6902,0.0616,0.2482
HEARTS THREE HEARTS TEN,0.6358,0.0046,0.3596
SPADES JACK CLUBS SIX,0.6786,0.008,0.3134
DIAMONDS KING HEARTS JACK,0.7046,0.062,0.2334
HEARTS THREE HEARTS JACK,0.6302,0.0072,0.3626
SPADES TEN CLUBS SIX,0.6622,0.007,0.3308
SPADES JACK SPADES FIVE,0.6328,0.006,0.3612
SPADES TEN SPADES FIVE,0.6364,0.0052,0.3584
DIAMONDS KING HEARTS ACE,0.2358,0.0122,0.752
HEARTS THREE HEARTS ACE,0.3858,0.0052,0.609
SPADES ACE CLUBS SIX,0.4174,0.0038,0.5788
DIAMONDS KING HEARTS QUEEN,0.0122,0.9692,0.0186
HEARTS THREE HEARTS QUEEN,0.7082,0.0276,0.2642
SPADES KING CLUBS SIX,0.6892,0.0608,0.25
DIAMONDS KING HEARTS KING,0.0876,0.0132,0.8992
HEARTS THREE HEARTS KING,0.6522,0.0656,0.2822
SPADES QUEEN CLUBS SIX,0.7442,0.0246,0.2312
SPADES NINE HEARTS TEN,0.6434,0.0054,0.3512
SPADES NINE HEARTS JACK,0.6444,0.0062,0.3494
SPADES QUEEN SPADES FIVE,0.6962,0.0238,0.28
SPADES KING SPADES FIVE,0.647,0.0576,0.2954
SPADES ACE SPADES FIVE,0.3886,0.0048,0.6066
SPADES NINE HEARTS QUEEN,0.73,0.0256,0.2444
SPADES NINE HEARTS KING,0.695,0.0618,0.2432
SPADES NINE HEARTS ACE,0.4072,0.005,0.5878
CLUBS TEN SPADES JACK,0.6512,0.0058,0.343
CLUBS TEN SPADES TEN,0.4386,0.0042,0.5572
SPADES ACE CLUBS TEN,0.3996,0.0046,0.5958
SPADES KING CLUBS TEN,0.696,0.0656,0.2384
CLUBS TEN SPADES QUEEN,0.7248,0.026,0.2492
SPADES FIVE HEARTS QUEEN,0.7442,0.0282,0.2276
SPADES FIVE HEARTS KING,0.6804,0.066,0.2536
HEARTS ACE SPADES FIVE,0.417,0.0032,0.5798
CLUBS EIGHT SPADES TEN,0.6472,0.0064,0.3464
SPADES JACK HEARTS THREE,0.6874,0.0062,0.3064
SPADES JACK DIAMONDS KING,0.6988,0.0676,0.2336
SPADES TEN DIAMONDS KING,0.7044,0.0598,0.2358
SPADES TEN HEARTS THREE,0.685,0.0056,0.3094
SPADES JACK CLUBS EIGHT,0.6506,0.0066,0.3428
CLUBS SIX HEARTS ACE,0.4094,0.0052,0.5854
SPADES ACE CLUBS EIGHT,0.438,0.005,0.557
HEARTS FIVE CLUBS JACK,0.695,0.0034,0.3016
HEARTS FIVE CLUBS TEN,0.6798,0.0082,0.312
CLUBS SIX HEARTS QUEEN,0.7404,0.0234,0.2362
SPADES QUEEN CLUBS EIGHT,0.7506,0.0274,0.222
CLUBS TEN SPADES THREE,0.6894,0.007,0.3036
CLUBS SIX HEARTS KING,0.6944,0.0622,0.2434
SPADES KING CLUBS EIGHT,0.7122,0.0622,0.2256
SPADES THREE CLUBS JACK,0.6862,0.006,0.3078
DIAMONDS TWO HEARTS JACK,0.6948,0.007,0.2982
SPADES THREE CLUBS QUEEN,0.7512,0.03,0.2188
DIAMONDS TWO HEARTS TEN,0.6952,0.0084,0.2964
HEARTS FIVE CLUBS ACE,0.4178,0.004,0.5782
SPADES FIVE HEARTS TEN,0.6746,0.0062,0.3192
SPADES THREE CLUBS ACE,0.4208,0.006,0.5732
SPADES FIVE HEARTS JACK,0.6722,0.006,0.3218
HEARTS FIVE CLUBS QUEEN,0.7276,0.0342,0.2382
HEARTS THREE CLUBS QUEEN,0.7392,0.0348,0.226
DIAMONDS KING CLUBS QUEEN,0.0076,0.984,0.0084
HEARTS FIVE HEARTS JACK,0.63,0.0076,0.3624
HEARTS FIVE HEARTS TEN,0.6248,0.0062,0.369
HEARTS THREE CLUBS ACE,0.4184,0.0054,0.5762
DIAMONDS KING CLUBS ACE,0.2264,0.013,0.7606
SPADES ACE CLUBS QUEEN,0.2512,0.011,0.7378
SPADES KING CLUBS QUEEN,0.0186,0.971,0.0104
HEARTS THREE CLUBS JACK,0.699,0.0062,0.2948
DIAMONDS KING CLUBS JACK,0.7076,0.0558,0.2366
