opposingHand,winningChance,drawChance,lostChance
DIAMONDS QUEEN SPADES FOUR
SPADES KING HEARTS FIVE,0.349,0.0086,0.6424
SPADES ACE DIAMONDS EIGHT,0.3704,0.0052,0.6244
HEARTS KING CLUBS KING,0.136,0.0042,0.8598
CLUBS TEN SPADES FIVE,0.602,0.0106,0.3874
CLUBS TEN CLUBS QUEEN,0.2174,0.114,0.6686
SPADES JACK DIAMONDS SEVEN,0.5798,0.014,0.4062
CLUBS TEN HEARTS KING,0.3454,0.0084,0.6462
SPADES KING HEARTS THREE,0.3872,0.008,0.6048
CLUBS TEN HEARTS ACE,0.361,0.004,0.635
CLUBS NINE DIAMONDS SEVEN,0.5662,0.0098,0.424
CLUBS EIGHT CLUBS SIX,0.518,0.0124,0.4696
CLUBS FOUR HEARTS NINE,0.7098,0.0368,0.2534
SPADES THREE CLUBS KING,0.3972,0.0092,0.5936
SPADES THREE HEARTS TEN,0.6244,0.0134,0.3622
SPADES QUEEN DIAMONDS EIGHT,0.223,0.2278,0.5492
SPADES KING CLUBS SEVEN,0.3554,0.0078,0.6368
SPADES QUEEN SPADES SIX,0.211,0.3634,0.4256
SPADES JACK SPADES EIGHT,0.539,0.0104,0.4506
CLUBS SIX DIAMONDS JACK,0.6014,0.0106,0.388
HEARTS KING DIAMONDS SIX,0.3692,0.0064,0.6244
HEARTS TWO DIAMONDS JACK,0.6256,0.011,0.3634
DIAMONDS THREE SPADES THREE,0.4208,0.0372,0.542
CLUBS FOUR DIAMONDS SEVEN,0.6932,0.0424,0.2644
HEARTS FOUR HEARTS QUEEN,0.023,0.9076,0.0694
CLUBS TEN HEARTS TWO,0.6192,0.0136,0.3672
SPADES ACE SPADES THREE,0.3602,0.0052,0.6346
HEARTS FOUR DIAMONDS EIGHT,0.7006,0.0422,0.2572
HEARTS KING HEARTS TEN,0.3134,0.0052,0.6814
SPADES JACK HEARTS NINE,0.5442,0.0096,0.4462
SPADES TWO DIAMONDS SEVEN,0.6338,0.0176,0.3486
SPADES THREE DIAMONDS NINE,0.6472,0.0108,0.342
CLUBS SIX SPADES TWO,0.6422,0.0116,0.3462
SPADES JACK DIAMONDS SIX,0.6084,0.0134,0.3782
CLUBS THREE DIAMONDS JACK,0.6288,0.0152,0.356
DIAMONDS SEVEN DIAMONDS FOUR,0.656,0.0454,0.2986
SPADES SEVEN HEARTS EIGHT,0.5492,0.0114,0.4394
HEARTS QUEEN CLUBS QUEEN,0.087,0.0226,0.8904
SPADES TEN CLUBS TWO,0.6256,0.0118,0.3626
SPADES NINE CLUBS FOUR,0.7222,0.0438,0.234
SPADES SIX HEARTS NINE,0.5664,0.0102,0.4234
CLUBS FIVE HEARTS NINE,0.5834,0.0122,0.4044
HEARTS TWO SPADES SIX,0.6192,0.0152,0.3656
