opposingHand,winningChance,drawChance,lostChance
DIAMONDS SEVEN DIAMONDS SIX
HEARTS SIX CLUBS FOUR,0.5808,0.1878,0.2314
CLUBS SIX SPADES FOUR,0.5884,0.1806,0.231
CLUBS EIGHT SPADES EIGHT,0.2056,0.0824,0.712
CLUBS SEVEN HEARTS QUEEN,0.3334,0.0392,0.6274
CLUBS EIGHT SPADES TEN,0.3946,0.0226,0.5828
HEARTS QUEEN DIAMONDS FIVE,0.4552,0.0124,0.5324
SPADES JACK CLUBS THREE,0.47,0.0176,0.5124
SPADES TEN DIAMONDS KING,0.4008,0.0074,0.5918
SPADES NINE CLUBS ACE,0.419,0.004,0.577
CLUBS SIX DIAMONDS QUEEN,0.3168,0.0412,0.642
SPADES ACE HEARTS KING,0.4134,0.0042,0.5824
HEARTS FIVE SPADES TWO,0.6188,0.091,0.2902
CLUBS JACK HEARTS TWO,0.473,0.0174,0.5096
HEARTS ACE DIAMONDS TEN,0.4108,0.007,0.5822
CLUBS NINE SPADES THREE,0.4652,0.0422,0.4926
CLUBS NINE SPADES FOUR,0.462,0.0356,0.5024
DIAMONDS ACE DIAMONDS TEN,0.3528,0.005,0.6422
SPADES NINE CLUBS THREE,0.4704,0.0386,0.491
HEARTS THREE HEARTS NINE,0.4454,0.0408,0.5138
SPADES NINE HEARTS TWO,0.4778,0.0366,0.4856
HEARTS SEVEN CLUBS QUEEN,0.3314,0.0358,0.6328
DIAMONDS THREE HEARTS SEVEN,0.4382,0.3506,0.2112
SPADES EIGHT DIAMONDS KING,0.4036,0.007,0.5894
HEARTS SIX SPADES FIVE,0.574,0.184,0.242
DIAMONDS QUEEN CLUBS KING,0.3962,0.006,0.5978
SPADES ACE DIAMONDS NINE,0.397,0.0042,0.5988
SPADES SIX DIAMONDS EIGHT,0.2774,0.1424,0.5802
SPADES FIVE DIAMONDS TEN,0.4508,0.0238,0.5254
SPADES FOUR SPADES TWO,0.5622,0.0862,0.3516
HEARTS EIGHT DIAMONDS TWO,0.4594,0.0616,0.479
CLUBS SIX DIAMONDS EIGHT,0.2776,0.1454,0.577
HEARTS SEVEN SPADES TEN,0.3096,0.0712,0.6192
SPADES QUEEN SPADES EIGHT,0.391,0.013,0.596
HEARTS ACE DIAMONDS JACK,0.3856,0.0042,0.6102
DIAMONDS TEN DIAMONDS NINE,0.3286,0.0252,0.6462
SPADES KING SPADES EIGHT,0.3834,0.0066,0.61
SPADES EIGHT CLUBS ACE,0.3948,0.003,0.6022
HEARTS KING DIAMONDS EIGHT,0.4016,0.0086,0.5898
SPADES JACK SPADES FOUR,0.4264,0.0164,0.5572
SPADES TEN SPADES FOUR,0.4396,0.0256,0.5348
HEARTS SIX DIAMONDS ACE,0.3246,0.021,0.6544
CLUBS JACK SPADES KING,0.3992,0.0052,0.5956
CLUBS THREE HEARTS NINE,0.4728,0.044,0.4832
CLUBS FOUR HEARTS KING,0.4616,0.0072,0.5312
DIAMONDS THREE HEARTS SIX,0.586,0.2,0.214
SPADES KING SPADES JACK,0.3752,0.0056,0.6192
SPADES SEVEN HEARTS KING,0.3302,0.0326,0.6372
CLUBS EIGHT CLUBS SEVEN,0.2688,0.132,0.5992
HEARTS ACE CLUBS ACE,0.2188,0.0026,0.7786
HEARTS FOUR SPADES SEVEN,0.4322,0.357,0.2108
DIAMONDS TEN HEARTS TEN,0.2062,0.0562,0.7376
CLUBS TEN DIAMONDS ACE,0.3986,0.0034,0.598
CLUBS TEN CLUBS KING,0.3732,0.0072,0.6196
SPADES JACK DIAMONDS EIGHT,0.3846,0.018,0.5974
HEARTS SEVEN HEARTS TEN,0.3102,0.0746,0.6152
HEARTS FIVE CLUBS FIVE,0.404,0.0962,0.4998
SPADES JACK DIAMONDS FOUR,0.4534,0.0198,0.5268
HEARTS THREE DIAMONDS KING,0.469,0.0082,0.5228
SPADES NINE CLUBS SIX,0.3016,0.092,0.6064
SPADES SEVEN HEARTS QUEEN,0.3268,0.047,0.6262
HEARTS EIGHT SPADES FOUR,0.4698,0.058,0.4722
CLUBS NINE HEARTS SIX,0.3008,0.1012,0.598
DIAMONDS JACK DIAMONDS FIVE,0.402,0.0218,0.5762
HEARTS EIGHT SPADES KING,0.4054,0.0064,0.5882
SPADES KING CLUBS TEN,0.411,0.0062,0.5828
CLUBS JACK DIAMONDS KING,0.3832,0.0072,0.6096
HEARTS KING CLUBS ACE,0.4182,0.0032,0.5786
HEARTS SEVEN DIAMONDS KING,0.301,0.0376,0.6614
DIAMONDS TWO HEARTS SIX,0.6142,0.1862,0.1996
