opposingHand,winningChance,drawChance,lostChance
DIAMONDS SIX CLUBS KING
HEARTS FIVE SPADES TEN,0.6454,0.0064,0.3482
HEARTS FIVE SPADES JACK,0.6186,0.006,0.3754
SPADES FIVE CLUBS JACK,0.6304,0.0072,0.3624
CLUBS TEN SPADES FIVE,0.6344,0.0106,0.355
CLUBS EIGHT CLUBS JACK,0.55,0.008,0.442
CLUBS TEN CLUBS EIGHT,0.547,0.0098,0.4432
SPADES FIVE CLUBS ACE,0.3824,0.0046,0.613
CLUBS EIGHT CLUBS QUEEN,0.5748,0.0056,0.4196
SPADES FIVE CLUBS QUEEN,0.6316,0.01,0.3584
CLUBS EIGHT CLUBS ACE,0.3424,0.005,0.6526
DIAMONDS TWO DIAMONDS THREE,0.6282,0.008,0.3638
DIAMONDS TWO DIAMONDS FIVE,0.6214,0.0102,0.3684
HEARTS FIVE SPADES KING,0.3998,0.3708,0.2294
DIAMONDS TWO DIAMONDS FOUR,0.6222,0.0076,0.3702
HEARTS FIVE SPADES QUEEN,0.642,0.0056,0.3524
DIAMONDS TWO DIAMONDS SEVEN,0.601,0.0084,0.3906
SPADES ACE HEARTS FIVE,0.378,0.0044,0.6176
DIAMONDS TWO DIAMONDS NINE,0.601,0.0092,0.3898
DIAMONDS TWO DIAMONDS EIGHT,0.5902,0.01,0.3998
DIAMONDS THREE DIAMONDS FOUR,0.6062,0.0098,0.384
CLUBS TWO SPADES FOUR,0.6404,0.009,0.3506
DIAMONDS THREE DIAMONDS FIVE,0.5972,0.009,0.3938
SPADES FIVE CLUBS TWO,0.6566,0.0068,0.3366
CLUBS TWO SPADES TWO,0.4564,0.017,0.5266
CLUBS TWO SPADES THREE,0.6404,0.0104,0.3492
DIAMONDS THREE DIAMONDS EIGHT,0.6144,0.0082,0.3774
SPADES EIGHT CLUBS TWO,0.628,0.008,0.364
DIAMONDS THREE DIAMONDS NINE,0.59,0.0078,0.4022
SPADES NINE CLUBS TWO,0.633,0.0072,0.3598
SPADES SIX CLUBS TWO,0.7252,0.0446,0.2302
DIAMONDS THREE DIAMONDS SEVEN,0.603,0.0088,0.3882
SPADES SEVEN CLUBS TWO,0.6556,0.0072,0.3372
CLUBS SIX CLUBS TWO,0.703,0.038,0.259
CLUBS SEVEN CLUBS TWO,0.6022,0.009,0.3888
CLUBS FOUR CLUBS TWO,0.606,0.0108,0.3832
CLUBS FIVE CLUBS TWO,0.626,0.0066,0.3674
CLUBS TEN CLUBS JACK,0.509,0.0066,0.4844
CLUBS TEN CLUBS QUEEN,0.5294,0.0072,0.4634
DIAMONDS FOUR DIAMONDS SEVEN,0.5822,0.007,0.4108
CLUBS TEN CLUBS ACE,0.3336,0.0038,0.6626
CLUBS EIGHT CLUBS TWO,0.5986,0.0076,0.3938
DIAMONDS FIVE DIAMONDS FOUR,0.5848,0.0098,0.4054
CLUBS NINE CLUBS TWO,0.601,0.0066,0.3924
DIAMONDS NINE DIAMONDS FOUR,0.5882,0.0062,0.4056
DIAMONDS FOUR DIAMONDS EIGHT,0.6046,0.0072,0.3882
CLUBS THREE CLUBS TWO,0.6238,0.007,0.3692
DIAMONDS NINE DIAMONDS FIVE,0.5842,0.0082,0.4076
DIAMONDS TWO CLUBS JACK,0.6398,0.0082,0.352
DIAMONDS FIVE DIAMONDS EIGHT,0.5836,0.0076,0.4088
CLUBS TEN DIAMONDS TWO,0.6418,0.0088,0.3494
DIAMONDS FIVE DIAMONDS SEVEN,0.567,0.0088,0.4242
DIAMONDS TWO CLUBS ACE,0.4042,0.0034,0.5924
DIAMONDS TWO CLUBS QUEEN,0.653,0.0082,0.3388
HEARTS ACE SPADES THREE,0.3824,0.004,0.6136
SPADES THREE HEARTS KING,0.3992,0.3788,0.222
HEARTS QUEEN SPADES THREE,0.639,0.0074,0.3536
SPADES THREE HEARTS JACK,0.634,0.0074,0.3586
SPADES THREE HEARTS TEN,0.632,0.007,0.361
DIAMONDS EIGHT DIAMONDS SEVEN,0.5584,0.0078,0.4338
DIAMONDS NINE DIAMONDS SEVEN,0.5446,0.0064,0.449
DIAMONDS NINE DIAMONDS EIGHT,0.5278,0.0078,0.4644
DIAMONDS KING HEARTS TEN,0.2334,0.1216,0.645
HEARTS THREE HEARTS TEN,0.5932,0.0066,0.4002
SPADES JACK CLUBS SIX,0.731,0.0366,0.2324
DIAMONDS KING HEARTS JACK,0.2252,0.0908,0.684
HEARTS THREE HEARTS JACK,0.5964,0.0056,0.398
SPADES TEN CLUBS SIX,0.719,0.0364,0.2446
SPADES JACK SPADES FIVE,0.5846,0.0064,0.409
SPADES TEN SPADES FIVE,0.5952,0.0092,0.3956
DIAMONDS KING HEARTS ACE,0.2322,0.0078,0.76
HEARTS THREE HEARTS ACE,0.3658,0.0042,0.63
SPADES ACE CLUBS SIX,0.2344,0.0312,0.7344
DIAMONDS KING HEARTS QUEEN,0.2402,0.0592,0.7006
HEARTS THREE HEARTS QUEEN,0.5914,0.0078,0.4008
SPADES KING CLUBS SIX,0.0164,0.9756,0.008
DIAMONDS KING HEARTS KING,0.0626,0.0148,0.9226
HEARTS THREE HEARTS KING,0.3826,0.3506,0.2668
SPADES QUEEN CLUBS SIX,0.7274,0.0414,0.2312
SPADES NINE HEARTS TEN,0.5498,0.0054,0.4448
SPADES NINE HEARTS JACK,0.5654,0.0052,0.4294
SPADES QUEEN SPADES FIVE,0.585,0.008,0.407
SPADES KING SPADES FIVE,0.3802,0.3562,0.2636
SPADES ACE SPADES FIVE,0.3556,0.0036,0.6408
SPADES NINE HEARTS QUEEN,0.5676,0.0046,0.4278
SPADES NINE HEARTS KING,0.2372,0.1598,0.603
SPADES NINE HEARTS ACE,0.3584,0.0036,0.638
CLUBS TEN SPADES JACK,0.547,0.0084,0.4446
CLUBS TEN SPADES TEN,0.3028,0.0066,0.6906
SPADES ACE CLUBS TEN,0.349,0.0046,0.6464
SPADES KING CLUBS TEN,0.2328,0.1106,0.6566
CLUBS TEN SPADES QUEEN,0.5624,0.005,0.4326
SPADES FIVE HEARTS QUEEN,0.6252,0.006,0.3688
SPADES FIVE HEARTS KING,0.3976,0.371,0.2314
HEARTS ACE SPADES FIVE,0.3894,0.0028,0.6078
CLUBS EIGHT SPADES TEN,0.5616,0.0102,0.4282
SPADES JACK HEARTS THREE,0.633,0.006,0.361
SPADES JACK DIAMONDS KING,0.23,0.0906,0.6794
SPADES TEN DIAMONDS KING,0.2412,0.1146,0.6442
SPADES TEN HEARTS THREE,0.644,0.0072,0.3488
SPADES JACK CLUBS EIGHT,0.5762,0.0056,0.4182
