opposingHand,winningChance,drawChance,lostChance
DIAMONDS TEN CLUBS KING
HEARTS FIVE SPADES TEN,0.7292,0.036,0.2348
HEARTS FIVE SPADES JACK,0.6492,0.0056,0.3452
SPADES FIVE CLUBS JACK,0.6604,0.008,0.3316
CLUBS TEN SPADES FIVE,0.7396,0.034,0.2264
CLUBS EIGHT CLUBS JACK,0.6052,0.0068,0.388
CLUBS TEN CLUBS EIGHT,0.6898,0.0308,0.2794
SPADES FIVE CLUBS ACE,0.4122,0.0032,0.5846
CLUBS EIGHT CLUBS QUEEN,0.6176,0.0072,0.3752
SPADES FIVE CLUBS QUEEN,0.6614,0.0064,0.3322
CLUBS EIGHT CLUBS ACE,0.4066,0.0042,0.5892
DIAMONDS TWO DIAMONDS THREE,0.6192,0.0072,0.3736
DIAMONDS TWO DIAMONDS FIVE,0.6342,0.0076,0.3582
HEARTS FIVE SPADES KING,0.6506,0.1184,0.231
DIAMONDS TWO DIAMONDS FOUR,0.6256,0.009,0.3654
HEARTS FIVE SPADES QUEEN,0.6656,0.0056,0.3288
DIAMONDS TWO DIAMONDS SEVEN,0.6324,0.0074,0.3602
DIAMONDS TWO DIAMONDS SIX,0.6356,0.0066,0.3578
SPADES ACE HEARTS FIVE,0.4222,0.004,0.5738
DIAMONDS TWO DIAMONDS NINE,0.6472,0.008,0.3448
DIAMONDS TWO DIAMONDS EIGHT,0.6424,0.0074,0.3502
DIAMONDS THREE DIAMONDS FOUR,0.6226,0.0096,0.3678
CLUBS TWO SPADES FOUR,0.6594,0.009,0.3316
DIAMONDS THREE DIAMONDS FIVE,0.6102,0.0078,0.382
SPADES FIVE CLUBS TWO,0.6496,0.0074,0.343
CLUBS TWO SPADES TWO,0.4802,0.0102,0.5096
CLUBS TWO SPADES THREE,0.661,0.0098,0.3292
DIAMONDS THREE DIAMONDS EIGHT,0.6428,0.0066,0.3506
SPADES EIGHT CLUBS TWO,0.685,0.006,0.309
DIAMONDS THREE DIAMONDS NINE,0.6392,0.0092,0.3516
SPADES NINE CLUBS TWO,0.6872,0.0054,0.3074
DIAMONDS THREE DIAMONDS SIX,0.6152,0.0108,0.374
SPADES SIX CLUBS TWO,0.6588,0.0092,0.332
DIAMONDS THREE DIAMONDS SEVEN,0.6274,0.009,0.3636
SPADES SEVEN CLUBS TWO,0.6946,0.0092,0.2962
CLUBS SIX CLUBS TWO,0.6312,0.0062,0.3626
CLUBS SEVEN CLUBS TWO,0.649,0.0056,0.3454
CLUBS FOUR CLUBS TWO,0.6198,0.009,0.3712
CLUBS FIVE CLUBS TWO,0.6242,0.0102,0.3656
CLUBS TEN CLUBS JACK,0.6752,0.0292,0.2956
DIAMONDS FOUR DIAMONDS SIX,0.6212,0.0068,0.372
CLUBS TEN CLUBS QUEEN,0.6968,0.0228,0.2804
DIAMONDS FOUR DIAMONDS SEVEN,0.6152,0.0084,0.3764
CLUBS TEN CLUBS ACE,0.2424,0.0214,0.7362
CLUBS EIGHT CLUBS TWO,0.6394,0.0076,0.353
DIAMONDS FIVE DIAMONDS FOUR,0.5966,0.008,0.3954
CLUBS NINE CLUBS TWO,0.643,0.0084,0.3486
DIAMONDS NINE DIAMONDS FOUR,0.6436,0.0098,0.3466
DIAMONDS EIGHT DIAMONDS FOUR,0.6402,0.0084,0.3514
CLUBS THREE CLUBS TWO,0.6336,0.0072,0.3592
DIAMONDS NINE DIAMONDS FIVE,0.617,0.0116,0.3714
DIAMONDS TWO CLUBS JACK,0.6724,0.0078,0.3198
DIAMONDS EIGHT DIAMONDS FIVE,0.616,0.0072,0.3768
CLUBS TEN DIAMONDS TWO,0.7554,0.0356,0.209
DIAMONDS FIVE DIAMONDS SEVEN,0.6146,0.0074,0.378
DIAMONDS FIVE DIAMONDS SIX,0.6066,0.0084,0.385
DIAMONDS TWO CLUBS ACE,0.4166,0.006,0.5774
DIAMONDS TWO CLUBS QUEEN,0.6624,0.01,0.3276
DIAMONDS EIGHT DIAMONDS SIX,0.6104,0.009,0.3806
DIAMONDS NINE DIAMONDS SIX,0.6294,0.0082,0.3624
HEARTS ACE SPADES THREE,0.4212,0.0042,0.5746
SPADES THREE HEARTS KING,0.664,0.1138,0.2222
DIAMONDS SEVEN DIAMONDS SIX,0.6048,0.0052,0.39
HEARTS QUEEN SPADES THREE,0.6522,0.0058,0.342
SPADES THREE HEARTS JACK,0.6522,0.0062,0.3416
SPADES THREE HEARTS TEN,0.7372,0.0362,0.2266
DIAMONDS EIGHT DIAMONDS SEVEN,0.592,0.007,0.401
DIAMONDS NINE DIAMONDS SEVEN,0.6122,0.0078,0.38
DIAMONDS NINE DIAMONDS EIGHT,0.6134,0.0074,0.3792
DIAMONDS KING HEARTS TEN,0.0112,0.9718,0.017
HEARTS THREE HEARTS TEN,0.7032,0.0314,0.2654
SPADES JACK CLUBS SIX,0.6674,0.008,0.3246
DIAMONDS KING HEARTS JACK,0.2338,0.0798,0.6864
HEARTS THREE HEARTS JACK,0.6118,0.0084,0.3798
SPADES TEN CLUBS SIX,0.7228,0.0372,0.24
SPADES JACK SPADES FIVE,0.6014,0.0058,0.3928
SPADES TEN SPADES FIVE,0.6944,0.0344,0.2712
DIAMONDS KING HEARTS ACE,0.2444,0.0092,0.7464
HEARTS THREE HEARTS ACE,0.3856,0.0064,0.608
SPADES ACE CLUBS SIX,0.429,0.0038,0.5672
DIAMONDS KING HEARTS QUEEN,0.2446,0.059,0.6964
HEARTS THREE HEARTS QUEEN,0.6076,0.004,0.3884
SPADES KING CLUBS SIX,0.6504,0.1106,0.239
DIAMONDS KING HEARTS KING,0.1076,0.0134,0.879
HEARTS THREE HEARTS KING,0.617,0.1136,0.2694
SPADES QUEEN CLUBS SIX,0.6512,0.0056,0.3432
SPADES NINE HEARTS TEN,0.698,0.0314,0.2706
SPADES NINE HEARTS JACK,0.631,0.0046,0.3644
SPADES QUEEN SPADES FIVE,0.6074,0.0064,0.3862
SPADES KING SPADES FIVE,0.604,0.1142,0.2818
SPADES ACE SPADES FIVE,0.3978,0.0054,0.5968
SPADES NINE HEARTS QUEEN,0.63,0.007,0.363
SPADES NINE HEARTS KING,0.6494,0.1236,0.227
SPADES NINE HEARTS ACE,0.419,0.0022,0.5788
CLUBS TEN SPADES JACK,0.7082,0.0314,0.2604
CLUBS TEN SPADES TEN,0.3242,0.0248,0.651
SPADES ACE CLUBS TEN,0.253,0.0204,0.7266
SPADES KING CLUBS TEN,0.0186,0.9718,0.0096
CLUBS TEN SPADES QUEEN,0.7232,0.0308,0.246
SPADES FIVE HEARTS QUEEN,0.6454,0.0054,0.3492
SPADES FIVE HEARTS KING,0.647,0.1124,0.2406
HEARTS ACE SPADES FIVE,0.4426,0.004,0.5534
CLUBS EIGHT SPADES TEN,0.7244,0.032,0.2436
SPADES JACK HEARTS THREE,0.6458,0.006,0.3482
SPADES JACK DIAMONDS KING,0.224,0.0866,0.6894
SPADES TEN DIAMONDS KING,0.0114,0.9712,0.0174
SPADES TEN HEARTS THREE,0.735,0.0342,0.2308
SPADES JACK CLUBS EIGHT,0.6526,0.0056,0.3418
CLUBS SIX HEARTS ACE,0.4278,0.0042,0.568
SPADES ACE CLUBS EIGHT,0.437,0.003,0.56
HEARTS FIVE CLUBS JACK,0.6662,0.007,0.3268
HEARTS FIVE CLUBS TEN,0.7396,0.04,0.2204
CLUBS SIX HEARTS QUEEN,0.6538,0.0058,0.3404
SPADES QUEEN CLUBS EIGHT,0.656,0.0064,0.3376
CLUBS TEN SPADES THREE,0.7316,0.0358,0.2326
CLUBS SIX HEARTS KING,0.6536,0.1178,0.2286
SPADES KING CLUBS EIGHT,0.662,0.1178,0.2202
SPADES THREE CLUBS JACK,0.6548,0.0078,0.3374
DIAMONDS TWO HEARTS JACK,0.6612,0.006,0.3328
SPADES THREE CLUBS QUEEN,0.6618,0.0062,0.332
DIAMONDS TWO HEARTS TEN,0.7568,0.037,0.2062
HEARTS FIVE CLUBS ACE,0.424,0.0046,0.5714
SPADES FIVE HEARTS TEN,0.7346,0.0356,0.2298
SPADES THREE CLUBS ACE,0.4176,0.0052,0.5772
SPADES FIVE HEARTS JACK,0.6606,0.0068,0.3326
HEARTS FIVE CLUBS QUEEN,0.6576,0.005,0.3374
HEARTS THREE CLUBS QUEEN,0.6618,0.0078,0.3304
