opposingHand,winningChance,drawChance,lostChance
DIAMONDS THREE CLUBS TWO
HEARTS FIVE SPADES TEN,0.3514,0.0322,0.6164
HEARTS FIVE SPADES JACK,0.3538,0.0196,0.6266
CLUBS JACK SPADES FIVE,0.339,0.0224,0.6386
CLUBS TEN SPADES FIVE,0.3464,0.034,0.6196
CLUBS JACK CLUBS EIGHT,0.3182,0.0182,0.6636
CLUBS TEN CLUBS EIGHT,0.3184,0.0274,0.6542
CLUBS EIGHT CLUBS KING,0.326,0.013,0.661
SPADES FIVE CLUBS ACE,0.3298,0.004,0.6662
CLUBS EIGHT CLUBS QUEEN,0.3238,0.0138,0.6624
SPADES FIVE CLUBS KING,0.3354,0.0098,0.6548
SPADES FIVE CLUBS QUEEN,0.3498,0.0146,0.6356
CLUBS EIGHT CLUBS ACE,0.3146,0.0052,0.6802
DIAMONDS TWO DIAMONDS FIVE,0.2098,0.3682,0.422
HEARTS FIVE SPADES KING,0.3362,0.0116,0.6522
DIAMONDS TWO DIAMONDS FOUR,0.2028,0.4954,0.3018
HEARTS FIVE SPADES QUEEN,0.3524,0.0152,0.6324
DIAMONDS TWO DIAMONDS SEVEN,0.243,0.1904,0.5666
DIAMONDS TWO DIAMONDS SIX,0.2418,0.2662,0.492
SPADES ACE HEARTS FIVE,0.3324,0.0044,0.6632
DIAMONDS TWO DIAMONDS NINE,0.2492,0.1074,0.6434
DIAMONDS TWO DIAMONDS EIGHT,0.2308,0.15,0.6192
CLUBS TEN CLUBS JACK,0.3154,0.0138,0.6708
DIAMONDS FOUR DIAMONDS SIX,0.294,0.155,0.551
CLUBS TEN CLUBS QUEEN,0.3118,0.0128,0.6754
DIAMONDS FOUR DIAMONDS SEVEN,0.308,0.1032,0.5888
CLUBS TEN CLUBS KING,0.322,0.012,0.666
CLUBS TEN CLUBS ACE,0.325,0.0062,0.6688
DIAMONDS FOUR DIAMONDS FIVE,0.2954,0.222,0.4826
DIAMONDS FOUR DIAMONDS NINE,0.337,0.0478,0.6152
DIAMONDS FOUR DIAMONDS EIGHT,0.3192,0.0714,0.6094
DIAMONDS NINE DIAMONDS FIVE,0.328,0.0446,0.6274
