opposingHand,winningChance,drawChance,lostChance
DIAMONDS THREE DIAMONDS JACK
CLUBS SIX DIAMONDS EIGHT,0.5568,0.0166,0.4266
DIAMONDS FOUR SPADES FOUR,0.3446,0.0566,0.5988
SPADES NINE SPADES EIGHT,0.5316,0.0152,0.4532
CLUBS SEVEN DIAMONDS QUEEN,0.391,0.0124,0.5966
SPADES FOUR HEARTS QUEEN,0.4098,0.0122,0.578
CLUBS FIVE HEARTS ACE,0.3844,0.0048,0.6108
CLUBS EIGHT SPADES EIGHT,0.3302,0.032,0.6378
SPADES KING CLUBS SIX,0.4074,0.01,0.5826
DIAMONDS FOUR CLUBS NINE,0.6038,0.0188,0.3774
SPADES NINE DIAMONDS NINE,0.3274,0.027,0.6456
SPADES QUEEN SPADES SIX,0.3802,0.0102,0.6096
HEARTS SEVEN HEARTS TWO,0.6114,0.0176,0.371
CLUBS TWO CLUBS KING,0.3974,0.0098,0.5928
CLUBS JACK SPADES TWO,0.3006,0.4898,0.2096
CLUBS FIVE SPADES FOUR,0.5746,0.0188,0.4066
HEARTS FIVE DIAMONDS ACE,0.3684,0.0044,0.6272
SPADES SIX DIAMONDS KING,0.4008,0.0074,0.5918
CLUBS FIVE DIAMONDS FIVE,0.3448,0.0456,0.6096
SPADES KING CLUBS SEVEN,0.405,0.0072,0.5878
HEARTS FOUR SPADES EIGHT,0.6028,0.0182,0.379
HEARTS FOUR SPADES FOUR,0.3398,0.0522,0.608
HEARTS SIX HEARTS TEN,0.5734,0.0168,0.4098
HEARTS SEVEN HEARTS THREE,0.669,0.0452,0.2858
SPADES TEN DIAMONDS EIGHT,0.5718,0.0168,0.4114
HEARTS FOUR HEARTS KING,0.37,0.0066,0.6234
CLUBS EIGHT CLUBS ACE,0.3762,0.0054,0.6184
HEARTS SEVEN HEARTS FOUR,0.5618,0.018,0.4202
DIAMONDS FOUR SPADES FIVE,0.5788,0.0226,0.3986
CLUBS TEN CLUBS QUEEN,0.357,0.009,0.634
HEARTS TWO DIAMONDS FIVE,0.632,0.0202,0.3478
SPADES NINE SPADES THREE,0.6846,0.0516,0.2638
SPADES KING CLUBS ACE,0.3624,0.0032,0.6344
SPADES QUEEN CLUBS TWO,0.4218,0.0102,0.568
HEARTS FOUR CLUBS SIX,0.5938,0.0144,0.3918
DIAMONDS TWO CLUBS SEVEN,0.6286,0.0194,0.352
CLUBS FIVE DIAMONDS SIX,0.5746,0.0178,0.4076
DIAMONDS FOUR DIAMONDS FIVE,0.5688,0.0184,0.4128
CLUBS TEN DIAMONDS SEVEN,0.5734,0.021,0.4056
DIAMONDS ACE DIAMONDS FIVE,0.342,0.0062,0.6518
SPADES QUEEN HEARTS NINE,0.3774,0.0114,0.6112
SPADES ACE DIAMONDS SEVEN,0.386,0.0036,0.6104
CLUBS SEVEN DIAMONDS EIGHT,0.5574,0.0192,0.4234
HEARTS SIX DIAMONDS FIVE,0.5618,0.0214,0.4168
SPADES JACK DIAMONDS SIX,0.2598,0.366,0.3742
DIAMONDS TEN CLUBS ACE,0.3808,0.0062,0.613
CLUBS TEN CLUBS THREE,0.6794,0.0576,0.263
HEARTS SEVEN CLUBS NINE,0.5826,0.0184,0.399
SPADES KING CLUBS FIVE,0.4082,0.0084,0.5834
CLUBS JACK HEARTS TWO,0.3018,0.4936,0.2046
SPADES TEN SPADES NINE,0.5308,0.019,0.4502
HEARTS FIVE SPADES NINE,0.6112,0.0198,0.369
CLUBS FOUR DIAMONDS SEVEN,0.5938,0.0228,0.3834
SPADES TEN SPADES EIGHT,0.5216,0.016,0.4624
CLUBS FIVE SPADES SIX,0.586,0.021,0.393
SPADES FIVE HEARTS TEN,0.6218,0.0194,0.3588
CLUBS TEN HEARTS SEVEN,0.585,0.0182,0.3968
SPADES JACK SPADES EIGHT,0.2482,0.2004,0.5514
DIAMONDS FOUR HEARTS FIVE,0.558,0.023,0.419
CLUBS JACK SPADES JACK,0.132,0.0348,0.8332
