opposingHand,winningChance,drawChance,lostChance
DIAMONDS THREE DIAMONDS QUEEN
HEARTS FOUR SPADES SEVEN,0.6116,0.011,0.3774
SPADES FIVE SPADES THREE,0.6634,0.0396,0.297
DIAMONDS SEVEN HEARTS TEN,0.5938,0.0134,0.3928
CLUBS EIGHT CLUBS TWO,0.5988,0.0122,0.389
SPADES SEVEN DIAMONDS TEN,0.5872,0.0114,0.4014
HEARTS SIX DIAMONDS ACE,0.3832,0.0064,0.6104
SPADES FIVE DIAMONDS SIX,0.5696,0.011,0.4194
DIAMONDS FOUR CLUBS TWO,0.6354,0.0126,0.352
HEARTS SIX CLUBS TWO,0.6356,0.0142,0.3502
SPADES QUEEN CLUBS SIX,0.2764,0.3554,0.3682
SPADES TEN SPADES FIVE,0.5918,0.0102,0.398
DIAMONDS TEN CLUBS KING,0.3822,0.008,0.6098
HEARTS EIGHT CLUBS SIX,0.5926,0.0114,0.396
HEARTS FOUR DIAMONDS SIX,0.5892,0.011,0.3998
SPADES KING HEARTS ACE,0.3638,0.0046,0.6316
DIAMONDS SIX HEARTS NINE,0.5928,0.0102,0.397
CLUBS EIGHT SPADES FIVE,0.595,0.0126,0.3924
DIAMONDS JACK CLUBS KING,0.3614,0.0094,0.6292
HEARTS THREE HEARTS TEN,0.6926,0.0412,0.2662
CLUBS TEN HEARTS FIVE,0.6194,0.0152,0.3654
HEARTS SEVEN CLUBS TWO,0.6534,0.015,0.3316
CLUBS THREE HEARTS ACE,0.2854,0.0166,0.698
DIAMONDS TWO CLUBS TWO,0.4566,0.0356,0.5078
DIAMONDS KING SPADES FOUR,0.3726,0.0094,0.618
SPADES ACE DIAMONDS TEN,0.3842,0.004,0.6118
CLUBS JACK SPADES NINE,0.5806,0.009,0.4104
HEARTS SIX CLUBS SIX,0.344,0.0276,0.6284
SPADES EIGHT HEARTS KING,0.3944,0.006,0.5996
HEARTS EIGHT SPADES THREE,0.7298,0.0364,0.2338
DIAMONDS NINE HEARTS TEN,0.562,0.0114,0.4266
CLUBS JACK DIAMONDS TWO,0.643,0.0144,0.3426
CLUBS JACK SPADES SIX,0.615,0.0108,0.3742
SPADES FOUR DIAMONDS NINE,0.6266,0.0134,0.36
DIAMONDS FOUR SPADES TEN,0.6008,0.0106,0.3886
SPADES THREE HEARTS NINE,0.7302,0.0426,0.2272
SPADES ACE SPADES THREE,0.2594,0.0184,0.7222
HEARTS SEVEN SPADES QUEEN,0.2794,0.287,0.4336
SPADES JACK CLUBS KING,0.3884,0.0058,0.6058
SPADES ACE CLUBS QUEEN,0.2802,0.0158,0.704
CLUBS JACK CLUBS NINE,0.5588,0.0086,0.4326
SPADES QUEEN CLUBS EIGHT,0.284,0.2122,0.5038
CLUBS JACK SPADES TWO,0.6522,0.0148,0.333
SPADES KING CLUBS EIGHT,0.399,0.01,0.591
CLUBS TEN CLUBS SIX,0.5732,0.0126,0.4142
HEARTS SIX DIAMONDS TEN,0.5986,0.0106,0.3908
CLUBS THREE DIAMONDS EIGHT,0.7208,0.0434,0.2358
HEARTS FOUR HEARTS QUEEN,0.2506,0.465,0.2844
SPADES NINE DIAMONDS ACE,0.3828,0.0048,0.6124
CLUBS THREE DIAMONDS SEVEN,0.7172,0.0396,0.2432
HEARTS FIVE HEARTS TWO,0.5846,0.017,0.3984
CLUBS NINE HEARTS JACK,0.576,0.0116,0.4124
CLUBS SEVEN CLUBS THREE,0.6658,0.035,0.2992
SPADES QUEEN CLUBS FIVE,0.2654,0.4296,0.305
CLUBS FOUR CLUBS KING,0.384,0.0072,0.6088
HEARTS THREE SPADES TWO,0.7224,0.044,0.2336
CLUBS SEVEN DIAMONDS EIGHT,0.5696,0.0118,0.4186
CLUBS EIGHT DIAMONDS SEVEN,0.5696,0.0094,0.421
CLUBS THREE DIAMONDS NINE,0.7338,0.0452,0.221
HEARTS FIVE HEARTS QUEEN,0.258,0.396,0.346
HEARTS EIGHT DIAMONDS SIX,0.579,0.0114,0.4096
DIAMONDS ACE SPADES SIX,0.3738,0.0052,0.621
CLUBS TEN HEARTS KING,0.3798,0.0072,0.613
DIAMONDS TWO HEARTS TWO,0.4422,0.0382,0.5196
DIAMONDS TWO CLUBS ACE,0.4066,0.0044,0.589
HEARTS THREE DIAMONDS EIGHT,0.7304,0.0376,0.232
CLUBS SIX HEARTS NINE,0.5938,0.0102,0.396
DIAMONDS KING SPADES THREE,0.2686,0.0318,0.6996
SPADES THREE DIAMONDS EIGHT,0.712,0.0418,0.2462
SPADES TWO HEARTS NINE,0.6496,0.0112,0.3392
CLUBS EIGHT DIAMONDS EIGHT,0.3358,0.0216,0.6426
HEARTS EIGHT HEARTS FOUR,0.5686,0.0122,0.4192
HEARTS THREE DIAMONDS TEN,0.7178,0.04,0.2422
SPADES FIVE DIAMONDS TEN,0.6168,0.0108,0.3724
SPADES JACK HEARTS JACK,0.3168,0.0118,0.6714
SPADES SIX DIAMONDS JACK,0.6132,0.0108,0.376
CLUBS FIVE SPADES SIX,0.577,0.0114,0.4116
HEARTS EIGHT DIAMONDS FIVE,0.594,0.0106,0.3954
DIAMONDS FOUR CLUBS QUEEN,0.2518,0.4954,0.2528
DIAMONDS FOUR HEARTS FOUR,0.353,0.0292,0.6178
HEARTS FIVE CLUBS TWO,0.6322,0.017,0.3508
CLUBS SIX HEARTS ACE,0.4,0.0026,0.5974
HEARTS FIVE CLUBS SEVEN,0.5814,0.0112,0.4074
SPADES EIGHT CLUBS ACE,0.3936,0.004,0.6024
HEARTS FIVE SPADES SEVEN,0.5892,0.0122,0.3986
HEARTS FIVE HEARTS JACK,0.5854,0.0096,0.405
HEARTS JACK DIAMONDS FIVE,0.6032,0.0134,0.3834
SPADES QUEEN CLUBS ACE,0.2752,0.0152,0.7096
SPADES QUEEN SPADES JACK,0.2664,0.0784,0.6552
SPADES EIGHT DIAMONDS TEN,0.5804,0.0138,0.4058
SPADES QUEEN HEARTS ACE,0.2668,0.0166,0.7166
HEARTS FOUR DIAMONDS FIVE,0.5946,0.015,0.3904
SPADES JACK DIAMONDS SEVEN,0.6016,0.0102,0.3882
HEARTS FOUR CLUBS FOUR,0.3668,0.0336,0.5996
HEARTS TWO HEARTS QUEEN,0.298,0.4554,0.2466
CLUBS TEN CLUBS FIVE,0.5846,0.0132,0.4022
CLUBS JACK SPADES FOUR,0.6188,0.0142,0.367
HEARTS SEVEN HEARTS FOUR,0.5806,0.0126,0.4068
SPADES KING DIAMONDS TEN,0.382,0.007,0.611
DIAMONDS ACE HEARTS JACK,0.3688,0.0044,0.6268
SPADES NINE HEARTS QUEEN,0.2742,0.153,0.5728
SPADES NINE DIAMONDS SIX,0.5986,0.0122,0.3892
SPADES SEVEN CLUBS ACE,0.403,0.0034,0.5936
HEARTS TWO DIAMONDS NINE,0.644,0.0126,0.3434
CLUBS SIX CLUBS KING,0.3802,0.0072,0.6126
DIAMONDS KING CLUBS TWO,0.4004,0.0096,0.59
DIAMONDS TWO DIAMONDS ACE,0.36,0.0066,0.6334
CLUBS TWO CLUBS ACE,0.4066,0.0064,0.587
CLUBS SEVEN DIAMONDS TEN,0.5814,0.0082,0.4104
SPADES ACE SPADES SEVEN,0.3796,0.0054,0.615
DIAMONDS FOUR SPADES QUEEN,0.252,0.4922,0.2558
CLUBS FOUR CLUBS ACE,0.3574,0.0058,0.6368
CLUBS FOUR HEARTS QUEEN,0.2614,0.4884,0.2502
CLUBS SIX DIAMONDS NINE,0.5914,0.0144,0.3942
CLUBS THREE CLUBS TWO,0.6732,0.044,0.2828
CLUBS NINE SPADES TWO,0.649,0.0134,0.3376
SPADES THREE HEARTS KING,0.2764,0.0312,0.6924
CLUBS FIVE DIAMONDS ACE,0.3732,0.0046,0.6222
SPADES TEN DIAMONDS ACE,0.3686,0.0068,0.6246
CLUBS NINE CLUBS SIX,0.556,0.0106,0.4334
CLUBS ACE CLUBS KING,0.3442,0.004,0.6518
HEARTS ACE CLUBS QUEEN,0.2676,0.0166,0.7158
SPADES THREE DIAMONDS NINE,0.7312,0.046,0.2228
DIAMONDS TWO DIAMONDS NINE,0.6486,0.0128,0.3386
SPADES QUEEN SPADES NINE,0.2606,0.149,0.5904
SPADES FOUR SPADES THREE,0.652,0.0412,0.3068
CLUBS TWO SPADES FOUR,0.6374,0.0164,0.3462
CLUBS NINE HEARTS ACE,0.403,0.0044,0.5926
HEARTS SEVEN DIAMONDS ACE,0.3952,0.0062,0.5986
DIAMONDS KING HEARTS KING,0.1506,0.0066,0.8428
DIAMONDS SEVEN CLUBS QUEEN,0.26,0.3016,0.4384
SPADES TWO DIAMONDS FIVE,0.6322,0.0172,0.3506
DIAMONDS FOUR SPADES EIGHT,0.5974,0.0122,0.3904
CLUBS EIGHT SPADES SIX,0.5848,0.0106,0.4046
CLUBS SEVEN HEARTS TWO,0.6558,0.015,0.3292
SPADES JACK SPADES SEVEN,0.563,0.0094,0.4276
CLUBS SIX HEARTS KING,0.3984,0.0082,0.5934
SPADES JACK HEARTS KING,0.3734,0.0078,0.6188
SPADES KING DIAMONDS FIVE,0.3894,0.0072,0.6034
