opposingHand,winningChance,drawChance,lostChance
DIAMONDS THREE DIAMONDS SEVEN
CLUBS TEN CLUBS SIX,0.3776,0.0226,0.5998
DIAMONDS FOUR DIAMONDS EIGHT,0.3446,0.0702,0.5852
CLUBS FOUR DIAMONDS QUEEN,0.3826,0.0128,0.6046
HEARTS SEVEN HEARTS KING,0.274,0.034,0.692
CLUBS JACK SPADES EIGHT,0.3774,0.0164,0.6062
HEARTS SEVEN CLUBS KING,0.294,0.036,0.67
SPADES NINE DIAMONDS KING,0.3684,0.0088,0.6228
DIAMONDS KING SPADES TWO,0.4248,0.011,0.5642
HEARTS FIVE CLUBS TWO,0.559,0.105,0.336
CLUBS NINE CLUBS QUEEN,0.3424,0.0106,0.647
CLUBS SEVEN DIAMONDS JACK,0.2548,0.0684,0.6768
HEARTS SEVEN CLUBS EIGHT,0.2594,0.1408,0.5998
SPADES KING CLUBS KING,0.1788,0.0162,0.805
HEARTS FOUR HEARTS THREE,0.5372,0.1836,0.2792
HEARTS FIVE DIAMONDS QUEEN,0.3922,0.0132,0.5946
SPADES SIX CLUBS TWO,0.5732,0.0996,0.3272
DIAMONDS KING HEARTS QUEEN,0.3518,0.0076,0.6406
SPADES NINE SPADES SEVEN,0.2624,0.104,0.6336
CLUBS NINE DIAMONDS KING,0.3686,0.0096,0.6218
SPADES JACK CLUBS SIX,0.412,0.0158,0.5722
CLUBS SEVEN HEARTS FOUR,0.2502,0.482,0.2678
HEARTS SEVEN HEARTS TWO,0.3124,0.4444,0.2432
SPADES FIVE CLUBS KING,0.3994,0.0068,0.5938
SPADES THREE HEARTS NINE,0.293,0.1038,0.6032
CLUBS EIGHT CLUBS SIX,0.355,0.0594,0.5856
HEARTS SEVEN SPADES JACK,0.2916,0.0636,0.6448
CLUBS SEVEN SPADES NINE,0.2808,0.1082,0.611
CLUBS ACE HEARTS TEN,0.3706,0.0044,0.625
SPADES TEN HEARTS TWO,0.4428,0.027,0.5302
CLUBS QUEEN HEARTS NINE,0.3782,0.0086,0.6132
SPADES JACK CLUBS KING,0.3858,0.0076,0.6066
DIAMONDS TWO CLUBS KING,0.4292,0.0104,0.5604
CLUBS EIGHT DIAMONDS NINE,0.3486,0.033,0.6184
SPADES SEVEN HEARTS ACE,0.2816,0.0322,0.6862
CLUBS SEVEN CLUBS FIVE,0.2558,0.3972,0.347
SPADES ACE SPADES QUEEN,0.3444,0.0028,0.6528
DIAMONDS EIGHT HEARTS TEN,0.3424,0.028,0.6296
CLUBS FIVE HEARTS TEN,0.4012,0.0264,0.5724
CLUBS SEVEN CLUBS TWO,0.3014,0.454,0.2446
CLUBS FOUR DIAMONDS JACK,0.3892,0.018,0.5928
SPADES KING HEARTS TEN,0.376,0.0064,0.6176
SPADES SEVEN SPADES SIX,0.2458,0.332,0.4222
SPADES ACE SPADES NINE,0.361,0.0042,0.6348
DIAMONDS TWO CLUBS SEVEN,0.3078,0.4858,0.2064
DIAMONDS QUEEN DIAMONDS JACK,0.3268,0.01,0.6632
CLUBS THREE DIAMONDS TEN,0.2832,0.0738,0.643
DIAMONDS TEN HEARTS TEN,0.171,0.054,0.775
CLUBS NINE CLUBS SEVEN,0.2646,0.107,0.6284
HEARTS EIGHT SPADES JACK,0.3654,0.0154,0.6192
CLUBS EIGHT SPADES FIVE,0.3746,0.0592,0.5662
SPADES QUEEN HEARTS ACE,0.3672,0.0036,0.6292
DIAMONDS TWO DIAMONDS NINE,0.3822,0.044,0.5738
CLUBS SEVEN CLUBS FOUR,0.2506,0.4454,0.304
SPADES NINE CLUBS FIVE,0.3882,0.0412,0.5706
SPADES KING CLUBS TWO,0.4382,0.01,0.5518
DIAMONDS TWO SPADES SEVEN,0.2992,0.4926,0.2082
CLUBS JACK HEARTS EIGHT,0.3722,0.0184,0.6094
HEARTS SIX HEARTS QUEEN,0.3812,0.0114,0.6074
HEARTS SIX DIAMONDS ACE,0.3912,0.0028,0.606
DIAMONDS TWO CLUBS NINE,0.435,0.045,0.52
HEARTS FIVE DIAMONDS JACK,0.3878,0.0216,0.5906
SPADES JACK CLUBS EIGHT,0.3734,0.0138,0.6128
CLUBS SIX SPADES FIVE,0.5132,0.0986,0.3882
HEARTS EIGHT HEARTS THREE,0.2718,0.1286,0.5996
CLUBS JACK SPADES FOUR,0.4062,0.0172,0.5766
HEARTS JACK HEARTS TEN,0.3488,0.0166,0.6346
HEARTS SIX HEARTS FIVE,0.4724,0.0954,0.4322
SPADES ACE CLUBS FOUR,0.399,0.0036,0.5974
HEARTS THREE CLUBS KING,0.3044,0.026,0.6696
CLUBS FOUR SPADES SIX,0.5286,0.095,0.3764
DIAMONDS QUEEN HEARTS ACE,0.3678,0.0058,0.6264
SPADES QUEEN DIAMONDS QUEEN,0.174,0.0322,0.7938
CLUBS THREE SPADES THREE,0.3152,0.085,0.5998
DIAMONDS ACE CLUBS QUEEN,0.3612,0.0062,0.6326
SPADES THREE DIAMONDS EIGHT,0.281,0.1386,0.5804
DIAMONDS FOUR CLUBS TEN,0.3962,0.0286,0.5752
HEARTS FIVE CLUBS SEVEN,0.2664,0.4064,0.3272
SPADES FIVE HEARTS QUEEN,0.405,0.0134,0.5816
SPADES JACK CLUBS TWO,0.4474,0.0182,0.5344
DIAMONDS TEN HEARTS NINE,0.336,0.028,0.636
SPADES QUEEN HEARTS JACK,0.3698,0.0074,0.6228
CLUBS NINE CLUBS THREE,0.2792,0.0918,0.629
SPADES QUEEN SPADES NINE,0.3494,0.0106,0.64
HEARTS EIGHT HEARTS FIVE,0.352,0.0606,0.5874
SPADES ACE HEARTS FIVE,0.3952,0.0038,0.601
DIAMONDS FOUR SPADES QUEEN,0.4032,0.0132,0.5836
SPADES TWO CLUBS KING,0.4298,0.0078,0.5624
SPADES ACE DIAMONDS TEN,0.3486,0.0048,0.6466
SPADES KING HEARTS KING,0.1892,0.0174,0.7934
SPADES FOUR DIAMONDS TEN,0.3844,0.0258,0.5898
CLUBS SIX DIAMONDS NINE,0.3802,0.0374,0.5824
DIAMONDS TWO CLUBS THREE,0.5776,0.203,0.2194
SPADES SEVEN DIAMONDS NINE,0.2586,0.1122,0.6292
CLUBS SEVEN SPADES SIX,0.2596,0.3508,0.3896
HEARTS EIGHT SPADES FIVE,0.383,0.0622,0.5548
DIAMONDS TEN DIAMONDS NINE,0.2876,0.0208,0.6916
DIAMONDS KING DIAMONDS TEN,0.3178,0.0084,0.6738
CLUBS EIGHT HEARTS NINE,0.3462,0.0296,0.6242
SPADES ACE SPADES FIVE,0.3626,0.006,0.6314
SPADES FIVE DIAMONDS SIX,0.5024,0.0946,0.403
CLUBS THREE DIAMONDS FIVE,0.5388,0.2006,0.2606
CLUBS SIX CLUBS QUEEN,0.3816,0.0126,0.6058
SPADES QUEEN HEARTS FIVE,0.406,0.0116,0.5824
CLUBS JACK DIAMONDS KING,0.3598,0.0064,0.6338
HEARTS TWO SPADES THREE,0.5902,0.1912,0.2186
CLUBS FIVE SPADES SEVEN,0.256,0.4284,0.3156
SPADES QUEEN CLUBS EIGHT,0.3748,0.0122,0.613
CLUBS JACK CLUBS TEN,0.333,0.0128,0.6542
HEARTS SEVEN DIAMONDS KING,0.2634,0.0386,0.698
CLUBS FIVE SPADES THREE,0.5648,0.1878,0.2474
DIAMONDS FOUR CLUBS SIX,0.5216,0.1002,0.3782
HEARTS FIVE SPADES THREE,0.5728,0.1904,0.2368
SPADES SEVEN CLUBS TWO,0.3164,0.4784,0.2052
CLUBS SIX CLUBS ACE,0.3586,0.0056,0.6358
DIAMONDS TWO DIAMONDS FIVE,0.5524,0.1018,0.3458
SPADES QUEEN CLUBS NINE,0.3706,0.01,0.6194
CLUBS TWO DIAMONDS NINE,0.421,0.045,0.534
SPADES KING HEARTS JACK,0.3784,0.0078,0.6138
HEARTS THREE SPADES FOUR,0.5748,0.1834,0.2418
SPADES THREE DIAMONDS TEN,0.2838,0.0762,0.64
SPADES ACE CLUBS TEN,0.3842,0.0038,0.612
HEARTS SEVEN SPADES TWO,0.326,0.4762,0.1978
CLUBS TEN CLUBS KING,0.3568,0.0062,0.637
SPADES ACE DIAMONDS KING,0.3634,0.0064,0.6302
SPADES QUEEN HEARTS NINE,0.3886,0.0102,0.6012
SPADES NINE HEARTS NINE,0.1786,0.0696,0.7518
DIAMONDS JACK CLUBS QUEEN,0.3468,0.0104,0.6428
SPADES FIVE SPADES TWO,0.524,0.094,0.382
HEARTS FOUR CLUBS FOUR,0.2902,0.1164,0.5934
CLUBS FIVE DIAMONDS QUEEN,0.3842,0.0144,0.6014
SPADES QUEEN SPADES FIVE,0.38,0.0126,0.6074
HEARTS TWO CLUBS KING,0.443,0.0084,0.5486
SPADES NINE CLUBS THREE,0.2856,0.096,0.6184
CLUBS SIX DIAMONDS TEN,0.378,0.0268,0.5952
CLUBS EIGHT HEARTS FIVE,0.3752,0.0634,0.5614
CLUBS SEVEN DIAMONDS ACE,0.2592,0.0262,0.7146
HEARTS FIVE DIAMONDS EIGHT,0.3732,0.0636,0.5632
SPADES FIVE DIAMONDS NINE,0.3734,0.0446,0.582
HEARTS FOUR HEARTS TEN,0.3766,0.0294,0.594
DIAMONDS QUEEN HEARTS KING,0.3702,0.0078,0.622
SPADES SEVEN DIAMONDS FIVE,0.2484,0.4126,0.339
SPADES ACE DIAMONDS FIVE,0.3778,0.0038,0.6184
CLUBS TEN HEARTS TWO,0.4388,0.0294,0.5318
CLUBS TEN DIAMONDS TEN,0.167,0.0574,0.7756
DIAMONDS ACE HEARTS KING,0.3728,0.0066,0.6206
SPADES EIGHT DIAMONDS FIVE,0.3828,0.0662,0.551
HEARTS FOUR CLUBS QUEEN,0.4082,0.0118,0.58
HEARTS EIGHT HEARTS JACK,0.3402,0.0192,0.6406
HEARTS EIGHT DIAMONDS TEN,0.346,0.0286,0.6254
CLUBS EIGHT DIAMONDS KING,0.3698,0.0098,0.6204
CLUBS TEN CLUBS EIGHT,0.3354,0.0236,0.641
SPADES NINE DIAMONDS TEN,0.3536,0.0228,0.6236
HEARTS FOUR CLUBS SIX,0.5244,0.095,0.3806
CLUBS NINE CLUBS TWO,0.4242,0.0442,0.5316
HEARTS KING HEARTS TEN,0.3582,0.0074,0.6344
HEARTS EIGHT HEARTS NINE,0.3214,0.0366,0.642
CLUBS EIGHT CLUBS KING,0.351,0.0082,0.6408
SPADES TEN SPADES TWO,0.4234,0.0282,0.5484
SPADES QUEEN DIAMONDS ACE,0.3468,0.0054,0.6478
SPADES FOUR HEARTS NINE,0.399,0.0404,0.5606
CLUBS THREE DIAMONDS SIX,0.575,0.1848,0.2402
SPADES TEN CLUBS KING,0.3756,0.0072,0.6172
DIAMONDS ACE DIAMONDS JACK,0.3256,0.0062,0.6682
HEARTS FIVE CLUBS SIX,0.5148,0.0946,0.3906
DIAMONDS JACK HEARTS NINE,0.3554,0.019,0.6256
SPADES QUEEN CLUBS QUEEN,0.1906,0.0302,0.7792
SPADES TWO HEARTS QUEEN,0.4442,0.0124,0.5434
SPADES ACE SPADES FOUR,0.3784,0.0054,0.6162
SPADES SEVEN DIAMONDS QUEEN,0.2622,0.0432,0.6946
CLUBS FIVE HEARTS TWO,0.5626,0.0974,0.34
DIAMONDS JACK CLUBS KING,0.3684,0.0064,0.6252
SPADES SIX DIAMONDS KING,0.385,0.0096,0.6054
HEARTS SIX CLUBS THREE,0.5956,0.1872,0.2172
DIAMONDS TWO CLUBS SIX,0.5628,0.0986,0.3386
HEARTS EIGHT HEARTS QUEEN,0.3496,0.0104,0.64
HEARTS SEVEN DIAMONDS EIGHT,0.248,0.137,0.615
HEARTS SEVEN CLUBS SEVEN,0.1394,0.1022,0.7584
HEARTS TEN DIAMONDS FIVE,0.3912,0.0288,0.58
CLUBS EIGHT DIAMONDS SIX,0.3588,0.0658,0.5754
CLUBS FOUR DIAMONDS NINE,0.392,0.038,0.57
SPADES FOUR SPADES THREE,0.5362,0.183,0.2808
CLUBS TEN HEARTS QUEEN,0.3566,0.0122,0.6312
HEARTS KING HEARTS QUEEN,0.3538,0.0054,0.6408
SPADES NINE DIAMONDS SIX,0.3762,0.043,0.5808
CLUBS SEVEN CLUBS THREE,0.0754,0.8548,0.0698
HEARTS FOUR DIAMONDS QUEEN,0.389,0.0174,0.5936
DIAMONDS TEN SPADES TWO,0.4286,0.031,0.5404
SPADES EIGHT CLUBS FOUR,0.3936,0.0658,0.5406
HEARTS SIX CLUBS KING,0.4048,0.0082,0.587
SPADES KING CLUBS FOUR,0.4122,0.0064,0.5814
CLUBS FOUR DIAMONDS KING,0.3966,0.0084,0.595
DIAMONDS KING SPADES FIVE,0.4022,0.0072,0.5906
CLUBS FOUR HEARTS TEN,0.4182,0.0258,0.556
SPADES JACK CLUBS FIVE,0.3932,0.0158,0.591
CLUBS FOUR CLUBS ACE,0.3732,0.0064,0.6204
SPADES FIVE DIAMONDS QUEEN,0.385,0.0152,0.5998
HEARTS SEVEN HEARTS THREE,0.0706,0.8606,0.0688
SPADES EIGHT SPADES SIX,0.3452,0.062,0.5928
HEARTS TWO SPADES SEVEN,0.3186,0.4728,0.2086
HEARTS SIX CLUBS ACE,0.3928,0.0042,0.603
SPADES NINE HEARTS KING,0.3788,0.0054,0.6158
CLUBS JACK DIAMONDS ACE,0.368,0.0052,0.6268
SPADES JACK HEARTS KING,0.3776,0.0062,0.6162
DIAMONDS SIX HEARTS NINE,0.3712,0.0426,0.5862
SPADES JACK DIAMONDS EIGHT,0.349,0.0194,0.6316
CLUBS NINE CLUBS ACE,0.3586,0.0048,0.6366
HEARTS SIX HEARTS TEN,0.3752,0.0252,0.5996
HEARTS THREE DIAMONDS JACK,0.2776,0.055,0.6674
DIAMONDS FOUR CLUBS FOUR,0.2768,0.1272,0.596
DIAMONDS JACK HEARTS TEN,0.3556,0.0156,0.6288
CLUBS EIGHT SPADES TWO,0.4306,0.0648,0.5046
CLUBS ACE DIAMONDS SIX,0.399,0.007,0.594
HEARTS SEVEN HEARTS JACK,0.2586,0.0632,0.6782
HEARTS FIVE HEARTS JACK,0.3796,0.0208,0.5996
HEARTS FOUR CLUBS TWO,0.5522,0.1066,0.3412
SPADES JACK SPADES TWO,0.4112,0.0172,0.5716
SPADES THREE HEARTS TEN,0.3082,0.0672,0.6246
CLUBS JACK DIAMONDS TWO,0.4336,0.0188,0.5476
SPADES FIVE DIAMONDS FIVE,0.2836,0.1132,0.6032
SPADES SEVEN CLUBS FOUR,0.27,0.469,0.261
SPADES JACK DIAMONDS KING,0.3498,0.009,0.6412
SPADES FIVE HEARTS NINE,0.386,0.0418,0.5722
DIAMONDS JACK CLUBS ACE,0.3452,0.0042,0.6506
SPADES SEVEN CLUBS KING,0.283,0.0398,0.6772
CLUBS NINE DIAMONDS QUEEN,0.355,0.0092,0.6358
SPADES THREE HEARTS JACK,0.2982,0.0522,0.6496
CLUBS THREE DIAMONDS QUEEN,0.2788,0.038,0.6832
DIAMONDS SIX DIAMONDS FIVE,0.4874,0.1048,0.4078
CLUBS ACE DIAMONDS FIVE,0.3762,0.005,0.6188
SPADES ACE HEARTS KING,0.3932,0.0058,0.601
SPADES FOUR DIAMONDS FIVE,0.5068,0.1006,0.3926
SPADES ACE HEARTS TEN,0.3688,0.0064,0.6248
SPADES JACK SPADES EIGHT,0.3464,0.0174,0.6362
SPADES SIX HEARTS QUEEN,0.395,0.011,0.594
HEARTS FIVE DIAMONDS NINE,0.383,0.039,0.578
SPADES SIX DIAMONDS NINE,0.3678,0.041,0.5912
CLUBS FIVE SPADES FIVE,0.2886,0.1088,0.6026
SPADES SEVEN SPADES THREE,0.0688,0.8626,0.0686
DIAMONDS TWO SPADES SIX,0.5704,0.1016,0.328
HEARTS THREE SPADES FIVE,0.5602,0.1942,0.2456
DIAMONDS NINE DIAMONDS SIX,0.3226,0.041,0.6364
SPADES ACE CLUBS JACK,0.376,0.0068,0.6172
DIAMONDS FOUR SPADES SIX,0.5116,0.1034,0.385
HEARTS KING DIAMONDS TEN,0.3518,0.0094,0.6388
HEARTS KING CLUBS QUEEN,0.3808,0.0074,0.6118
DIAMONDS JACK SPADES THREE,0.281,0.0498,0.6692
SPADES TEN HEARTS ACE,0.3714,0.0028,0.6258
HEARTS TWO CLUBS ACE,0.4346,0.0036,0.5618
CLUBS TEN CLUBS QUEEN,0.3542,0.0066,0.6392
DIAMONDS FOUR HEARTS KING,0.3964,0.0094,0.5942
HEARTS QUEEN DIAMONDS NINE,0.3634,0.0112,0.6254
HEARTS EIGHT SPADES EIGHT,0.1854,0.0786,0.736
CLUBS SEVEN CLUBS SIX,0.2578,0.3266,0.4156
HEARTS FOUR HEARTS QUEEN,0.3884,0.0138,0.5978
HEARTS SEVEN SPADES QUEEN,0.2878,0.0472,0.665
SPADES ACE CLUBS EIGHT,0.3754,0.0044,0.6202
CLUBS JACK DIAMONDS SIX,0.3884,0.0196,0.592
CLUBS NINE DIAMONDS ACE,0.351,0.0056,0.6434
HEARTS TWO DIAMONDS ACE,0.4146,0.006,0.5794
SPADES ACE HEARTS QUEEN,0.3726,0.0042,0.6232
SPADES NINE HEARTS TEN,0.3584,0.0236,0.618
SPADES TEN HEARTS FOUR,0.3994,0.0296,0.571
HEARTS TEN CLUBS QUEEN,0.3708,0.0106,0.6186
